pcd,lad23cd,lad23nm
"AB1 0AA","S12000033","Aberdeen City"
"AB1 0AB","S12000033","Aberdeen City"
"AB1 0AD","S12000033","Aberdeen City"
"AB1 0AE","S12000034","Aberdeenshire"
"AB1 0AF","S12000033","Aberdeen City"
"AB1 0AG","S12000033","Aberdeen City"
"AB1 0AJ","S12000033","Aberdeen City"
"AB1 0AL","S12000033","Aberdeen City"
"AB1 0AN","S12000033","Aberdeen City"
"AB1 0AP","S12000033","Aberdeen City"
"AB1 0AQ","S12000033","Aberdeen City"
"AB1 0AR","S12000034","Aberdeenshire"
"AB1 0AS","S12000034","Aberdeenshire"
"AB1 0AT","S12000034","Aberdeenshire"
"AB1 0AX","S12000034","Aberdeenshire"
"AB1 0BA","S12000034","Aberdeenshire"
"AB1 0BB","S12000034","Aberdeenshire"
"AB1 0BD","S12000034","Aberdeenshire"
"AB1 0BE","S12000034","Aberdeenshire"
"AB1 0BJ","S12000034","Aberdeenshire"
"AB1 0BL","S12000034","Aberdeenshire"
"AB1 0BN","S12000034","Aberdeenshire"
"AB1 0BP","S12000034","Aberdeenshire"
"AB1 0BQ","S12000034","Aberdeenshire"
"AB1 0BR","S12000034","Aberdeenshire"
"AB1 0BS","S12000034","Aberdeenshire"
"AB1 0BT","S12000034","Aberdeenshire"
"AB1 0BX","S12000034","Aberdeenshire"
"AB1 0BY","S12000034","Aberdeenshire"
"AB1 0BZ","S12000034","Aberdeenshire"
"AB1 0DA","S12000034","Aberdeenshire"
"AB1 0DB","S12000034","Aberdeenshire"
"AB1 0DD","S12000034","Aberdeenshire"
"AB1 0DJ","S12000033","Aberdeen City"
"AB1 0DL","S12000033","Aberdeen City"
"AB1 0DN","S12000033","Aberdeen City"
"AB1 0DP","S12000033","Aberdeen City"
"AB1 0DQ","S12000033","Aberdeen City"
"AB1 0DR","S12000033","Aberdeen City"
"AB1 0DS","S12000033","Aberdeen City"
"AB1 0DT","S12000033","Aberdeen City"
"AB1 0DU","S12000033","Aberdeen City"
"AB1 0DX","S12000033","Aberdeen City"
"AB1 0DY","S12000033","Aberdeen City"
"AB1 0EA","S12000033","Aberdeen City"
"AB1 0EB","S12000033","Aberdeen City"
"AB1 0ED","S12000033","Aberdeen City"
"AB1 0EE","S12000033","Aberdeen City"
"AB1 0EF","S12000033","Aberdeen City"
"AB1 0EH","S12000033","Aberdeen City"
"AB1 0EJ","S12000033","Aberdeen City"
"AB1 0EL","S12000033","Aberdeen City"
"AB1 0EN","S12000033","Aberdeen City"
"AB1 0EP","S12000033","Aberdeen City"
"AB1 0EQ","S12000033","Aberdeen City"
"AB1 0ER","S12000033","Aberdeen City"
"AB1 0ES","S12000033","Aberdeen City"
"AB1 0ET","S12000033","Aberdeen City"
"AB1 0EU","S12000033","Aberdeen City"
"AB1 0EW","S12000033","Aberdeen City"
"AB1 0EX","S12000033","Aberdeen City"
"AB1 0HA","S12000033","Aberdeen City"
"AB1 0HB","S12000033","Aberdeen City"
"AB1 0HD","S12000033","Aberdeen City"
"AB1 0HJ","S12000033","Aberdeen City"
"AB1 0HL","S12000033","Aberdeen City"
"AB1 0HN","S12000033","Aberdeen City"
"AB1 0HP","S12000033","Aberdeen City"
"AB1 0HQ","S12000033","Aberdeen City"
"AB1 0HR","S12000033","Aberdeen City"
"AB1 0HS","S12000033","Aberdeen City"
"AB1 0HT","S12000033","Aberdeen City"
"AB1 0HU","S12000033","Aberdeen City"
"AB1 0HX","S12000033","Aberdeen City"
"AB1 0JA","S12000033","Aberdeen City"
"AB1 0JB","S12000033","Aberdeen City"
"AB1 0JD","S12000033","Aberdeen City"
"AB1 0JE","S12000033","Aberdeen City"
"AB1 0JG","S12000033","Aberdeen City"
"AB1 0JH","S12000033","Aberdeen City"
"AB1 0JJ","S12000033","Aberdeen City"
"AB1 0JL","S12000033","Aberdeen City"
"AB1 0JN","S12000033","Aberdeen City"
"AB1 0JP","S12000033","Aberdeen City"
"AB1 0JQ","S12000033","Aberdeen City"
"AB1 0JR","S12000033","Aberdeen City"
"AB1 0JS","S12000033","Aberdeen City"
"AB1 0JT","S12000033","Aberdeen City"
"AB1 0JU","S12000033","Aberdeen City"
"AB1 0JW","S12000033","Aberdeen City"
"AB1 0JX","S12000033","Aberdeen City"
"AB1 0JY","S12000033","Aberdeen City"
"AB1 0JZ","S12000033","Aberdeen City"
"AB1 0LA","S12000033","Aberdeen City"
"AB1 0LB","S12000033","Aberdeen City"
"AB1 0LD","S12000033","Aberdeen City"
"AB1 0LE","S12000033","Aberdeen City"
"AB1 0LJ","S12000033","Aberdeen City"
"AB1 0LL","S12000033","Aberdeen City"
"AB1 0LN","S12000033","Aberdeen City"
"AB1 0LP","S12000033","Aberdeen City"
"AB1 0LQ","S12000033","Aberdeen City"
"AB1 0LR","S12000033","Aberdeen City"
"AB1 0LS","S12000033","Aberdeen City"
"AB1 0LT","S12000034","Aberdeenshire"
"AB1 0LX","S12000033","Aberdeen City"
"AB1 0NA","S12000033","Aberdeen City"
"AB1 0NB","S12000034","Aberdeenshire"
"AB1 0ND","S12000034","Aberdeenshire"
"AB1 0NE","S12000033","Aberdeen City"
"AB1 0NJ","S12000033","Aberdeen City"
"AB1 0NL","S12000033","Aberdeen City"
"AB1 0NN","S12000033","Aberdeen City"
"AB1 0NP","S12000033","Aberdeen City"
"AB1 0NQ","S12000033","Aberdeen City"
"AB1 0NR","S12000033","Aberdeen City"
"AB1 0NS","S12000033","Aberdeen City"
"AB1 0NT","S12000033","Aberdeen City"
"AB1 0NX","S12000033","Aberdeen City"
"AB1 0PA","S12000033","Aberdeen City"
"AB1 0PB","S12000033","Aberdeen City"
"AB1 0PD","S12000033","Aberdeen City"
"AB1 0PE","S12000033","Aberdeen City"
"AB1 0PG","S12000033","Aberdeen City"
"AB1 0PJ","S12000033","Aberdeen City"
"AB1 0PL","S12000033","Aberdeen City"
"AB1 0PN","S12000033","Aberdeen City"
"AB1 0PP","S12000033","Aberdeen City"
"AB1 0PQ","S12000033","Aberdeen City"
"AB1 0PR","S12000033","Aberdeen City"
"AB1 0PS","S12000033","Aberdeen City"
"AB1 0PT","S12000033","Aberdeen City"
"AB1 0PU","S12000033","Aberdeen City"
"AB1 0PX","S12000033","Aberdeen City"
"AB1 0QA","S12000033","Aberdeen City"
"AB1 0QB","S12000033","Aberdeen City"
"AB1 0QD","S12000033","Aberdeen City"
"AB1 0QG","S12000033","Aberdeen City"
"AB1 0QJ","S12000033","Aberdeen City"
"AB1 0QL","S12000033","Aberdeen City"
"AB1 0QN","S12000033","Aberdeen City"
"AB1 0QP","S12000033","Aberdeen City"
"AB1 0QQ","S12000033","Aberdeen City"
"AB1 0QR","S12000033","Aberdeen City"
"AB1 0QS","S12000033","Aberdeen City"
"AB1 0QT","S12000033","Aberdeen City"
"AB1 0QX","S12000033","Aberdeen City"
"AB1 0RA","S12000033","Aberdeen City"
"AB1 0RB","S12000033","Aberdeen City"
"AB1 0RD","S12000033","Aberdeen City"
"AB1 0RE","S12000033","Aberdeen City"
"AB1 0RF","S12000033","Aberdeen City"
"AB1 0RH","S12000033","Aberdeen City"
"AB1 0RJ","S12000033","Aberdeen City"
"AB1 0RL","S12000033","Aberdeen City"
"AB1 0RN","S12000033","Aberdeen City"
"AB1 0RP","S12000033","Aberdeen City"
"AB1 0RQ","S12000033","Aberdeen City"
"AB1 0RR","S12000033","Aberdeen City"
"AB1 0RS","S12000033","Aberdeen City"
"AB1 0RT","S12000033","Aberdeen City"
"AB1 0RU","S12000033","Aberdeen City"
"AB1 0RW","S12000033","Aberdeen City"
"AB1 0RX","S12000033","Aberdeen City"
"AB1 0RY","S12000033","Aberdeen City"
"AB1 0RZ","S12000033","Aberdeen City"
"AB1 0SA","S12000033","Aberdeen City"
"AB1 0SB","S12000033","Aberdeen City"
"AB1 0SD","S12000033","Aberdeen City"
"AB1 0SE","S12000033","Aberdeen City"
"AB1 0SF","S12000033","Aberdeen City"
"AB1 0SG","S12000033","Aberdeen City"
"AB1 0SH","S12000033","Aberdeen City"
"AB1 0SJ","S12000033","Aberdeen City"
"AB1 0SL","S12000033","Aberdeen City"
"AB1 0SN","S12000033","Aberdeen City"
"AB1 0SP","S12000033","Aberdeen City"
"AB1 0SQ","S12000033","Aberdeen City"
"AB1 0SR","S12000033","Aberdeen City"
"AB1 0SS","S12000033","Aberdeen City"
"AB1 0ST","S12000033","Aberdeen City"
"AB1 0SU","S12000033","Aberdeen City"
"AB1 0SX","S12000033","Aberdeen City"
"AB1 0TA","S12000033","Aberdeen City"
"AB1 0TB","S12000033","Aberdeen City"
"AB1 0TD","S12000033","Aberdeen City"
"AB1 0TJ","S12000033","Aberdeen City"
"AB1 0TL","S12000033","Aberdeen City"
"AB1 0TN","S12000033","Aberdeen City"
"AB1 0TP","S12000033","Aberdeen City"
"AB1 0TQ","S12000033","Aberdeen City"
"AB1 0TR","S12000033","Aberdeen City"
"AB1 0TS","S12000033","Aberdeen City"
"AB1 0TT","S12000033","Aberdeen City"
"AB1 0TX","S12000033","Aberdeen City"
"AB1 0UA","S12000033","Aberdeen City"
"AB1 0UB","S12000033","Aberdeen City"
"AB1 0UD","S12000033","Aberdeen City"
"AB1 0UE","S12000033","Aberdeen City"
"AB1 0UJ","S12000033","Aberdeen City"
"AB1 0UL","S12000033","Aberdeen City"
"AB1 0UN","S12000033","Aberdeen City"
"AB1 0UP","S12000033","Aberdeen City"
"AB1 0UQ","S12000033","Aberdeen City"
"AB1 0UR","S12000033","Aberdeen City"
"AB1 0US","S12000033","Aberdeen City"
"AB1 0UT","S12000033","Aberdeen City"
"AB1 0UX","S12000033","Aberdeen City"
"AB1 0WA","S12000033","Aberdeen City"
"AB1 0WB","S12000033","Aberdeen City"
"AB1 0WD","S12000033","Aberdeen City"
"AB1 0WE","S12000033","Aberdeen City"
"AB1 0WF","S12000033","Aberdeen City"
"AB1 0WG","S12000033","Aberdeen City"
"AB1 0WH","S12000033","Aberdeen City"
"AB1 0WN","S12000033","Aberdeen City"
"AB1 0XA","S12000033","Aberdeen City"
"AB1 0XB","S12000033","Aberdeen City"
"AB1 0XD","S12000033","Aberdeen City"
"AB1 0XE","S12000033","Aberdeen City"
"AB1 0XJ","S12000033","Aberdeen City"
"AB1 0XL","S12000033","Aberdeen City"
