pcd,lad23cd,lad23nm
"BA1 0AA","E06000022","Bath and North East Somerset"
"BA1 0AB","E06000022","Bath and North East Somerset"
"BA1 0AD","E06000022","Bath and North East Somerset"
"BA1 0AE","E06000022","Bath and North East Somerset"
"BA1 0AF","E06000022","Bath and North East Somerset"
"BA1 0AG","E06000022","Bath and North East Somerset"
"BA1 0AH","E06000022","Bath and North East Somerset"
"BA1 0AJ","E06000022","Bath and North East Somerset"
"BA1 0AL","E06000022","Bath and North East Somerset"
"BA1 0AN","E06000022","Bath and North East Somerset"
"BA1 0AP","E06000022","Bath and North East Somerset"
"BA1 0AQ","E06000022","Bath and North East Somerset"
"BA1 0AR","E06000022","Bath and North East Somerset"
"BA1 0AS","E06000022","Bath and North East Somerset"
"BA1 0AT","E06000022","Bath and North East Somerset"
"BA1 0AU","E06000022","Bath and North East Somerset"
"BA1 0AW","E06000022","Bath and North East Somerset"
"BA1 0AX","E06000022","Bath and North East Somerset"
"BA1 0AY","E06000022","Bath and North East Somerset"
"BA1 0AZ","E06000022","Bath and North East Somerset"
"BA1 0BA","E06000022","Bath and North East Somerset"
"BA1 0BB","E06000022","Bath and North East Somerset"
"BA1 0BD","E06000022","Bath and North East Somerset"
"BA1 0BE","E06000022","Bath and North East Somerset"
"BA1 0BF","E06000022","Bath and North East Somerset"
"BA1 0BG","E06000022","Bath and North East Somerset"
"BA1 0BH","E06000022","Bath and North East Somerset"
"BA1 0BJ","E06000022","Bath and North East Somerset"
"BA1 0BL","E06000022","Bath and North East Somerset"
"BA1 0BN","E06000022","Bath and North East Somerset"
"BA1 0BP","E06000022","Bath and North East Somerset"
"BA1 0BQ","E06000022","Bath and North East Somerset"
"BA1 0BR","E06000022","Bath and North East Somerset"
"BA1 0BS","E06000022","Bath and North East Somerset"
"BA1 0BT","E06000022","Bath and North East Somerset"
"BA1 0BU","E06000022","Bath and North East Somerset"
"BA1 0BW","E06000022","Bath and North East Somerset"
"BA1 0BX","E06000022","Bath and North East Somerset"
"BA1 0BY","E06000022","Bath and North East Somerset"
"BA1 0BZ","E06000022","Bath and North East Somerset"
"BA1 0DA","E06000022","Bath and North East Somerset"
"BA1 0DB","E06000022","Bath and North East Somerset"
"BA1 0DD","E06000022","Bath and North East Somerset"
"BA1 0DE","E06000022","Bath and North East Somerset"
"BA1 0DF","E06000022","Bath and North East Somerset"
"BA1 0DG","E06000022","Bath and North East Somerset"
"BA1 0DH","E06000022","Bath and North East Somerset"
"BA1 0DJ","E06000022","Bath and North East Somerset"
"BA1 0DL","E06000022","Bath and North East Somerset"
"BA1 0DN","E06000022","Bath and North East Somerset"
"BA1 0DP","E06000022","Bath and North East Somerset"
"BA1 0DQ","E06000022","Bath and North East Somerset"
"BA1 0DR","E06000022","Bath and North East Somerset"
"BA1 0DS","E06000022","Bath and North East Somerset"
"BA1 0DT","E06000022","Bath and North East Somerset"
"BA1 0DU","E06000022","Bath and North East Somerset"
"BA1 0DW","E06000022","Bath and North East Somerset"
"BA1 0DX","E06000022","Bath and North East Somerset"
"BA1 0DY","E06000022","Bath and North East Somerset"
"BA1 0DZ","E06000022","Bath and North East Somerset"
"BA1 0EA","E06000022","Bath and North East Somerset"
"BA1 0EB","E06000022","Bath and North East Somerset"
"BA1 0ED","E06000022","Bath and North East Somerset"
"BA1 0EE","E06000022","Bath and North East Somerset"
"BA1 0EF","E06000022","Bath and North East Somerset"
"BA1 0EG","E06000022","Bath and North East Somerset"
"BA1 0EH","E06000022","Bath and North East Somerset"
"BA1 0EJ","E06000022","Bath and North East Somerset"
"BA1 0EL","E06000022","Bath and North East Somerset"
"BA1 0EN","E06000022","Bath and North East Somerset"
"BA1 0EP","E06000022","Bath and North East Somerset"
"BA1 0EQ","E06000022","Bath and North East Somerset"
"BA1 0ER","E06000022","Bath and North East Somerset"
"BA1 0ES","E06000022","Bath and North East Somerset"
"BA1 0ET","E06000022","Bath and North East Somerset"
"BA1 0EU","E06000022","Bath and North East Somerset"
"BA1 0EW","E06000022","Bath and North East Somerset"
"BA1 0EX","E06000022","Bath and North East Somerset"
"BA1 0EY","E06000022","Bath and North East Somerset"
"BA1 0EZ","E06000022","Bath and North East Somerset"
"BA1 0FA","E06000022","Bath and North East Somerset"
"BA1 0FB","E06000022","Bath and North East Somerset"
"BA1 0FD","E06000022","Bath and North East Somerset"
"BA1 0FE","E06000022","Bath and North East Somerset"
"BA1 0FF","E06000022","Bath and North East Somerset"
"BA1 0FG","E06000022","Bath and North East Somerset"
"BA1 0FH","E06000022","Bath and North East Somerset"
"BA1 0FJ","E06000022","Bath and North East Somerset"
"BA1 0FL","E06000022","Bath and North East Somerset"
"BA1 0FN","E06000022","Bath and North East Somerset"
"BA1 0FP","E06000022","Bath and North East Somerset"
"BA1 0FQ","E06000022","Bath and North East Somerset"
"BA1 0FR","E06000022","Bath and North East Somerset"
"BA1 0FS","E06000022","Bath and North East Somerset"
"BA1 0FT","E06000022","Bath and North East Somerset"
"BA1 0FU","E06000022","Bath and North East Somerset"
