pcd,lad23cd,lad23nm
"BL0 0AA","E08000002","Bury"
"BL0 0AB","E08000002","Bury"
"BL0 0AD","E08000002","Bury"
"BL0 0AE","E08000002","Bury"
"BL0 0AF","E07000125","Rossendale"
"BL0 0AG","E08000002","Bury"
"BL0 0AH","E08000002","Bury"
"BL0 0AJ","E08000002","Bury"
"BL0 0AL","E08000002","Bury"
"BL0 0AN","E08000002","Bury"
"BL0 0AP","E08000002","Bury"
"BL0 0AQ","E08000002","Bury"
"BL0 0AR","E08000002","Bury"
"BL0 0AS","E08000002","Bury"
"BL0 0AT","E08000002","Bury"
"BL0 0AU","E08000002","Bury"
"BL0 0AW","E08000002","Bury"
"BL0 0AX","E08000002","Bury"
"BL0 0AY","E08000002","Bury"
"BL0 0AZ","E08000002","Bury"
"BL0 0BA","E08000002","Bury"
"BL0 0BB","E08000002","Bury"
"BL0 0BD","E08000002","Bury"
"BL0 0BE","E08000002","Bury"
"BL0 0BF","E07000125","Rossendale"
"BL0 0BG","E08000002","Bury"
"BL0 0BH","E08000002","Bury"
"BL0 0BJ","E08000002","Bury"
"BL0 0BL","E08000002","Bury"
"BL0 0BN","E08000002","Bury"
"BL0 0BP","E07000125","Rossendale"
"BL0 0BQ","E08000002","Bury"
"BL0 0BS","E08000002","Bury"
"BL0 0BT","E08000002","Bury"
"BL0 0BU","E08000002","Bury"
"BL0 0BW","E08000002","Bury"
"BL0 0BX","E08000002","Bury"
"BL0 0BY","E08000002","Bury"
"BL0 0BZ","E08000002","Bury"
"BL0 0DA","E08000002","Bury"
"BL0 0DB","E08000002","Bury"
"BL0 0DD","E08000002","Bury"
"BL0 0DE","E08000002","Bury"
"BL0 0DF","E08000002","Bury"
"BL0 0DG","E08000002","Bury"
"BL0 0DH","E08000002","Bury"
"BL0 0DJ","E08000002","Bury"
"BL0 0DL","E08000002","Bury"
"BL0 0DN","E08000002","Bury"
"BL0 0DP","E08000002","Bury"
"BL0 0DQ","E08000002","Bury"
"BL0 0DR","E08000002","Bury"
"BL0 0DS","E08000002","Bury"
"BL0 0DT","E08000002","Bury"
"BL0 0DU","E08000002","Bury"
"BL0 0DW","E08000002","Bury"
"BL0 0DX","E08000002","Bury"
"BL0 0DY","E07000125","Rossendale"
"BL0 0DZ","E08000002","Bury"
"BL0 0EA","E08000002","Bury"
"BL0 0EB","E07000125","Rossendale"
"BL0 0ED","E08000002","Bury"
"BL0 0EE","E08000002","Bury"
"BL0 0EF","E08000002","Bury"
"BL0 0EG","E08000002","Bury"
"BL0 0EH","E08000002","Bury"
"BL0 0EJ","E08000002","Bury"
"BL0 0EL","E08000002","Bury"
"BL0 0EN","E07000125","Rossendale"
"BL0 0EP","E08000002","Bury"
"BL0 0EQ","E08000002","Bury"
"BL0 0ER","E08000002","Bury"
"BL0 0ES","E08000002","Bury"
"BL0 0ET","E07000125","Rossendale"
"BL0 0EU","E07000125","Rossendale"
"BL0 0EW","E07000125","Rossendale"
"BL0 0EX","E07000125","Rossendale"
"BL0 0EY","E07000125","Rossendale"
"BL0 0EZ","E07000125","Rossendale"
"BL0 0FA","E08000002","Bury"
"BL0 0FB","E07000125","Rossendale"
"BL0 0FD","E07000125","Rossendale"
"BL0 0FE","E07000125","Rossendale"
"BL0 0FF","E07000125","Rossendale"
"BL0 0FG","E07000125","Rossendale"
"BL0 0FH","E08000002","Bury"
"BL0 0FJ","E07000125","Rossendale"
"BL0 0FL","E07000125","Rossendale"
"BL0 0FN","E08000002","Bury"
"BL0 0FP","E07000125","Rossendale"
"BL0 0FQ","E07000125","Rossendale"
"BL0 0FR","E08000002","Bury"
"BL0 0FS","E07000125","Rossendale"
"BL0 0FT","E07000125","Rossendale"
"BL0 0FU","E08000002","Bury"
"BL0 0FW","E08000002","Bury"
"BL0 0FX","E08000002","Bury"
"BL0 0FY","E08000002","Bury"
"BL0 0FZ","E08000002","Bury"
"BL0 0GA","E08000002","Bury"
"BL0 0GB","E08000002","Bury"
"BL0 0GD","E08000002","Bury"
"BL0 0GE","E08000002","Bury"
"BL0 0GF","E07000125","Rossendale"
"BL0 0GG","E08000002","Bury"
"BL0 0GH","E07000125","Rossendale"
"BL0 0GJ","E07000125","Rossendale"
"BL0 0GL","E07000125","Rossendale"
"BL0 0GN","E08000002","Bury"
"BL0 0GQ","E07000125","Rossendale"
"BL0 0GX","E07000125","Rossendale"
"BL0 0GY","E07000125","Rossendale"
"BL0 0GZ","E07000125","Rossendale"
"BL0 0HA","E07000125","Rossendale"
"BL0 0HB","E07000125","Rossendale"
"BL0 0HD","E08000002","Bury"
