pcd,lad23cd,lad23nm
"CB1 0AA","E07000008","Cambridge"
"CB1 0AB","E07000008","Cambridge"
"CB1 0AD","E07000008","Cambridge"
"CB1 0AE","E07000008","Cambridge"
"CB1 0AF","E07000008","Cambridge"
"CB1 0AG","E07000008","Cambridge"
"CB1 0AH","E07000008","Cambridge"
"CB1 0AJ","E07000008","Cambridge"
"CB1 0AL","E07000008","Cambridge"
"CB1 0AN","E07000008","Cambridge"
"CB1 0AP","E07000008","Cambridge"
"CB1 0AQ","E07000008","Cambridge"
"CB1 0AR","E07000008","Cambridge"
"CB1 0AS","E07000008","Cambridge"
"CB1 0AT","E07000008","Cambridge"
"CB1 0AU","E07000008","Cambridge"
"CB1 0AW","E07000008","Cambridge"
"CB1 0AX","E07000008","Cambridge"
"CB1 0AY","E07000008","Cambridge"
"CB1 0AZ","E07000008","Cambridge"
"CB1 0BA","E07000008","Cambridge"
"CB1 0BB","E07000008","Cambridge"
"CB1 0BD","E07000008","Cambridge"
"CB1 0BE","E07000008","Cambridge"
"CB1 0BF","E07000008","Cambridge"
"CB1 0BG","E07000008","Cambridge"
"CB1 0BH","E07000008","Cambridge"
"CB1 0BJ","E07000008","Cambridge"
"CB1 0BL","E07000008","Cambridge"
"CB1 0BN","E07000008","Cambridge"
"CB1 0BP","E07000008","Cambridge"
"CB1 0BQ","E07000008","Cambridge"
"CB1 0BR","E07000008","Cambridge"
"CB1 0BS","E07000008","Cambridge"
"CB1 0BT","E07000008","Cambridge"
"CB1 0BU","E07000008","Cambridge"
"CB1 0BW","E07000008","Cambridge"
"CB1 0BX","E07000008","Cambridge"
"CB1 0BY","E07000008","Cambridge"
"CB1 0BZ","E07000008","Cambridge"
"CB1 0DA","E07000008","Cambridge"
"CB1 0DB","E07000008","Cambridge"
"CB1 0DD","E07000008","Cambridge"
"CB1 0DE","E07000008","Cambridge"
"CB1 0DF","E07000008","Cambridge"
"CB1 0DG","E07000008","Cambridge"
"CB1 0DH","E07000008","Cambridge"
"CB1 0DJ","E07000008","Cambridge"
"CB1 0DL","E07000008","Cambridge"
"CB1 0DN","E07000008","Cambridge"
"CB1 0DP","E07000008","Cambridge"
"CB1 0DQ","E07000008","Cambridge"
"CB1 0DR","E07000008","Cambridge"
"CB1 0DS","E07000008","Cambridge"
"CB1 0DT","E07000008","Cambridge"
"CB1 0DU","E07000008","Cambridge"
"CB1 0DW","E07000008","Cambridge"
"CB1 0DX","E07000008","Cambridge"
"CB1 0DY","E07000008","Cambridge"
"CB1 0DZ","E07000008","Cambridge"
"CB1 0EA","E07000008","Cambridge"
"CB1 0EB","E07000008","Cambridge"
"CB1 0ED","E07000008","Cambridge"
"CB1 0EE","E07000008","Cambridge"
"CB1 0EF","E07000008","Cambridge"
"CB1 0EG","E07000008","Cambridge"
"CB1 0EH","E07000008","Cambridge"
"CB1 0EJ","E07000008","Cambridge"
"CB1 0EL","E07000008","Cambridge"
"CB1 0EN","E07000008","Cambridge"
"CB1 0EP","E07000008","Cambridge"
"CB1 0EQ","E07000008","Cambridge"
"CB1 0ER","E07000008","Cambridge"
"CB1 0ES","E07000008","Cambridge"
"CB1 0ET","E07000008","Cambridge"
"CB1 0EU","E07000008","Cambridge"
"CB1 0EW","E07000008","Cambridge"
"CB1 0EX","E07000008","Cambridge"
"CB1 0EY","E07000008","Cambridge"
"CB1 0EZ","E07000008","Cambridge"
"CB1 0FA","E07000008","Cambridge"
"CB1 0FB","E07000008","Cambridge"
"CB1 0FD","E07000008","Cambridge"
"CB1 0FE","E07000008","Cambridge"
"CB1 0FF","E07000008","Cambridge"
