pcd,lad23cd,lad23nm
"CF1 1AA","W06000015","Cardiff"
"CF1 1AB","W06000015","Cardiff"
"CF1 1AD","W06000015","Cardiff"
"CF1 1BU","W06000015","Cardiff"
"CF1 1DA","W06000015","Cardiff"
"CF1 1DB","W06000015","Cardiff"
"CF1 1DD","W06000015","Cardiff"
"CF1 1DE","W06000015","Cardiff"
"CF1 1DF","W06000015","Cardiff"
"CF1 1DG","W06000015","Cardiff"
"CF1 1DH","W06000015","Cardiff"
"CF1 1DJ","W06000015","Cardiff"
"CF1 1DL","W06000015","Cardiff"
"CF1 1DN","W06000015","Cardiff"
"CF1 1DP","W06000015","Cardiff"
"CF1 1DU","W06000015","Cardiff"
"CF1 1DW","W06000015","Cardiff"
"CF1 1DX","W06000015","Cardiff"
"CF1 1DY","W06000015","Cardiff"
"CF1 1DZ","W06000015","Cardiff"
"CF1 1EA","W06000015","Cardiff"
"CF1 1EB","W06000015","Cardiff"
"CF1 1ED","W06000015","Cardiff"
"CF1 1EH","W06000015","Cardiff"
"CF1 1EJ","W06000015","Cardiff"
"CF1 1EL","W06000015","Cardiff"
"CF1 1EN","W06000015","Cardiff"
"CF1 1EP","W06000015","Cardiff"
"CF1 1EQ","W06000015","Cardiff"
"CF1 1ER","W06000015","Cardiff"
"CF1 1ES","W06000015","Cardiff"
"CF1 1ET","W06000015","Cardiff"
"CF1 1EU","W06000015","Cardiff"
"CF1 1EW","W06000015","Cardiff"
"CF1 1EX","W06000015","Cardiff"
"CF1 1EY","W06000015","Cardiff"
"CF1 1EZ","W06000015","Cardiff"
"CF1 1FA","W06000015","Cardiff"
"CF1 1FB","W06000015","Cardiff"
"CF1 1FD","W06000015","Cardiff"
"CF1 1FE","W06000015","Cardiff"
"CF1 1FF","W06000015","Cardiff"
"CF1 1FG","W06000015","Cardiff"
"CF1 1FH","W06000015","Cardiff"
"CF1 1FJ","W06000015","Cardiff"
"CF1 1FL","W06000015","Cardiff"
"CF1 1FN","W06000015","Cardiff"
"CF1 1GP","W06000015","Cardiff"
"CF1 1GR","W06000015","Cardiff"
"CF1 1HA","W06000015","Cardiff"
"CF1 1HB","W06000015","Cardiff"
"CF1 1HD","W06000015","Cardiff"
"CF1 1HE","W06000015","Cardiff"
"CF1 1HF","W06000015","Cardiff"
"CF1 1HG","W06000016","Rhondda Cynon Taf"
"CF1 1HH","W06000015","Cardiff"
"CF1 1HL","W06000015","Cardiff"
"CF1 1HN","W06000015","Cardiff"
"CF1 1JA","W06000015","Cardiff"
"CF1 1JB","W06000015","Cardiff"
"CF1 1JD","W06000015","Cardiff"
"CF1 1JE","W06000015","Cardiff"
"CF1 1JF","W06000015","Cardiff"
"CF1 1JG","W06000015","Cardiff"
"CF1 1JJ","W06000015","Cardiff"
"CF1 1JL","W06000015","Cardiff"
"CF1 1JN","W06000015","Cardiff"
"CF1 1JP","W06000015","Cardiff"
"CF1 1JR","W06000015","Cardiff"
"CF1 1JS","W06000015","Cardiff"
"CF1 1JT","W06000015","Cardiff"
"CF1 1JU","W06000015","Cardiff"
"CF1 1JW","W06000015","Cardiff"
"CF1 1JX","W06000015","Cardiff"
"CF1 1JY","W06000015","Cardiff"
"CF1 1JZ","W06000015","Cardiff"
"CF1 1LB","W06000015","Cardiff"
"CF1 1LD","W06000015","Cardiff"
"CF1 1LF","W06000015","Cardiff"
"CF1 1LG","W06000015","Cardiff"
"CF1 1LH","W06000015","Cardiff"
"CF1 1LJ","W06000015","Cardiff"
"CF1 1LL","W06000015","Cardiff"
"CF1 1LN","W06000015","Cardiff"
"CF1 1LP","W06000015","Cardiff"
"CF1 1LQ","W06000015","Cardiff"
"CF1 1LS","W06000015","Cardiff"
"CF1 1LT","W06000015","Cardiff"
"CF1 1LU","W06000015","Cardiff"
"CF1 1LW","W06000015","Cardiff"
"CF1 1LX","W06000015","Cardiff"
"CF1 1LY","W06000015","Cardiff"
"CF1 1NA","W06000015","Cardiff"
"CF1 1NB","W06000015","Cardiff"
"CF1 1ND","W06000015","Cardiff"
"CF1 1NF","W06000015","Cardiff"
"CF1 1NG","W06000015","Cardiff"
"CF1 1NH","W06000015","Cardiff"
"CF1 1NJ","W06000015","Cardiff"
"CF1 1NL","W06000015","Cardiff"
"CF1 1NN","W06000015","Cardiff"
"CF1 1NP","W06000015","Cardiff"
"CF1 1NQ","W06000015","Cardiff"
"CF1 1NR","W06000015","Cardiff"
"CF1 1NS","W06000015","Cardiff"
"CF1 1NT","W06000015","Cardiff"
"CF1 1NU","W06000015","Cardiff"
"CF1 1NW","W06000015","Cardiff"
"CF1 1NX","W06000015","Cardiff"
"CF1 1NZ","W06000015","Cardiff"
"CF1 1PA","W06000015","Cardiff"
"CF1 1PD","W06000015","Cardiff"
"CF1 1PE","W06000015","Cardiff"
"CF1 1PF","W06000015","Cardiff"
"CF1 1PG","W06000015","Cardiff"
"CF1 1PH","W06000015","Cardiff"
"CF1 1PJ","W06000015","Cardiff"
"CF1 1PL","W06000015","Cardiff"
"CF1 1PN","W06000015","Cardiff"
"CF1 1PP","W06000015","Cardiff"
"CF1 1PQ","W06000015","Cardiff"
"CF1 1PR","W06000015","Cardiff"
"CF1 1PS","W06000015","Cardiff"
"CF1 1PT","W06000015","Cardiff"
"CF1 1PX","W06000015","Cardiff"
"CF1 1PY","W06000015","Cardiff"
"CF1 1PZ","W06000015","Cardiff"
"CF1 1QA","W06000015","Cardiff"
"CF1 1QD","W06000015","Cardiff"
"CF1 1QE","W06000015","Cardiff"
"CF1 1QF","W06000015","Cardiff"
"CF1 1QL","W06000015","Cardiff"
"CF1 1QN","W06000015","Cardiff"
"CF1 1QP","W06000015","Cardiff"
"CF1 1QQ","W06000015","Cardiff"
"CF1 1QS","W06000015","Cardiff"
"CF1 1QT","W06000015","Cardiff"
"CF1 1QX","W06000015","Cardiff"
"CF1 1QY","W06000015","Cardiff"
"CF1 1QZ","W06000015","Cardiff"
"CF1 1RB","W06000015","Cardiff"
"CF1 1RD","W06000014","Vale of Glamorgan"
"CF1 1RE","W06000014","Vale of Glamorgan"
"CF1 1RF","W06000015","Cardiff"
"CF1 1RG","W06000015","Cardiff"
"CF1 1RH","W06000015","Cardiff"
"CF1 1RN","W06000015","Cardiff"
"CF1 1RR","W06000015","Cardiff"
"CF1 1RT","W06000015","Cardiff"
"CF1 1RU","W06000015","Cardiff"
"CF1 1RW","W06000014","Vale of Glamorgan"
"CF1 1RY","W06000015","Cardiff"
"CF1 1RZ","W06000014","Vale of Glamorgan"
"CF1 1SA","W06000015","Cardiff"
"CF1 1SD","W06000015","Cardiff"
"CF1 1SE","W06000015","Cardiff"
"CF1 1SF","W06000015","Cardiff"
"CF1 1SG","W06000015","Cardiff"
"CF1 1SH","W06000015","Cardiff"
"CF1 1SL","W06000015","Cardiff"
"CF1 1SN","W06000015","Cardiff"
"CF1 1SP","W06000015","Cardiff"
"CF1 1SQ","W06000015","Cardiff"
"CF1 1SR","W06000015","Cardiff"
"CF1 1SS","W06000015","Cardiff"
"CF1 1ST","W06000015","Cardiff"
"CF1 1SU","W06000015","Cardiff"
"CF1 1SW","W06000015","Cardiff"
"CF1 1SY","W06000015","Cardiff"
"CF1 1SZ","W06000015","Cardiff"
"CF1 1TA","W06000015","Cardiff"
"CF1 1TB","W06000015","Cardiff"
"CF1 1TD","W06000015","Cardiff"
"CF1 1TE","W06000015","Cardiff"
"CF1 1TF","W06000015","Cardiff"
"CF1 1TG","W06000015","Cardiff"
"CF1 1TH","W06000015","Cardiff"
"CF1 1TL","W06000015","Cardiff"
"CF1 1TN","W06000015","Cardiff"
"CF1 1TP","W06000015","Cardiff"
"CF1 1TQ","W06000015","Cardiff"
"CF1 1TR","W06000015","Cardiff"
"CF1 1TS","W06000015","Cardiff"
"CF1 1TT","W06000015","Cardiff"
"CF1 1TU","W06000015","Cardiff"
"CF1 1TW","W06000015","Cardiff"
"CF1 1TX","W06000015","Cardiff"
"CF1 1TZ","W06000015","Cardiff"
"CF1 1UA","W06000015","Cardiff"
"CF1 1UB","W06000015","Cardiff"
"CF1 1UE","W06000015","Cardiff"
"CF1 1UF","W06000015","Cardiff"
"CF1 1UG","W06000015","Cardiff"
"CF1 1UH","W06000015","Cardiff"
"CF1 1UJ","W06000015","Cardiff"
"CF1 1UL","W06000015","Cardiff"
"CF1 1UN","W06000015","Cardiff"
"CF1 1UP","W06000015","Cardiff"
"CF1 1UQ","W06000015","Cardiff"
"CF1 1UR","W06000015","Cardiff"
"CF1 1US","W06000015","Cardiff"
"CF1 1UT","W06000015","Cardiff"
"CF1 1UU","W06000015","Cardiff"
"CF1 1UW","W06000015","Cardiff"
"CF1 1UX","W06000015","Cardiff"
"CF1 1UY","W06000015","Cardiff"
"CF1 1WB","W06000015","Cardiff"
"CF1 1WE","W06000015","Cardiff"
"CF1 1WF","W06000015","Cardiff"
"CF1 1WH","W06000015","Cardiff"
"CF1 1WP","W06000015","Cardiff"
"CF1 1WQ","W06000015","Cardiff"
"CF1 1WR","W06000015","Cardiff"
"CF1 1WT","W06000015","Cardiff"
"CF1 1WX","W06000015","Cardiff"
"CF1 1WY","W06000015","Cardiff"
"CF1 1WZ","W06000015","Cardiff"
"CF1 1XA","W06000015","Cardiff"
"CF1 1XB","W06000015","Cardiff"
"CF1 1XD","W06000015","Cardiff"
"CF1 1XE","W06000015","Cardiff"
"CF1 1XF","W06000015","Cardiff"
"CF1 1XG","W06000015","Cardiff"
"CF1 1XH","W06000015","Cardiff"
"CF1 1XJ","W06000015","Cardiff"
"CF1 1XL","W06000015","Cardiff"
"CF1 1XP","W06000015","Cardiff"
"CF1 1XQ","W06000015","Cardiff"
"CF1 1XR","W06000015","Cardiff"
"CF1 1XS","W06000015","Cardiff"
"CF1 1XT","W06000015","Cardiff"
"CF1 1XU","W06000015","Cardiff"
"CF1 1XY","W06000015","Cardiff"
"CF1 1YB","W06000015","Cardiff"
"CF1 1YD","W06000015","Cardiff"
"CF1 1YF","W06000015","Cardiff"
"CF1 1YH","W06000015","Cardiff"
"CF1 1YJ","W06000015","Cardiff"
"CF1 1YL","W06000015","Cardiff"
"CF1 1YP","W06000015","Cardiff"
"CF1 1YT","W06000015","Cardiff"
"CF1 1YY","W06000015","Cardiff"
"CF1 1ZD","W06000015","Cardiff"
"CF1 1ZE","W06000015","Cardiff"
"CF1 1ZF","W06000015","Cardiff"
"CF1 1ZG","W06000015","Cardiff"
"CF1 1ZH","W06000015","Cardiff"
"CF1 1ZJ","W06000015","Cardiff"
"CF1 1ZL","W06000015","Cardiff"
"CF1 1ZN","W06000015","Cardiff"
"CF1 1ZP","W06000015","Cardiff"
"CF1 1ZQ","W06000015","Cardiff"
"CF1 1ZR","W06000015","Cardiff"
"CF1 1ZS","W06000015","Cardiff"
"CF1 1ZT","W06000015","Cardiff"
"CF1 1ZU","W06000015","Cardiff"
"CF1 1ZW","W06000015","Cardiff"
"CF1 1ZX","W06000015","Cardiff"
"CF1 1ZY","W06000015","Cardiff"
"CF1 1ZZ","W06000015","Cardiff"
"CF1 2AA","W06000015","Cardiff"
"CF1 2AB","W06000015","Cardiff"
