pcd,lad23cd,lad23nm
"CO1 1AA","E07000071","Colchester"
"CO1 1AE","E07000071","Colchester"
"CO1 1AF","E07000071","Colchester"
"CO1 1AG","E07000071","Colchester"
"CO1 1AH","E07000071","Colchester"
"CO1 1AJ","E07000071","Colchester"
"CO1 1AL","E07000071","Colchester"
"CO1 1AN","E07000071","Colchester"
"CO1 1AP","E07000071","Colchester"
"CO1 1AQ","E07000071","Colchester"
"CO1 1AR","E07000071","Colchester"
"CO1 1AS","E07000071","Colchester"
"CO1 1AT","E07000071","Colchester"
"CO1 1AU","E07000071","Colchester"
"CO1 1AW","E07000071","Colchester"
"CO1 1AX","E07000071","Colchester"
"CO1 1AY","E07000071","Colchester"
"CO1 1AZ","E07000071","Colchester"
"CO1 1BA","E07000071","Colchester"
"CO1 1BB","E07000071","Colchester"
"CO1 1BD","E07000071","Colchester"
"CO1 1BE","E07000071","Colchester"
"CO1 1BG","E07000071","Colchester"
"CO1 1BH","E07000071","Colchester"
"CO1 1BJ","E07000071","Colchester"
"CO1 1BL","E07000071","Colchester"
"CO1 1BN","E07000071","Colchester"
"CO1 1BP","E07000071","Colchester"
"CO1 1BQ","E07000071","Colchester"
"CO1 1BS","E07000071","Colchester"
"CO1 1BT","E07000071","Colchester"
"CO1 1BU","E07000071","Colchester"
"CO1 1BW","E07000071","Colchester"
"CO1 1BX","E07000071","Colchester"
"CO1 1BY","E07000071","Colchester"
"CO1 1BZ","E07000071","Colchester"
"CO1 1DA","E07000071","Colchester"
"CO1 1DB","E07000071","Colchester"
"CO1 1DD","E07000071","Colchester"
"CO1 1DE","E07000071","Colchester"
"CO1 1DF","E07000071","Colchester"
"CO1 1DG","E07000071","Colchester"
"CO1 1DH","E07000071","Colchester"
"CO1 1DJ","E07000071","Colchester"
"CO1 1DL","E07000071","Colchester"
"CO1 1DN","E07000071","Colchester"
"CO1 1DP","E07000071","Colchester"
"CO1 1DQ","E07000071","Colchester"
"CO1 1DR","E07000071","Colchester"
"CO1 1DS","E07000071","Colchester"
"CO1 1DU","E07000071","Colchester"
"CO1 1DW","E07000071","Colchester"
"CO1 1DX","E07000071","Colchester"
"CO1 1DY","E07000071","Colchester"
"CO1 1DZ","E07000071","Colchester"
"CO1 1EA","E07000071","Colchester"
"CO1 1EB","E07000071","Colchester"
"CO1 1ED","E07000071","Colchester"
"CO1 1EE","E07000071","Colchester"
"CO1 1EF","E07000071","Colchester"
"CO1 1EG","E07000071","Colchester"
"CO1 1EH","E07000071","Colchester"
"CO1 1EJ","E07000071","Colchester"
"CO1 1EL","E07000071","Colchester"
"CO1 1EN","E07000071","Colchester"
"CO1 1EP","E07000071","Colchester"
"CO1 1EQ","E07000071","Colchester"
"CO1 1ER","E07000071","Colchester"
"CO1 1ES","E07000071","Colchester"
"CO1 1ET","E07000071","Colchester"
"CO1 1EU","E07000071","Colchester"
"CO1 1EW","E07000071","Colchester"
"CO1 1EX","E07000071","Colchester"
"CO1 1EY","E07000071","Colchester"
"CO1 1EZ","E07000071","Colchester"
"CO1 1FA","E07000071","Colchester"
"CO1 1FB","E07000071","Colchester"
"CO1 1FD","E07000071","Colchester"
"CO1 1FE","E07000071","Colchester"
"CO1 1FF","E07000071","Colchester"
"CO1 1FG","E07000071","Colchester"
"CO1 1FH","E07000071","Colchester"
"CO1 1FJ","E07000071","Colchester"
"CO1 1FL","E07000071","Colchester"
"CO1 1FN","E07000071","Colchester"
"CO1 1FP","E07000071","Colchester"
"CO1 1FQ","E07000071","Colchester"
"CO1 1FR","E07000071","Colchester"
"CO1 1FS","E07000071","Colchester"
"CO1 1FT","E07000071","Colchester"
"CO1 1FU","E07000076","Tendring"
"CO1 1FW","E07000071","Colchester"
