pcd,lad23cd,lad23nm
"CR0 0AA","E09000008","Croydon"
"CR0 0AB","E09000008","Croydon"
"CR0 0AD","E09000008","Croydon"
"CR0 0AE","E09000008","Croydon"
"CR0 0AF","E09000008","Croydon"
"CR0 0AG","E09000008","Croydon"
"CR0 0AH","E09000008","Croydon"
"CR0 0AJ","E09000008","Croydon"
"CR0 0AL","E09000008","Croydon"
"CR0 0AN","E09000008","Croydon"
"CR0 0AP","E09000008","Croydon"
"CR0 0AQ","E09000008","Croydon"
"CR0 0AR","E09000008","Croydon"
"CR0 0AS","E09000008","Croydon"
"CR0 0AT","E09000008","Croydon"
"CR0 0AU","E09000008","Croydon"
"CR0 0AW","E09000008","Croydon"
"CR0 0AX","E09000008","Croydon"
"CR0 0AY","E09000008","Croydon"
"CR0 0AZ","E09000008","Croydon"
"CR0 0BA","E09000008","Croydon"
"CR0 0BB","E09000008","Croydon"
"CR0 0BD","E09000008","Croydon"
"CR0 0BE","E09000008","Croydon"
"CR0 0BF","E09000008","Croydon"
"CR0 0BG","E09000008","Croydon"
"CR0 0BH","E09000008","Croydon"
"CR0 0BJ","E09000008","Croydon"
"CR0 0BL","E09000008","Croydon"
"CR0 0BN","E09000008","Croydon"
"CR0 0BP","E09000008","Croydon"
"CR0 0BQ","E09000008","Croydon"
"CR0 0BR","E09000008","Croydon"
"CR0 0BS","E09000008","Croydon"
"CR0 0BT","E09000008","Croydon"
"CR0 0BU","E09000008","Croydon"
"CR0 0BW","E09000008","Croydon"
"CR0 0BX","E09000008","Croydon"
"CR0 0BY","E09000008","Croydon"
"CR0 0BZ","E09000008","Croydon"
"CR0 0DA","E09000008","Croydon"
"CR0 0DB","E09000008","Croydon"
"CR0 0DD","E09000008","Croydon"
"CR0 0DE","E09000008","Croydon"
"CR0 0DF","E09000008","Croydon"
"CR0 0DG","E09000008","Croydon"
"CR0 0DH","E09000008","Croydon"
"CR0 0DJ","E09000008","Croydon"
"CR0 0DL","E09000008","Croydon"
"CR0 0DN","E09000008","Croydon"
"CR0 0DP","E09000008","Croydon"
"CR0 0DQ","E09000008","Croydon"
"CR0 0DR","E09000008","Croydon"
"CR0 0DS","E09000008","Croydon"
"CR0 0DT","E09000008","Croydon"
"CR0 0DU","E09000008","Croydon"
"CR0 0DW","E09000008","Croydon"
"CR0 0DX","E09000008","Croydon"
"CR0 0DY","E09000008","Croydon"
"CR0 0DZ","E09000008","Croydon"
"CR0 0EA","E09000008","Croydon"
"CR0 0EB","E09000008","Croydon"
"CR0 0ED","E09000008","Croydon"
"CR0 0EE","E09000008","Croydon"
"CR0 0EF","E09000008","Croydon"
"CR0 0EG","E09000008","Croydon"
"CR0 0EH","E09000008","Croydon"
"CR0 0EJ","E09000008","Croydon"
"CR0 0EL","E09000008","Croydon"
"CR0 0EN","E09000008","Croydon"
"CR0 0EP","E09000008","Croydon"
"CR0 0EQ","E09000008","Croydon"
"CR0 0ER","E09000008","Croydon"
"CR0 0ES","E09000008","Croydon"
"CR0 0ET","E09000008","Croydon"
"CR0 0EU","E09000008","Croydon"
"CR0 0EW","E09000008","Croydon"
"CR0 0EX","E09000008","Croydon"
"CR0 0EY","E09000008","Croydon"
"CR0 0EZ","E09000008","Croydon"
"CR0 0FA","E09000008","Croydon"
"CR0 0FB","E09000008","Croydon"
"CR0 0FD","E09000008","Croydon"
"CR0 0HA","E09000008","Croydon"
"CR0 0HB","E09000008","Croydon"
"CR0 0HD","E09000008","Croydon"
"CR0 0HE","E09000008","Croydon"
"CR0 0HF","E09000008","Croydon"
"CR0 0HG","E09000008","Croydon"
"CR0 0HH","E09000008","Croydon"
"CR0 0HJ","E09000008","Croydon"
"CR0 0HL","E09000008","Croydon"
"CR0 0HN","E09000008","Croydon"
"CR0 0HP","E09000008","Croydon"
"CR0 0HQ","E09000008","Croydon"
"CR0 0HR","E09000008","Croydon"
"CR0 0HS","E09000008","Croydon"
"CR0 0HT","E09000008","Croydon"
"CR0 0HU","E09000008","Croydon"
"CR0 0HW","E09000008","Croydon"
"CR0 0HX","E09000008","Croydon"
"CR0 0HY","E09000008","Croydon"
"CR0 0HZ","E09000008","Croydon"
"CR0 0JA","E09000008","Croydon"
"CR0 0JB","E09000008","Croydon"
"CR0 0JD","E09000008","Croydon"
"CR0 0JE","E09000008","Croydon"
"CR0 0JF","E09000008","Croydon"
"CR0 0JG","E09000008","Croydon"
"CR0 0JH","E09000008","Croydon"
"CR0 0JJ","E09000008","Croydon"
"CR0 0JL","E09000008","Croydon"
"CR0 0JN","E09000008","Croydon"
"CR0 0JP","E09000008","Croydon"
"CR0 0JQ","E09000008","Croydon"
"CR0 0JR","E09000008","Croydon"
"CR0 0JS","E09000008","Croydon"
"CR0 0JT","E09000008","Croydon"
"CR0 0JU","E09000008","Croydon"
"CR0 0JW","E09000008","Croydon"
"CR0 0LA","E09000008","Croydon"
