pcd,lad23cd,lad23nm
"CT1 1AA","E07000106","Canterbury"
"CT1 1AB","E07000106","Canterbury"
"CT1 1AD","E07000106","Canterbury"
"CT1 1AE","E07000106","Canterbury"
"CT1 1AF","E07000106","Canterbury"
"CT1 1AG","E07000106","Canterbury"
"CT1 1AH","E07000106","Canterbury"
"CT1 1AJ","E07000106","Canterbury"
"CT1 1AL","E07000106","Canterbury"
"CT1 1AN","E07000106","Canterbury"
"CT1 1AP","E07000106","Canterbury"
"CT1 1AQ","E07000106","Canterbury"
"CT1 1AR","E07000106","Canterbury"
"CT1 1AS","E07000106","Canterbury"
"CT1 1AT","E07000106","Canterbury"
"CT1 1AU","E07000106","Canterbury"
"CT1 1AW","E07000106","Canterbury"
"CT1 1AX","E07000106","Canterbury"
"CT1 1AY","E07000106","Canterbury"
"CT1 1AZ","E07000106","Canterbury"
"CT1 1BA","E07000106","Canterbury"
"CT1 1BB","E07000106","Canterbury"
"CT1 1BD","E07000106","Canterbury"
"CT1 1BE","E07000106","Canterbury"
"CT1 1BF","E07000106","Canterbury"
"CT1 1BG","E07000106","Canterbury"
"CT1 1BH","E07000106","Canterbury"
"CT1 1BJ","E07000106","Canterbury"
"CT1 1BL","E07000106","Canterbury"
"CT1 1BN","E07000106","Canterbury"
"CT1 1BP","E07000106","Canterbury"
"CT1 1BS","E07000106","Canterbury"
"CT1 1BT","E07000106","Canterbury"
"CT1 1BU","E07000106","Canterbury"
"CT1 1BW","E07000106","Canterbury"
"CT1 1BX","E07000106","Canterbury"
"CT1 1BY","E07000106","Canterbury"
"CT1 1BZ","E07000106","Canterbury"
"CT1 1DA","E07000106","Canterbury"
"CT1 1DB","E07000106","Canterbury"
"CT1 1DD","E07000106","Canterbury"
"CT1 1DE","E07000106","Canterbury"
"CT1 1DF","E07000106","Canterbury"
"CT1 1DG","E07000106","Canterbury"
"CT1 1DH","E07000106","Canterbury"
"CT1 1DJ","E07000106","Canterbury"
"CT1 1DL","E07000106","Canterbury"
"CT1 1DN","E07000106","Canterbury"
