pcd,lad23cd,lad23nm
"CV1 1AA","E08000026","Coventry"
"CV1 1AB","E08000026","Coventry"
"CV1 1AD","E08000026","Coventry"
"CV1 1AE","E08000026","Coventry"
"CV1 1AF","E08000026","Coventry"
"CV1 1AH","E08000026","Coventry"
"CV1 1AJ","E08000026","Coventry"
"CV1 1AL","E08000026","Coventry"
"CV1 1AN","E08000026","Coventry"
"CV1 1AP","E08000026","Coventry"
"CV1 1AQ","E08000026","Coventry"
"CV1 1AR","E08000026","Coventry"
"CV1 1BA","E08000026","Coventry"
"CV1 1BB","E08000026","Coventry"
"CV1 1BD","E08000026","Coventry"
"CV1 1BE","E08000026","Coventry"
"CV1 1DA","E08000026","Coventry"
"CV1 1DD","E08000026","Coventry"
"CV1 1DE","E08000026","Coventry"
"CV1 1DF","E08000026","Coventry"
"CV1 1DG","E08000026","Coventry"
"CV1 1DJ","E08000026","Coventry"
"CV1 1DL","E08000026","Coventry"
"CV1 1DN","E08000026","Coventry"
"CV1 1DP","E08000026","Coventry"
"CV1 1DQ","E08000026","Coventry"
"CV1 1DR","E08000026","Coventry"
"CV1 1DS","E08000026","Coventry"
"CV1 1DT","E08000026","Coventry"
"CV1 1DU","E08000026","Coventry"
"CV1 1DW","E08000026","Coventry"
"CV1 1DX","E08000026","Coventry"
"CV1 1DY","E08000026","Coventry"
"CV1 1DZ","E08000026","Coventry"
"CV1 1EA","E08000026","Coventry"
"CV1 1EB","E08000026","Coventry"
"CV1 1ED","E08000026","Coventry"
"CV1 1EE","E08000026","Coventry"
"CV1 1EG","E08000026","Coventry"
"CV1 1EH","E08000026","Coventry"
"CV1 1EJ","E08000026","Coventry"
"CV1 1EL","E08000026","Coventry"
"CV1 1EN","E08000026","Coventry"
"CV1 1EP","E08000026","Coventry"
"CV1 1EQ","E08000026","Coventry"
"CV1 1ER","E08000026","Coventry"
"CV1 1ES","E08000026","Coventry"
"CV1 1ET","E08000026","Coventry"
"CV1 1EU","E08000026","Coventry"
"CV1 1EW","E08000026","Coventry"
"CV1 1EX","E08000026","Coventry"
"CV1 1EY","E08000026","Coventry"
"CV1 1EZ","E08000026","Coventry"
"CV1 1FB","E08000026","Coventry"
"CV1 1FD","E08000026","Coventry"
"CV1 1FE","E08000026","Coventry"
"CV1 1FF","E08000026","Coventry"
"CV1 1FG","E08000026","Coventry"
"CV1 1FH","E08000026","Coventry"
"CV1 1FJ","E08000026","Coventry"
"CV1 1FL","E08000026","Coventry"
"CV1 1FN","E08000026","Coventry"
"CV1 1FP","E08000026","Coventry"
"CV1 1FQ","E08000026","Coventry"
"CV1 1FR","E08000026","Coventry"
"CV1 1FS","E08000026","Coventry"
"CV1 1FT","E08000026","Coventry"
"CV1 1FU","E08000026","Coventry"
"CV1 1FW","E08000026","Coventry"
"CV1 1FX","E08000026","Coventry"
"CV1 1FY","E08000026","Coventry"
"CV1 1FZ","E08000026","Coventry"
"CV1 1GB","E08000026","Coventry"
"CV1 1GD","E08000026","Coventry"
"CV1 1GE","E08000026","Coventry"
"CV1 1GF","E08000026","Coventry"
"CV1 1GG","E08000026","Coventry"
"CV1 1GH","E08000026","Coventry"
"CV1 1GJ","E08000026","Coventry"
"CV1 1GL","E08000026","Coventry"
