pcd,lad23cd,lad23nm
"DD1 1AA","S12000042","Dundee City"
"DD1 1AB","S12000042","Dundee City"
"DD1 1AD","S12000042","Dundee City"
"DD1 1AE","S12000042","Dundee City"
"DD1 1AF","S12000042","Dundee City"
"DD1 1AR","S12000042","Dundee City"
"DD1 1AY","S12000042","Dundee City"
"DD1 1BA","S12000042","Dundee City"
"DD1 1BB","S12000042","Dundee City"
"DD1 1BD","S12000042","Dundee City"
"DD1 1DA","S12000042","Dundee City"
"DD1 1DB","S12000042","Dundee City"
"DD1 1DD","S12000042","Dundee City"
"DD1 1DF","S12000042","Dundee City"
"DD1 1DG","S12000042","Dundee City"
"DD1 1DH","S12000042","Dundee City"
"DD1 1DJ","S12000042","Dundee City"
"DD1 1DP","S12000042","Dundee City"
"DD1 1DQ","S12000042","Dundee City"
"DD1 1DR","S12000042","Dundee City"
"DD1 1DT","S12000042","Dundee City"
"DD1 1DU","S12000042","Dundee City"
"DD1 1DW","S12000042","Dundee City"
"DD1 1DX","S12000042","Dundee City"
"DD1 1DY","S12000042","Dundee City"
"DD1 1DZ","S12000042","Dundee City"
"DD1 1EA","S12000042","Dundee City"
"DD1 1EB","S12000042","Dundee City"
"DD1 1ED","S12000042","Dundee City"
"DD1 1EF","S12000042","Dundee City"
"DD1 1EG","S12000042","Dundee City"
"DD1 1EH","S12000042","Dundee City"
"DD1 1EJ","S12000042","Dundee City"
"DD1 1EL","S12000042","Dundee City"
"DD1 1EN","S12000042","Dundee City"
"DD1 1EP","S12000042","Dundee City"
"DD1 1EQ","S12000042","Dundee City"
"DD1 1ER","S12000042","Dundee City"
"DD1 1ES","S12000042","Dundee City"
"DD1 1ET","S12000042","Dundee City"
"DD1 1EU","S12000042","Dundee City"
"DD1 1EX","S12000042","Dundee City"
"DD1 1EY","S12000042","Dundee City"
"DD1 1EZ","S12000042","Dundee City"
"DD1 1FA","S12000042","Dundee City"
"DD1 1HA","S12000042","Dundee City"
"DD1 1HB","S12000042","Dundee City"
"DD1 1HD","S12000042","Dundee City"
"DD1 1HE","S12000042","Dundee City"
"DD1 1HF","S12000042","Dundee City"
"DD1 1HG","S12000042","Dundee City"
"DD1 1HH","S12000042","Dundee City"
"DD1 1HJ","S12000042","Dundee City"
"DD1 1HL","S12000042","Dundee City"
"DD1 1HN","S12000042","Dundee City"
