pcd,lad23cd,lad23nm
"DE1 0AA","E06000015","Derby"
"DE1 0AB","E06000015","Derby"
"DE1 0AD","E06000015","Derby"
"DE1 0AE","E06000015","Derby"
"DE1 0AF","E06000015","Derby"
"DE1 0AG","E06000015","Derby"
"DE1 0AH","E06000015","Derby"
"DE1 0AJ","E06000015","Derby"
"DE1 0AL","E06000015","Derby"
"DE1 0AN","E06000015","Derby"
"DE1 0AP","E06000015","Derby"
"DE1 0AQ","E06000015","Derby"
"DE1 0AR","E06000015","Derby"
"DE1 0AS","E06000015","Derby"
"DE1 0AT","E06000015","Derby"
"DE1 0AU","E06000015","Derby"
"DE1 0AW","E06000015","Derby"
"DE1 0AX","E06000015","Derby"
"DE1 0AY","E06000015","Derby"
"DE1 0AZ","E06000015","Derby"
"DE1 0BA","E06000015","Derby"
"DE1 0BB","E06000015","Derby"
"DE1 0BD","E06000015","Derby"
"DE1 0BE","E06000015","Derby"
"DE1 0BF","E06000015","Derby"
"DE1 0BG","E06000015","Derby"
"DE1 0BH","E06000015","Derby"
"DE1 0BJ","E06000015","Derby"
"DE1 0BL","E06000015","Derby"
"DE1 0BN","E06000015","Derby"
"DE1 0BP","E06000015","Derby"
"DE1 0BQ","E06000015","Derby"
"DE1 0BR","E06000015","Derby"
"DE1 0BS","E06000015","Derby"
"DE1 0BU","E06000015","Derby"
"DE1 0BW","E06000015","Derby"
"DE1 0BX","E06000015","Derby"
"DE1 0BY","E06000015","Derby"
"DE1 0BZ","E06000015","Derby"
"DE1 0DA","E06000015","Derby"
"DE1 0DB","E06000015","Derby"
"DE1 0DD","E06000015","Derby"
"DE1 0DE","E06000015","Derby"
"DE1 0DF","E06000015","Derby"
"DE1 0DG","E06000015","Derby"
"DE1 0DH","E06000015","Derby"
"DE1 0DJ","E06000015","Derby"
"DE1 0DL","E06000015","Derby"
"DE1 0DN","E06000015","Derby"
"DE1 0DP","E06000015","Derby"
"DE1 0DQ","E06000015","Derby"
"DE1 0DR","E06000015","Derby"
"DE1 0DS","E06000015","Derby"
"DE1 0DT","E06000015","Derby"
"DE1 0DU","E06000015","Derby"
"DE1 0DW","E06000015","Derby"
"DE1 0DX","E06000015","Derby"
"DE1 0DY","E06000015","Derby"
"DE1 0DZ","E06000015","Derby"
"DE1 0EA","E06000015","Derby"
"DE1 0EB","E06000015","Derby"
"DE1 0ED","E06000015","Derby"
"DE1 0EE","E06000015","Derby"
"DE1 0EF","E06000015","Derby"
"DE1 0EG","E06000015","Derby"
"DE1 0EH","E06000015","Derby"
"DE1 0EJ","E06000015","Derby"
"DE1 0EL","E06000015","Derby"
"DE1 0EN","E06000015","Derby"
"DE1 0EP","E06000015","Derby"
"DE1 0EQ","E06000015","Derby"
"DE1 0ER","E06000015","Derby"
"DE1 0ES","E06000015","Derby"
"DE1 0ET","E06000015","Derby"
"DE1 0EU","E06000015","Derby"
"DE1 0EW","E06000015","Derby"
"DE1 0EX","E06000015","Derby"
"DE1 0EY","E06000015","Derby"
"DE1 0EZ","E06000015","Derby"
"DE1 0FA","E06000015","Derby"
"DE1 0FB","E06000015","Derby"
"DE1 0FD","E06000015","Derby"
"DE1 0FE","E06000015","Derby"
"DE1 0FF","E06000015","Derby"
"DE1 0FG","E06000015","Derby"
"DE1 0FH","E06000015","Derby"
"DE1 0FJ","E06000015","Derby"
"DE1 0FL","E06000015","Derby"
"DE1 0FN","E06000015","Derby"
"DE1 0FP","E06000015","Derby"
"DE1 0FQ","E06000015","Derby"
"DE1 0FR","E06000015","Derby"
"DE1 0FS","E06000015","Derby"
"DE1 0FU","E06000015","Derby"
"DE1 0FW","E06000015","Derby"
"DE1 0FX","E06000015","Derby"
"DE1 0FY","E06000015","Derby"
"DE1 0FZ","E06000015","Derby"
"DE1 0GA","E06000015","Derby"
"DE1 0GB","E06000015","Derby"
"DE1 0GD","E06000015","Derby"
"DE1 0GE","E06000015","Derby"
"DE1 0GF","E06000015","Derby"
"DE1 0GG","E06000015","Derby"
"DE1 0GH","E06000015","Derby"
"DE1 0GJ","E06000015","Derby"
"DE1 0GL","E06000015","Derby"
"DE1 0GN","E06000015","Derby"
"DE1 0GP","E06000015","Derby"
"DE1 0GQ","E06000015","Derby"
"DE1 0GR","E06000015","Derby"
