pcd,lad23cd,lad23nm
"DG1 1AA","S12000006","Dumfries and Galloway"
"DG1 1AD","S12000006","Dumfries and Galloway"
"DG1 1AE","S12000006","Dumfries and Galloway"
"DG1 1AF","S12000006","Dumfries and Galloway"
"DG1 1AG","S12000006","Dumfries and Galloway"
"DG1 1AH","S12000006","Dumfries and Galloway"
"DG1 1AU","S12000006","Dumfries and Galloway"
"DG1 1AX","S12000006","Dumfries and Galloway"
"DG1 1BA","S12000006","Dumfries and Galloway"
"DG1 1BB","S12000006","Dumfries and Galloway"
"DG1 1BD","S12000006","Dumfries and Galloway"
"DG1 1BF","S12000006","Dumfries and Galloway"
"DG1 1BG","S12000006","Dumfries and Galloway"
"DG1 1BH","S12000006","Dumfries and Galloway"
"DG1 1BJ","S12000006","Dumfries and Galloway"
"DG1 1BL","S12000006","Dumfries and Galloway"
"DG1 1BN","S12000006","Dumfries and Galloway"
"DG1 1BQ","S12000006","Dumfries and Galloway"
"DG1 1BS","S12000006","Dumfries and Galloway"
"DG1 1BT","S12000006","Dumfries and Galloway"
"DG1 1BU","S12000006","Dumfries and Galloway"
"DG1 1BW","S12000006","Dumfries and Galloway"
"DG1 1BX","S12000006","Dumfries and Galloway"
"DG1 1BY","S12000006","Dumfries and Galloway"
"DG1 1BZ","S12000006","Dumfries and Galloway"
"DG1 1DA","S12000006","Dumfries and Galloway"
"DG1 1DB","S12000006","Dumfries and Galloway"
"DG1 1DD","S12000006","Dumfries and Galloway"
"DG1 1DE","S12000006","Dumfries and Galloway"
"DG1 1DF","S12000006","Dumfries and Galloway"
"DG1 1DG","S12000006","Dumfries and Galloway"
"DG1 1DH","S12000006","Dumfries and Galloway"
"DG1 1DJ","S12000006","Dumfries and Galloway"
"DG1 1DL","S12000006","Dumfries and Galloway"
"DG1 1DN","S12000006","Dumfries and Galloway"
"DG1 1DP","S12000006","Dumfries and Galloway"
"DG1 1DQ","S12000006","Dumfries and Galloway"
"DG1 1DR","S12000006","Dumfries and Galloway"
"DG1 1DS","S12000006","Dumfries and Galloway"
"DG1 1DT","S12000006","Dumfries and Galloway"
