pcd,lad23cd,lad23nm
"DH1 1AA","E06000047","County Durham"
"DH1 1AB","E06000047","County Durham"
"DH1 1AD","E06000047","County Durham"
"DH1 1AE","E06000047","County Durham"
"DH1 1AF","E06000047","County Durham"
"DH1 1AG","E06000047","County Durham"
"DH1 1AH","E06000047","County Durham"
"DH1 1AJ","E06000047","County Durham"
"DH1 1AL","E06000047","County Durham"
"DH1 1AN","E06000047","County Durham"
"DH1 1AP","E06000047","County Durham"
"DH1 1AQ","E06000047","County Durham"
"DH1 1AR","E06000047","County Durham"
"DH1 1AS","E06000047","County Durham"
"DH1 1AT","E06000047","County Durham"
"DH1 1AU","E06000047","County Durham"
"DH1 1AW","E06000047","County Durham"
"DH1 1AX","E06000047","County Durham"
"DH1 1AY","E06000047","County Durham"
"DH1 1AZ","E06000047","County Durham"
"DH1 1BA","E06000047","County Durham"
"DH1 1BB","E06000047","County Durham"
"DH1 1BD","E06000047","County Durham"
"DH1 1BE","E06000047","County Durham"
"DH1 1BF","E06000047","County Durham"
"DH1 1BG","E06000047","County Durham"
"DH1 1BH","E06000047","County Durham"
"DH1 1BJ","E06000047","County Durham"
"DH1 1BL","E06000047","County Durham"
"DH1 1BP","E06000047","County Durham"
"DH1 1BQ","E06000047","County Durham"
"DH1 1BW","E06000047","County Durham"
"DH1 1DA","E06000047","County Durham"
"DH1 1DB","E06000047","County Durham"
"DH1 1DD","E06000047","County Durham"
"DH1 1DE","E06000047","County Durham"
"DH1 1DF","E06000047","County Durham"
"DH1 1DG","E06000047","County Durham"
"DH1 1DH","E06000047","County Durham"
"DH1 1DJ","E06000047","County Durham"
"DH1 1DL","E06000047","County Durham"
"DH1 1DN","E06000047","County Durham"
"DH1 1DP","E06000047","County Durham"
"DH1 1DQ","E06000047","County Durham"
"DH1 1DR","E06000047","County Durham"
"DH1 1DS","E06000047","County Durham"
"DH1 1DT","E06000047","County Durham"
"DH1 1DU","E06000047","County Durham"
"DH1 1DW","E06000047","County Durham"
"DH1 1DX","E06000047","County Durham"
"DH1 1DY","E06000047","County Durham"
"DH1 1DZ","E06000047","County Durham"
"DH1 1EA","E06000047","County Durham"
"DH1 1EB","E06000047","County Durham"
"DH1 1ED","E06000047","County Durham"
"DH1 1EE","E06000047","County Durham"
"DH1 1EF","E06000047","County Durham"
"DH1 1EG","E06000047","County Durham"
"DH1 1EH","E06000047","County Durham"
"DH1 1EJ","E06000047","County Durham"
"DH1 1EL","E06000047","County Durham"
"DH1 1EN","E06000047","County Durham"
"DH1 1EP","E06000047","County Durham"
"DH1 1EQ","E06000047","County Durham"
"DH1 1ER","E06000047","County Durham"
"DH1 1ES","E06000047","County Durham"
"DH1 1ET","E06000047","County Durham"
"DH1 1EU","E06000047","County Durham"
"DH1 1EW","E06000047","County Durham"
"DH1 1EX","E06000047","County Durham"
"DH1 1EY","E06000047","County Durham"
"DH1 1EZ","E06000047","County Durham"
"DH1 1FA","E06000047","County Durham"
"DH1 1FB","E06000047","County Durham"
"DH1 1FD","E06000047","County Durham"
"DH1 1FE","E06000047","County Durham"
"DH1 1FF","E06000047","County Durham"
"DH1 1FG","E06000047","County Durham"
"DH1 1FH","E06000047","County Durham"
"DH1 1FJ","E06000047","County Durham"
"DH1 1FL","E06000047","County Durham"
"DH1 1FN","E06000047","County Durham"
"DH1 1FP","E06000047","County Durham"
"DH1 1FQ","E06000047","County Durham"
"DH1 1FR","E06000047","County Durham"
"DH1 1FS","E06000047","County Durham"
"DH1 1FT","E06000047","County Durham"
"DH1 1FW","E06000047","County Durham"
"DH1 1FX","E06000047","County Durham"
"DH1 1FY","E06000047","County Durham"
"DH1 1FZ","E06000047","County Durham"
"DH1 1GA","E06000047","County Durham"
"DH1 1GB","E06000047","County Durham"
"DH1 1GD","E06000047","County Durham"
"DH1 1GE","E06000047","County Durham"
"DH1 1GF","E06000047","County Durham"
"DH1 1GG","E06000047","County Durham"
"DH1 1GH","E06000047","County Durham"
"DH1 1GJ","E06000047","County Durham"
"DH1 1GL","E06000047","County Durham"
"DH1 1GN","E06000047","County Durham"
"DH1 1GP","E06000047","County Durham"
"DH1 1GQ","E06000047","County Durham"
"DH1 1GR","E06000047","County Durham"
"DH1 1GS","E06000047","County Durham"
"DH1 1GT","E06000047","County Durham"
"DH1 1GU","E06000047","County Durham"
"DH1 1GW","E06000047","County Durham"
"DH1 1GX","E06000047","County Durham"
"DH1 1GY","E06000047","County Durham"
"DH1 1GZ","E06000047","County Durham"
"DH1 1HA","E06000047","County Durham"
"DH1 1HB","E06000047","County Durham"
"DH1 1HD","E06000047","County Durham"
"DH1 1HE","E06000047","County Durham"
"DH1 1HF","E06000047","County Durham"
"DH1 1HG","E06000047","County Durham"
"DH1 1HH","E06000047","County Durham"
"DH1 1HJ","E06000047","County Durham"
"DH1 1HL","E06000047","County Durham"
"DH1 1HN","E06000047","County Durham"
"DH1 1HP","E06000047","County Durham"
"DH1 1HQ","E06000047","County Durham"
"DH1 1HR","E06000047","County Durham"
"DH1 1HS","E06000047","County Durham"
"DH1 1HT","E06000047","County Durham"
"DH1 1HU","E06000047","County Durham"
"DH1 1HW","E06000047","County Durham"
"DH1 1HX","E06000047","County Durham"
"DH1 1HY","E06000047","County Durham"
"DH1 1HZ","E06000047","County Durham"
"DH1 1JA","E06000047","County Durham"
"DH1 1JB","E06000047","County Durham"
"DH1 1JD","E06000047","County Durham"
"DH1 1JE","E06000047","County Durham"
"DH1 1JF","E06000047","County Durham"
"DH1 1JG","E06000047","County Durham"
"DH1 1JH","E06000047","County Durham"
"DH1 1JJ","E06000047","County Durham"
"DH1 1JL","E06000047","County Durham"
"DH1 1JN","E06000047","County Durham"
"DH1 1JP","E06000047","County Durham"
"DH1 1JQ","E06000047","County Durham"
"DH1 1JR","E06000047","County Durham"
"DH1 1JS","E06000047","County Durham"
"DH1 1JT","E06000047","County Durham"
"DH1 1JU","E06000047","County Durham"
"DH1 1JW","E06000047","County Durham"
"DH1 1JX","E06000047","County Durham"
"DH1 1JY","E06000047","County Durham"
"DH1 1JZ","E06000047","County Durham"
"DH1 1LA","E06000047","County Durham"
"DH1 1LB","E06000047","County Durham"
"DH1 1LD","E06000047","County Durham"
"DH1 1LE","E06000047","County Durham"
"DH1 1LF","E06000047","County Durham"
"DH1 1LG","E06000047","County Durham"
"DH1 1LH","E06000047","County Durham"
"DH1 1LJ","E06000047","County Durham"
"DH1 1LL","E06000047","County Durham"
"DH1 1LN","E06000047","County Durham"
"DH1 1LP","E06000047","County Durham"
"DH1 1LQ","E06000047","County Durham"
"DH1 1LR","E06000047","County Durham"
"DH1 1LS","E06000047","County Durham"
"DH1 1LT","E06000047","County Durham"
"DH1 1LU","E06000047","County Durham"
"DH1 1LW","E06000047","County Durham"
"DH1 1LX","E06000047","County Durham"
"DH1 1LY","E06000047","County Durham"
"DH1 1LZ","E06000047","County Durham"
"DH1 1NA","E06000047","County Durham"
"DH1 1NB","E06000047","County Durham"
"DH1 1ND","E06000047","County Durham"
"DH1 1NE","E06000047","County Durham"
"DH1 1NF","E06000047","County Durham"
"DH1 1NG","E06000047","County Durham"
"DH1 1NH","E06000047","County Durham"
"DH1 1NJ","E06000047","County Durham"
"DH1 1NL","E06000047","County Durham"
"DH1 1NN","E06000047","County Durham"
"DH1 1NP","E06000047","County Durham"
"DH1 1NQ","E06000047","County Durham"
"DH1 1NR","E06000047","County Durham"
"DH1 1NS","E06000047","County Durham"
"DH1 1NT","E06000047","County Durham"
"DH1 1NU","E06000047","County Durham"
"DH1 1NW","E06000047","County Durham"
"DH1 1NY","E06000047","County Durham"
"DH1 1PA","E06000047","County Durham"
"DH1 1PB","E06000047","County Durham"
"DH1 1PD","E06000047","County Durham"
"DH1 1PE","E06000047","County Durham"
"DH1 1PF","E06000047","County Durham"
"DH1 1PG","E06000047","County Durham"
"DH1 1PH","E06000047","County Durham"
"DH1 1PJ","E06000047","County Durham"
"DH1 1PL","E06000047","County Durham"
"DH1 1PN","E06000047","County Durham"
"DH1 1PP","E06000047","County Durham"
"DH1 1PQ","E06000047","County Durham"
"DH1 1PR","E06000047","County Durham"
"DH1 1PS","E06000047","County Durham"
"DH1 1PT","E06000047","County Durham"
"DH1 1PU","E06000047","County Durham"
"DH1 1PW","E06000047","County Durham"
"DH1 1PX","E06000047","County Durham"
"DH1 1PY","E06000047","County Durham"
"DH1 1PZ","E06000047","County Durham"
"DH1 1QA","E06000047","County Durham"
"DH1 1QB","E06000047","County Durham"
"DH1 1QE","E06000047","County Durham"
"DH1 1QF","E06000047","County Durham"
"DH1 1QG","E06000047","County Durham"
"DH1 1QH","E06000047","County Durham"
"DH1 1QJ","E06000047","County Durham"
"DH1 1QL","E06000047","County Durham"
"DH1 1QN","E06000047","County Durham"
"DH1 1QP","E06000047","County Durham"
"DH1 1QQ","E06000047","County Durham"
"DH1 1QS","E06000047","County Durham"
"DH1 1QT","E06000047","County Durham"
"DH1 1QU","E06000047","County Durham"
"DH1 1QW","E06000047","County Durham"
"DH1 1QX","E06000047","County Durham"
"DH1 1QY","E06000047","County Durham"
"DH1 1QZ","E06000047","County Durham"
"DH1 1RB","E06000047","County Durham"
"DH1 1RD","E06000047","County Durham"
"DH1 1RE","E06000047","County Durham"
"DH1 1RF","E06000047","County Durham"
"DH1 1RG","E06000047","County Durham"
"DH1 1RH","E06000047","County Durham"
"DH1 1RJ","E06000047","County Durham"
"DH1 1RL","E06000047","County Durham"
"DH1 1RN","E06000047","County Durham"
"DH1 1RP","E06000047","County Durham"
"DH1 1RQ","E06000047","County Durham"
"DH1 1RR","E06000047","County Durham"
"DH1 1RS","E06000047","County Durham"
"DH1 1RT","E06000047","County Durham"
"DH1 1RU","E06000047","County Durham"
"DH1 1RW","E06000047","County Durham"
"DH1 1RX","E06000047","County Durham"
"DH1 1RY","E06000047","County Durham"
"DH1 1RZ","E06000047","County Durham"
"DH1 1SA","E06000047","County Durham"
"DH1 1SB","E06000047","County Durham"
"DH1 1SD","E06000047","County Durham"
"DH1 1SE","E06000047","County Durham"
"DH1 1SF","E06000047","County Durham"
"DH1 1SG","E06000047","County Durham"
"DH1 1SH","E06000047","County Durham"
"DH1 1SJ","E06000047","County Durham"
"DH1 1SL","E06000047","County Durham"
"DH1 1SN","E06000047","County Durham"
"DH1 1SP","E06000047","County Durham"
"DH1 1SQ","E06000047","County Durham"
"DH1 1SR","E06000047","County Durham"
"DH1 1SS","E06000047","County Durham"
"DH1 1ST","E06000047","County Durham"
"DH1 1SU","E06000047","County Durham"
"DH1 1SW","E06000047","County Durham"
"DH1 1SX","E06000047","County Durham"
"DH1 1SY","E06000047","County Durham"
"DH1 1SZ","E06000047","County Durham"
"DH1 1TA","E06000047","County Durham"
"DH1 1TB","E06000047","County Durham"
"DH1 1TD","E06000047","County Durham"
"DH1 1TE","E06000047","County Durham"
"DH1 1TF","E06000047","County Durham"
"DH1 1TG","E06000047","County Durham"
"DH1 1TH","E06000047","County Durham"
"DH1 1TJ","E06000047","County Durham"
"DH1 1TL","E06000047","County Durham"
"DH1 1TN","E06000047","County Durham"
"DH1 1TP","E06000047","County Durham"
"DH1 1TQ","E06000047","County Durham"
"DH1 1TR","E06000047","County Durham"
"DH1 1TS","E06000047","County Durham"
"DH1 1TT","E06000047","County Durham"
"DH1 1TU","E06000047","County Durham"
"DH1 1TW","E06000047","County Durham"
"DH1 1TX","E06000047","County Durham"
"DH1 1TY","E06000047","County Durham"
"DH1 1TZ","E06000047","County Durham"
"DH1 1UA","E06000047","County Durham"
"DH1 1UB","E06000047","County Durham"
"DH1 1UD","E06000047","County Durham"
"DH1 1UF","E06000047","County Durham"
"DH1 1UL","E06000047","County Durham"
"DH1 1UN","E06000047","County Durham"
"DH1 1UP","E06000047","County Durham"
"DH1 1UR","E06000047","County Durham"
"DH1 1UT","E06000047","County Durham"
"DH1 1UU","E06000047","County Durham"
"DH1 1UX","E06000047","County Durham"
"DH1 1UY","E06000047","County Durham"
"DH1 1UZ","E06000047","County Durham"
"DH1 1WA","E06000047","County Durham"
"DH1 1WB","E06000047","County Durham"
"DH1 1WD","E06000047","County Durham"
"DH1 1WL","E06000047","County Durham"
"DH1 1WN","E06000047","County Durham"
"DH1 1WP","E06000047","County Durham"
"DH1 1WQ","E06000047","County Durham"
"DH1 1WR","E06000047","County Durham"
"DH1 1WS","E06000047","County Durham"
"DH1 1WT","E06000047","County Durham"
"DH1 1WU","E06000047","County Durham"
"DH1 1WW","E06000047","County Durham"
"DH1 1WZ","E06000047","County Durham"
"DH1 1XA","E06000047","County Durham"
"DH1 1XB","E06000047","County Durham"
"DH1 1XD","E06000047","County Durham"
"DH1 1XE","E06000047","County Durham"
"DH1 1XF","E06000047","County Durham"
"DH1 1XG","E06000047","County Durham"
"DH1 1XH","E06000047","County Durham"
"DH1 1XJ","E06000047","County Durham"
"DH1 1XL","E06000047","County Durham"
"DH1 1XN","E06000047","County Durham"
"DH1 1XP","E06000047","County Durham"
"DH1 1XQ","E06000047","County Durham"
"DH1 1XY","E06000047","County Durham"
"DH1 1YA","E06000047","County Durham"
"DH1 1YB","E06000047","County Durham"
"DH1 1YD","E06000047","County Durham"
"DH1 1YE","E06000047","County Durham"
"DH1 1YF","E06000047","County Durham"
"DH1 1YG","E06000047","County Durham"
"DH1 1YH","E06000047","County Durham"
"DH1 1YJ","E06000047","County Durham"
"DH1 1YL","E06000047","County Durham"
"DH1 1YN","E06000047","County Durham"
"DH1 1YP","E06000047","County Durham"
"DH1 1YQ","E06000047","County Durham"
"DH1 1YR","E06000047","County Durham"
"DH1 1YT","E06000047","County Durham"
"DH1 1YW","E06000047","County Durham"
"DH1 1ZE","E06000047","County Durham"
"DH1 2AA","E06000047","County Durham"
"DH1 2AB","E06000047","County Durham"
"DH1 2AD","E06000047","County Durham"
"DH1 2AE","E06000047","County Durham"
"DH1 2AF","E06000047","County Durham"
"DH1 2AG","E06000047","County Durham"
"DH1 2AH","E06000047","County Durham"
"DH1 2AJ","E06000047","County Durham"
"DH1 2AL","E06000047","County Durham"
"DH1 2AN","E06000047","County Durham"
"DH1 2AP","E06000047","County Durham"
"DH1 2AQ","E06000047","County Durham"
"DH1 2AR","E06000047","County Durham"
"DH1 2AS","E06000047","County Durham"
"DH1 2AT","E06000047","County Durham"
"DH1 2AU","E06000047","County Durham"
"DH1 2AW","E06000047","County Durham"
"DH1 2AX","E06000047","County Durham"
"DH1 2AY","E06000047","County Durham"
"DH1 2AZ","E06000047","County Durham"
"DH1 2BA","E06000047","County Durham"
"DH1 2BB","E06000047","County Durham"
"DH1 2BD","E06000047","County Durham"
"DH1 2BE","E06000047","County Durham"
"DH1 2BF","E06000047","County Durham"
"DH1 2BG","E06000047","County Durham"
"DH1 2BH","E06000047","County Durham"
"DH1 2BJ","E06000047","County Durham"
"DH1 2BL","E06000047","County Durham"
"DH1 2BN","E06000047","County Durham"
"DH1 2BP","E06000047","County Durham"
"DH1 2BQ","E06000047","County Durham"
"DH1 2BU","E06000047","County Durham"
"DH1 2BW","E06000047","County Durham"
"DH1 2DA","E06000047","County Durham"
"DH1 2DB","E06000047","County Durham"
"DH1 2DD","E06000047","County Durham"
"DH1 2DE","E06000047","County Durham"
"DH1 2DF","E06000047","County Durham"
"DH1 2DG","E06000047","County Durham"
"DH1 2DH","E06000047","County Durham"
"DH1 2DJ","E06000047","County Durham"
"DH1 2DL","E06000047","County Durham"
"DH1 2DN","E06000047","County Durham"
"DH1 2DP","E06000047","County Durham"
