pcd,lad23cd,lad23nm
"DL1 1AA","E06000005","Darlington"
"DL1 1AB","E06000005","Darlington"
"DL1 1AD","E06000005","Darlington"
"DL1 1AG","E06000005","Darlington"
"DL1 1AN","E06000005","Darlington"
"DL1 1AQ","E06000005","Darlington"
"DL1 1AR","E06000005","Darlington"
"DL1 1AS","E06000005","Darlington"
"DL1 1AT","E06000005","Darlington"
"DL1 1AU","E06000005","Darlington"
"DL1 1AW","E06000005","Darlington"
"DL1 1AX","E06000005","Darlington"
"DL1 1AY","E06000005","Darlington"
"DL1 1AZ","E06000005","Darlington"
"DL1 1BA","E06000005","Darlington"
"DL1 1BB","E06000005","Darlington"
"DL1 1BD","E06000005","Darlington"
"DL1 1BE","E06000005","Darlington"
"DL1 1BF","E06000005","Darlington"
"DL1 1BG","E06000005","Darlington"
"DL1 1BH","E06000005","Darlington"
"DL1 1BJ","E06000005","Darlington"
"DL1 1BL","E06000005","Darlington"
"DL1 1BN","E06000005","Darlington"
"DL1 1BP","E06000005","Darlington"
"DL1 1BQ","E06000005","Darlington"
"DL1 1BW","E06000005","Darlington"
"DL1 1DA","E06000005","Darlington"
"DL1 1DB","E06000005","Darlington"
"DL1 1DD","E06000005","Darlington"
"DL1 1DE","E06000005","Darlington"
"DL1 1DF","E06000005","Darlington"
"DL1 1DG","E06000005","Darlington"
"DL1 1DH","E06000005","Darlington"
"DL1 1DJ","E06000005","Darlington"
"DL1 1DL","E06000005","Darlington"
"DL1 1DN","E06000005","Darlington"
"DL1 1DP","E06000005","Darlington"
"DL1 1DQ","E06000005","Darlington"
"DL1 1DR","E06000005","Darlington"
"DL1 1DS","E06000005","Darlington"
"DL1 1DT","E06000005","Darlington"
"DL1 1DU","E06000005","Darlington"
"DL1 1DW","E06000005","Darlington"
"DL1 1DX","E06000005","Darlington"
"DL1 1DY","E06000005","Darlington"
"DL1 1DZ","E06000005","Darlington"
"DL1 1EA","E06000005","Darlington"
"DL1 1EB","E06000005","Darlington"
"DL1 1ED","E06000005","Darlington"
"DL1 1EE","E06000005","Darlington"
"DL1 1EF","E06000005","Darlington"
"DL1 1EG","E06000005","Darlington"
"DL1 1EH","E06000005","Darlington"
"DL1 1EJ","E06000005","Darlington"
"DL1 1EL","E06000005","Darlington"
"DL1 1EN","E06000005","Darlington"
"DL1 1EP","E06000005","Darlington"
"DL1 1EQ","E06000005","Darlington"
"DL1 1ER","E06000005","Darlington"
"DL1 1ES","E06000005","Darlington"
"DL1 1ET","E06000005","Darlington"
"DL1 1EU","E06000005","Darlington"
"DL1 1EW","E06000005","Darlington"
"DL1 1EX","E06000005","Darlington"
"DL1 1EY","E06000005","Darlington"
"DL1 1EZ","E06000005","Darlington"
"DL1 1FA","E06000047","County Durham"
"DL1 1FD","E06000047","County Durham"
"DL1 1FE","E06000047","County Durham"
"DL1 1FF","E06000005","Darlington"
"DL1 1FG","E06000005","Darlington"
"DL1 1FH","E06000005","Darlington"
"DL1 1FJ","E06000005","Darlington"
"DL1 1FL","E06000005","Darlington"
"DL1 1FQ","E06000047","County Durham"
"DL1 1FR","E06000005","Darlington"
"DL1 1FS","E06000005","Darlington"
"DL1 1GA","E06000005","Darlington"
"DL1 1GB","E06000005","Darlington"
"DL1 1GD","E06000005","Darlington"
"DL1 1GE","E06000005","Darlington"
"DL1 1GF","E06000005","Darlington"
"DL1 1GG","E06000005","Darlington"
"DL1 1GH","E06000005","Darlington"
"DL1 1GJ","E06000005","Darlington"
"DL1 1GL","E06000005","Darlington"
"DL1 1GN","E06000005","Darlington"
"DL1 1GP","E06000005","Darlington"
"DL1 1GR","E06000005","Darlington"
"DL1 1GS","E06000005","Darlington"
"DL1 1GT","E06000005","Darlington"
"DL1 1GU","E06000005","Darlington"
"DL1 1GW","E06000005","Darlington"
"DL1 1GX","E06000005","Darlington"
"DL1 1GY","E06000005","Darlington"
"DL1 1GZ","E06000005","Darlington"
"DL1 1HA","E06000005","Darlington"
"DL1 1HB","E06000005","Darlington"
"DL1 1HD","E06000005","Darlington"
"DL1 1HE","E06000005","Darlington"
"DL1 1HF","E06000005","Darlington"
"DL1 1HG","E06000005","Darlington"
"DL1 1HH","E06000005","Darlington"
"DL1 1HJ","E06000005","Darlington"
"DL1 1HL","E06000005","Darlington"
"DL1 1HN","E06000005","Darlington"
"DL1 1HP","E06000005","Darlington"
"DL1 1HQ","E06000005","Darlington"
"DL1 1HR","E06000005","Darlington"
"DL1 1HS","E06000005","Darlington"
"DL1 1HT","E06000005","Darlington"
"DL1 1HU","E06000005","Darlington"
"DL1 1HW","E06000005","Darlington"
"DL1 1HX","E06000005","Darlington"
"DL1 1HY","E06000005","Darlington"
"DL1 1HZ","E06000005","Darlington"
"DL1 1JA","E06000005","Darlington"
"DL1 1JB","E06000005","Darlington"
"DL1 1JD","E06000005","Darlington"
"DL1 1JE","E06000005","Darlington"
"DL1 1JF","E06000005","Darlington"
"DL1 1JG","E06000005","Darlington"
"DL1 1JH","E06000005","Darlington"
"DL1 1JJ","E06000005","Darlington"
