pcd,lad23cd,lad23nm
"DN1 1AA","E08000017","Doncaster"
"DN1 1AB","E08000017","Doncaster"
"DN1 1AD","E08000017","Doncaster"
"DN1 1AE","E08000017","Doncaster"
"DN1 1AF","E08000017","Doncaster"
"DN1 1AH","E08000017","Doncaster"
"DN1 1AL","E08000017","Doncaster"
"DN1 1AN","E08000017","Doncaster"
"DN1 1AP","E08000017","Doncaster"
"DN1 1AQ","E08000017","Doncaster"
"DN1 1BB","E08000017","Doncaster"
"DN1 1BD","E08000017","Doncaster"
"DN1 1BE","E08000017","Doncaster"
"DN1 1BH","E08000017","Doncaster"
"DN1 1BJ","E08000017","Doncaster"
"DN1 1BL","E08000017","Doncaster"
"DN1 1BN","E08000017","Doncaster"
"DN1 1BP","E08000017","Doncaster"
"DN1 1BQ","E08000017","Doncaster"
"DN1 1BS","E08000017","Doncaster"
"DN1 1BT","E08000017","Doncaster"
"DN1 1BU","E08000017","Doncaster"
"DN1 1BY","E08000017","Doncaster"
"DN1 1BZ","E08000017","Doncaster"
"DN1 1DA","E08000017","Doncaster"
"DN1 1DB","E08000017","Doncaster"
"DN1 1DD","E08000017","Doncaster"
"DN1 1DE","E08000017","Doncaster"
"DN1 1DF","E08000017","Doncaster"
"DN1 1DG","E08000017","Doncaster"
"DN1 1DH","E08000017","Doncaster"
"DN1 1DJ","E08000017","Doncaster"
"DN1 1DL","E08000017","Doncaster"
"DN1 1DN","E08000017","Doncaster"
"DN1 1DP","E08000017","Doncaster"
"DN1 1DQ","E08000017","Doncaster"
"DN1 1DR","E08000017","Doncaster"
"DN1 1DS","E08000017","Doncaster"
"DN1 1DT","E08000017","Doncaster"
"DN1 1DU","E08000017","Doncaster"
"DN1 1DW","E08000017","Doncaster"
"DN1 1DY","E08000017","Doncaster"
"DN1 1EA","E08000017","Doncaster"
"DN1 1EB","E08000017","Doncaster"
"DN1 1ED","E08000017","Doncaster"
"DN1 1EE","E08000017","Doncaster"
"DN1 1EF","E08000017","Doncaster"
"DN1 1EG","E08000017","Doncaster"
"DN1 1EJ","E08000017","Doncaster"
"DN1 1EL","E08000017","Doncaster"
"DN1 1EP","E08000017","Doncaster"
"DN1 1EQ","E08000017","Doncaster"
"DN1 1ER","E08000017","Doncaster"
"DN1 1ES","E08000017","Doncaster"
"DN1 1ET","E08000017","Doncaster"
"DN1 1EU","E08000017","Doncaster"
"DN1 1EW","E08000017","Doncaster"
"DN1 1EX","E08000017","Doncaster"
"DN1 1EY","E08000017","Doncaster"
"DN1 1EZ","E08000017","Doncaster"
"DN1 1FD","E08000017","Doncaster"
