pcd,lad23cd,lad23nm
"E1  0AA","E09000030","Tower Hamlets"
"E1  0AB","E09000030","Tower Hamlets"
"E1  0AD","E09000030","Tower Hamlets"
"E1  0AE","E09000030","Tower Hamlets"
"E1  0AF","E09000030","Tower Hamlets"
"E1  0AG","E09000030","Tower Hamlets"
"E1  0AH","E09000030","Tower Hamlets"
"E1  0AJ","E09000030","Tower Hamlets"
"E1  0AL","E09000030","Tower Hamlets"
"E1  0AN","E09000030","Tower Hamlets"
"E1  0AP","E09000030","Tower Hamlets"
"E1  0AQ","E09000030","Tower Hamlets"
"E1  0AR","E09000030","Tower Hamlets"
"E1  0AS","E09000030","Tower Hamlets"
"E1  0AT","E09000030","Tower Hamlets"
"E1  0AU","E09000030","Tower Hamlets"
"E1  0AW","E09000030","Tower Hamlets"
"E1  0AX","E09000030","Tower Hamlets"
"E1  0AY","E09000030","Tower Hamlets"
"E1  0AZ","E09000030","Tower Hamlets"
"E1  0BA","E09000030","Tower Hamlets"
"E1  0BB","E09000030","Tower Hamlets"
"E1  0BD","E09000030","Tower Hamlets"
"E1  0BE","E09000030","Tower Hamlets"
"E1  0BF","E09000030","Tower Hamlets"
"E1  0BG","E09000030","Tower Hamlets"
"E1  0BH","E09000030","Tower Hamlets"
"E1  0BJ","E09000030","Tower Hamlets"
"E1  0BL","E09000030","Tower Hamlets"
"E1  0BN","E09000030","Tower Hamlets"
"E1  0BP","E09000030","Tower Hamlets"
"E1  0BQ","E09000030","Tower Hamlets"
"E1  0BS","E09000030","Tower Hamlets"
"E1  0BT","E09000030","Tower Hamlets"
"E1  0BU","E09000030","Tower Hamlets"
"E1  0BW","E09000030","Tower Hamlets"
"E1  0BX","E09000030","Tower Hamlets"
"E1  0BY","E09000030","Tower Hamlets"
"E1  0BZ","E09000030","Tower Hamlets"
"E1  0DA","E09000030","Tower Hamlets"
"E1  0DB","E09000030","Tower Hamlets"
"E1  0DD","E09000030","Tower Hamlets"
"E1  0DE","E09000030","Tower Hamlets"
"E1  0DF","E09000030","Tower Hamlets"
"E1  0DG","E09000030","Tower Hamlets"
"E1  0DH","E09000030","Tower Hamlets"
"E1  0DJ","E09000030","Tower Hamlets"
"E1  0DL","E09000030","Tower Hamlets"
"E1  0DN","E09000030","Tower Hamlets"
"E1  0DP","E09000030","Tower Hamlets"
"E1  0DQ","E09000030","Tower Hamlets"
"E1  0DR","E09000030","Tower Hamlets"
"E1  0DS","E09000030","Tower Hamlets"
"E1  0DT","E09000030","Tower Hamlets"
"E1  0DU","E09000030","Tower Hamlets"
"E1  0DW","E09000030","Tower Hamlets"
"E1  0DX","E09000030","Tower Hamlets"
"E1  0DY","E09000030","Tower Hamlets"
"E1  0DZ","E09000030","Tower Hamlets"
"E1  0EA","E09000030","Tower Hamlets"
"E1  0EB","E09000030","Tower Hamlets"
"E1  0ED","E09000030","Tower Hamlets"
"E1  0EE","E09000030","Tower Hamlets"
"E1  0EF","E09000030","Tower Hamlets"
"E1  0EG","E09000030","Tower Hamlets"
"E1  0EH","E09000030","Tower Hamlets"
"E1  0EJ","E09000030","Tower Hamlets"
"E1  0EL","E09000030","Tower Hamlets"
"E1  0EN","E09000030","Tower Hamlets"
"E1  0EP","E09000030","Tower Hamlets"
"E1  0EQ","E09000030","Tower Hamlets"
"E1  0ER","E09000030","Tower Hamlets"
"E1  0ES","E09000030","Tower Hamlets"
"E1  0ET","E09000030","Tower Hamlets"
"E1  0EU","E09000030","Tower Hamlets"
"E1  0EW","E09000030","Tower Hamlets"
"E1  0EX","E09000030","Tower Hamlets"
"E1  0EY","E09000030","Tower Hamlets"
"E1  0EZ","E09000030","Tower Hamlets"
"E1  0FA","E09000030","Tower Hamlets"
