pcd,lad23cd,lad23nm
"EC1A1AA","E09000019","Islington"
"EC1A1AE","E09000001","City of London"
"EC1A1AH","E09000019","Islington"
"EC1A1AL","E09000001","City of London"
"EC1A1AR","E09000019","Islington"
"EC1A1AY","E09000019","Islington"
"EC1A1AZ","E09000019","Islington"
"EC1A1BA","E09000019","Islington"
"EC1A1BB","E09000019","Islington"
"EC1A1BP","E09000019","Islington"
"EC1A1DD","E09000019","Islington"
"EC1A1DH","E09000019","Islington"
"EC1A1DJ","E09000019","Islington"
"EC1A1DL","E09000019","Islington"
"EC1A1DN","E09000019","Islington"
"EC1A1DP","E09000019","Islington"
"EC1A1DR","E09000019","Islington"
"EC1A1DS","E09000019","Islington"
"EC1A1DT","E09000019","Islington"
"EC1A1DU","E09000019","Islington"
"EC1A1EA","E09000019","Islington"
"EC1A1HA","E09000019","Islington"
"EC1A1HQ","E09000001","City of London"
"EC1A1JA","E09000019","Islington"
"EC1A1JB","E09000019","Islington"
"EC1A1JD","E09000019","Islington"
"EC1A1JE","E09000019","Islington"
"EC1A1JF","E09000019","Islington"
"EC1A1JG","E09000019","Islington"
"EC1A1JH","E09000019","Islington"
"EC1A1JJ","E09000019","Islington"
"EC1A1JL","E09000019","Islington"
"EC1A1JN","E09000019","Islington"
"EC1A1JP","E09000019","Islington"
"EC1A1JQ","E09000019","Islington"
"EC1A1JR","E09000019","Islington"
"EC1A1JS","E09000019","Islington"
"EC1A1JT","E09000019","Islington"
"EC1A1JU","E09000019","Islington"
"EC1A1JW","E09000019","Islington"
"EC1A1JX","E09000019","Islington"
"EC1A1JY","E09000019","Islington"
"EC1A1JZ","E09000019","Islington"
"EC1A1LA","E09000019","Islington"
"EC1A1LB","E09000019","Islington"
"EC1A1LP","E09000001","City of London"
"EC1A1NA","E09000019","Islington"
"EC1A1NB","E09000019","Islington"
"EC1A1ND","E09000019","Islington"
"EC1A1NE","E09000019","Islington"
"EC1A1NF","E09000019","Islington"
"EC1A1NG","E09000019","Islington"
"EC1A1NH","E09000019","Islington"
"EC1A1NJ","E09000019","Islington"
"EC1A1NL","E09000019","Islington"
"EC1A1NN","E09000019","Islington"
"EC1A1NP","E09000019","Islington"
"EC1A1NQ","E09000019","Islington"
"EC1A1NR","E09000019","Islington"
"EC1A1NS","E09000019","Islington"
"EC1A1NT","E09000019","Islington"
"EC1A1NU","E09000019","Islington"
"EC1A1NW","E09000019","Islington"
"EC1A1NX","E09000019","Islington"
"EC1A1NY","E09000019","Islington"
"EC1A1NZ","E09000019","Islington"
"EC1A1PP","E09000019","Islington"
"EC1A1QA","E09000019","Islington"
"EC1A1QB","E09000019","Islington"
"EC1A1QD","E09000019","Islington"
"EC1A1QE","E09000019","Islington"
"EC1A1QF","E09000019","Islington"
"EC1A1QG","E09000019","Islington"
"EC1A1QH","E09000019","Islington"
"EC1A1QJ","E09000019","Islington"
"EC1A1QL","E09000019","Islington"
"EC1A1QN","E09000019","Islington"
"EC1A1QP","E09000019","Islington"
"EC1A1QQ","E09000019","Islington"
"EC1A1QR","E09000019","Islington"
"EC1A1QS","E09000019","Islington"
"EC1A1QT","E09000019","Islington"
"EC1A1QU","E09000019","Islington"
"EC1A1QW","E09000019","Islington"
"EC1A1QX","E09000019","Islington"
"EC1A1QY","E09000019","Islington"
"EC1A1QZ","E09000019","Islington"
"EC1A1RB","E09000019","Islington"
"EC1A1RD","E09000019","Islington"
"EC1A1TA","E09000019","Islington"
"EC1A1TB","E09000019","Islington"
"EC1A1TD","E09000019","Islington"
"EC1A1TE","E09000019","Islington"
"EC1A1TF","E09000019","Islington"
"EC1A1TG","E09000019","Islington"
"EC1A1TH","E09000019","Islington"
"EC1A1TJ","E09000019","Islington"
"EC1A1TL","E09000019","Islington"
"EC1A1TN","E09000019","Islington"
"EC1A1TP","E09000019","Islington"
"EC1A1TQ","E09000019","Islington"
"EC1A1TR","E09000019","Islington"
"EC1A1TS","E09000019","Islington"
"EC1A1TT","E09000019","Islington"
"EC1A1TU","E09000019","Islington"
"EC1A1TW","E09000019","Islington"
"EC1A1TY","E09000019","Islington"
"EC1A1TZ","E09000019","Islington"
"EC1A1UA","E09000019","Islington"
"EC1A1UB","E09000019","Islington"
"EC1A1UD","E09000019","Islington"
"EC1A1UE","E09000019","Islington"
"EC1A1UF","E09000019","Islington"
"EC1A1UG","E09000019","Islington"
"EC1A1UH","E09000019","Islington"
"EC1A1UJ","E09000019","Islington"
"EC1A1UQ","E09000019","Islington"
"EC1A1UT","E09000019","Islington"
"EC1A1UW","E09000019","Islington"
"EC1A1UX","E09000019","Islington"
"EC1A1UZ","E09000019","Islington"
"EC1A1WA","E09000019","Islington"
"EC1A1WB","E09000019","Islington"
"EC1A1WD","E09000019","Islington"
"EC1A1WE","E09000019","Islington"
"EC1A1WF","E09000019","Islington"
"EC1A1WG","E09000019","Islington"
"EC1A1WH","E09000019","Islington"
"EC1A1WJ","E09000019","Islington"
"EC1A1WL","E09000019","Islington"
"EC1A1WN","E09000019","Islington"
"EC1A1WP","E09000019","Islington"
"EC1A1WQ","E09000019","Islington"
"EC1A1WR","E09000019","Islington"
"EC1A1WS","E09000019","Islington"
"EC1A1WT","E09000019","Islington"
