pcd,lad23cd,lad23nm
"EH1 1AA","S12000036","City of Edinburgh"
"EH1 1AD","S12000036","City of Edinburgh"
"EH1 1AE","S12000036","City of Edinburgh"
"EH1 1AF","S12000036","City of Edinburgh"
"EH1 1AL","S12000036","City of Edinburgh"
"EH1 1AN","S12000036","City of Edinburgh"
"EH1 1AQ","S12000036","City of Edinburgh"
"EH1 1BA","S12000036","City of Edinburgh"
"EH1 1BB","S12000036","City of Edinburgh"
"EH1 1BD","S12000036","City of Edinburgh"
"EH1 1BE","S12000036","City of Edinburgh"
"EH1 1BG","S12000036","City of Edinburgh"
"EH1 1BJ","S12000036","City of Edinburgh"
"EH1 1BL","S12000036","City of Edinburgh"
"EH1 1BN","S12000036","City of Edinburgh"
"EH1 1BP","S12000036","City of Edinburgh"
"EH1 1BQ","S12000036","City of Edinburgh"
"EH1 1BR","S12000036","City of Edinburgh"
"EH1 1BS","S12000036","City of Edinburgh"
"EH1 1BU","S12000036","City of Edinburgh"
"EH1 1BW","S12000036","City of Edinburgh"
"EH1 1BX","S12000036","City of Edinburgh"
"EH1 1BY","S12000036","City of Edinburgh"
"EH1 1DA","S12000036","City of Edinburgh"
"EH1 1DD","S12000036","City of Edinburgh"
"EH1 1DE","S12000036","City of Edinburgh"
"EH1 1DF","S12000036","City of Edinburgh"
"EH1 1DG","S12000036","City of Edinburgh"
"EH1 1DH","S12000036","City of Edinburgh"
"EH1 1DJ","S12000036","City of Edinburgh"
"EH1 1DN","S12000036","City of Edinburgh"
"EH1 1DR","S12000036","City of Edinburgh"
"EH1 1DS","S12000036","City of Edinburgh"
"EH1 1DT","S12000036","City of Edinburgh"
"EH1 1DU","S12000036","City of Edinburgh"
"EH1 1DW","S12000036","City of Edinburgh"
"EH1 1DY","S12000036","City of Edinburgh"
"EH1 1DZ","S12000036","City of Edinburgh"
"EH1 1ED","S12000036","City of Edinburgh"
"EH1 1EE","S12000036","City of Edinburgh"
"EH1 1EG","S12000036","City of Edinburgh"
"EH1 1EH","S12000036","City of Edinburgh"
"EH1 1EJ","S12000036","City of Edinburgh"
"EH1 1EL","S12000036","City of Edinburgh"
"EH1 1EN","S12000036","City of Edinburgh"
"EH1 1EP","S12000036","City of Edinburgh"
"EH1 1ES","S12000036","City of Edinburgh"
"EH1 1ET","S12000036","City of Edinburgh"
"EH1 1EU","S12000036","City of Edinburgh"
"EH1 1EW","S12000036","City of Edinburgh"
"EH1 1EX","S12000036","City of Edinburgh"
"EH1 1EY","S12000036","City of Edinburgh"
"EH1 1EZ","S12000036","City of Edinburgh"
"EH1 1HA","S12000036","City of Edinburgh"
"EH1 1HB","S12000036","City of Edinburgh"
"EH1 1HD","S12000036","City of Edinburgh"
"EH1 1HE","S12000036","City of Edinburgh"
"EH1 1HF","S12000036","City of Edinburgh"
"EH1 1HJ","S12000036","City of Edinburgh"
"EH1 1HN","S12000036","City of Edinburgh"
"EH1 1HP","S12000036","City of Edinburgh"
"EH1 1HR","S12000036","City of Edinburgh"
"EH1 1HS","S12000036","City of Edinburgh"
"EH1 1HT","S12000036","City of Edinburgh"
"EH1 1HU","S12000036","City of Edinburgh"
"EH1 1HW","S12000036","City of Edinburgh"
"EH1 1HX","S12000036","City of Edinburgh"
"EH1 1HZ","S12000036","City of Edinburgh"
"EH1 1JA","S12000036","City of Edinburgh"
"EH1 1JB","S12000036","City of Edinburgh"
"EH1 1JD","S12000036","City of Edinburgh"
"EH1 1JF","S12000036","City of Edinburgh"
"EH1 1JG","S12000036","City of Edinburgh"
"EH1 1JH","S12000036","City of Edinburgh"
"EH1 1JJ","S12000036","City of Edinburgh"
"EH1 1JL","S12000036","City of Edinburgh"
"EH1 1JN","S12000036","City of Edinburgh"
"EH1 1JP","S12000036","City of Edinburgh"
"EH1 1JQ","S12000036","City of Edinburgh"
"EH1 1JR","S12000036","City of Edinburgh"
"EH1 1JS","S12000036","City of Edinburgh"
"EH1 1JT","S12000036","City of Edinburgh"
"EH1 1JU","S12000036","City of Edinburgh"
"EH1 1JW","S12000036","City of Edinburgh"
"EH1 1JX","S12000036","City of Edinburgh"
"EH1 1JY","S12000036","City of Edinburgh"
"EH1 1JZ","S12000036","City of Edinburgh"
"EH1 1LA","S12000036","City of Edinburgh"
"EH1 1LB","S12000036","City of Edinburgh"
"EH1 1LD","S12000036","City of Edinburgh"
"EH1 1LG","S12000036","City of Edinburgh"
"EH1 1LJ","S12000036","City of Edinburgh"
"EH1 1LL","S12000036","City of Edinburgh"
"EH1 1LN","S12000036","City of Edinburgh"
"EH1 1LP","S12000036","City of Edinburgh"
"EH1 1LQ","S12000036","City of Edinburgh"
"EH1 1LR","S12000036","City of Edinburgh"
"EH1 1LS","S12000036","City of Edinburgh"
"EH1 1LT","S12000036","City of Edinburgh"
"EH1 1LU","S12000036","City of Edinburgh"
"EH1 1LW","S12000036","City of Edinburgh"
"EH1 1LX","S12000036","City of Edinburgh"
"EH1 1LY","S12000036","City of Edinburgh"
"EH1 1LZ","S12000036","City of Edinburgh"
"EH1 1NA","S12000036","City of Edinburgh"
"EH1 1NB","S12000036","City of Edinburgh"
"EH1 1ND","S12000036","City of Edinburgh"
