pcd,lad23cd,lad23nm
"EN1 1AA","E09000010","Enfield"
"EN1 1AB","E09000010","Enfield"
"EN1 1AD","E09000010","Enfield"
"EN1 1AE","E09000010","Enfield"
"EN1 1AF","E09000010","Enfield"
"EN1 1AG","E09000010","Enfield"
"EN1 1AH","E09000010","Enfield"
"EN1 1AJ","E09000010","Enfield"
"EN1 1AL","E09000010","Enfield"
"EN1 1AN","E09000010","Enfield"
"EN1 1AP","E09000010","Enfield"
"EN1 1AQ","E09000010","Enfield"
"EN1 1AR","E09000010","Enfield"
"EN1 1AS","E09000010","Enfield"
"EN1 1AT","E09000010","Enfield"
"EN1 1AU","E09000010","Enfield"
"EN1 1AW","E09000010","Enfield"
"EN1 1AX","E09000010","Enfield"
"EN1 1AY","E09000010","Enfield"
"EN1 1AZ","E09000010","Enfield"
"EN1 1BA","E09000010","Enfield"
"EN1 1BB","E09000010","Enfield"
"EN1 1BD","E09000010","Enfield"
"EN1 1BE","E09000010","Enfield"
"EN1 1BF","E09000010","Enfield"
"EN1 1BG","E09000010","Enfield"
"EN1 1BH","E09000010","Enfield"
"EN1 1BJ","E09000010","Enfield"
"EN1 1BL","E09000010","Enfield"
"EN1 1BN","E09000010","Enfield"
"EN1 1BP","E09000010","Enfield"
"EN1 1BQ","E09000010","Enfield"
"EN1 1BS","E09000010","Enfield"
"EN1 1BT","E09000010","Enfield"
"EN1 1BU","E09000010","Enfield"
"EN1 1BW","E09000010","Enfield"
"EN1 1BX","E09000010","Enfield"
"EN1 1BY","E09000010","Enfield"
"EN1 1BZ","E09000010","Enfield"
"EN1 1DA","E09000010","Enfield"
"EN1 1DB","E09000010","Enfield"
"EN1 1DD","E09000010","Enfield"
"EN1 1DE","E09000010","Enfield"
"EN1 1DF","E09000010","Enfield"
"EN1 1DG","E09000010","Enfield"
"EN1 1DH","E09000010","Enfield"
"EN1 1DJ","E09000010","Enfield"
"EN1 1DL","E09000010","Enfield"
"EN1 1DN","E09000010","Enfield"
"EN1 1DP","E09000010","Enfield"
"EN1 1DQ","E09000010","Enfield"
"EN1 1DR","E09000010","Enfield"
"EN1 1DS","E09000010","Enfield"
"EN1 1DT","E09000010","Enfield"
"EN1 1DU","E09000010","Enfield"
"EN1 1DW","E09000010","Enfield"
"EN1 1DX","E09000010","Enfield"
"EN1 1DY","E09000010","Enfield"
"EN1 1DZ","E09000010","Enfield"
"EN1 1EA","E09000010","Enfield"
"EN1 1EB","E09000010","Enfield"
"EN1 1ED","E09000010","Enfield"
"EN1 1EE","E09000010","Enfield"
"EN1 1EF","E09000010","Enfield"
"EN1 1EG","E09000010","Enfield"
"EN1 1EH","E09000010","Enfield"
"EN1 1EJ","E09000010","Enfield"
"EN1 1EL","E09000010","Enfield"
"EN1 1EN","E09000010","Enfield"
"EN1 1EP","E09000010","Enfield"
"EN1 1EQ","E09000010","Enfield"
"EN1 1ER","E09000010","Enfield"
