pcd,lad23cd,lad23nm
"EX1 1AA","E07000041","Exeter"
"EX1 1AB","E07000041","Exeter"
"EX1 1AD","E07000041","Exeter"
"EX1 1AE","E07000041","Exeter"
"EX1 1AF","E07000041","Exeter"
"EX1 1AG","E07000041","Exeter"
"EX1 1AH","E07000041","Exeter"
"EX1 1AJ","E07000041","Exeter"
"EX1 1AL","E07000041","Exeter"
"EX1 1AN","E07000041","Exeter"
"EX1 1AP","E07000041","Exeter"
"EX1 1AQ","E07000041","Exeter"
"EX1 1AR","E07000041","Exeter"
"EX1 1AS","E07000041","Exeter"
"EX1 1AT","E07000041","Exeter"
"EX1 1AU","E07000041","Exeter"
"EX1 1AW","E07000041","Exeter"
"EX1 1AY","E07000041","Exeter"
"EX1 1BA","E07000041","Exeter"
"EX1 1BB","E07000041","Exeter"
"EX1 1BD","E07000041","Exeter"
"EX1 1BE","E07000041","Exeter"
"EX1 1BG","E07000041","Exeter"
"EX1 1BH","E07000041","Exeter"
"EX1 1BJ","E07000041","Exeter"
"EX1 1BL","E07000041","Exeter"
"EX1 1BN","E07000041","Exeter"
"EX1 1BP","E07000041","Exeter"
"EX1 1BQ","E07000041","Exeter"
"EX1 1BR","E07000041","Exeter"
"EX1 1BS","E07000041","Exeter"
"EX1 1BT","E07000041","Exeter"
"EX1 1BU","E07000041","Exeter"
"EX1 1BW","E07000041","Exeter"
"EX1 1BX","E07000041","Exeter"
"EX1 1BY","E07000041","Exeter"
"EX1 1BZ","E07000041","Exeter"
"EX1 1DA","E07000041","Exeter"
"EX1 1DB","E07000041","Exeter"
"EX1 1DD","E07000041","Exeter"
"EX1 1DE","E07000041","Exeter"
"EX1 1DF","E07000041","Exeter"
"EX1 1DG","E07000041","Exeter"
"EX1 1DH","E07000041","Exeter"
"EX1 1DJ","E07000041","Exeter"
"EX1 1DL","E07000041","Exeter"
"EX1 1DN","E07000041","Exeter"
"EX1 1DP","E07000041","Exeter"
"EX1 1DQ","E07000041","Exeter"
"EX1 1DR","E07000041","Exeter"
"EX1 1DS","E07000041","Exeter"
"EX1 1DT","E07000041","Exeter"
"EX1 1DU","E07000041","Exeter"
"EX1 1DW","E07000041","Exeter"
"EX1 1DX","E07000041","Exeter"
"EX1 1DY","E07000041","Exeter"
"EX1 1DZ","E07000041","Exeter"
"EX1 1EA","E07000041","Exeter"
"EX1 1EB","E07000041","Exeter"
"EX1 1ED","E07000041","Exeter"
"EX1 1EE","E07000041","Exeter"
"EX1 1EF","E07000041","Exeter"
"EX1 1EG","E07000041","Exeter"
"EX1 1EH","E07000041","Exeter"
"EX1 1EJ","E07000041","Exeter"
"EX1 1EL","E07000041","Exeter"
"EX1 1EN","E07000041","Exeter"
"EX1 1EP","E07000041","Exeter"
"EX1 1EQ","E07000041","Exeter"
"EX1 1ER","E07000041","Exeter"
"EX1 1ES","E07000041","Exeter"
"EX1 1ET","E07000041","Exeter"
"EX1 1EU","E07000041","Exeter"
"EX1 1EW","E07000041","Exeter"
"EX1 1EX","E07000041","Exeter"
"EX1 1EY","E07000041","Exeter"
"EX1 1EZ","E07000041","Exeter"
"EX1 1FA","E07000041","Exeter"
"EX1 1FB","E07000041","Exeter"
"EX1 1FD","E07000041","Exeter"
"EX1 1FE","E07000041","Exeter"
"EX1 1FF","E07000041","Exeter"
"EX1 1FG","E07000041","Exeter"
"EX1 1GA","E07000041","Exeter"
"EX1 1GB","E07000041","Exeter"
"EX1 1GD","E07000041","Exeter"
"EX1 1GE","E07000041","Exeter"
"EX1 1GF","E07000041","Exeter"
"EX1 1GG","E07000041","Exeter"
"EX1 1GH","E07000041","Exeter"
"EX1 1GJ","E07000041","Exeter"
"EX1 1GL","E07000041","Exeter"
"EX1 1GN","E07000041","Exeter"
"EX1 1GP","E07000041","Exeter"
"EX1 1GQ","E07000041","Exeter"
"EX1 1GR","E07000041","Exeter"
"EX1 1HA","E07000041","Exeter"
"EX1 1HB","E07000041","Exeter"
"EX1 1HD","E07000041","Exeter"
"EX1 1HE","E07000041","Exeter"
"EX1 1HF","E07000041","Exeter"
"EX1 1HG","E07000041","Exeter"
"EX1 1HH","E07000041","Exeter"
"EX1 1HJ","E07000041","Exeter"
"EX1 1HL","E07000041","Exeter"
"EX1 1HN","E07000041","Exeter"
"EX1 1HP","E07000041","Exeter"
"EX1 1HQ","E07000041","Exeter"
"EX1 1HR","E07000041","Exeter"
"EX1 1HS","E07000041","Exeter"
"EX1 1HT","E07000041","Exeter"
"EX1 1HU","E07000041","Exeter"
"EX1 1HW","E07000041","Exeter"
"EX1 1HX","E07000041","Exeter"
"EX1 1HY","E07000041","Exeter"
"EX1 1HZ","E07000041","Exeter"
"EX1 1JA","E07000041","Exeter"
"EX1 1JB","E07000041","Exeter"
"EX1 1JD","E07000041","Exeter"
"EX1 1JE","E07000041","Exeter"
"EX1 1JG","E07000041","Exeter"
"EX1 1JH","E07000041","Exeter"
"EX1 1JJ","E07000041","Exeter"
"EX1 1JL","E07000041","Exeter"
"EX1 1JN","E07000041","Exeter"
"EX1 1JP","E07000041","Exeter"
"EX1 1JQ","E07000041","Exeter"
"EX1 1JR","E07000041","Exeter"
"EX1 1JS","E07000041","Exeter"
"EX1 1JT","E07000041","Exeter"
"EX1 1JU","E07000041","Exeter"
"EX1 1JW","E07000041","Exeter"
"EX1 1JX","E07000041","Exeter"
"EX1 1JY","E07000041","Exeter"
"EX1 1JZ","E07000041","Exeter"
"EX1 1LA","E07000041","Exeter"
"EX1 1LB","E07000041","Exeter"
"EX1 1LD","E07000041","Exeter"
"EX1 1LE","E07000041","Exeter"
"EX1 1LF","E07000041","Exeter"
"EX1 1LG","E07000041","Exeter"
"EX1 1LH","E07000041","Exeter"
"EX1 1LJ","E07000041","Exeter"
"EX1 1LL","E07000041","Exeter"
"EX1 1LN","E07000041","Exeter"
"EX1 1LP","E07000041","Exeter"
"EX1 1LQ","E07000041","Exeter"
"EX1 1LR","E07000041","Exeter"
"EX1 1LS","E07000041","Exeter"
"EX1 1LT","E07000041","Exeter"
"EX1 1LU","E07000041","Exeter"
"EX1 1LW","E07000041","Exeter"
"EX1 1LX","E07000041","Exeter"
"EX1 1LY","E07000041","Exeter"
"EX1 1LZ","E07000041","Exeter"
"EX1 1NA","E07000041","Exeter"
"EX1 1NB","E07000041","Exeter"
"EX1 1ND","E07000041","Exeter"
"EX1 1NE","E07000041","Exeter"
"EX1 1NF","E07000041","Exeter"
"EX1 1NG","E07000041","Exeter"
"EX1 1NH","E07000041","Exeter"
"EX1 1NJ","E07000041","Exeter"
"EX1 1NL","E07000041","Exeter"
"EX1 1NN","E07000041","Exeter"
"EX1 1NP","E07000041","Exeter"
"EX1 1NQ","E07000041","Exeter"
"EX1 1NR","E07000041","Exeter"
"EX1 1NS","E07000041","Exeter"
"EX1 1NT","E07000041","Exeter"
"EX1 1NU","E07000041","Exeter"
"EX1 1NW","E07000041","Exeter"
"EX1 1NX","E07000041","Exeter"
"EX1 1NY","E07000041","Exeter"
"EX1 1PA","E07000041","Exeter"
"EX1 1PB","E07000041","Exeter"
"EX1 1PD","E07000041","Exeter"
"EX1 1PE","E07000041","Exeter"
"EX1 1PF","E07000041","Exeter"
"EX1 1PG","E07000041","Exeter"
"EX1 1PH","E07000041","Exeter"
"EX1 1PJ","E07000041","Exeter"
"EX1 1PL","E07000041","Exeter"
"EX1 1PN","E07000041","Exeter"
"EX1 1PP","E07000041","Exeter"
"EX1 1PQ","E07000041","Exeter"
"EX1 1PR","E07000041","Exeter"
"EX1 1PS","E07000041","Exeter"
"EX1 1PT","E07000041","Exeter"
"EX1 1PU","E07000041","Exeter"
"EX1 1PW","E07000041","Exeter"
"EX1 1PX","E07000041","Exeter"
"EX1 1PY","E07000041","Exeter"
"EX1 1PZ","E07000041","Exeter"
"EX1 1QA","E07000041","Exeter"
"EX1 1QB","E07000041","Exeter"
"EX1 1QD","E07000041","Exeter"
"EX1 1QE","E07000041","Exeter"
"EX1 1QF","E07000041","Exeter"
"EX1 1QG","E07000041","Exeter"
"EX1 1QH","E07000041","Exeter"
"EX1 1QJ","E07000041","Exeter"
"EX1 1QL","E07000041","Exeter"
"EX1 1QN","E07000041","Exeter"
"EX1 1QP","E07000041","Exeter"
"EX1 1QQ","E07000041","Exeter"
"EX1 1QR","E07000041","Exeter"
"EX1 1QS","E07000041","Exeter"
"EX1 1QT","E07000041","Exeter"
"EX1 1QU","E07000041","Exeter"
"EX1 1QW","E07000041","Exeter"
"EX1 1QX","E07000041","Exeter"
"EX1 1QY","E07000041","Exeter"
"EX1 1QZ","E07000041","Exeter"
"EX1 1RA","E07000041","Exeter"
"EX1 1RB","E07000041","Exeter"
"EX1 1RD","E07000041","Exeter"
"EX1 1RE","E07000041","Exeter"
"EX1 1RF","E07000041","Exeter"
"EX1 1RG","E07000041","Exeter"
"EX1 1RH","E07000041","Exeter"
"EX1 1RJ","E07000041","Exeter"
"EX1 1RL","E07000041","Exeter"
"EX1 1RN","E07000041","Exeter"
"EX1 1RP","E07000041","Exeter"
"EX1 1RQ","E07000041","Exeter"
"EX1 1RR","E07000041","Exeter"
"EX1 1RS","E07000041","Exeter"
"EX1 1RT","E07000041","Exeter"
"EX1 1RU","E07000041","Exeter"
"EX1 1RW","E07000041","Exeter"
"EX1 1RX","E07000041","Exeter"
"EX1 1RY","E07000041","Exeter"
"EX1 1RZ","E07000041","Exeter"
"EX1 1SA","E07000041","Exeter"
"EX1 1SB","E07000041","Exeter"
"EX1 1SD","E07000041","Exeter"
"EX1 1SE","E07000041","Exeter"
"EX1 1SF","E07000041","Exeter"
"EX1 1SG","E07000041","Exeter"
"EX1 1SH","E07000041","Exeter"
"EX1 1SJ","E07000041","Exeter"
"EX1 1SL","E07000041","Exeter"
"EX1 1SN","E07000041","Exeter"
"EX1 1SP","E07000041","Exeter"
"EX1 1SQ","E07000041","Exeter"
"EX1 1SR","E07000041","Exeter"
"EX1 1SS","E07000041","Exeter"
"EX1 1ST","E07000041","Exeter"
"EX1 1SU","E07000041","Exeter"
"EX1 1SW","E07000041","Exeter"
"EX1 1SX","E07000041","Exeter"
"EX1 1SY","E07000041","Exeter"
"EX1 1SZ","E07000041","Exeter"
"EX1 1TA","E07000041","Exeter"
"EX1 1TB","E07000041","Exeter"
"EX1 1TD","E07000041","Exeter"
"EX1 1TE","E07000041","Exeter"
"EX1 1TF","E07000041","Exeter"
"EX1 1TG","E07000041","Exeter"
"EX1 1TH","E07000041","Exeter"
"EX1 1TJ","E07000041","Exeter"
"EX1 1TL","E07000041","Exeter"
"EX1 1TN","E07000041","Exeter"
"EX1 1TP","E07000041","Exeter"
"EX1 1TQ","E07000041","Exeter"
"EX1 1TR","E07000041","Exeter"
"EX1 1TS","E07000041","Exeter"
"EX1 1TT","E07000041","Exeter"
"EX1 1TU","E07000041","Exeter"
"EX1 1TW","E07000041","Exeter"
"EX1 1TX","E07000041","Exeter"
"EX1 1TY","E07000041","Exeter"
"EX1 1TZ","E07000041","Exeter"
"EX1 1UA","E07000041","Exeter"
"EX1 1UB","E07000041","Exeter"
"EX1 1UD","E07000041","Exeter"
"EX1 1UE","E07000041","Exeter"
"EX1 1UF","E07000041","Exeter"
"EX1 1UG","E07000041","Exeter"
"EX1 1UH","E07000041","Exeter"
"EX1 1UJ","E07000041","Exeter"
"EX1 1UL","E07000041","Exeter"
"EX1 1UN","E07000041","Exeter"
"EX1 1UP","E07000041","Exeter"
"EX1 1UQ","E07000041","Exeter"
"EX1 1UR","E07000041","Exeter"
"EX1 1UT","E07000041","Exeter"
"EX1 1UU","E07000041","Exeter"
"EX1 1UW","E07000041","Exeter"
"EX1 1UZ","E07000041","Exeter"
"EX1 1WB","E07000041","Exeter"
"EX1 1WD","E07000041","Exeter"
"EX1 1WE","E07000041","Exeter"
"EX1 1WF","E07000041","Exeter"
"EX1 1WG","E07000041","Exeter"
"EX1 1WH","E07000041","Exeter"
"EX1 1WN","E07000041","Exeter"
"EX1 1WQ","E07000041","Exeter"
"EX1 1WX","E07000041","Exeter"
"EX1 1WY","E07000041","Exeter"
"EX1 1XA","E07000041","Exeter"
"EX1 1XB","E07000041","Exeter"
"EX1 1XD","E07000041","Exeter"
"EX1 1XE","E07000041","Exeter"
"EX1 1XF","E07000041","Exeter"
"EX1 1XG","E07000041","Exeter"
"EX1 1XH","E07000041","Exeter"
"EX1 1XJ","E07000041","Exeter"
"EX1 1XL","E07000041","Exeter"
"EX1 1XN","E07000041","Exeter"
"EX1 1XP","E07000041","Exeter"
"EX1 1XQ","E07000041","Exeter"
"EX1 1XR","E07000041","Exeter"
"EX1 1XS","E07000041","Exeter"
"EX1 1XT","E07000041","Exeter"
"EX1 1XU","E07000041","Exeter"
"EX1 1XW","E07000041","Exeter"
"EX1 1XY","E07000041","Exeter"
"EX1 1XZ","E07000041","Exeter"
"EX1 1YB","E07000041","Exeter"
