pcd,lad23cd,lad23nm
"FY0 1BR","E07000119","Fylde"
"FY0 1YN","E07000119","Fylde"
"FY0 1YS","E07000119","Fylde"
"FY0 1YY","E07000119","Fylde"
"FY0 1ZX","E07000119","Fylde"
"FY0 1ZY","E07000119","Fylde"
"FY0 1ZZ","E07000119","Fylde"
"FY1 1AA","E06000009","Blackpool"
"FY1 1AB","E06000009","Blackpool"
"FY1 1AD","E06000009","Blackpool"
"FY1 1AE","E06000009","Blackpool"
"FY1 1AF","E06000009","Blackpool"
"FY1 1AG","E06000009","Blackpool"
"FY1 1AH","E06000009","Blackpool"
"FY1 1AJ","E06000009","Blackpool"
"FY1 1AN","E06000009","Blackpool"
"FY1 1AP","E06000009","Blackpool"
"FY1 1BA","E06000009","Blackpool"
"FY1 1BB","E06000009","Blackpool"
"FY1 1BD","E06000009","Blackpool"
"FY1 1BE","E06000009","Blackpool"
"FY1 1BG","E06000009","Blackpool"
"FY1 1BH","E06000009","Blackpool"
"FY1 1BJ","E06000009","Blackpool"
"FY1 1BL","E06000009","Blackpool"
"FY1 1BN","E06000009","Blackpool"
"FY1 1BP","E06000009","Blackpool"
"FY1 1BQ","E06000009","Blackpool"
"FY1 1BS","E06000009","Blackpool"
"FY1 1BW","E06000009","Blackpool"
"FY1 1BX","E06000009","Blackpool"
"FY1 1DA","E06000009","Blackpool"
"FY1 1DB","E06000009","Blackpool"
"FY1 1DD","E06000009","Blackpool"
"FY1 1DE","E06000009","Blackpool"
"FY1 1DF","E06000009","Blackpool"
"FY1 1DG","E06000009","Blackpool"
"FY1 1DH","E06000009","Blackpool"
"FY1 1DJ","E06000009","Blackpool"
"FY1 1DL","E06000009","Blackpool"
"FY1 1DN","E06000009","Blackpool"
"FY1 1DP","E06000009","Blackpool"
"FY1 1DR","E06000009","Blackpool"
"FY1 1DT","E06000009","Blackpool"
"FY1 1DU","E06000009","Blackpool"
"FY1 1DW","E06000009","Blackpool"
"FY1 1DX","E06000009","Blackpool"
"FY1 1DY","E06000009","Blackpool"
"FY1 1DZ","E06000009","Blackpool"
"FY1 1EA","E06000009","Blackpool"
"FY1 1EB","E06000009","Blackpool"
"FY1 1ED","E06000009","Blackpool"
"FY1 1EE","E06000009","Blackpool"
"FY1 1EF","E06000009","Blackpool"
"FY1 1EG","E06000009","Blackpool"
"FY1 1EH","E06000009","Blackpool"
"FY1 1EJ","E06000009","Blackpool"
"FY1 1EL","E06000009","Blackpool"
"FY1 1EN","E06000009","Blackpool"
"FY1 1EP","E06000009","Blackpool"
"FY1 1EQ","E06000009","Blackpool"
"FY1 1ER","E06000009","Blackpool"
"FY1 1ES","E06000009","Blackpool"
"FY1 1ET","E06000009","Blackpool"
"FY1 1EU","E06000009","Blackpool"
"FY1 1EW","E06000009","Blackpool"
"FY1 1EX","E06000009","Blackpool"
"FY1 1EY","E06000009","Blackpool"
"FY1 1EZ","E06000009","Blackpool"
"FY1 1GA","E06000009","Blackpool"
"FY1 1GB","E06000009","Blackpool"
"FY1 1GD","E06000009","Blackpool"
"FY1 1GE","E06000009","Blackpool"
"FY1 1GF","E06000009","Blackpool"
"FY1 1GG","E06000009","Blackpool"
"FY1 1GH","E06000009","Blackpool"
"FY1 1GJ","E06000009","Blackpool"
"FY1 1GL","E06000009","Blackpool"
"FY1 1GN","E06000009","Blackpool"
"FY1 1GP","E06000009","Blackpool"
"FY1 1GQ","E06000009","Blackpool"
"FY1 1GR","E06000009","Blackpool"
"FY1 1GS","E06000009","Blackpool"
"FY1 1GT","E06000009","Blackpool"
"FY1 1GU","E06000009","Blackpool"
"FY1 1GW","E06000009","Blackpool"
"FY1 1HA","E06000009","Blackpool"
"FY1 1HB","E06000009","Blackpool"
"FY1 1HD","E06000009","Blackpool"
"FY1 1HE","E06000009","Blackpool"
"FY1 1HF","E06000009","Blackpool"
"FY1 1HH","E06000009","Blackpool"
"FY1 1HJ","E06000009","Blackpool"
"FY1 1HL","E06000009","Blackpool"
"FY1 1HN","E06000009","Blackpool"
"FY1 1HP","E06000009","Blackpool"
"FY1 1HQ","E06000009","Blackpool"
"FY1 1HR","E06000009","Blackpool"
"FY1 1HS","E06000009","Blackpool"
"FY1 1HT","E06000009","Blackpool"
"FY1 1HU","E06000009","Blackpool"
"FY1 1HW","E06000009","Blackpool"
"FY1 1HX","E06000009","Blackpool"
"FY1 1HY","E06000009","Blackpool"
"FY1 1HZ","E06000009","Blackpool"
"FY1 1JA","E06000009","Blackpool"
"FY1 1JB","E06000009","Blackpool"
"FY1 1JD","E06000009","Blackpool"
"FY1 1JE","E06000009","Blackpool"
"FY1 1JF","E06000009","Blackpool"
"FY1 1JG","E06000009","Blackpool"
"FY1 1JH","E06000009","Blackpool"
"FY1 1JJ","E06000009","Blackpool"
"FY1 1JL","E06000009","Blackpool"
"FY1 1JN","E06000009","Blackpool"
"FY1 1JP","E06000009","Blackpool"
"FY1 1JQ","E06000009","Blackpool"
"FY1 1JS","E06000009","Blackpool"
"FY1 1JU","E06000009","Blackpool"
"FY1 1JW","E06000009","Blackpool"
"FY1 1JX","E06000009","Blackpool"
"FY1 1JY","E06000009","Blackpool"
"FY1 1JZ","E06000009","Blackpool"
"FY1 1LA","E06000009","Blackpool"
"FY1 1LB","E06000009","Blackpool"
"FY1 1LD","E06000009","Blackpool"
"FY1 1LE","E06000009","Blackpool"
"FY1 1LF","E06000009","Blackpool"
"FY1 1LG","E06000009","Blackpool"
"FY1 1LH","E06000009","Blackpool"
"FY1 1LJ","E06000009","Blackpool"
"FY1 1LL","E06000009","Blackpool"
"FY1 1LP","E06000009","Blackpool"
"FY1 1LQ","E06000009","Blackpool"
"FY1 1LR","E06000009","Blackpool"
"FY1 1LS","E06000009","Blackpool"
"FY1 1LT","E06000009","Blackpool"
"FY1 1LU","E06000009","Blackpool"
"FY1 1LX","E06000009","Blackpool"
"FY1 1LY","E06000009","Blackpool"
"FY1 1LZ","E06000009","Blackpool"
"FY1 1NA","E06000009","Blackpool"
"FY1 1NB","E06000009","Blackpool"
"FY1 1ND","E06000009","Blackpool"
"FY1 1NE","E06000009","Blackpool"
"FY1 1NF","E06000009","Blackpool"
"FY1 1NG","E06000009","Blackpool"
"FY1 1NH","E06000009","Blackpool"
"FY1 1NJ","E06000009","Blackpool"
"FY1 1NL","E06000009","Blackpool"
"FY1 1NN","E06000009","Blackpool"
"FY1 1NP","E06000009","Blackpool"
"FY1 1NQ","E06000009","Blackpool"
"FY1 1NR","E06000009","Blackpool"
"FY1 1NS","E06000009","Blackpool"
"FY1 1NT","E06000009","Blackpool"
"FY1 1NU","E06000009","Blackpool"
"FY1 1NX","E06000009","Blackpool"
"FY1 1NY","E06000009","Blackpool"
"FY1 1PA","E06000009","Blackpool"
"FY1 1PD","E06000009","Blackpool"
"FY1 1PE","E06000009","Blackpool"
"FY1 1PF","E06000009","Blackpool"
"FY1 1PH","E06000009","Blackpool"
"FY1 1PN","E06000009","Blackpool"
"FY1 1PP","E06000009","Blackpool"
"FY1 1PQ","E06000009","Blackpool"
"FY1 1PR","E06000009","Blackpool"
"FY1 1PT","E06000009","Blackpool"
"FY1 1PU","E06000009","Blackpool"
"FY1 1PW","E06000009","Blackpool"
"FY1 1PX","E06000009","Blackpool"
"FY1 1PY","E06000009","Blackpool"
"FY1 1PZ","E06000009","Blackpool"
"FY1 1QA","E06000009","Blackpool"
"FY1 1QB","E06000009","Blackpool"
"FY1 1QD","E06000009","Blackpool"
"FY1 1QE","E06000009","Blackpool"
"FY1 1QG","E06000009","Blackpool"
"FY1 1QH","E06000009","Blackpool"
"FY1 1QJ","E06000009","Blackpool"
"FY1 1QL","E06000009","Blackpool"
"FY1 1QN","E06000009","Blackpool"
"FY1 1QP","E06000009","Blackpool"
"FY1 1QQ","E06000009","Blackpool"
"FY1 1QR","E06000009","Blackpool"
"FY1 1QS","E06000009","Blackpool"
"FY1 1QT","E06000009","Blackpool"
"FY1 1QU","E06000009","Blackpool"
"FY1 1QW","E06000009","Blackpool"
"FY1 1RA","E06000009","Blackpool"
"FY1 1RB","E06000009","Blackpool"
"FY1 1RE","E06000009","Blackpool"
"FY1 1RF","E06000009","Blackpool"
"FY1 1RH","E06000009","Blackpool"
"FY1 1RJ","E06000009","Blackpool"
"FY1 1RL","E06000009","Blackpool"
"FY1 1RN","E06000009","Blackpool"
"FY1 1RQ","E06000009","Blackpool"
"FY1 1RS","E06000009","Blackpool"
"FY1 1RT","E06000009","Blackpool"
"FY1 1RU","E06000009","Blackpool"
"FY1 1RW","E06000009","Blackpool"
"FY1 1RX","E06000009","Blackpool"
"FY1 1RZ","E06000009","Blackpool"
"FY1 1SA","E06000009","Blackpool"
"FY1 1SB","E06000009","Blackpool"
"FY1 1SD","E06000009","Blackpool"
"FY1 1SE","E06000009","Blackpool"
"FY1 1SF","E06000009","Blackpool"
"FY1 1SG","E06000009","Blackpool"
"FY1 1SJ","E06000009","Blackpool"
"FY1 1SL","E06000009","Blackpool"
"FY1 1SP","E06000009","Blackpool"
"FY1 1SQ","E06000009","Blackpool"
"FY1 1SU","E06000009","Blackpool"
"FY1 1SX","E06000009","Blackpool"
"FY1 1TA","E06000009","Blackpool"
"FY1 1TB","E06000009","Blackpool"
"FY1 1TE","E06000009","Blackpool"
"FY1 1TF","E06000009","Blackpool"
"FY1 1TH","E06000009","Blackpool"
"FY1 1TJ","E06000009","Blackpool"
"FY1 1TL","E06000009","Blackpool"
"FY1 1TN","E06000009","Blackpool"
"FY1 1TP","E06000009","Blackpool"
"FY1 1TQ","E06000009","Blackpool"
"FY1 1TR","E06000009","Blackpool"
"FY1 1TT","E06000009","Blackpool"
"FY1 1TW","E06000009","Blackpool"
"FY1 1TX","E06000009","Blackpool"
"FY1 1TY","E06000009","Blackpool"
"FY1 1UA","E06000009","Blackpool"
"FY1 1UB","E06000009","Blackpool"
"FY1 1UD","E06000009","Blackpool"
"FY1 1WU","E06000009","Blackpool"
"FY1 1WW","E06000009","Blackpool"
"FY1 1WX","E06000009","Blackpool"
"FY1 1WY","E06000009","Blackpool"
"FY1 1WZ","E06000009","Blackpool"
"FY1 1YU","E06000009","Blackpool"
"FY1 1YW","E06000009","Blackpool"
"FY1 1ZR","E06000009","Blackpool"
"FY1 2AA","E06000009","Blackpool"
"FY1 2AB","E06000009","Blackpool"
"FY1 2AD","E06000009","Blackpool"
"FY1 2AE","E06000009","Blackpool"
"FY1 2AF","E06000009","Blackpool"
"FY1 2AG","E06000009","Blackpool"
"FY1 2AH","E06000009","Blackpool"
"FY1 2AJ","E06000009","Blackpool"
"FY1 2AL","E06000009","Blackpool"
"FY1 2AP","E06000009","Blackpool"
"FY1 2AQ","E06000009","Blackpool"
"FY1 2AR","E06000009","Blackpool"
"FY1 2AS","E06000009","Blackpool"
"FY1 2AT","E06000009","Blackpool"
"FY1 2AU","E06000009","Blackpool"
"FY1 2AW","E06000009","Blackpool"
"FY1 2AX","E06000009","Blackpool"
"FY1 2AY","E06000009","Blackpool"
"FY1 2AZ","E06000009","Blackpool"
"FY1 2BA","E06000009","Blackpool"
"FY1 2BB","E06000009","Blackpool"
"FY1 2BD","E06000009","Blackpool"
"FY1 2BE","E06000009","Blackpool"
"FY1 2BF","E06000009","Blackpool"
"FY1 2BG","E06000009","Blackpool"
"FY1 2BH","E06000009","Blackpool"
"FY1 2BJ","E06000009","Blackpool"
"FY1 2BL","E06000009","Blackpool"
"FY1 2BN","E06000009","Blackpool"
"FY1 2BP","E06000009","Blackpool"
"FY1 2BQ","E06000009","Blackpool"
"FY1 2BR","E06000009","Blackpool"
"FY1 2BS","E06000009","Blackpool"
"FY1 2BT","E06000009","Blackpool"
"FY1 2BU","E06000009","Blackpool"
"FY1 2BW","E06000009","Blackpool"
"FY1 2BX","E06000009","Blackpool"
"FY1 2BY","E06000009","Blackpool"
"FY1 2BZ","E06000009","Blackpool"
"FY1 2DA","E06000009","Blackpool"
"FY1 2DB","E06000009","Blackpool"
"FY1 2DD","E06000009","Blackpool"
