pcd,lad23cd,lad23nm
"G1  1AB","S12000049","Glasgow City"
"G1  1AD","S12000049","Glasgow City"
"G1  1BA","S12000049","Glasgow City"
"G1  1BL","S12000049","Glasgow City"
"G1  1BN","S12000049","Glasgow City"
"G1  1BP","S12000049","Glasgow City"
"G1  1BQ","S12000049","Glasgow City"
"G1  1BX","S12000049","Glasgow City"
"G1  1BZ","S12000049","Glasgow City"
"G1  1DA","S12000049","Glasgow City"
"G1  1DB","S12000049","Glasgow City"
"G1  1DD","S12000049","Glasgow City"
"G1  1DE","S12000049","Glasgow City"
"G1  1DF","S12000049","Glasgow City"
"G1  1DG","S12000049","Glasgow City"
"G1  1DH","S12000049","Glasgow City"
"G1  1DJ","S12000049","Glasgow City"
"G1  1DL","S12000049","Glasgow City"
"G1  1DN","S12000049","Glasgow City"
"G1  1DP","S12000049","Glasgow City"
"G1  1DQ","S12000049","Glasgow City"
"G1  1DR","S12000049","Glasgow City"
"G1  1DS","S12000049","Glasgow City"
"G1  1DT","S12000049","Glasgow City"
"G1  1DU","S12000049","Glasgow City"
"G1  1DW","S12000049","Glasgow City"
"G1  1DX","S12000049","Glasgow City"
"G1  1DY","S12000049","Glasgow City"
"G1  1DZ","S12000049","Glasgow City"
"G1  1EA","S12000049","Glasgow City"
"G1  1EB","S12000049","Glasgow City"
"G1  1ED","S12000049","Glasgow City"
"G1  1EG","S12000049","Glasgow City"
"G1  1EH","S12000049","Glasgow City"
"G1  1EJ","S12000049","Glasgow City"
"G1  1EN","S12000049","Glasgow City"
"G1  1EP","S12000049","Glasgow City"
"G1  1EQ","S12000049","Glasgow City"
"G1  1ER","S12000049","Glasgow City"
"G1  1ES","S12000049","Glasgow City"
"G1  1ET","S12000049","Glasgow City"
"G1  1EU","S12000049","Glasgow City"
"G1  1EW","S12000049","Glasgow City"
"G1  1EX","S12000049","Glasgow City"
"G1  1EY","S12000049","Glasgow City"
"G1  1EZ","S12000049","Glasgow City"
"G1  1GA","S12000049","Glasgow City"
"G1  1GW","S12000049","Glasgow City"
"G1  1GX","S12000049","Glasgow City"
"G1  1GY","S12000049","Glasgow City"
"G1  1GZ","S12000049","Glasgow City"
"G1  1HA","S12000049","Glasgow City"
"G1  1HB","S12000049","Glasgow City"
"G1  1HD","S12000049","Glasgow City"
"G1  1HE","S12000049","Glasgow City"
"G1  1HF","S12000049","Glasgow City"
"G1  1HG","S12000049","Glasgow City"
"G1  1HH","S12000049","Glasgow City"
"G1  1HJ","S12000049","Glasgow City"
"G1  1HL","S12000049","Glasgow City"
"G1  1HN","S12000049","Glasgow City"
"G1  1HP","S12000049","Glasgow City"
"G1  1HQ","S12000049","Glasgow City"
"G1  1HR","S12000049","Glasgow City"
"G1  1HS","S12000049","Glasgow City"
"G1  1HT","S12000049","Glasgow City"
"G1  1HU","S12000049","Glasgow City"
"G1  1HW","S12000049","Glasgow City"
"G1  1HX","S12000049","Glasgow City"
"G1  1HY","S12000049","Glasgow City"
"G1  1HZ","S12000049","Glasgow City"
"G1  1JA","S12000049","Glasgow City"
"G1  1JB","S12000049","Glasgow City"
"G1  1JD","S12000049","Glasgow City"
"G1  1JE","S12000049","Glasgow City"
"G1  1JF","S12000049","Glasgow City"
"G1  1JG","S12000049","Glasgow City"
"G1  1JH","S12000049","Glasgow City"
"G1  1JJ","S12000049","Glasgow City"
"G1  1JL","S12000049","Glasgow City"
"G1  1JN","S12000049","Glasgow City"
"G1  1JP","S12000049","Glasgow City"
"G1  1JQ","S12000049","Glasgow City"
"G1  1JR","S12000049","Glasgow City"
"G1  1JT","S12000049","Glasgow City"
"G1  1JW","S12000049","Glasgow City"
"G1  1JZ","S12000049","Glasgow City"
"G1  1LA","S12000049","Glasgow City"
"G1  1LB","S12000049","Glasgow City"
"G1  1LD","S12000049","Glasgow City"
"G1  1LE","S12000049","Glasgow City"
"G1  1LF","S12000049","Glasgow City"
"G1  1LG","S12000049","Glasgow City"
