pcd,lad23cd,lad23nm
"GL1 1AA","E07000081","Gloucester"
"GL1 1AB","E07000081","Gloucester"
"GL1 1AD","E07000081","Gloucester"
"GL1 1AE","E07000081","Gloucester"
"GL1 1AF","E07000081","Gloucester"
"GL1 1AG","E07000081","Gloucester"
"GL1 1AH","E07000081","Gloucester"
"GL1 1AJ","E07000081","Gloucester"
"GL1 1AL","E07000082","Stroud"
"GL1 1AN","E07000081","Gloucester"
"GL1 1AP","E07000081","Gloucester"
"GL1 1AQ","E07000081","Gloucester"
"GL1 1AR","E07000081","Gloucester"
"GL1 1AZ","E07000082","Stroud"
"GL1 1BA","E07000081","Gloucester"
"GL1 1BD","E07000081","Gloucester"
"GL1 1BE","E07000081","Gloucester"
"GL1 1BH","E07000081","Gloucester"
"GL1 1BL","E07000081","Gloucester"
"GL1 1BP","E07000081","Gloucester"
"GL1 1BS","E07000081","Gloucester"
"GL1 1BU","E07000081","Gloucester"
"GL1 1BX","E07000081","Gloucester"
"GL1 1BZ","E07000081","Gloucester"
"GL1 1DA","E07000081","Gloucester"
"GL1 1DB","E07000081","Gloucester"
"GL1 1DD","E07000081","Gloucester"
"GL1 1DE","E07000081","Gloucester"
"GL1 1DF","E07000081","Gloucester"
"GL1 1DG","E07000081","Gloucester"
"GL1 1DH","E07000081","Gloucester"
"GL1 1DJ","E07000081","Gloucester"
"GL1 1DL","E07000081","Gloucester"
"GL1 1DN","E07000081","Gloucester"
"GL1 1DP","E07000081","Gloucester"
"GL1 1DQ","E07000081","Gloucester"
"GL1 1DR","E07000081","Gloucester"
"GL1 1DS","E07000081","Gloucester"
"GL1 1DT","E07000081","Gloucester"
"GL1 1DU","E07000081","Gloucester"
"GL1 1DW","E07000081","Gloucester"
"GL1 1DX","E07000081","Gloucester"
"GL1 1DY","E07000081","Gloucester"
"GL1 1DZ","E07000081","Gloucester"
"GL1 1EA","E07000081","Gloucester"
"GL1 1ED","E07000081","Gloucester"
"GL1 1EE","E07000081","Gloucester"
"GL1 1EF","E07000081","Gloucester"
"GL1 1EG","E07000081","Gloucester"
"GL1 1EH","E07000081","Gloucester"
"GL1 1EJ","E07000081","Gloucester"
"GL1 1EL","E07000081","Gloucester"
"GL1 1EN","E07000081","Gloucester"
"GL1 1EP","E07000081","Gloucester"
"GL1 1EQ","E07000081","Gloucester"
"GL1 1ER","E07000081","Gloucester"
"GL1 1ES","E07000081","Gloucester"
"GL1 1EW","E07000081","Gloucester"
"GL1 1EX","E07000081","Gloucester"
"GL1 1EY","E07000081","Gloucester"
"GL1 1EZ","E07000081","Gloucester"
"GL1 1GA","E07000081","Gloucester"
"GL1 1GB","E07000081","Gloucester"
"GL1 1GD","E07000081","Gloucester"
