pcd,lad23cd,lad23nm
"GY1 1AA","L99999999","Channel Islands"
"GY1 1AB","L99999999","Channel Islands"
"GY1 1AD","L99999999","Channel Islands"
"GY1 1AE","L99999999","Channel Islands"
"GY1 1AF","L99999999","Channel Islands"
"GY1 1AG","L99999999","Channel Islands"
"GY1 1AH","L99999999","Channel Islands"
"GY1 1AJ","L99999999","Channel Islands"
"GY1 1AL","L99999999","Channel Islands"
"GY1 1AN","L99999999","Channel Islands"
"GY1 1AP","L99999999","Channel Islands"
"GY1 1AQ","L99999999","Channel Islands"
"GY1 1AR","L99999999","Channel Islands"
"GY1 1AT","L99999999","Channel Islands"
"GY1 1AU","L99999999","Channel Islands"
"GY1 1AW","L99999999","Channel Islands"
"GY1 1AX","L99999999","Channel Islands"
"GY1 1AY","L99999999","Channel Islands"
"GY1 1AZ","L99999999","Channel Islands"
"GY1 1BA","L99999999","Channel Islands"
"GY1 1BB","L99999999","Channel Islands"
"GY1 1BD","L99999999","Channel Islands"
"GY1 1BE","L99999999","Channel Islands"
"GY1 1BF","L99999999","Channel Islands"
"GY1 1BG","L99999999","Channel Islands"
"GY1 1BH","L99999999","Channel Islands"
"GY1 1BJ","L99999999","Channel Islands"
"GY1 1BP","L99999999","Channel Islands"
"GY1 1BQ","L99999999","Channel Islands"
"GY1 1BR","L99999999","Channel Islands"
"GY1 1BS","L99999999","Channel Islands"
"GY1 1BT","L99999999","Channel Islands"
"GY1 1BU","L99999999","Channel Islands"
"GY1 1BX","L99999999","Channel Islands"
"GY1 1BY","L99999999","Channel Islands"
"GY1 1BZ","L99999999","Channel Islands"
"GY1 1DA","L99999999","Channel Islands"
"GY1 1DB","L99999999","Channel Islands"
"GY1 1DD","L99999999","Channel Islands"
"GY1 1DE","L99999999","Channel Islands"
"GY1 1DF","L99999999","Channel Islands"
"GY1 1DG","L99999999","Channel Islands"
"GY1 1DH","L99999999","Channel Islands"
"GY1 1DJ","L99999999","Channel Islands"
"GY1 1DL","L99999999","Channel Islands"
"GY1 1DQ","L99999999","Channel Islands"
"GY1 1DR","L99999999","Channel Islands"
"GY1 1DU","L99999999","Channel Islands"
"GY1 1DX","L99999999","Channel Islands"
"GY1 1DY","L99999999","Channel Islands"
"GY1 1DZ","L99999999","Channel Islands"
"GY1 1EA","L99999999","Channel Islands"
"GY1 1EB","L99999999","Channel Islands"
"GY1 1ED","L99999999","Channel Islands"
"GY1 1EE","L99999999","Channel Islands"
"GY1 1EF","L99999999","Channel Islands"
"GY1 1EG","L99999999","Channel Islands"
"GY1 1EH","L99999999","Channel Islands"
"GY1 1EJ","L99999999","Channel Islands"
"GY1 1EL","L99999999","Channel Islands"
"GY1 1EN","L99999999","Channel Islands"
"GY1 1EP","L99999999","Channel Islands"
"GY1 1EQ","L99999999","Channel Islands"
"GY1 1ER","L99999999","Channel Islands"
"GY1 1ES","L99999999","Channel Islands"
"GY1 1ET","L99999999","Channel Islands"
"GY1 1EU","L99999999","Channel Islands"
"GY1 1EW","L99999999","Channel Islands"
"GY1 1EX","L99999999","Channel Islands"
"GY1 1EY","L99999999","Channel Islands"
"GY1 1EZ","L99999999","Channel Islands"
"GY1 1FB","L99999999","Channel Islands"
"GY1 1FD","L99999999","Channel Islands"
"GY1 1FE","L99999999","Channel Islands"
"GY1 1FF","L99999999","Channel Islands"
"GY1 1FG","L99999999","Channel Islands"
"GY1 1FH","L99999999","Channel Islands"
"GY1 1FJ","L99999999","Channel Islands"
"GY1 1FL","L99999999","Channel Islands"
"GY1 1FN","L99999999","Channel Islands"
"GY1 1FP","L99999999","Channel Islands"
"GY1 1FQ","L99999999","Channel Islands"
"GY1 1FR","L99999999","Channel Islands"
"GY1 1FS","L99999999","Channel Islands"
"GY1 1FT","L99999999","Channel Islands"
"GY1 1FW","L99999999","Channel Islands"
"GY1 1FX","L99999999","Channel Islands"
"GY1 1FY","L99999999","Channel Islands"
"GY1 1FZ","L99999999","Channel Islands"
"GY1 1GA","L99999999","Channel Islands"
"GY1 1GB","L99999999","Channel Islands"
"GY1 1GD","L99999999","Channel Islands"
"GY1 1GE","L99999999","Channel Islands"
