pcd,lad23cd,lad23nm
"HD1 1AA","E08000034","Kirklees"
"HD1 1AB","E08000034","Kirklees"
"HD1 1AE","E08000034","Kirklees"
"HD1 1AQ","E08000034","Kirklees"
"HD1 1BA","E08000034","Kirklees"
"HD1 1BB","E08000034","Kirklees"
"HD1 1BD","E08000034","Kirklees"
"HD1 1BE","E08000034","Kirklees"
"HD1 1BG","E08000034","Kirklees"
"HD1 1BH","E08000034","Kirklees"
"HD1 1BJ","E08000034","Kirklees"
"HD1 1BL","E08000034","Kirklees"
"HD1 1BN","E08000034","Kirklees"
"HD1 1BP","E08000034","Kirklees"
"HD1 1BQ","E08000034","Kirklees"
"HD1 1BR","E08000034","Kirklees"
"HD1 1BS","E08000034","Kirklees"
"HD1 1BT","E08000034","Kirklees"
"HD1 1BU","E08000034","Kirklees"
"HD1 1BW","E08000034","Kirklees"
"HD1 1BX","E08000034","Kirklees"
"HD1 1BY","E08000034","Kirklees"
"HD1 1BZ","E08000034","Kirklees"
"HD1 1DA","E08000034","Kirklees"
"HD1 1DB","E08000034","Kirklees"
"HD1 1DD","E08000034","Kirklees"
"HD1 1DE","E08000034","Kirklees"
"HD1 1DF","E08000034","Kirklees"
"HD1 1DG","E08000034","Kirklees"
"HD1 1DH","E08000034","Kirklees"
"HD1 1DJ","E08000034","Kirklees"
"HD1 1DL","E08000034","Kirklees"
"HD1 1DN","E08000034","Kirklees"
"HD1 1DP","E08000034","Kirklees"
"HD1 1DQ","E08000034","Kirklees"
"HD1 1DR","E08000034","Kirklees"
"HD1 1DS","E08000034","Kirklees"
"HD1 1DT","E08000034","Kirklees"
"HD1 1DU","E08000034","Kirklees"
"HD1 1DW","E08000034","Kirklees"
"HD1 1DX","E08000034","Kirklees"
"HD1 1DY","E08000034","Kirklees"
"HD1 1DZ","E08000034","Kirklees"
"HD1 1EA","E08000034","Kirklees"
"HD1 1EB","E08000034","Kirklees"
"HD1 1ED","E08000034","Kirklees"
"HD1 1EE","E08000034","Kirklees"
"HD1 1EF","E08000034","Kirklees"
"HD1 1EG","E08000034","Kirklees"
"HD1 1EH","E08000034","Kirklees"
"HD1 1EJ","E08000034","Kirklees"
"HD1 1EN","E08000034","Kirklees"
"HD1 1EP","E08000034","Kirklees"
"HD1 1EQ","E08000034","Kirklees"
"HD1 1ER","E08000034","Kirklees"
"HD1 1ES","E08000034","Kirklees"
"HD1 1ET","E08000034","Kirklees"
"HD1 1EU","E08000034","Kirklees"
"HD1 1EW","E08000034","Kirklees"
"HD1 1EX","E08000034","Kirklees"
"HD1 1EZ","E08000034","Kirklees"
"HD1 1FA","E08000034","Kirklees"
"HD1 1FX","E08000034","Kirklees"
"HD1 1HB","E08000034","Kirklees"
"HD1 1HE","E08000034","Kirklees"
"HD1 1HF","E08000034","Kirklees"
"HD1 1HH","E08000034","Kirklees"
"HD1 1HJ","E08000034","Kirklees"
"HD1 1HL","E08000034","Kirklees"
"HD1 1HN","E08000034","Kirklees"
"HD1 1HP","E08000034","Kirklees"
"HD1 1HQ","E08000034","Kirklees"
"HD1 1HR","E08000034","Kirklees"
"HD1 1HS","E08000034","Kirklees"
"HD1 1HT","E08000034","Kirklees"
"HD1 1HU","E08000034","Kirklees"
"HD1 1HW","E08000034","Kirklees"
"HD1 1HX","E08000034","Kirklees"
"HD1 1HZ","E08000034","Kirklees"
"HD1 1JA","E08000034","Kirklees"
"HD1 1JB","E08000034","Kirklees"
"HD1 1JD","E08000034","Kirklees"
"HD1 1JE","E08000034","Kirklees"
"HD1 1JF","E08000034","Kirklees"
"HD1 1JG","E08000034","Kirklees"
"HD1 1JH","E08000034","Kirklees"
"HD1 1JL","E08000034","Kirklees"
"HD1 1JP","E08000034","Kirklees"
"HD1 1JQ","E08000034","Kirklees"
"HD1 1JR","E08000034","Kirklees"
"HD1 1JS","E08000034","Kirklees"
"HD1 1JT","E08000034","Kirklees"
"HD1 1JU","E08000034","Kirklees"
"HD1 1JW","E08000034","Kirklees"
"HD1 1JX","E08000034","Kirklees"
"HD1 1JY","E08000034","Kirklees"
"HD1 1JZ","E08000034","Kirklees"
"HD1 1LA","E08000034","Kirklees"
"HD1 1LB","E08000034","Kirklees"
"HD1 1LD","E08000034","Kirklees"
"HD1 1LE","E08000034","Kirklees"
"HD1 1LG","E08000034","Kirklees"
"HD1 1LJ","E08000034","Kirklees"
"HD1 1LN","E08000034","Kirklees"
"HD1 1LP","E08000034","Kirklees"
"HD1 1LQ","E08000034","Kirklees"
"HD1 1LR","E08000034","Kirklees"
"HD1 1LS","E08000034","Kirklees"
"HD1 1LT","E08000034","Kirklees"
"HD1 1LW","E08000034","Kirklees"
"HD1 1LX","E08000034","Kirklees"
"HD1 1LY","E08000034","Kirklees"
"HD1 1LZ","E08000034","Kirklees"
"HD1 1NB","E08000034","Kirklees"
"HD1 1ND","E08000034","Kirklees"
"HD1 1NE","E08000034","Kirklees"
"HD1 1NH","E08000034","Kirklees"
"HD1 1NJ","E08000034","Kirklees"
"HD1 1NL","E08000034","Kirklees"
"HD1 1NN","E08000034","Kirklees"
"HD1 1NP","E08000034","Kirklees"
"HD1 1NQ","E08000034","Kirklees"
"HD1 1NU","E08000034","Kirklees"
"HD1 1NW","E08000034","Kirklees"
"HD1 1NX","E08000034","Kirklees"
"HD1 1NY","E08000034","Kirklees"
"HD1 1PA","E08000034","Kirklees"
"HD1 1PB","E08000034","Kirklees"
"HD1 1PD","E08000034","Kirklees"
"HD1 1PF","E08000034","Kirklees"
"HD1 1PG","E08000034","Kirklees"
"HD1 1PP","E08000034","Kirklees"
"HD1 1PQ","E08000034","Kirklees"
"HD1 1PR","E08000034","Kirklees"
"HD1 1QA","E08000034","Kirklees"
"HD1 1QB","E08000034","Kirklees"
"HD1 1QF","E08000034","Kirklees"
"HD1 1QH","E08000034","Kirklees"
"HD1 1QJ","E08000034","Kirklees"
"HD1 1QL","E08000034","Kirklees"
"HD1 1QP","E08000034","Kirklees"
"HD1 1QQ","E08000034","Kirklees"
"HD1 1QS","E08000034","Kirklees"
"HD1 1QT","E08000034","Kirklees"
"HD1 1QU","E08000034","Kirklees"
"HD1 1QX","E08000034","Kirklees"
"HD1 1QY","E08000034","Kirklees"
"HD1 1QZ","E08000034","Kirklees"
"HD1 1RA","E08000034","Kirklees"
"HD1 1RB","E08000034","Kirklees"
"HD1 1RD","E08000034","Kirklees"
"HD1 1RE","E08000034","Kirklees"
"HD1 1RF","E08000034","Kirklees"
"HD1 1RG","E08000034","Kirklees"
"HD1 1RH","E08000034","Kirklees"
"HD1 1RJ","E08000034","Kirklees"
"HD1 1RL","E08000034","Kirklees"
"HD1 1RN","E08000034","Kirklees"
"HD1 1RP","E08000034","Kirklees"
"HD1 1RR","E08000034","Kirklees"
"HD1 1RS","E08000034","Kirklees"
"HD1 1RU","E08000034","Kirklees"
"HD1 1RW","E08000034","Kirklees"
"HD1 1RX","E08000034","Kirklees"
"HD1 1RY","E08000034","Kirklees"
"HD1 1RZ","E08000034","Kirklees"
"HD1 1SA","E08000034","Kirklees"
"HD1 1SE","E08000034","Kirklees"
"HD1 1SF","E08000034","Kirklees"
"HD1 1SG","E08000034","Kirklees"
"HD1 1SH","E08000034","Kirklees"
"HD1 1SJ","E08000034","Kirklees"
"HD1 1SL","E08000034","Kirklees"
"HD1 1SN","E08000034","Kirklees"
"HD1 1SP","E08000034","Kirklees"
"HD1 1SQ","E08000034","Kirklees"
"HD1 1SR","E08000034","Kirklees"
"HD1 1SS","E08000034","Kirklees"
"HD1 1ST","E08000034","Kirklees"
"HD1 1SU","E08000034","Kirklees"
"HD1 1SW","E08000034","Kirklees"
"HD1 1SX","E08000034","Kirklees"
"HD1 1SY","E08000034","Kirklees"
"HD1 1SZ","E08000034","Kirklees"
"HD1 1TA","E08000034","Kirklees"
"HD1 1TB","E08000034","Kirklees"
"HD1 1TD","E08000034","Kirklees"
"HD1 1TE","E08000034","Kirklees"
"HD1 1TF","E08000034","Kirklees"
"HD1 1TH","E08000034","Kirklees"
"HD1 1TJ","E08000034","Kirklees"
"HD1 1TL","E08000034","Kirklees"
"HD1 1TN","E08000034","Kirklees"
"HD1 1TQ","E08000034","Kirklees"
"HD1 1TR","E08000034","Kirklees"
"HD1 1TT","E08000034","Kirklees"
"HD1 1TU","E08000034","Kirklees"
"HD1 1TW","E08000034","Kirklees"
"HD1 1TX","E08000034","Kirklees"
"HD1 1TY","E08000034","Kirklees"
"HD1 1TZ","E08000034","Kirklees"
"HD1 1UA","E08000034","Kirklees"
"HD1 1UD","E08000034","Kirklees"
"HD1 1UE","E08000034","Kirklees"
"HD1 1UF","E08000034","Kirklees"
"HD1 1UH","E08000034","Kirklees"
"HD1 1UJ","E08000034","Kirklees"
"HD1 1UL","E08000034","Kirklees"
"HD1 1UN","E08000034","Kirklees"
"HD1 1UP","E08000034","Kirklees"
"HD1 1UQ","E08000034","Kirklees"
"HD1 1UR","E08000034","Kirklees"
"HD1 1US","E08000034","Kirklees"
"HD1 1UT","E08000034","Kirklees"
"HD1 1UU","E08000034","Kirklees"
"HD1 1UW","E08000034","Kirklees"
"HD1 1UX","E08000034","Kirklees"
"HD1 1UY","E08000034","Kirklees"
"HD1 1UZ","E08000034","Kirklees"
"HD1 1WB","E08000034","Kirklees"
"HD1 1WD","E08000034","Kirklees"
"HD1 1WF","E08000034","Kirklees"
"HD1 1WH","E08000034","Kirklees"
"HD1 1WJ","E08000034","Kirklees"
"HD1 1WL","E08000034","Kirklees"
"HD1 1WN","E08000034","Kirklees"
"HD1 1WQ","E08000034","Kirklees"
"HD1 1WR","E08000034","Kirklees"
"HD1 1WT","E08000034","Kirklees"
"HD1 1WU","E08000034","Kirklees"
"HD1 1WW","E08000034","Kirklees"
"HD1 1WX","E08000034","Kirklees"
"HD1 1XA","E08000034","Kirklees"
"HD1 1XB","E08000034","Kirklees"
"HD1 1XD","E08000034","Kirklees"
"HD1 1XE","E08000034","Kirklees"
"HD1 1XF","E08000034","Kirklees"
"HD1 1XG","E08000034","Kirklees"
"HD1 1XH","E08000034","Kirklees"
"HD1 1XJ","E08000034","Kirklees"
"HD1 1XL","E08000034","Kirklees"
"HD1 1XN","E08000034","Kirklees"
"HD1 1XP","E08000034","Kirklees"
"HD1 1XQ","E08000034","Kirklees"
"HD1 1XR","E08000034","Kirklees"
"HD1 1XS","E08000034","Kirklees"
