pcd,lad23cd,lad23nm
"HS1 2AA","S12000013","Na h-Eileanan Siar"
"HS1 2AB","S12000013","Na h-Eileanan Siar"
"HS1 2AD","S12000013","Na h-Eileanan Siar"
"HS1 2AE","S12000013","Na h-Eileanan Siar"
"HS1 2AF","S12000013","Na h-Eileanan Siar"
"HS1 2AG","S12000013","Na h-Eileanan Siar"
"HS1 2AH","S12000013","Na h-Eileanan Siar"
"HS1 2AJ","S12000013","Na h-Eileanan Siar"
"HS1 2AL","S12000013","Na h-Eileanan Siar"
"HS1 2AN","S12000013","Na h-Eileanan Siar"
"HS1 2AP","S12000013","Na h-Eileanan Siar"
"HS1 2AQ","S12000013","Na h-Eileanan Siar"
"HS1 2AY","S12000013","Na h-Eileanan Siar"
"HS1 2BA","S12000013","Na h-Eileanan Siar"
"HS1 2BB","S12000013","Na h-Eileanan Siar"
"HS1 2BD","S12000013","Na h-Eileanan Siar"
"HS1 2BE","S12000013","Na h-Eileanan Siar"
"HS1 2BG","S12000013","Na h-Eileanan Siar"
"HS1 2BJ","S12000013","Na h-Eileanan Siar"
"HS1 2BL","S12000013","Na h-Eileanan Siar"
"HS1 2BN","S12000013","Na h-Eileanan Siar"
"HS1 2BQ","S12000013","Na h-Eileanan Siar"
"HS1 2BS","S12000013","Na h-Eileanan Siar"
"HS1 2BT","S12000013","Na h-Eileanan Siar"
"HS1 2BU","S12000013","Na h-Eileanan Siar"
"HS1 2BW","S12000013","Na h-Eileanan Siar"
"HS1 2DA","S12000013","Na h-Eileanan Siar"
"HS1 2DB","S12000013","Na h-Eileanan Siar"
"HS1 2DD","S12000013","Na h-Eileanan Siar"
"HS1 2DE","S12000013","Na h-Eileanan Siar"
"HS1 2DF","S12000013","Na h-Eileanan Siar"
"HS1 2DG","S12000013","Na h-Eileanan Siar"
"HS1 2DH","S12000013","Na h-Eileanan Siar"
"HS1 2DJ","S12000013","Na h-Eileanan Siar"
"HS1 2DL","S12000013","Na h-Eileanan Siar"
"HS1 2DN","S12000013","Na h-Eileanan Siar"
"HS1 2DP","S12000013","Na h-Eileanan Siar"
"HS1 2DQ","S12000013","Na h-Eileanan Siar"
"HS1 2DR","S12000013","Na h-Eileanan Siar"
"HS1 2DS","S12000013","Na h-Eileanan Siar"
"HS1 2DT","S12000013","Na h-Eileanan Siar"
"HS1 2DU","S12000013","Na h-Eileanan Siar"
"HS1 2DW","S12000013","Na h-Eileanan Siar"
"HS1 2DX","S12000013","Na h-Eileanan Siar"
"HS1 2DY","S12000013","Na h-Eileanan Siar"
"HS1 2DZ","S12000013","Na h-Eileanan Siar"
"HS1 2EA","S12000013","Na h-Eileanan Siar"
"HS1 2EB","S12000013","Na h-Eileanan Siar"
"HS1 2ED","S12000013","Na h-Eileanan Siar"
"HS1 2EG","S12000013","Na h-Eileanan Siar"
"HS1 2EH","S12000013","Na h-Eileanan Siar"
"HS1 2EJ","S12000013","Na h-Eileanan Siar"
"HS1 2EN","S12000013","Na h-Eileanan Siar"
"HS1 2EP","S12000013","Na h-Eileanan Siar"
"HS1 2EU","S12000013","Na h-Eileanan Siar"
"HS1 2EW","S12000013","Na h-Eileanan Siar"
"HS1 2EX","S12000013","Na h-Eileanan Siar"
"HS1 2EY","S12000013","Na h-Eileanan Siar"
"HS1 2EZ","S12000013","Na h-Eileanan Siar"
"HS1 2FA","S12000013","Na h-Eileanan Siar"
"HS1 2FB","S12000013","Na h-Eileanan Siar"
"HS1 2FD","S12000013","Na h-Eileanan Siar"
"HS1 2FE","S12000013","Na h-Eileanan Siar"
"HS1 2FF","S12000013","Na h-Eileanan Siar"
"HS1 2FG","S12000013","Na h-Eileanan Siar"
"HS1 2FH","S12000013","Na h-Eileanan Siar"
"HS1 2FJ","S12000013","Na h-Eileanan Siar"
"HS1 2FL","S12000013","Na h-Eileanan Siar"
"HS1 2FP","S12000013","Na h-Eileanan Siar"
"HS1 2FQ","S12000013","Na h-Eileanan Siar"
"HS1 2FR","S12000013","Na h-Eileanan Siar"
"HS1 2GA","S12000013","Na h-Eileanan Siar"
"HS1 2GB","S12000013","Na h-Eileanan Siar"
"HS1 2GD","S12000013","Na h-Eileanan Siar"
"HS1 2GE","S12000013","Na h-Eileanan Siar"
"HS1 2GF","S12000013","Na h-Eileanan Siar"
"HS1 2GG","S12000013","Na h-Eileanan Siar"
"HS1 2GH","S12000013","Na h-Eileanan Siar"
"HS1 2GJ","S12000013","Na h-Eileanan Siar"
"HS1 2GL","S12000013","Na h-Eileanan Siar"
"HS1 2GN","S12000013","Na h-Eileanan Siar"
"HS1 2GP","S12000013","Na h-Eileanan Siar"
"HS1 2GQ","S12000013","Na h-Eileanan Siar"
"HS1 2GR","S12000013","Na h-Eileanan Siar"
"HS1 2GS","S12000013","Na h-Eileanan Siar"
"HS1 2GT","S12000013","Na h-Eileanan Siar"
"HS1 2GU","S12000013","Na h-Eileanan Siar"
"HS1 2GW","S12000013","Na h-Eileanan Siar"
"HS1 2GY","S12000013","Na h-Eileanan Siar"
"HS1 2GZ","S12000013","Na h-Eileanan Siar"
"HS1 2HA","S12000013","Na h-Eileanan Siar"
"HS1 2HB","S12000013","Na h-Eileanan Siar"
"HS1 2HD","S12000013","Na h-Eileanan Siar"
"HS1 2HE","S12000013","Na h-Eileanan Siar"
"HS1 2HF","S12000013","Na h-Eileanan Siar"
"HS1 2HG","S12000013","Na h-Eileanan Siar"
"HS1 2HH","S12000013","Na h-Eileanan Siar"
"HS1 2HJ","S12000013","Na h-Eileanan Siar"
"HS1 2HL","S12000013","Na h-Eileanan Siar"
"HS1 2HN","S12000013","Na h-Eileanan Siar"
"HS1 2HP","S12000013","Na h-Eileanan Siar"
"HS1 2HQ","S12000013","Na h-Eileanan Siar"
"HS1 2HR","S12000013","Na h-Eileanan Siar"
"HS1 2HT","S12000013","Na h-Eileanan Siar"
"HS1 2HU","S12000013","Na h-Eileanan Siar"
"HS1 2HY","S12000013","Na h-Eileanan Siar"
"HS1 2HZ","S12000013","Na h-Eileanan Siar"
"HS1 2JA","S12000013","Na h-Eileanan Siar"
"HS1 2JB","S12000013","Na h-Eileanan Siar"
"HS1 2JD","S12000013","Na h-Eileanan Siar"
"HS1 2JE","S12000013","Na h-Eileanan Siar"
"HS1 2JF","S12000013","Na h-Eileanan Siar"
"HS1 2JG","S12000013","Na h-Eileanan Siar"
"HS1 2JH","S12000013","Na h-Eileanan Siar"
"HS1 2JJ","S12000013","Na h-Eileanan Siar"
"HS1 2JL","S12000013","Na h-Eileanan Siar"
"HS1 2JN","S12000013","Na h-Eileanan Siar"
"HS1 2JP","S12000013","Na h-Eileanan Siar"
"HS1 2JQ","S12000013","Na h-Eileanan Siar"
"HS1 2JR","S12000013","Na h-Eileanan Siar"
"HS1 2JS","S12000013","Na h-Eileanan Siar"
"HS1 2JT","S12000013","Na h-Eileanan Siar"
"HS1 2JU","S12000013","Na h-Eileanan Siar"
"HS1 2JW","S12000013","Na h-Eileanan Siar"
"HS1 2JX","S12000013","Na h-Eileanan Siar"
"HS1 2JY","S12000013","Na h-Eileanan Siar"
"HS1 2JZ","S12000013","Na h-Eileanan Siar"
"HS1 2LA","S12000013","Na h-Eileanan Siar"
"HS1 2LB","S12000013","Na h-Eileanan Siar"
"HS1 2LD","S12000013","Na h-Eileanan Siar"
"HS1 2LE","S12000013","Na h-Eileanan Siar"
"HS1 2LF","S12000013","Na h-Eileanan Siar"
