pcd,lad23cd,lad23nm
"HU1 1AA","E06000010","Kingston upon Hull, City of"
"HU1 1AB","E06000010","Kingston upon Hull, City of"
"HU1 1AH","E06000010","Kingston upon Hull, City of"
"HU1 1AJ","E06000010","Kingston upon Hull, City of"
"HU1 1AL","E06000010","Kingston upon Hull, City of"
"HU1 1AN","E06000010","Kingston upon Hull, City of"
"HU1 1AP","E06000010","Kingston upon Hull, City of"
"HU1 1AR","E06000010","Kingston upon Hull, City of"
"HU1 1AS","E06000010","Kingston upon Hull, City of"
"HU1 1AT","E06000010","Kingston upon Hull, City of"
"HU1 1AU","E06000010","Kingston upon Hull, City of"
"HU1 1AW","E06000010","Kingston upon Hull, City of"
"HU1 1AX","E06000010","Kingston upon Hull, City of"
"HU1 1AY","E06000010","Kingston upon Hull, City of"
"HU1 1AZ","E06000010","Kingston upon Hull, City of"
"HU1 1BA","E06000010","Kingston upon Hull, City of"
"HU1 1BB","E06000010","Kingston upon Hull, City of"
"HU1 1BD","E06000010","Kingston upon Hull, City of"
"HU1 1BE","E06000010","Kingston upon Hull, City of"
"HU1 1BH","E06000010","Kingston upon Hull, City of"
"HU1 1BJ","E06000010","Kingston upon Hull, City of"
"HU1 1DB","E06000010","Kingston upon Hull, City of"
"HU1 1EA","E06000010","Kingston upon Hull, City of"
"HU1 1EB","E06000010","Kingston upon Hull, City of"
"HU1 1ED","E06000010","Kingston upon Hull, City of"
"HU1 1EE","E06000010","Kingston upon Hull, City of"
"HU1 1EF","E06000010","Kingston upon Hull, City of"
"HU1 1EG","E06000010","Kingston upon Hull, City of"
"HU1 1EH","E06000010","Kingston upon Hull, City of"
"HU1 1EJ","E06000010","Kingston upon Hull, City of"
"HU1 1EL","E06000010","Kingston upon Hull, City of"
"HU1 1EN","E06000010","Kingston upon Hull, City of"
"HU1 1EP","E06000010","Kingston upon Hull, City of"
"HU1 1EQ","E06000010","Kingston upon Hull, City of"
"HU1 1ER","E06000010","Kingston upon Hull, City of"
"HU1 1ES","E06000010","Kingston upon Hull, City of"
"HU1 1ET","E06000010","Kingston upon Hull, City of"
"HU1 1EW","E06000010","Kingston upon Hull, City of"
"HU1 1EX","E06000010","Kingston upon Hull, City of"
"HU1 1EZ","E06000010","Kingston upon Hull, City of"
"HU1 1HA","E06000010","Kingston upon Hull, City of"
"HU1 1HB","E06000010","Kingston upon Hull, City of"
"HU1 1HG","E06000010","Kingston upon Hull, City of"
"HU1 1HH","E06000010","Kingston upon Hull, City of"
"HU1 1HJ","E06000010","Kingston upon Hull, City of"
"HU1 1HL","E06000010","Kingston upon Hull, City of"
"HU1 1HN","E06000010","Kingston upon Hull, City of"
"HU1 1HP","E06000010","Kingston upon Hull, City of"
"HU1 1HQ","E06000010","Kingston upon Hull, City of"
"HU1 1HS","E06000010","Kingston upon Hull, City of"
"HU1 1HT","E06000010","Kingston upon Hull, City of"
"HU1 1HU","E06000010","Kingston upon Hull, City of"
"HU1 1HW","E06000010","Kingston upon Hull, City of"
"HU1 1HX","E06000010","Kingston upon Hull, City of"
"HU1 1HY","E06000010","Kingston upon Hull, City of"
"HU1 1JA","E06000010","Kingston upon Hull, City of"
"HU1 1JB","E06000010","Kingston upon Hull, City of"
"HU1 1JD","E06000010","Kingston upon Hull, City of"
"HU1 1JE","E06000010","Kingston upon Hull, City of"
"HU1 1JF","E06000010","Kingston upon Hull, City of"
"HU1 1JG","E06000010","Kingston upon Hull, City of"
"HU1 1JH","E06000010","Kingston upon Hull, City of"
"HU1 1JJ","E06000010","Kingston upon Hull, City of"
"HU1 1JL","E06000010","Kingston upon Hull, City of"
"HU1 1JN","E06000010","Kingston upon Hull, City of"
"HU1 1JP","E06000010","Kingston upon Hull, City of"
"HU1 1JQ","E06000010","Kingston upon Hull, City of"
"HU1 1JR","E06000010","Kingston upon Hull, City of"
"HU1 1JS","E06000010","Kingston upon Hull, City of"
"HU1 1JT","E06000010","Kingston upon Hull, City of"
"HU1 1JU","E06000010","Kingston upon Hull, City of"
"HU1 1JW","E06000010","Kingston upon Hull, City of"
"HU1 1JX","E06000010","Kingston upon Hull, City of"
"HU1 1JY","E06000010","Kingston upon Hull, City of"
"HU1 1LA","E06000010","Kingston upon Hull, City of"
"HU1 1LD","E06000010","Kingston upon Hull, City of"
"HU1 1LF","E06000010","Kingston upon Hull, City of"
"HU1 1LH","E06000010","Kingston upon Hull, City of"
"HU1 1LJ","E06000010","Kingston upon Hull, City of"
"HU1 1LN","E06000010","Kingston upon Hull, City of"
"HU1 1LQ","E06000010","Kingston upon Hull, City of"
"HU1 1LR","E06000010","Kingston upon Hull, City of"
"HU1 1LS","E06000010","Kingston upon Hull, City of"
"HU1 1LT","E06000010","Kingston upon Hull, City of"
"HU1 1LW","E06000010","Kingston upon Hull, City of"
"HU1 1NA","E06000010","Kingston upon Hull, City of"
"HU1 1NB","E06000010","Kingston upon Hull, City of"
"HU1 1ND","E06000010","Kingston upon Hull, City of"
"HU1 1NE","E06000010","Kingston upon Hull, City of"
"HU1 1NF","E06000010","Kingston upon Hull, City of"
"HU1 1NG","E06000010","Kingston upon Hull, City of"
"HU1 1NH","E06000010","Kingston upon Hull, City of"
"HU1 1NJ","E06000010","Kingston upon Hull, City of"
"HU1 1NL","E06000010","Kingston upon Hull, City of"
"HU1 1NN","E06000010","Kingston upon Hull, City of"
"HU1 1NP","E06000010","Kingston upon Hull, City of"
"HU1 1NQ","E06000010","Kingston upon Hull, City of"
"HU1 1NR","E06000010","Kingston upon Hull, City of"
"HU1 1NS","E06000010","Kingston upon Hull, City of"
"HU1 1NT","E06000010","Kingston upon Hull, City of"
"HU1 1NW","E06000010","Kingston upon Hull, City of"
"HU1 1NX","E06000010","Kingston upon Hull, City of"
"HU1 1NY","E06000010","Kingston upon Hull, City of"
"HU1 1NZ","E06000010","Kingston upon Hull, City of"
"HU1 1PA","E06000010","Kingston upon Hull, City of"
"HU1 1PB","E06000010","Kingston upon Hull, City of"
"HU1 1PD","E06000010","Kingston upon Hull, City of"
"HU1 1PE","E06000010","Kingston upon Hull, City of"
"HU1 1PF","E06000010","Kingston upon Hull, City of"
"HU1 1PH","E06000010","Kingston upon Hull, City of"
"HU1 1PL","E06000010","Kingston upon Hull, City of"
"HU1 1PN","E06000010","Kingston upon Hull, City of"
"HU1 1PP","E06000010","Kingston upon Hull, City of"
