pcd,lad23cd,lad23nm
"HX1 1AA","E08000033","Calderdale"
"HX1 1AB","E08000033","Calderdale"
"HX1 1AD","E08000033","Calderdale"
"HX1 1AE","E08000033","Calderdale"
"HX1 1AF","E08000033","Calderdale"
"HX1 1AG","E08000033","Calderdale"
"HX1 1BA","E08000033","Calderdale"
"HX1 1BB","E08000033","Calderdale"
"HX1 1BD","E08000033","Calderdale"
"HX1 1BE","E08000033","Calderdale"
"HX1 1BG","E08000033","Calderdale"
"HX1 1BH","E08000033","Calderdale"
"HX1 1BJ","E08000033","Calderdale"
"HX1 1BL","E08000033","Calderdale"
"HX1 1BN","E08000033","Calderdale"
"HX1 1BP","E08000033","Calderdale"
"HX1 1BQ","E08000033","Calderdale"
"HX1 1BS","E08000033","Calderdale"
"HX1 1BT","E08000033","Calderdale"
"HX1 1BU","E08000033","Calderdale"
"HX1 1BW","E08000033","Calderdale"
"HX1 1BX","E08000033","Calderdale"
"HX1 1BY","E08000033","Calderdale"
"HX1 1BZ","E08000033","Calderdale"
"HX1 1DA","E08000033","Calderdale"
"HX1 1DB","E08000033","Calderdale"
"HX1 1DD","E08000033","Calderdale"
"HX1 1DE","E08000033","Calderdale"
"HX1 1DF","E08000033","Calderdale"
"HX1 1DG","E08000033","Calderdale"
"HX1 1DH","E08000033","Calderdale"
"HX1 1DJ","E08000033","Calderdale"
"HX1 1DL","E08000033","Calderdale"
"HX1 1DN","E08000033","Calderdale"
"HX1 1DP","E08000033","Calderdale"
"HX1 1DQ","E08000033","Calderdale"
"HX1 1DR","E08000033","Calderdale"
"HX1 1DS","E08000033","Calderdale"
"HX1 1DT","E08000033","Calderdale"
"HX1 1DU","E08000033","Calderdale"
"HX1 1DW","E08000033","Calderdale"
"HX1 1DX","E08000033","Calderdale"
"HX1 1DY","E08000033","Calderdale"
"HX1 1DZ","E08000033","Calderdale"
"HX1 1EA","E08000033","Calderdale"
"HX1 1EB","E08000033","Calderdale"
"HX1 1ED","E08000033","Calderdale"
"HX1 1EE","E08000033","Calderdale"
"HX1 1EG","E08000033","Calderdale"
"HX1 1EH","E08000033","Calderdale"
"HX1 1EJ","E08000033","Calderdale"
"HX1 1EL","E08000033","Calderdale"
"HX1 1EP","E08000033","Calderdale"
"HX1 1EQ","E08000033","Calderdale"
"HX1 1ES","E08000033","Calderdale"
"HX1 1ET","E08000033","Calderdale"
"HX1 1EU","E08000033","Calderdale"
"HX1 1EX","E08000033","Calderdale"
"HX1 1EY","E08000033","Calderdale"
"HX1 1EZ","E08000033","Calderdale"
"HX1 1FB","E08000033","Calderdale"
"HX1 1FD","E08000033","Calderdale"
"HX1 1FE","E08000033","Calderdale"
"HX1 1FF","E08000033","Calderdale"
"HX1 1HA","E08000033","Calderdale"
"HX1 1HB","E08000033","Calderdale"
"HX1 1HD","E08000033","Calderdale"
"HX1 1HE","E08000033","Calderdale"
"HX1 1HF","E08000033","Calderdale"
"HX1 1HH","E08000033","Calderdale"
"HX1 1HJ","E08000033","Calderdale"
"HX1 1HL","E08000033","Calderdale"
"HX1 1HN","E08000033","Calderdale"
"HX1 1HP","E08000033","Calderdale"
"HX1 1HQ","E08000033","Calderdale"
"HX1 1HR","E08000033","Calderdale"
"HX1 1HS","E08000033","Calderdale"
"HX1 1HT","E08000033","Calderdale"
"HX1 1HU","E08000033","Calderdale"
"HX1 1HW","E08000033","Calderdale"
"HX1 1HX","E08000033","Calderdale"
"HX1 1HY","E08000033","Calderdale"
"HX1 1HZ","E08000033","Calderdale"
"HX1 1JA","E08000033","Calderdale"
"HX1 1JB","E08000033","Calderdale"
"HX1 1JD","E08000033","Calderdale"
"HX1 1JE","E08000033","Calderdale"
"HX1 1JF","E08000033","Calderdale"
"HX1 1JG","E08000033","Calderdale"
"HX1 1JH","E08000033","Calderdale"
"HX1 1JJ","E08000033","Calderdale"
"HX1 1JN","E08000033","Calderdale"
"HX1 1JP","E08000033","Calderdale"
"HX1 1JQ","E08000033","Calderdale"
"HX1 1JR","E08000033","Calderdale"
"HX1 1JS","E08000033","Calderdale"
"HX1 1JT","E08000033","Calderdale"
"HX1 1JU","E08000033","Calderdale"
"HX1 1JW","E08000033","Calderdale"
"HX1 1JX","E08000033","Calderdale"
"HX1 1JY","E08000033","Calderdale"
"HX1 1JZ","E08000033","Calderdale"
"HX1 1LA","E08000033","Calderdale"
"HX1 1LB","E08000033","Calderdale"
"HX1 1LD","E08000033","Calderdale"
"HX1 1LF","E08000033","Calderdale"
"HX1 1LH","E08000033","Calderdale"
"HX1 1LJ","E08000033","Calderdale"
"HX1 1LN","E08000033","Calderdale"
"HX1 1LP","E08000033","Calderdale"
"HX1 1LQ","E08000033","Calderdale"
"HX1 1LR","E08000033","Calderdale"
"HX1 1LS","E08000033","Calderdale"
"HX1 1LU","E08000033","Calderdale"
"HX1 1LW","E08000033","Calderdale"
"HX1 1LX","E08000033","Calderdale"
"HX1 1NA","E08000033","Calderdale"
"HX1 1NH","E08000033","Calderdale"
"HX1 1NJ","E08000033","Calderdale"
"HX1 1NL","E08000033","Calderdale"
"HX1 1NN","E08000033","Calderdale"
"HX1 1NT","E08000033","Calderdale"
"HX1 1NU","E08000033","Calderdale"
"HX1 1NX","E08000033","Calderdale"
"HX1 1PA","E08000033","Calderdale"
"HX1 1PB","E08000033","Calderdale"
"HX1 1PD","E08000033","Calderdale"
"HX1 1PE","E08000033","Calderdale"
"HX1 1PF","E08000033","Calderdale"
"HX1 1PG","E08000033","Calderdale"
"HX1 1PJ","E08000033","Calderdale"
"HX1 1PL","E08000033","Calderdale"
"HX1 1PP","E08000033","Calderdale"
"HX1 1PQ","E08000033","Calderdale"
"HX1 1PR","E08000033","Calderdale"
"HX1 1PS","E08000033","Calderdale"
"HX1 1PT","E08000033","Calderdale"
"HX1 1PU","E08000033","Calderdale"
"HX1 1PW","E08000033","Calderdale"
"HX1 1PX","E08000033","Calderdale"
"HX1 1PZ","E08000033","Calderdale"
"HX1 1QA","E08000033","Calderdale"
"HX1 1QB","E08000033","Calderdale"
"HX1 1QD","E08000033","Calderdale"
"HX1 1QE","E08000033","Calderdale"
"HX1 1QF","E08000033","Calderdale"
"HX1 1QG","E08000033","Calderdale"
"HX1 1QH","E08000033","Calderdale"
"HX1 1QJ","E08000033","Calderdale"
"HX1 1QL","E08000033","Calderdale"
"HX1 1QN","E08000033","Calderdale"
"HX1 1QP","E08000033","Calderdale"
"HX1 1QQ","E08000033","Calderdale"
"HX1 1QR","E08000033","Calderdale"
"HX1 1QS","E08000033","Calderdale"
"HX1 1QU","E08000033","Calderdale"
"HX1 1QW","E08000033","Calderdale"
"HX1 1QX","E08000033","Calderdale"
"HX1 1QY","E08000033","Calderdale"
"HX1 1QZ","E08000033","Calderdale"
"HX1 1RB","E08000033","Calderdale"
"HX1 1RD","E08000033","Calderdale"
"HX1 1RE","E08000033","Calderdale"
"HX1 1RJ","E08000033","Calderdale"
"HX1 1RL","E08000033","Calderdale"
"HX1 1RN","E08000033","Calderdale"
"HX1 1RP","E08000033","Calderdale"
"HX1 1RS","E08000033","Calderdale"
"HX1 1RT","E08000033","Calderdale"
"HX1 1RU","E08000033","Calderdale"
"HX1 1RW","E08000033","Calderdale"
"HX1 1RX","E08000033","Calderdale"
"HX1 1RZ","E08000033","Calderdale"
"HX1 1SA","E08000033","Calderdale"
"HX1 1SB","E08000033","Calderdale"
"HX1 1SD","E08000033","Calderdale"
"HX1 1SE","E08000033","Calderdale"
"HX1 1SF","E08000033","Calderdale"
"HX1 1SG","E08000033","Calderdale"
"HX1 1SH","E08000033","Calderdale"
"HX1 1SJ","E08000033","Calderdale"
"HX1 1SL","E08000033","Calderdale"
"HX1 1SN","E08000033","Calderdale"
"HX1 1SP","E08000033","Calderdale"
"HX1 1SQ","E08000033","Calderdale"
"HX1 1SR","E08000033","Calderdale"
"HX1 1SS","E08000033","Calderdale"
"HX1 1SW","E08000033","Calderdale"
"HX1 1SZ","E08000033","Calderdale"
"HX1 1TA","E08000033","Calderdale"
"HX1 1TB","E08000033","Calderdale"
"HX1 1TD","E08000033","Calderdale"
"HX1 1TE","E08000033","Calderdale"
"HX1 1TG","E08000033","Calderdale"
"HX1 1TH","E08000033","Calderdale"
"HX1 1TJ","E08000033","Calderdale"
"HX1 1TL","E08000033","Calderdale"
"HX1 1TN","E08000033","Calderdale"
"HX1 1TP","E08000033","Calderdale"
"HX1 1TQ","E08000033","Calderdale"
"HX1 1TR","E08000033","Calderdale"
"HX1 1TS","E08000033","Calderdale"
"HX1 1TT","E08000033","Calderdale"
"HX1 1TU","E08000033","Calderdale"
"HX1 1TW","E08000033","Calderdale"
"HX1 1TX","E08000033","Calderdale"
"HX1 1TY","E08000033","Calderdale"
"HX1 1TZ","E08000033","Calderdale"
"HX1 1UA","E08000033","Calderdale"
"HX1 1UB","E08000033","Calderdale"
"HX1 1UD","E08000033","Calderdale"
"HX1 1UE","E08000033","Calderdale"
"HX1 1UF","E08000033","Calderdale"
"HX1 1UG","E08000033","Calderdale"
"HX1 1UH","E08000033","Calderdale"
"HX1 1UJ","E08000033","Calderdale"
"HX1 1UL","E08000033","Calderdale"
"HX1 1UN","E08000033","Calderdale"
"HX1 1UP","E08000033","Calderdale"
"HX1 1UQ","E08000033","Calderdale"
"HX1 1UR","E08000033","Calderdale"
"HX1 1UT","E08000033","Calderdale"
"HX1 1UU","E08000033","Calderdale"
"HX1 1UX","E08000033","Calderdale"
"HX1 1UY","E08000033","Calderdale"
"HX1 1UZ","E08000033","Calderdale"
"HX1 1WA","E08000033","Calderdale"
"HX1 1WB","E08000033","Calderdale"
"HX1 1WD","E08000033","Calderdale"
"HX1 1WU","E08000033","Calderdale"
"HX1 1WW","E08000033","Calderdale"
"HX1 1WX","E08000033","Calderdale"
"HX1 1WY","E08000033","Calderdale"
"HX1 1XA","E08000033","Calderdale"
"HX1 1XB","E08000033","Calderdale"
"HX1 1XD","E08000033","Calderdale"
"HX1 1XE","E08000033","Calderdale"
"HX1 1XF","E08000033","Calderdale"
"HX1 1XG","E08000033","Calderdale"
"HX1 1XH","E08000033","Calderdale"
"HX1 1XJ","E08000033","Calderdale"
"HX1 1XP","E08000033","Calderdale"
"HX1 1XQ","E08000033","Calderdale"
"HX1 1XR","E08000033","Calderdale"
"HX1 1XS","E08000033","Calderdale"
"HX1 1XT","E08000033","Calderdale"
"HX1 1XU","E08000033","Calderdale"
"HX1 1XW","E08000033","Calderdale"
"HX1 1XX","E08000033","Calderdale"
"HX1 1XY","E08000033","Calderdale"
"HX1 1XZ","E08000033","Calderdale"
"HX1 1YA","E08000033","Calderdale"
"HX1 1YB","E08000033","Calderdale"
"HX1 1YD","E08000033","Calderdale"
"HX1 1YE","E08000033","Calderdale"
"HX1 1YF","E08000033","Calderdale"
"HX1 1YG","E08000033","Calderdale"
"HX1 1YH","E08000033","Calderdale"
"HX1 1YJ","E08000033","Calderdale"
"HX1 1YL","E08000033","Calderdale"
"HX1 1YN","E08000033","Calderdale"
"HX1 1YP","E08000033","Calderdale"
"HX1 1YQ","E08000033","Calderdale"
"HX1 1YR","E08000033","Calderdale"
"HX1 1YS","E08000033","Calderdale"
"HX1 1YT","E08000033","Calderdale"
"HX1 1YW","E08000033","Calderdale"
"HX1 1YX","E08000033","Calderdale"
"HX1 1YZ","E08000033","Calderdale"
"HX1 1ZA","E08000033","Calderdale"
"HX1 1ZR","E08000033","Calderdale"
"HX1 1ZS","E08000033","Calderdale"
"HX1 1ZT","E08000033","Calderdale"
"HX1 2AA","E08000033","Calderdale"
"HX1 2AB","E08000033","Calderdale"
"HX1 2AD","E08000033","Calderdale"
"HX1 2AE","E08000033","Calderdale"
"HX1 2AF","E08000033","Calderdale"
