pcd,lad23cd,lad23nm
"IM1 1AA","M99999999","Isle of Man"
"IM1 1AD","M99999999","Isle of Man"
"IM1 1AE","M99999999","Isle of Man"
"IM1 1AF","M99999999","Isle of Man"
"IM1 1AG","M99999999","Isle of Man"
"IM1 1AH","M99999999","Isle of Man"
"IM1 1AJ","M99999999","Isle of Man"
"IM1 1AL","M99999999","Isle of Man"
"IM1 1AN","M99999999","Isle of Man"
"IM1 1AP","M99999999","Isle of Man"
"IM1 1AQ","M99999999","Isle of Man"
"IM1 1AR","M99999999","Isle of Man"
"IM1 1AS","M99999999","Isle of Man"
"IM1 1AT","M99999999","Isle of Man"
"IM1 1AU","M99999999","Isle of Man"
"IM1 1AW","M99999999","Isle of Man"
"IM1 1AX","M99999999","Isle of Man"
"IM1 1AY","M99999999","Isle of Man"
"IM1 1AZ","M99999999","Isle of Man"
"IM1 1BA","M99999999","Isle of Man"
"IM1 1BB","M99999999","Isle of Man"
"IM1 1BD","M99999999","Isle of Man"
"IM1 1BE","M99999999","Isle of Man"
"IM1 1BF","M99999999","Isle of Man"
"IM1 1BG","M99999999","Isle of Man"
"IM1 1BH","M99999999","Isle of Man"
"IM1 1BJ","M99999999","Isle of Man"
"IM1 1BL","M99999999","Isle of Man"
"IM1 1BN","M99999999","Isle of Man"
"IM1 1BP","M99999999","Isle of Man"
"IM1 1BQ","M99999999","Isle of Man"
"IM1 1BR","M99999999","Isle of Man"
"IM1 1BS","M99999999","Isle of Man"
"IM1 1BT","M99999999","Isle of Man"
"IM1 1BU","M99999999","Isle of Man"
"IM1 1BW","M99999999","Isle of Man"
"IM1 1BX","M99999999","Isle of Man"
"IM1 1BY","M99999999","Isle of Man"
"IM1 1EA","M99999999","Isle of Man"
"IM1 1EB","M99999999","Isle of Man"
"IM1 1ED","M99999999","Isle of Man"
"IM1 1EE","M99999999","Isle of Man"
"IM1 1EF","M99999999","Isle of Man"
"IM1 1EG","M99999999","Isle of Man"
"IM1 1EH","M99999999","Isle of Man"
"IM1 1EJ","M99999999","Isle of Man"
"IM1 1EL","M99999999","Isle of Man"
"IM1 1EN","M99999999","Isle of Man"
"IM1 1EP","M99999999","Isle of Man"
"IM1 1EQ","M99999999","Isle of Man"
"IM1 1ER","M99999999","Isle of Man"
"IM1 1ES","M99999999","Isle of Man"
"IM1 1ET","M99999999","Isle of Man"
"IM1 1EU","M99999999","Isle of Man"
"IM1 1EW","M99999999","Isle of Man"
"IM1 1EX","M99999999","Isle of Man"
"IM1 1JA","M99999999","Isle of Man"
"IM1 1JB","M99999999","Isle of Man"
"IM1 1JD","M99999999","Isle of Man"
"IM1 1JE","M99999999","Isle of Man"
"IM1 1LA","M99999999","Isle of Man"
"IM1 1LB","M99999999","Isle of Man"
"IM1 1LD","M99999999","Isle of Man"
"IM1 1LE","M99999999","Isle of Man"
"IM1 1LF","M99999999","Isle of Man"
