pcd,lad23cd,lad23nm
"IP1 1AA","E07000202","Ipswich"
"IP1 1AB","E07000202","Ipswich"
"IP1 1AD","E07000202","Ipswich"
"IP1 1AE","E07000202","Ipswich"
"IP1 1AF","E07000202","Ipswich"
"IP1 1AG","E07000202","Ipswich"
"IP1 1AH","E07000202","Ipswich"
"IP1 1AN","E07000202","Ipswich"
"IP1 1AP","E07000202","Ipswich"
"IP1 1AQ","E07000202","Ipswich"
"IP1 1AS","E07000202","Ipswich"
"IP1 1AW","E07000202","Ipswich"
"IP1 1AX","E07000202","Ipswich"
"IP1 1AY","E07000202","Ipswich"
"IP1 1AZ","E07000202","Ipswich"
"IP1 1BA","E07000202","Ipswich"
"IP1 1BB","E07000202","Ipswich"
"IP1 1BD","E07000202","Ipswich"
"IP1 1BE","E07000202","Ipswich"
"IP1 1BG","E07000202","Ipswich"
"IP1 1BH","E07000202","Ipswich"
"IP1 1BJ","E07000202","Ipswich"
"IP1 1BL","E07000202","Ipswich"
"IP1 1BN","E07000202","Ipswich"
"IP1 1BP","E07000202","Ipswich"
"IP1 1BQ","E07000202","Ipswich"
"IP1 1BS","E07000202","Ipswich"
"IP1 1BT","E07000202","Ipswich"
"IP1 1BU","E07000202","Ipswich"
"IP1 1BW","E07000202","Ipswich"
"IP1 1BX","E07000202","Ipswich"
"IP1 1BY","E07000202","Ipswich"
"IP1 1BZ","E07000202","Ipswich"
"IP1 1DA","E07000202","Ipswich"
"IP1 1DB","E07000202","Ipswich"
"IP1 1DD","E07000202","Ipswich"
"IP1 1DE","E07000202","Ipswich"
"IP1 1DF","E07000202","Ipswich"
"IP1 1DG","E07000202","Ipswich"
"IP1 1DH","E07000202","Ipswich"
"IP1 1DJ","E07000202","Ipswich"
"IP1 1DL","E07000202","Ipswich"
"IP1 1DN","E07000202","Ipswich"
"IP1 1DP","E07000202","Ipswich"
"IP1 1DQ","E07000202","Ipswich"
"IP1 1DR","E07000202","Ipswich"
"IP1 1DS","E07000202","Ipswich"
"IP1 1DT","E07000202","Ipswich"
"IP1 1DU","E07000202","Ipswich"
"IP1 1DW","E07000202","Ipswich"
"IP1 1DX","E07000202","Ipswich"
"IP1 1DY","E07000202","Ipswich"
"IP1 1DZ","E07000202","Ipswich"
"IP1 1EA","E07000202","Ipswich"
"IP1 1EB","E07000202","Ipswich"
"IP1 1ED","E07000202","Ipswich"
"IP1 1EE","E07000202","Ipswich"
"IP1 1EG","E07000202","Ipswich"
"IP1 1EJ","E07000202","Ipswich"
"IP1 1EL","E07000202","Ipswich"
"IP1 1EN","E07000202","Ipswich"
"IP1 1EP","E07000202","Ipswich"
"IP1 1EQ","E07000202","Ipswich"
"IP1 1ER","E07000202","Ipswich"
"IP1 1ES","E07000202","Ipswich"
"IP1 1ET","E07000202","Ipswich"
"IP1 1EU","E07000202","Ipswich"
"IP1 1EW","E07000202","Ipswich"
"IP1 1EX","E07000202","Ipswich"
"IP1 1EY","E07000202","Ipswich"
"IP1 1EZ","E07000202","Ipswich"
"IP1 1FG","E07000202","Ipswich"
"IP1 1HA","E07000202","Ipswich"
"IP1 1HB","E07000202","Ipswich"
"IP1 1HD","E07000202","Ipswich"
"IP1 1HE","E07000202","Ipswich"
"IP1 1HF","E07000202","Ipswich"
"IP1 1HG","E07000202","Ipswich"
"IP1 1HH","E07000202","Ipswich"
"IP1 1HJ","E07000202","Ipswich"
"IP1 1HL","E07000202","Ipswich"
"IP1 1HN","E07000202","Ipswich"
"IP1 1HP","E07000202","Ipswich"
"IP1 1HQ","E07000202","Ipswich"
"IP1 1HR","E07000202","Ipswich"
"IP1 1HS","E07000202","Ipswich"
"IP1 1HT","E07000202","Ipswich"
"IP1 1HU","E07000202","Ipswich"
"IP1 1HW","E07000202","Ipswich"
"IP1 1HX","E07000202","Ipswich"
"IP1 1HY","E07000202","Ipswich"
"IP1 1HZ","E07000202","Ipswich"
"IP1 1JA","E07000202","Ipswich"
"IP1 1JB","E07000202","Ipswich"
"IP1 1JD","E07000202","Ipswich"
"IP1 1JE","E07000202","Ipswich"
"IP1 1JF","E07000202","Ipswich"
"IP1 1JH","E07000202","Ipswich"
"IP1 1JJ","E07000202","Ipswich"
"IP1 1JL","E07000202","Ipswich"
"IP1 1JP","E07000202","Ipswich"
"IP1 1JQ","E07000202","Ipswich"
"IP1 1JR","E07000202","Ipswich"
"IP1 1JS","E07000202","Ipswich"
"IP1 1JT","E07000202","Ipswich"
"IP1 1JU","E07000202","Ipswich"
"IP1 1JX","E07000202","Ipswich"
"IP1 1JY","E07000202","Ipswich"
"IP1 1JZ","E07000202","Ipswich"
"IP1 1LA","E07000202","Ipswich"
"IP1 1LB","E07000202","Ipswich"
"IP1 1LD","E07000202","Ipswich"
"IP1 1LE","E07000202","Ipswich"
"IP1 1LF","E07000202","Ipswich"
"IP1 1LG","E07000202","Ipswich"
"IP1 1LH","E07000202","Ipswich"
