pcd,lad23cd,lad23nm
"IV1 1AA","S12000017","Highland"
"IV1 1AB","S12000017","Highland"
"IV1 1AD","S12000017","Highland"
"IV1 1AE","S12000017","Highland"
"IV1 1AF","S12000017","Highland"
"IV1 1AG","S12000017","Highland"
"IV1 1AH","S12000017","Highland"
"IV1 1AJ","S12000017","Highland"
"IV1 1AN","S12000017","Highland"
"IV1 1AU","S12000017","Highland"
"IV1 1AW","S12000017","Highland"
"IV1 1AX","S12000017","Highland"
"IV1 1AZ","S12000017","Highland"
"IV1 1BA","S12000017","Highland"
"IV1 1BB","S12000017","Highland"
"IV1 1BD","S12000017","Highland"
"IV1 1BG","S12000017","Highland"
"IV1 1DA","S12000017","Highland"
"IV1 1DB","S12000017","Highland"
"IV1 1DD","S12000017","Highland"
"IV1 1DE","S12000017","Highland"
"IV1 1DF","S12000017","Highland"
"IV1 1DG","S12000017","Highland"
"IV1 1DH","S12000017","Highland"
"IV1 1DJ","S12000017","Highland"
"IV1 1DL","S12000017","Highland"
"IV1 1DN","S12000017","Highland"
"IV1 1DP","S12000017","Highland"
"IV1 1DQ","S12000017","Highland"
"IV1 1DR","S12000017","Highland"
"IV1 1DS","S12000017","Highland"
"IV1 1DT","S12000017","Highland"
"IV1 1DU","S12000017","Highland"
"IV1 1DW","S12000017","Highland"
"IV1 1DX","S12000017","Highland"
"IV1 1DY","S12000017","Highland"
"IV1 1DZ","S12000017","Highland"
"IV1 1EA","S12000017","Highland"
"IV1 1EB","S12000017","Highland"
"IV1 1ED","S12000017","Highland"
"IV1 1EE","S12000017","Highland"
"IV1 1EF","S12000017","Highland"
"IV1 1EG","S12000017","Highland"
"IV1 1EH","S12000017","Highland"
"IV1 1EJ","S12000017","Highland"
"IV1 1EL","S12000017","Highland"
"IV1 1EN","S12000017","Highland"
"IV1 1EP","S12000017","Highland"
"IV1 1EQ","S12000017","Highland"
"IV1 1ER","S12000017","Highland"
"IV1 1ES","S12000017","Highland"
"IV1 1ET","S12000017","Highland"
"IV1 1EU","S12000017","Highland"
"IV1 1EW","S12000017","Highland"
"IV1 1EX","S12000017","Highland"
"IV1 1EY","S12000017","Highland"
"IV1 1EZ","S12000017","Highland"
"IV1 1FA","S12000017","Highland"
"IV1 1FB","S12000017","Highland"
"IV1 1FD","S12000017","Highland"
"IV1 1FE","S12000017","Highland"
"IV1 1FF","S12000017","Highland"
"IV1 1FG","S12000017","Highland"
"IV1 1FJ","S12000017","Highland"
"IV1 1FN","S12000017","Highland"
"IV1 1FP","S12000017","Highland"
"IV1 1FR","S12000017","Highland"
"IV1 1FS","S12000017","Highland"
"IV1 1FW","S12000017","Highland"
"IV1 1GA","S12000017","Highland"
"IV1 1GB","S12000017","Highland"
"IV1 1GD","S12000017","Highland"
"IV1 1GE","S12000017","Highland"
"IV1 1GF","S12000017","Highland"
"IV1 1GG","S12000017","Highland"
"IV1 1GH","S12000017","Highland"
"IV1 1GJ","S12000017","Highland"
"IV1 1GQ","S12000017","Highland"
"IV1 1GR","S12000017","Highland"
"IV1 1GS","S12000017","Highland"
"IV1 1GT","S12000017","Highland"
"IV1 1GU","S12000017","Highland"
"IV1 1GW","S12000017","Highland"
"IV1 1GX","S12000017","Highland"
"IV1 1GY","S12000017","Highland"
"IV1 1GZ","S12000017","Highland"
"IV1 1HA","S12000017","Highland"
"IV1 1HB","S12000017","Highland"
"IV1 1HD","S12000017","Highland"
