pcd,lad23cd,lad23nm
"JE1 0BD","L99999999","Channel Islands"
"JE1 0BR","L99999999","Channel Islands"
"JE1 0DF","L99999999","Channel Islands"
"JE1 0DJ","L99999999","Channel Islands"
"JE1 0FS","L99999999","Channel Islands"
"JE1 0NE","L99999999","Channel Islands"
"JE1 0SN","L99999999","Channel Islands"
"JE1 0UG","L99999999","Channel Islands"
"JE1 0WL","L99999999","Channel Islands"
"JE1 1AA","L99999999","Channel Islands"
"JE1 1AB","L99999999","Channel Islands"
"JE1 1AD","L99999999","Channel Islands"
"JE1 1AE","L99999999","Channel Islands"
"JE1 1AF","L99999999","Channel Islands"
"JE1 1AG","L99999999","Channel Islands"
"JE1 1AS","L99999999","Channel Islands"
"JE1 1AW","L99999999","Channel Islands"
"JE1 1AX","L99999999","Channel Islands"
"JE1 1BA","L99999999","Channel Islands"
"JE1 1BB","L99999999","Channel Islands"
"JE1 1BD","L99999999","Channel Islands"
"JE1 1BF","L99999999","Channel Islands"
"JE1 1BG","L99999999","Channel Islands"
"JE1 1BH","L99999999","Channel Islands"
"JE1 1BJ","L99999999","Channel Islands"
"JE1 1BL","L99999999","Channel Islands"
"JE1 1BN","L99999999","Channel Islands"
"JE1 1BP","L99999999","Channel Islands"
"JE1 1BQ","L99999999","Channel Islands"
"JE1 1BR","L99999999","Channel Islands"
"JE1 1BS","L99999999","Channel Islands"
"JE1 1BT","L99999999","Channel Islands"
"JE1 1BU","L99999999","Channel Islands"
"JE1 1BW","L99999999","Channel Islands"
"JE1 1BX","L99999999","Channel Islands"
"JE1 1BY","L99999999","Channel Islands"
"JE1 1BZ","L99999999","Channel Islands"
"JE1 1DB","L99999999","Channel Islands"
"JE1 1DD","L99999999","Channel Islands"
"JE1 1DE","L99999999","Channel Islands"
"JE1 1DG","L99999999","Channel Islands"
"JE1 1DJ","L99999999","Channel Islands"
"JE1 1DL","L99999999","Channel Islands"
"JE1 1DS","L99999999","Channel Islands"
"JE1 1EE","L99999999","Channel Islands"
"JE1 1EH","L99999999","Channel Islands"
"JE1 1EQ","L99999999","Channel Islands"
"JE1 1ES","L99999999","Channel Islands"
"JE1 1ET","L99999999","Channel Islands"
"JE1 1EY","L99999999","Channel Islands"
"JE1 1FB","L99999999","Channel Islands"
"JE1 1FG","L99999999","Channel Islands"
"JE1 1FH","L99999999","Channel Islands"
"JE1 1FS","L99999999","Channel Islands"
"JE1 1FT","L99999999","Channel Islands"
"JE1 1FW","L99999999","Channel Islands"
"JE1 1FX","L99999999","Channel Islands"
"JE1 1GG","L99999999","Channel Islands"
"JE1 1GH","L99999999","Channel Islands"
"JE1 1GL","L99999999","Channel Islands"
"JE1 1GT","L99999999","Channel Islands"
"JE1 1HB","L99999999","Channel Islands"
"JE1 1HE","L99999999","Channel Islands"
"JE1 1HH","L99999999","Channel Islands"
"JE1 1HL","L99999999","Channel Islands"
"JE1 1HS","L99999999","Channel Islands"
"JE1 1JD","L99999999","Channel Islands"
"JE1 1JE","L99999999","Channel Islands"
"JE1 1JG","L99999999","Channel Islands"
"JE1 1JJ","L99999999","Channel Islands"
"JE1 1JL","L99999999","Channel Islands"
"JE1 1JP","L99999999","Channel Islands"
"JE1 1JR","L99999999","Channel Islands"
"JE1 1JW","L99999999","Channel Islands"
"JE1 1JY","L99999999","Channel Islands"
"JE1 1LB","L99999999","Channel Islands"
"JE1 1LD","L99999999","Channel Islands"
"JE1 1LH","L99999999","Channel Islands"
"JE1 1LR","L99999999","Channel Islands"
"JE1 1LS","L99999999","Channel Islands"
"JE1 1NB","L99999999","Channel Islands"
"JE1 1NH","L99999999","Channel Islands"
"JE1 1NT","L99999999","Channel Islands"
"JE1 1PB","L99999999","Channel Islands"
"JE1 1PP","L99999999","Channel Islands"
"JE1 1QJ","L99999999","Channel Islands"
"JE1 1RB","L99999999","Channel Islands"
"JE1 1SB","L99999999","Channel Islands"
"JE1 1SG","L99999999","Channel Islands"
"JE1 1SN","L99999999","Channel Islands"
"JE1 1ST","L99999999","Channel Islands"
"JE1 1SW","L99999999","Channel Islands"
"JE1 1TB","L99999999","Channel Islands"
"JE1 1TD","L99999999","Channel Islands"
"JE1 1TR","L99999999","Channel Islands"
"JE1 1UG","L99999999","Channel Islands"
"JE1 1WT","L99999999","Channel Islands"
"JE1 1XX","L99999999","Channel Islands"
"JE1 1YS","L99999999","Channel Islands"
"JE1 1ZZ","L99999999","Channel Islands"
"JE1 2AA","L99999999","Channel Islands"
"JE1 2BP","L99999999","Channel Islands"
"JE1 2DJ","L99999999","Channel Islands"
"JE1 2HS","L99999999","Channel Islands"
"JE1 2JL","L99999999","Channel Islands"
"JE1 2LH","L99999999","Channel Islands"
"JE1 2PB","L99999999","Channel Islands"
"JE1 2PP","L99999999","Channel Islands"
"JE1 2RB","L99999999","Channel Islands"
"JE1 2ST","L99999999","Channel Islands"
"JE1 2TR","L99999999","Channel Islands"
"JE1 2UG","L99999999","Channel Islands"
"JE1 2UU","L99999999","Channel Islands"
"JE1 3BB","L99999999","Channel Islands"
"JE1 3FG","L99999999","Channel Islands"
"JE1 3GG","L99999999","Channel Islands"
"JE1 3HF","L99999999","Channel Islands"
"JE1 3NH","L99999999","Channel Islands"
"JE1 3PB","L99999999","Channel Islands"
"JE1 3QS","L99999999","Channel Islands"
"JE1 3RB","L99999999","Channel Islands"
"JE1 3SL","L99999999","Channel Islands"
"JE1 3UA","L99999999","Channel Islands"
"JE1 3UB","L99999999","Channel Islands"
"JE1 3UD","L99999999","Channel Islands"
"JE1 3UE","L99999999","Channel Islands"
"JE1 3UF","L99999999","Channel Islands"
"JE1 3UG","L99999999","Channel Islands"
"JE1 3UH","L99999999","Channel Islands"
"JE1 3UJ","L99999999","Channel Islands"
"JE1 3UL","L99999999","Channel Islands"
"JE1 3UN","L99999999","Channel Islands"
"JE1 3UP","L99999999","Channel Islands"
"JE1 3UQ","L99999999","Channel Islands"
"JE1 3UR","L99999999","Channel Islands"
"JE1 3US","L99999999","Channel Islands"
"JE1 3UT","L99999999","Channel Islands"
"JE1 3WF","L99999999","Channel Islands"
"JE1 3ZD","L99999999","Channel Islands"
"JE1 4BB","L99999999","Channel Islands"
"JE1 4BP","L99999999","Channel Islands"
"JE1 4BT","L99999999","Channel Islands"
"JE1 4DJ","L99999999","Channel Islands"
"JE1 4DS","L99999999","Channel Islands"
"JE1 4FS","L99999999","Channel Islands"
"JE1 4HA","L99999999","Channel Islands"
"JE1 4HB","L99999999","Channel Islands"
"JE1 4HD","L99999999","Channel Islands"
"JE1 4HE","L99999999","Channel Islands"
"JE1 4HF","L99999999","Channel Islands"
"JE1 4HG","L99999999","Channel Islands"
"JE1 4HH","L99999999","Channel Islands"
"JE1 4HJ","L99999999","Channel Islands"
"JE1 4HL","L99999999","Channel Islands"
"JE1 4HN","L99999999","Channel Islands"
"JE1 4HP","L99999999","Channel Islands"
"JE1 4HQ","L99999999","Channel Islands"
"JE1 4HR","L99999999","Channel Islands"
"JE1 4HS","L99999999","Channel Islands"
"JE1 4HT","L99999999","Channel Islands"
"JE1 4HU","L99999999","Channel Islands"
"JE1 4HW","L99999999","Channel Islands"
"JE1 4HX","L99999999","Channel Islands"
"JE1 4HY","L99999999","Channel Islands"
"JE1 4PB","L99999999","Channel Islands"
"JE1 4RB","L99999999","Channel Islands"
"JE1 4TR","L99999999","Channel Islands"
"JE1 4UG","L99999999","Channel Islands"
"JE1 4UU","L99999999","Channel Islands"
"JE1 4XA","L99999999","Channel Islands"
"JE1 4XD","L99999999","Channel Islands"
"JE1 4XE","L99999999","Channel Islands"
"JE1 4XF","L99999999","Channel Islands"
"JE1 4XG","L99999999","Channel Islands"
"JE1 4XL","L99999999","Channel Islands"
"JE1 4ZN","L99999999","Channel Islands"
"JE1 5AF","L99999999","Channel Islands"
"JE1 5BP","L99999999","Channel Islands"
"JE1 5BR","L99999999","Channel Islands"
"JE1 5DJ","L99999999","Channel Islands"
"JE1 5FF","L99999999","Channel Islands"
"JE1 5HP","L99999999","Channel Islands"
"JE1 5JP","L99999999","Channel Islands"
"JE1 5PB","L99999999","Channel Islands"
"JE1 5SS","L99999999","Channel Islands"
