pcd,lad23cd,lad23nm
"KA1 1AA","S12000008","East Ayrshire"
"KA1 1AD","S12000008","East Ayrshire"
"KA1 1AE","S12000008","East Ayrshire"
"KA1 1AF","S12000008","East Ayrshire"
"KA1 1AH","S12000008","East Ayrshire"
"KA1 1AR","S12000008","East Ayrshire"
"KA1 1AX","S12000008","East Ayrshire"
"KA1 1AY","S12000008","East Ayrshire"
"KA1 1BA","S12000008","East Ayrshire"
"KA1 1BB","S12000008","East Ayrshire"
"KA1 1BD","S12000008","East Ayrshire"
"KA1 1BE","S12000008","East Ayrshire"
"KA1 1BF","S12000008","East Ayrshire"
"KA1 1BG","S12000008","East Ayrshire"
"KA1 1BH","S12000008","East Ayrshire"
"KA1 1BJ","S12000008","East Ayrshire"
"KA1 1BL","S12000008","East Ayrshire"
"KA1 1BN","S12000008","East Ayrshire"
"KA1 1BP","S12000008","East Ayrshire"
"KA1 1BQ","S12000008","East Ayrshire"
"KA1 1BS","S12000008","East Ayrshire"
"KA1 1BT","S12000008","East Ayrshire"
"KA1 1BU","S12000008","East Ayrshire"
"KA1 1BW","S12000008","East Ayrshire"
"KA1 1BX","S12000008","East Ayrshire"
"KA1 1BY","S12000008","East Ayrshire"
"KA1 1BZ","S12000008","East Ayrshire"
"KA1 1DA","S12000008","East Ayrshire"
"KA1 1DB","S12000008","East Ayrshire"
"KA1 1DD","S12000008","East Ayrshire"
"KA1 1DE","S12000008","East Ayrshire"
"KA1 1DF","S12000008","East Ayrshire"
"KA1 1DG","S12000008","East Ayrshire"
"KA1 1DH","S12000008","East Ayrshire"
"KA1 1DJ","S12000008","East Ayrshire"
"KA1 1DL","S12000008","East Ayrshire"
"KA1 1DN","S12000008","East Ayrshire"
"KA1 1DP","S12000008","East Ayrshire"
"KA1 1DQ","S12000008","East Ayrshire"
"KA1 1DS","S12000008","East Ayrshire"
"KA1 1DT","S12000008","East Ayrshire"
"KA1 1DU","S12000008","East Ayrshire"
"KA1 1DX","S12000008","East Ayrshire"
"KA1 1DY","S12000008","East Ayrshire"
"KA1 1DZ","S12000008","East Ayrshire"
"KA1 1EA","S12000008","East Ayrshire"
"KA1 1EB","S12000008","East Ayrshire"
"KA1 1ED","S12000008","East Ayrshire"
