pcd,lad23cd,lad23nm
"KT1 1AA","E09000021","Kingston upon Thames"
"KT1 1AB","E09000021","Kingston upon Thames"
"KT1 1AD","E09000021","Kingston upon Thames"
"KT1 1AE","E09000021","Kingston upon Thames"
"KT1 1AF","E09000021","Kingston upon Thames"
"KT1 1AH","E09000021","Kingston upon Thames"
"KT1 1AJ","E09000021","Kingston upon Thames"
"KT1 1AL","E09000021","Kingston upon Thames"
"KT1 1AN","E09000021","Kingston upon Thames"
"KT1 1AP","E09000021","Kingston upon Thames"
"KT1 1AQ","E09000021","Kingston upon Thames"
"KT1 1AR","E09000021","Kingston upon Thames"
"KT1 1AS","E09000021","Kingston upon Thames"
"KT1 1AZ","E09000021","Kingston upon Thames"
"KT1 1BA","E09000021","Kingston upon Thames"
"KT1 1BB","E09000021","Kingston upon Thames"
"KT1 1BD","E09000021","Kingston upon Thames"
"KT1 1BE","E09000021","Kingston upon Thames"
"KT1 1BG","E09000021","Kingston upon Thames"
"KT1 1BJ","E09000021","Kingston upon Thames"
"KT1 1BL","E09000021","Kingston upon Thames"
"KT1 1BN","E09000021","Kingston upon Thames"
"KT1 1BP","E09000021","Kingston upon Thames"
"KT1 1BQ","E09000021","Kingston upon Thames"
"KT1 1BS","E09000021","Kingston upon Thames"
"KT1 1BT","E09000021","Kingston upon Thames"
"KT1 1BU","E09000021","Kingston upon Thames"
"KT1 1BW","E09000021","Kingston upon Thames"
"KT1 1BX","E09000021","Kingston upon Thames"
"KT1 1BY","E09000021","Kingston upon Thames"
"KT1 1BZ","E09000021","Kingston upon Thames"
"KT1 1DA","E09000021","Kingston upon Thames"
"KT1 1DB","E09000021","Kingston upon Thames"
"KT1 1DD","E09000021","Kingston upon Thames"
"KT1 1DE","E09000021","Kingston upon Thames"
"KT1 1DF","E09000021","Kingston upon Thames"
"KT1 1DG","E09000021","Kingston upon Thames"
"KT1 1DH","E09000021","Kingston upon Thames"
"KT1 1DJ","E09000021","Kingston upon Thames"
"KT1 1DL","E09000021","Kingston upon Thames"
"KT1 1DN","E09000021","Kingston upon Thames"
"KT1 1DP","E09000021","Kingston upon Thames"
"KT1 1DQ","E09000021","Kingston upon Thames"
"KT1 1DR","E09000021","Kingston upon Thames"
"KT1 1DS","E09000021","Kingston upon Thames"
"KT1 1DT","E09000021","Kingston upon Thames"
"KT1 1DU","E09000021","Kingston upon Thames"
"KT1 1DW","E09000021","Kingston upon Thames"
"KT1 1DX","E09000021","Kingston upon Thames"
"KT1 1DY","E09000021","Kingston upon Thames"
"KT1 1DZ","E09000027","Richmond upon Thames"
"KT1 1EA","E09000021","Kingston upon Thames"
"KT1 1EB","E09000021","Kingston upon Thames"
"KT1 1ED","E09000021","Kingston upon Thames"
"KT1 1EE","E09000021","Kingston upon Thames"
"KT1 1EF","E09000021","Kingston upon Thames"
"KT1 1EG","E09000021","Kingston upon Thames"
"KT1 1EH","E09000021","Kingston upon Thames"
"KT1 1EJ","E09000021","Kingston upon Thames"
"KT1 1EL","E09000021","Kingston upon Thames"
"KT1 1EN","E09000021","Kingston upon Thames"
"KT1 1EP","E09000021","Kingston upon Thames"
"KT1 1EQ","E09000021","Kingston upon Thames"
"KT1 1ER","E09000021","Kingston upon Thames"
"KT1 1ES","E09000021","Kingston upon Thames"
"KT1 1ET","E09000021","Kingston upon Thames"
"KT1 1EU","E09000021","Kingston upon Thames"
"KT1 1EW","E09000021","Kingston upon Thames"
"KT1 1EX","E09000021","Kingston upon Thames"
"KT1 1EY","E09000021","Kingston upon Thames"
"KT1 1EZ","E09000021","Kingston upon Thames"
"KT1 1HA","E09000021","Kingston upon Thames"
"KT1 1HB","E09000021","Kingston upon Thames"
"KT1 1HD","E09000021","Kingston upon Thames"
"KT1 1HE","E09000021","Kingston upon Thames"
"KT1 1HF","E09000021","Kingston upon Thames"
"KT1 1HG","E09000021","Kingston upon Thames"
"KT1 1HH","E09000021","Kingston upon Thames"
"KT1 1HJ","E09000021","Kingston upon Thames"
"KT1 1HL","E09000021","Kingston upon Thames"
"KT1 1HN","E09000021","Kingston upon Thames"
"KT1 1HP","E09000021","Kingston upon Thames"
"KT1 1HR","E09000021","Kingston upon Thames"
"KT1 1HS","E09000021","Kingston upon Thames"
"KT1 1HT","E09000021","Kingston upon Thames"
"KT1 1HU","E09000021","Kingston upon Thames"
"KT1 1HW","E09000021","Kingston upon Thames"
"KT1 1HX","E09000021","Kingston upon Thames"
"KT1 1HY","E09000021","Kingston upon Thames"
"KT1 1HZ","E09000021","Kingston upon Thames"
"KT1 1JA","E09000021","Kingston upon Thames"
"KT1 1JB","E09000021","Kingston upon Thames"
"KT1 1JD","E09000021","Kingston upon Thames"
"KT1 1JE","E09000021","Kingston upon Thames"
"KT1 1JF","E09000021","Kingston upon Thames"
"KT1 1JG","E09000021","Kingston upon Thames"
"KT1 1JH","E09000021","Kingston upon Thames"
"KT1 1JJ","E09000021","Kingston upon Thames"
"KT1 1JL","E09000021","Kingston upon Thames"
