pcd,lad23cd,lad23nm
"KY1 1AA","S12000047","Fife"
"KY1 1AB","S12000047","Fife"
"KY1 1AD","S12000047","Fife"
"KY1 1AF","S12000047","Fife"
"KY1 1AG","S12000047","Fife"
"KY1 1AH","S12000047","Fife"
"KY1 1AJ","S12000047","Fife"
"KY1 1AL","S12000047","Fife"
"KY1 1AN","S12000047","Fife"
"KY1 1AW","S12000047","Fife"
"KY1 1BA","S12000047","Fife"
"KY1 1BB","S12000047","Fife"
"KY1 1BD","S12000047","Fife"
"KY1 1BE","S12000047","Fife"
"KY1 1BG","S12000047","Fife"
"KY1 1BH","S12000047","Fife"
"KY1 1BJ","S12000047","Fife"
"KY1 1BL","S12000047","Fife"
"KY1 1BN","S12000047","Fife"
"KY1 1BP","S12000047","Fife"
"KY1 1BQ","S12000047","Fife"
"KY1 1BS","S12000047","Fife"
"KY1 1BT","S12000047","Fife"
"KY1 1BU","S12000047","Fife"
"KY1 1BX","S12000047","Fife"
"KY1 1BZ","S12000047","Fife"
"KY1 1DA","S12000047","Fife"
"KY1 1DB","S12000047","Fife"
"KY1 1DD","S12000047","Fife"
"KY1 1DE","S12000047","Fife"
"KY1 1DF","S12000047","Fife"
"KY1 1DG","S12000047","Fife"
"KY1 1DH","S12000047","Fife"
"KY1 1DJ","S12000047","Fife"
"KY1 1DL","S12000047","Fife"
"KY1 1DN","S12000047","Fife"
"KY1 1DP","S12000047","Fife"
"KY1 1DQ","S12000047","Fife"
"KY1 1DR","S12000047","Fife"
"KY1 1DS","S12000047","Fife"
"KY1 1DT","S12000047","Fife"
"KY1 1DU","S12000047","Fife"
"KY1 1DW","S12000047","Fife"
"KY1 1DX","S12000047","Fife"
"KY1 1DY","S12000047","Fife"
"KY1 1DZ","S12000047","Fife"
"KY1 1EA","S12000047","Fife"
"KY1 1EB","S12000047","Fife"
"KY1 1ED","S12000047","Fife"
"KY1 1EE","S12000047","Fife"
"KY1 1EF","S12000047","Fife"
"KY1 1EG","S12000047","Fife"
"KY1 1EH","S12000047","Fife"
"KY1 1EJ","S12000047","Fife"
"KY1 1EL","S12000047","Fife"
"KY1 1EN","S12000047","Fife"
"KY1 1EP","S12000047","Fife"
"KY1 1EQ","S12000047","Fife"
"KY1 1ER","S12000047","Fife"
"KY1 1ES","S12000047","Fife"
"KY1 1ET","S12000047","Fife"
"KY1 1EU","S12000047","Fife"
"KY1 1EW","S12000047","Fife"
"KY1 1EX","S12000047","Fife"
"KY1 1EY","S12000047","Fife"
"KY1 1EZ","S12000047","Fife"
"KY1 1GA","S12000047","Fife"
"KY1 1GB","S12000047","Fife"
"KY1 1GD","S12000047","Fife"
"KY1 1GE","S12000047","Fife"
"KY1 1GF","S12000047","Fife"
"KY1 1GG","S12000047","Fife"
"KY1 1GH","S12000047","Fife"
"KY1 1GJ","S12000047","Fife"
"KY1 1GL","S12000047","Fife"
"KY1 1HA","S12000047","Fife"
"KY1 1HB","S12000047","Fife"
"KY1 1HD","S12000047","Fife"
"KY1 1HE","S12000047","Fife"
"KY1 1HF","S12000047","Fife"
"KY1 1HG","S12000047","Fife"
"KY1 1HH","S12000047","Fife"
"KY1 1HJ","S12000047","Fife"
"KY1 1HL","S12000047","Fife"
"KY1 1HN","S12000047","Fife"
"KY1 1HP","S12000047","Fife"
"KY1 1HQ","S12000047","Fife"
"KY1 1HR","S12000047","Fife"
"KY1 1HS","S12000047","Fife"
"KY1 1HT","S12000047","Fife"
"KY1 1HU","S12000047","Fife"
"KY1 1HX","S12000047","Fife"
"KY1 1HY","S12000047","Fife"
"KY1 1HZ","S12000047","Fife"
