pcd,lad23cd,lad23nm
"L1  0AA","E08000012","Liverpool"
"L1  0AB","E08000012","Liverpool"
"L1  0AD","E08000012","Liverpool"
"L1  0AE","E08000012","Liverpool"
"L1  0AF","E08000012","Liverpool"
"L1  0AG","E08000012","Liverpool"
"L1  0AH","E08000012","Liverpool"
"L1  0AJ","E08000012","Liverpool"
"L1  0AL","E08000012","Liverpool"
"L1  0AN","E08000012","Liverpool"
"L1  0AP","E08000012","Liverpool"
"L1  0AQ","E08000012","Liverpool"
"L1  0AR","E08000012","Liverpool"
"L1  0AS","E08000012","Liverpool"
"L1  0AT","E08000012","Liverpool"
"L1  0AU","E08000012","Liverpool"
"L1  0AW","E08000012","Liverpool"
"L1  0AX","E08000012","Liverpool"
"L1  0AY","E08000012","Liverpool"
"L1  0AZ","E08000012","Liverpool"
"L1  0BA","E08000012","Liverpool"
"L1  0BB","E08000012","Liverpool"
"L1  0BD","E08000012","Liverpool"
"L1  0BE","E08000012","Liverpool"
"L1  0BF","E08000012","Liverpool"
"L1  0BG","E08000012","Liverpool"
"L1  0BH","E08000012","Liverpool"
"L1  0BJ","E08000012","Liverpool"
"L1  0BL","E08000012","Liverpool"
"L1  0BN","E08000012","Liverpool"
"L1  0BP","E08000012","Liverpool"
"L1  0BQ","E08000012","Liverpool"
"L1  0BS","E08000012","Liverpool"
"L1  0BT","E08000012","Liverpool"
"L1  0BW","E08000012","Liverpool"
"L1  0BX","E08000012","Liverpool"
"L1  0BY","E08000012","Liverpool"
"L1  0DA","E08000012","Liverpool"
"L1  0DB","E08000012","Liverpool"
"L1  0DD","E08000012","Liverpool"
"L1  0DE","E08000012","Liverpool"
"L1  0DF","E08000012","Liverpool"
"L1  0DG","E08000012","Liverpool"
"L1  0DH","E08000012","Liverpool"
"L1  0DN","E08000012","Liverpool"
"L1  0DP","E08000012","Liverpool"
"L1  0DQ","E08000012","Liverpool"
"L1  0DS","E08000012","Liverpool"
"L1  0DU","E08000012","Liverpool"
"L1  0DW","E08000012","Liverpool"
"L1  0DX","E08000012","Liverpool"
"L1  0DY","E08000012","Liverpool"
"L1  0EB","E08000012","Liverpool"
"L1  0GG","E08000012","Liverpool"
"L1  0YA","E08000012","Liverpool"
"L1  1AA","E08000012","Liverpool"
"L1  1AD","E08000012","Liverpool"
"L1  1AH","E08000012","Liverpool"
"L1  1DA","E08000012","Liverpool"
"L1  1DB","E08000012","Liverpool"
"L1  1DD","E08000012","Liverpool"
"L1  1DE","E08000012","Liverpool"
"L1  1DF","E08000012","Liverpool"
"L1  1DG","E08000012","Liverpool"
"L1  1DH","E08000012","Liverpool"
"L1  1DJ","E08000012","Liverpool"
"L1  1DN","E08000012","Liverpool"
"L1  1DP","E08000012","Liverpool"
"L1  1DQ","E08000012","Liverpool"
"L1  1DS","E08000012","Liverpool"
"L1  1DT","E08000012","Liverpool"
"L1  1DW","E08000012","Liverpool"
"L1  1DX","E08000012","Liverpool"
"L1  1DZ","E08000012","Liverpool"
"L1  1EA","E08000012","Liverpool"
"L1  1EB","E08000012","Liverpool"
"L1  1ED","E08000012","Liverpool"
"L1  1EE","E08000012","Liverpool"
"L1  1EF","E08000012","Liverpool"
"L1  1EG","E08000012","Liverpool"
"L1  1EH","E08000012","Liverpool"
"L1  1EJ","E08000012","Liverpool"
"L1  1EL","E08000012","Liverpool"
"L1  1EP","E08000012","Liverpool"
"L1  1EQ","E08000012","Liverpool"
"L1  1ES","E08000012","Liverpool"
"L1  1ET","E08000012","Liverpool"
"L1  1EW","E08000012","Liverpool"
"L1  1FS","E08000012","Liverpool"
"L1  1HF","E08000012","Liverpool"
"L1  1HH","E08000012","Liverpool"
"L1  1HL","E08000012","Liverpool"
"L1  1HN","E08000012","Liverpool"
"L1  1HP","E08000012","Liverpool"
"L1  1HQ","E08000012","Liverpool"
"L1  1HS","E08000012","Liverpool"
"L1  1HT","E08000012","Liverpool"
"L1  1HU","E08000012","Liverpool"
"L1  1HW","E08000012","Liverpool"
"L1  1HX","E08000012","Liverpool"
"L1  1JA","E08000012","Liverpool"
"L1  1JB","E08000012","Liverpool"
"L1  1JD","E08000012","Liverpool"
"L1  1JE","E08000012","Liverpool"
"L1  1JF","E08000012","Liverpool"
"L1  1JG","E08000012","Liverpool"
"L1  1JH","E08000012","Liverpool"
"L1  1JJ","E08000012","Liverpool"
"L1  1JL","E08000012","Liverpool"
"L1  1JN","E08000012","Liverpool"
"L1  1JP","E08000012","Liverpool"
"L1  1JQ","E08000012","Liverpool"
"L1  1JR","E08000012","Liverpool"
"L1  1JT","E08000012","Liverpool"
"L1  1JW","E08000012","Liverpool"
"L1  1JX","E08000012","Liverpool"
"L1  1LD","E08000012","Liverpool"
"L1  1LE","E08000012","Liverpool"
"L1  1LF","E08000012","Liverpool"
"L1  1LG","E08000012","Liverpool"
"L1  1LH","E08000012","Liverpool"
"L1  1LJ","E08000012","Liverpool"
"L1  1LL","E08000012","Liverpool"
"L1  1LN","E08000012","Liverpool"
"L1  1LP","E08000012","Liverpool"
"L1  1LQ","E08000012","Liverpool"
"L1  1LR","E08000012","Liverpool"
"L1  1LS","E08000012","Liverpool"
"L1  1LT","E08000012","Liverpool"
"L1  1LU","E08000012","Liverpool"
"L1  1LW","E08000012","Liverpool"
"L1  1LX","E08000012","Liverpool"
"L1  1LY","E08000012","Liverpool"
"L1  1LZ","E08000012","Liverpool"
"L1  1NA","E08000012","Liverpool"
"L1  1NB","E08000012","Liverpool"
"L1  1ND","E08000012","Liverpool"
"L1  1NE","E08000012","Liverpool"
"L1  1NF","E08000012","Liverpool"
"L1  1NG","E08000012","Liverpool"
"L1  1NH","E08000012","Liverpool"
"L1  1NJ","E08000012","Liverpool"
"L1  1NL","E08000012","Liverpool"
"L1  1NN","E08000012","Liverpool"
"L1  1NP","E08000012","Liverpool"
"L1  1NQ","E08000012","Liverpool"
"L1  1NR","E08000012","Liverpool"
"L1  1NS","E08000012","Liverpool"
"L1  1NT","E08000012","Liverpool"
"L1  1NU","E08000012","Liverpool"
"L1  1NW","E08000012","Liverpool"
"L1  1NX","E08000012","Liverpool"
"L1  1NY","E08000012","Liverpool"
"L1  1NZ","E08000012","Liverpool"
"L1  1PA","E08000012","Liverpool"
"L1  1PD","E08000012","Liverpool"
"L1  1PG","E08000012","Liverpool"
"L1  1PJ","E08000012","Liverpool"
"L1  1PL","E08000012","Liverpool"
"L1  1PN","E08000012","Liverpool"
"L1  1PQ","E08000012","Liverpool"
"L1  1PS","E08000012","Liverpool"
"L1  1PU","E08000012","Liverpool"
"L1  1PW","E08000012","Liverpool"
"L1  1PZ","E08000012","Liverpool"
"L1  1QA","E08000012","Liverpool"
"L1  1QD","E08000012","Liverpool"
"L1  1QE","E08000012","Liverpool"
"L1  1QL","E08000012","Liverpool"
"L1  1QQ","E08000012","Liverpool"
"L1  1QR","E08000012","Liverpool"
"L1  1QS","E08000012","Liverpool"
"L1  1QT","E08000012","Liverpool"
"L1  1QX","E08000012","Liverpool"
"L1  1QY","E08000012","Liverpool"
"L1  1RD","E08000012","Liverpool"
"L1  1RF","E08000012","Liverpool"
"L1  1RG","E08000012","Liverpool"
"L1  1RH","E08000012","Liverpool"
"L1  1RJ","E08000012","Liverpool"
"L1  1RL","E08000012","Liverpool"
"L1  1RQ","E08000012","Liverpool"
"L1  2AA","E08000012","Liverpool"
"L1  2AB","E08000012","Liverpool"
"L1  2SA","E08000012","Liverpool"
"L1  2SB","E08000012","Liverpool"
"L1  2SD","E08000012","Liverpool"
"L1  2SE","E08000012","Liverpool"
"L1  2SF","E08000012","Liverpool"
"L1  2SG","E08000012","Liverpool"
"L1  2SH","E08000012","Liverpool"
"L1  2SJ","E08000012","Liverpool"
"L1  2SL","E08000012","Liverpool"
"L1  2SN","E08000012","Liverpool"
"L1  2SP","E08000012","Liverpool"
"L1  2SR","E08000012","Liverpool"
"L1  2SS","E08000012","Liverpool"
"L1  2ST","E08000012","Liverpool"
"L1  2SU","E08000012","Liverpool"
"L1  2SW","E08000012","Liverpool"
"L1  2SX","E08000012","Liverpool"
"L1  2SY","E08000012","Liverpool"
"L1  2TA","E08000012","Liverpool"
"L1  2TB","E08000012","Liverpool"
"L1  2TD","E08000012","Liverpool"
