pcd,lad23cd,lad23nm
"LA1 1AA","E07000121","Lancaster"
"LA1 1AB","E07000121","Lancaster"
"LA1 1AD","E07000121","Lancaster"
"LA1 1AE","E07000121","Lancaster"
"LA1 1AF","E07000121","Lancaster"
"LA1 1AG","E07000121","Lancaster"
"LA1 1AH","E07000121","Lancaster"
"LA1 1AJ","E07000121","Lancaster"
"LA1 1AL","E07000121","Lancaster"
"LA1 1AN","E07000121","Lancaster"
"LA1 1AP","E07000121","Lancaster"
"LA1 1AQ","E07000121","Lancaster"
"LA1 1AR","E07000121","Lancaster"
"LA1 1AS","E07000121","Lancaster"
"LA1 1AT","E07000121","Lancaster"
"LA1 1AU","E07000121","Lancaster"
"LA1 1AW","E07000121","Lancaster"
"LA1 1AY","E07000121","Lancaster"
"LA1 1AZ","E07000121","Lancaster"
"LA1 1BA","E07000121","Lancaster"
"LA1 1BB","E07000121","Lancaster"
"LA1 1BD","E07000121","Lancaster"
"LA1 1BE","E07000121","Lancaster"
"LA1 1BF","E07000121","Lancaster"
"LA1 1BG","E07000121","Lancaster"
"LA1 1BH","E07000121","Lancaster"
"LA1 1BJ","E07000121","Lancaster"
"LA1 1BL","E07000121","Lancaster"
"LA1 1BN","E07000121","Lancaster"
"LA1 1BP","E07000121","Lancaster"
"LA1 1BQ","E07000121","Lancaster"
"LA1 1BS","E07000121","Lancaster"
"LA1 1BT","E07000121","Lancaster"
"LA1 1BU","E07000121","Lancaster"
"LA1 1BW","E07000121","Lancaster"
"LA1 1BX","E07000121","Lancaster"
"LA1 1BY","E07000121","Lancaster"
"LA1 1BZ","E07000121","Lancaster"
"LA1 1DA","E07000121","Lancaster"
"LA1 1DB","E07000121","Lancaster"
"LA1 1DD","E07000121","Lancaster"
"LA1 1DE","E07000121","Lancaster"
"LA1 1DF","E07000121","Lancaster"
"LA1 1DG","E07000121","Lancaster"
"LA1 1DH","E07000121","Lancaster"
"LA1 1DJ","E07000121","Lancaster"
"LA1 1DL","E07000121","Lancaster"
"LA1 1DN","E07000121","Lancaster"
"LA1 1DP","E07000121","Lancaster"
"LA1 1DQ","E07000121","Lancaster"
"LA1 1DR","E07000121","Lancaster"
"LA1 1DS","E07000121","Lancaster"
"LA1 1DT","E07000121","Lancaster"
"LA1 1DU","E07000121","Lancaster"
"LA1 1DW","E07000121","Lancaster"
"LA1 1DX","E07000121","Lancaster"
"LA1 1DY","E07000121","Lancaster"
"LA1 1DZ","E07000121","Lancaster"
"LA1 1EA","E07000121","Lancaster"
"LA1 1EB","E07000121","Lancaster"
"LA1 1ED","E07000121","Lancaster"
"LA1 1EE","E07000121","Lancaster"
"LA1 1EF","E07000121","Lancaster"
"LA1 1EG","E07000121","Lancaster"
"LA1 1EH","E07000121","Lancaster"
"LA1 1EJ","E07000121","Lancaster"
"LA1 1EL","E07000121","Lancaster"
"LA1 1EN","E07000121","Lancaster"
"LA1 1EP","E07000121","Lancaster"
"LA1 1EQ","E07000121","Lancaster"
"LA1 1ER","E07000121","Lancaster"
"LA1 1ES","E07000121","Lancaster"
"LA1 1ET","E07000121","Lancaster"
"LA1 1EU","E07000121","Lancaster"
"LA1 1EW","E07000121","Lancaster"
"LA1 1EX","E07000121","Lancaster"
"LA1 1EY","E07000121","Lancaster"
"LA1 1EZ","E07000121","Lancaster"
"LA1 1FA","E07000121","Lancaster"
"LA1 1FB","E07000121","Lancaster"
"LA1 1FD","E07000121","Lancaster"
"LA1 1FF","E07000121","Lancaster"
"LA1 1FG","E07000121","Lancaster"
"LA1 1FH","E07000121","Lancaster"
"LA1 1FJ","E07000121","Lancaster"
"LA1 1FL","E07000121","Lancaster"
"LA1 1FN","E07000121","Lancaster"
"LA1 1FP","E07000121","Lancaster"
"LA1 1FQ","E07000121","Lancaster"
"LA1 1FR","E07000121","Lancaster"
"LA1 1FS","E07000121","Lancaster"
"LA1 1FT","E07000121","Lancaster"
"LA1 1FU","E07000121","Lancaster"
"LA1 1FW","E07000121","Lancaster"
"LA1 1FX","E07000121","Lancaster"
"LA1 1FY","E07000121","Lancaster"
"LA1 1FZ","E07000121","Lancaster"
"LA1 1GA","E07000121","Lancaster"
"LA1 1GB","E07000121","Lancaster"
"LA1 1GD","E07000121","Lancaster"
"LA1 1GE","E07000121","Lancaster"
"LA1 1GF","E07000121","Lancaster"
"LA1 1GG","E07000121","Lancaster"
"LA1 1GH","E07000121","Lancaster"
"LA1 1GJ","E07000121","Lancaster"
"LA1 1GL","E07000121","Lancaster"
"LA1 1GN","E07000121","Lancaster"
"LA1 1GP","E07000121","Lancaster"
"LA1 1GQ","E07000121","Lancaster"
"LA1 1GR","E07000121","Lancaster"
"LA1 1GS","E07000121","Lancaster"
"LA1 1GT","E07000121","Lancaster"
"LA1 1GU","E07000121","Lancaster"
"LA1 1GW","E07000121","Lancaster"
"LA1 1GX","E07000121","Lancaster"
"LA1 1GY","E07000121","Lancaster"
