pcd,lad23cd,lad23nm
"LD1 5AA","W06000023","Powys"
"LD1 5AB","W06000023","Powys"
"LD1 5AD","W06000023","Powys"
"LD1 5AE","W06000023","Powys"
"LD1 5AF","W06000023","Powys"
"LD1 5AG","W06000023","Powys"
"LD1 5AJ","W06000023","Powys"
"LD1 5AL","W06000023","Powys"
"LD1 5AN","W06000023","Powys"
"LD1 5AP","W06000023","Powys"
"LD1 5BA","W06000023","Powys"
"LD1 5BB","W06000023","Powys"
"LD1 5BD","W06000023","Powys"
"LD1 5BE","W06000023","Powys"
"LD1 5BF","W06000023","Powys"
"LD1 5BG","W06000023","Powys"
"LD1 5BH","W06000023","Powys"
"LD1 5BJ","W06000023","Powys"
"LD1 5BL","W06000023","Powys"
"LD1 5BN","W06000023","Powys"
"LD1 5BP","W06000023","Powys"
"LD1 5BQ","W06000023","Powys"
"LD1 5BS","W06000023","Powys"
"LD1 5BT","W06000023","Powys"
"LD1 5BU","W06000023","Powys"
"LD1 5BW","W06000023","Powys"
"LD1 5BX","W06000023","Powys"
"LD1 5BY","W06000023","Powys"
"LD1 5BZ","W06000023","Powys"
"LD1 5DA","W06000023","Powys"
"LD1 5DB","W06000023","Powys"
"LD1 5DD","W06000023","Powys"
"LD1 5DE","W06000023","Powys"
"LD1 5DF","W06000023","Powys"
"LD1 5DG","W06000023","Powys"
"LD1 5DH","W06000023","Powys"
"LD1 5DL","W06000023","Powys"
"LD1 5DN","W06000023","Powys"
"LD1 5DP","W06000023","Powys"
"LD1 5DR","W06000023","Powys"
"LD1 5DS","W06000023","Powys"
"LD1 5DT","W06000023","Powys"
"LD1 5DU","W06000023","Powys"
"LD1 5DW","W06000023","Powys"
"LD1 5DY","W06000023","Powys"
"LD1 5EA","W06000023","Powys"
"LD1 5EB","W06000023","Powys"
"LD1 5ED","W06000023","Powys"
"LD1 5EE","W06000023","Powys"
"LD1 5EF","W06000023","Powys"
"LD1 5EG","W06000023","Powys"
"LD1 5EH","W06000023","Powys"
"LD1 5EL","W06000023","Powys"
"LD1 5EP","W06000023","Powys"
"LD1 5EQ","W06000023","Powys"
"LD1 5ER","W06000023","Powys"
"LD1 5ES","W06000023","Powys"
"LD1 5ET","W06000023","Powys"
"LD1 5EU","W06000023","Powys"
"LD1 5EW","W06000023","Powys"
"LD1 5EX","W06000023","Powys"
"LD1 5EY","W06000023","Powys"
"LD1 5HA","W06000023","Powys"
"LD1 5HB","W06000023","Powys"
"LD1 5HD","W06000023","Powys"
"LD1 5HE","W06000023","Powys"
"LD1 5HF","W06000023","Powys"
"LD1 5HG","W06000023","Powys"
"LD1 5HH","W06000023","Powys"
"LD1 5HJ","W06000023","Powys"
"LD1 5HL","W06000023","Powys"
"LD1 5HN","W06000023","Powys"
"LD1 5HP","W06000023","Powys"
"LD1 5HR","W06000023","Powys"
"LD1 5HS","W06000023","Powys"
"LD1 5HT","W06000023","Powys"
"LD1 5HU","W06000023","Powys"
"LD1 5HW","W06000023","Powys"
"LD1 5HY","W06000023","Powys"
"LD1 5LA","W06000023","Powys"
"LD1 5LB","W06000023","Powys"
"LD1 5LD","W06000023","Powys"
"LD1 5LE","W06000023","Powys"
"LD1 5LF","W06000023","Powys"
"LD1 5LG","W06000023","Powys"
"LD1 5LH","W06000023","Powys"
"LD1 5LJ","W06000023","Powys"
"LD1 5LL","W06000023","Powys"
"LD1 5LN","W06000023","Powys"
"LD1 5LP","W06000023","Powys"
"LD1 5LQ","W06000023","Powys"
"LD1 5LR","W06000023","Powys"
"LD1 5LS","W06000023","Powys"
"LD1 5LT","W06000023","Powys"
"LD1 5LU","W06000023","Powys"
"LD1 5LW","W06000023","Powys"
"LD1 5LX","W06000023","Powys"
"LD1 5LY","W06000023","Powys"
"LD1 5NA","W06000023","Powys"
"LD1 5NB","W06000023","Powys"
"LD1 5ND","W06000023","Powys"
"LD1 5NE","W06000023","Powys"
"LD1 5NF","W06000023","Powys"
"LD1 5NG","W06000023","Powys"
"LD1 5NH","W06000023","Powys"
"LD1 5NJ","W06000023","Powys"
"LD1 5NL","W06000023","Powys"
"LD1 5NN","W06000023","Powys"
"LD1 5NP","W06000023","Powys"
"LD1 5NQ","W06000023","Powys"
"LD1 5NR","W06000023","Powys"
"LD1 5NS","W06000023","Powys"
"LD1 5NT","W06000023","Powys"
"LD1 5NU","W06000023","Powys"
"LD1 5NW","W06000023","Powys"
"LD1 5NX","W06000023","Powys"
"LD1 5NY","W06000023","Powys"
"LD1 5NZ","W06000023","Powys"
"LD1 5PA","W06000023","Powys"
"LD1 5PB","W06000023","Powys"
"LD1 5PD","W06000023","Powys"
"LD1 5PE","W06000023","Powys"
"LD1 5PF","W06000023","Powys"
"LD1 5PG","W06000023","Powys"
"LD1 5PH","W06000023","Powys"
"LD1 5PJ","W06000023","Powys"
"LD1 5PL","W06000023","Powys"
"LD1 5PN","W06000023","Powys"
"LD1 5PP","W06000023","Powys"
"LD1 5PR","W06000023","Powys"
"LD1 5PS","W06000023","Powys"
"LD1 5PT","W06000023","Powys"
"LD1 5PU","W06000023","Powys"
"LD1 5PW","W06000023","Powys"
"LD1 5PY","W06000023","Powys"
"LD1 5RA","W06000023","Powys"
"LD1 5RB","W06000023","Powys"
"LD1 5RD","W06000023","Powys"
"LD1 5RE","W06000023","Powys"
"LD1 5RF","W06000023","Powys"
"LD1 5RG","W06000023","Powys"
"LD1 5RH","W06000023","Powys"
"LD1 5RJ","W06000023","Powys"
"LD1 5RL","W06000023","Powys"
"LD1 5RN","W06000023","Powys"
"LD1 5RP","W06000023","Powys"
