pcd,lad23cd,lad23nm
"LE1 1AA","E06000016","Leicester"
"LE1 1AB","E06000016","Leicester"
"LE1 1AD","E06000016","Leicester"
"LE1 1AE","E06000016","Leicester"
"LE1 1AF","E06000016","Leicester"
"LE1 1AH","E06000016","Leicester"
"LE1 1AJ","E06000016","Leicester"
"LE1 1AL","E06000016","Leicester"
"LE1 1AN","E06000016","Leicester"
"LE1 1AP","E06000016","Leicester"
"LE1 1AQ","E06000016","Leicester"
"LE1 1AR","E06000016","Leicester"
"LE1 1AS","E06000016","Leicester"
"LE1 1AT","E06000016","Leicester"
"LE1 1AW","E06000016","Leicester"
"LE1 1AZ","E06000016","Leicester"
"LE1 1BA","E06000016","Leicester"
"LE1 1BB","E06000016","Leicester"
"LE1 1BD","E06000016","Leicester"
"LE1 1BE","E06000016","Leicester"
"LE1 1BF","E06000016","Leicester"
"LE1 1BG","E06000016","Leicester"
"LE1 1BH","E06000016","Leicester"
"LE1 1BJ","E06000016","Leicester"
"LE1 1BL","E06000016","Leicester"
"LE1 1BN","E06000016","Leicester"
"LE1 1BP","E06000016","Leicester"
"LE1 1DA","E06000016","Leicester"
"LE1 1DB","E06000016","Leicester"
"LE1 1DD","E06000016","Leicester"
"LE1 1DE","E06000016","Leicester"
"LE1 1DF","E06000016","Leicester"
"LE1 1DG","E06000016","Leicester"
"LE1 1DH","E06000016","Leicester"
"LE1 1DJ","E06000016","Leicester"
"LE1 1DL","E06000016","Leicester"
"LE1 1DN","E06000016","Leicester"
"LE1 1DP","E06000016","Leicester"
"LE1 1DR","E06000016","Leicester"
"LE1 1DS","E06000016","Leicester"
"LE1 1DU","E06000016","Leicester"
"LE1 1DW","E06000016","Leicester"
"LE1 1EA","E06000016","Leicester"
"LE1 1EB","E06000016","Leicester"
"LE1 1ES","E06000016","Leicester"
"LE1 1FA","E06000016","Leicester"
"LE1 1FB","E06000016","Leicester"
"LE1 1FD","E06000016","Leicester"
"LE1 1FE","E06000016","Leicester"
"LE1 1FF","E06000016","Leicester"
"LE1 1FH","E06000016","Leicester"
"LE1 1FJ","E06000016","Leicester"
"LE1 1FL","E06000016","Leicester"
"LE1 1FN","E06000016","Leicester"
"LE1 1FQ","E06000016","Leicester"
"LE1 1FR","E06000016","Leicester"
"LE1 1FS","E06000016","Leicester"
"LE1 1FT","E06000016","Leicester"
"LE1 1FU","E06000016","Leicester"
"LE1 1FW","E06000016","Leicester"
"LE1 1FX","E06000016","Leicester"
"LE1 1FY","E06000016","Leicester"
"LE1 1FZ","E06000016","Leicester"
"LE1 1GA","E06000016","Leicester"
"LE1 1GB","E06000016","Leicester"
"LE1 1GD","E06000016","Leicester"
"LE1 1GE","E06000016","Leicester"
"LE1 1GF","E06000016","Leicester"
"LE1 1GG","E06000016","Leicester"
"LE1 1GH","E06000016","Leicester"
"LE1 1GJ","E06000016","Leicester"
"LE1 1GL","E06000016","Leicester"
"LE1 1GN","E06000016","Leicester"
"LE1 1GP","E06000016","Leicester"
"LE1 1GS","E06000016","Leicester"
"LE1 1HA","E06000016","Leicester"
"LE1 1HB","E06000016","Leicester"
"LE1 1HD","E06000016","Leicester"
"LE1 1HG","E06000016","Leicester"
"LE1 1HL","E06000016","Leicester"
"LE1 1HN","E06000016","Leicester"
"LE1 1JA","E06000016","Leicester"
"LE1 1JB","E06000016","Leicester"
"LE1 1JX","E06000016","Leicester"
"LE1 1LA","E06000016","Leicester"
"LE1 1LB","E06000016","Leicester"
"LE1 1LD","E06000016","Leicester"
"LE1 1LE","E06000016","Leicester"
"LE1 1LF","E06000016","Leicester"
"LE1 1LG","E06000016","Leicester"
"LE1 1LH","E06000016","Leicester"
"LE1 1LJ","E06000016","Leicester"
"LE1 1LL","E06000016","Leicester"
"LE1 1LP","E06000016","Leicester"
"LE1 1LQ","E06000016","Leicester"
"LE1 1LR","E06000016","Leicester"
"LE1 1LS","E06000016","Leicester"
"LE1 1LT","E06000016","Leicester"
"LE1 1LW","E06000016","Leicester"
"LE1 1LY","E06000016","Leicester"
"LE1 1NA","E06000016","Leicester"
"LE1 1NB","E06000016","Leicester"
"LE1 1NW","E06000016","Leicester"
"LE1 1PA","E06000016","Leicester"
"LE1 1PB","E06000016","Leicester"
"LE1 1PD","E06000016","Leicester"
"LE1 1PE","E06000016","Leicester"
"LE1 1PG","E06000016","Leicester"
"LE1 1PH","E06000016","Leicester"
"LE1 1PJ","E06000016","Leicester"
"LE1 1PL","E06000016","Leicester"
"LE1 1PQ","E06000016","Leicester"
"LE1 1PS","E06000016","Leicester"
"LE1 1PW","E06000016","Leicester"
"LE1 1PZ","E06000016","Leicester"
"LE1 1QA","E06000016","Leicester"
"LE1 1QB","E06000016","Leicester"
"LE1 1QD","E06000016","Leicester"
"LE1 1QE","E06000016","Leicester"
"LE1 1QF","E06000016","Leicester"
"LE1 1QG","E06000016","Leicester"
"LE1 1QH","E06000016","Leicester"
"LE1 1QP","E06000016","Leicester"
"LE1 1QR","E06000016","Leicester"
"LE1 1QS","E06000016","Leicester"
"LE1 1QT","E06000016","Leicester"
"LE1 1QU","E06000016","Leicester"
"LE1 1QW","E06000016","Leicester"
"LE1 1QZ","E06000016","Leicester"
"LE1 1RA","E06000016","Leicester"
"LE1 1RB","E06000016","Leicester"
"LE1 1RD","E06000016","Leicester"
"LE1 1RE","E06000016","Leicester"
"LE1 1RF","E06000016","Leicester"
"LE1 1RG","E06000016","Leicester"
"LE1 1RH","E06000016","Leicester"
"LE1 1RP","E06000016","Leicester"
"LE1 1RR","E06000016","Leicester"
"LE1 1RS","E06000016","Leicester"
"LE1 1RU","E06000016","Leicester"
"LE1 1RW","E06000016","Leicester"
"LE1 1RY","E06000016","Leicester"
"LE1 1SA","E06000016","Leicester"
"LE1 1SB","E06000016","Leicester"
"LE1 1SD","E06000016","Leicester"
"LE1 1SE","E06000016","Leicester"
"LE1 1SF","E06000016","Leicester"
"LE1 1SG","E06000016","Leicester"
"LE1 1SH","E06000016","Leicester"
"LE1 1SJ","E06000016","Leicester"
"LE1 1SL","E06000016","Leicester"
"LE1 1SN","E06000016","Leicester"
"LE1 1SP","E06000016","Leicester"
"LE1 1SQ","E06000016","Leicester"
"LE1 1SR","E06000016","Leicester"
"LE1 1SS","E06000016","Leicester"
"LE1 1ST","E06000016","Leicester"
"LE1 1SU","E06000016","Leicester"
"LE1 1SW","E06000016","Leicester"
"LE1 1SX","E06000016","Leicester"
"LE1 1SY","E06000016","Leicester"
"LE1 1SZ","E06000016","Leicester"
"LE1 1TA","E06000016","Leicester"
"LE1 1TB","E06000016","Leicester"
"LE1 1TE","E06000016","Leicester"
"LE1 1TF","E06000016","Leicester"
"LE1 1TG","E06000016","Leicester"
"LE1 1TH","E06000016","Leicester"
"LE1 1TL","E06000016","Leicester"
"LE1 1TQ","E06000016","Leicester"
"LE1 1TR","E06000016","Leicester"
"LE1 1TS","E06000016","Leicester"
"LE1 1TT","E06000016","Leicester"
"LE1 1TU","E06000016","Leicester"
