pcd,lad23cd,lad23nm
"LS1 1AA","E08000035","Leeds"
"LS1 1AB","E08000035","Leeds"
"LS1 1AD","E08000035","Leeds"
"LS1 1AE","E08000035","Leeds"
"LS1 1AJ","E08000035","Leeds"
"LS1 1AL","E08000035","Leeds"
"LS1 1AS","E08000035","Leeds"
"LS1 1AW","E08000035","Leeds"
"LS1 1AZ","E08000035","Leeds"
"LS1 1BA","E08000035","Leeds"
"LS1 1BD","E08000035","Leeds"
"LS1 1BL","E08000035","Leeds"
"LS1 1BN","E08000035","Leeds"
"LS1 1BW","E08000035","Leeds"
"LS1 1BX","E08000035","Leeds"
"LS1 1DA","E08000035","Leeds"
"LS1 1DD","E08000035","Leeds"
"LS1 1DG","E08000035","Leeds"
"LS1 1DH","E08000035","Leeds"
"LS1 1DJ","E08000035","Leeds"
"LS1 1DN","E08000035","Leeds"
"LS1 1DP","E08000035","Leeds"
"LS1 1DX","E08000035","Leeds"
"LS1 1EA","E08000035","Leeds"
"LS1 1EB","E08000035","Leeds"
"LS1 1ED","E08000035","Leeds"
"LS1 1EE","E08000035","Leeds"
"LS1 1EF","E08000035","Leeds"
"LS1 1EG","E08000035","Leeds"
"LS1 1EH","E08000035","Leeds"
"LS1 1EL","E08000035","Leeds"
"LS1 1EW","E08000035","Leeds"
"LS1 1FA","E08000035","Leeds"
"LS1 1HA","E08000035","Leeds"
"LS1 1HB","E08000035","Leeds"
"LS1 1HD","E08000035","Leeds"
"LS1 1HE","E08000035","Leeds"
"LS1 1HF","E08000035","Leeds"
"LS1 1HG","E08000035","Leeds"
"LS1 1HH","E08000035","Leeds"
"LS1 1HJ","E08000035","Leeds"
"LS1 1HN","E08000035","Leeds"
"LS1 1HP","E08000035","Leeds"
"LS1 1HQ","E08000035","Leeds"
"LS1 1HR","E08000035","Leeds"
"LS1 1HS","E08000035","Leeds"
"LS1 1HT","E08000035","Leeds"
"LS1 1HW","E08000035","Leeds"
"LS1 1JF","E08000035","Leeds"
"LS1 1JG","E08000035","Leeds"
"LS1 1JL","E08000035","Leeds"
"LS1 1JP","E08000035","Leeds"
"LS1 1JQ","E08000035","Leeds"
"LS1 1JS","E08000035","Leeds"
"LS1 1JT","E08000035","Leeds"
"LS1 1JW","E08000035","Leeds"
"LS1 1JY","E08000035","Leeds"
"LS1 1LA","E08000035","Leeds"
"LS1 1LB","E08000035","Leeds"
"LS1 1LD","E08000035","Leeds"
"LS1 1LE","E08000035","Leeds"
"LS1 1LF","E08000035","Leeds"
"LS1 1LG","E08000035","Leeds"
"LS1 1LJ","E08000035","Leeds"
"LS1 1LL","E08000035","Leeds"
"LS1 1LN","E08000035","Leeds"
"LS1 1LP","E08000035","Leeds"
"LS1 1LQ","E08000035","Leeds"
"LS1 1LS","E08000035","Leeds"
"LS1 1LT","E08000035","Leeds"
"LS1 1LU","E08000035","Leeds"
"LS1 1LW","E08000035","Leeds"
"LS1 1LX","E08000035","Leeds"
"LS1 1LZ","E08000035","Leeds"
"LS1 1NB","E08000035","Leeds"
"LS1 1NF","E08000035","Leeds"
"LS1 1NN","E08000035","Leeds"
"LS1 1NP","E08000035","Leeds"
"LS1 1NQ","E08000035","Leeds"
"LS1 1NS","E08000035","Leeds"
"LS1 1NU","E08000035","Leeds"
"LS1 1NX","E08000035","Leeds"
"LS1 1NY","E08000035","Leeds"
"LS1 1NZ","E08000035","Leeds"
"LS1 1PA","E08000035","Leeds"
"LS1 1PB","E08000035","Leeds"
"LS1 1PD","E08000035","Leeds"
"LS1 1PE","E08000035","Leeds"
"LS1 1PF","E08000035","Leeds"
"LS1 1PH","E08000035","Leeds"
"LS1 1PJ","E08000035","Leeds"
"LS1 1PL","E08000035","Leeds"
"LS1 1PN","E08000035","Leeds"
"LS1 1PP","E08000035","Leeds"
"LS1 1PQ","E08000035","Leeds"
"LS1 1PR","E08000035","Leeds"
"LS1 1PT","E08000035","Leeds"
"LS1 1PU","E08000035","Leeds"
"LS1 1PW","E08000035","Leeds"
"LS1 1QA","E08000035","Leeds"
"LS1 1QB","E08000035","Leeds"
"LS1 1QE","E08000035","Leeds"
"LS1 1QG","E08000035","Leeds"
"LS1 1QH","E08000035","Leeds"
"LS1 1QL","E08000035","Leeds"
"LS1 1QP","E08000035","Leeds"
"LS1 1QQ","E08000035","Leeds"
"LS1 1QR","E08000035","Leeds"
"LS1 1QS","E08000035","Leeds"
"LS1 1QU","E08000035","Leeds"
"LS1 1QW","E08000035","Leeds"
"LS1 1QX","E08000035","Leeds"
"LS1 1QZ","E08000035","Leeds"
"LS1 1RA","E08000035","Leeds"
"LS1 1RB","E08000035","Leeds"
"LS1 1RD","E08000035","Leeds"
"LS1 1RE","E08000035","Leeds"
"LS1 1RF","E08000035","Leeds"
"LS1 1RG","E08000035","Leeds"
"LS1 1RH","E08000035","Leeds"
"LS1 1RJ","E08000035","Leeds"
"LS1 1RL","E08000035","Leeds"
"LS1 1RQ","E08000035","Leeds"
"LS1 1RT","E08000035","Leeds"
"LS1 1RU","E08000035","Leeds"
"LS1 1RW","E08000035","Leeds"
"LS1 1RX","E08000035","Leeds"
"LS1 1SB","E08000035","Leeds"
"LS1 1SL","E08000035","Leeds"
"LS1 1SR","E08000035","Leeds"
"LS1 1TB","E08000035","Leeds"
"LS1 1TD","E08000035","Leeds"
"LS1 1TE","E08000035","Leeds"
"LS1 1TF","E08000035","Leeds"
"LS1 1TG","E08000035","Leeds"
"LS1 1TH","E08000035","Leeds"
"LS1 1TJ","E08000035","Leeds"
"LS1 1TP","E08000035","Leeds"
"LS1 1TQ","E08000035","Leeds"
"LS1 1TR","E08000035","Leeds"
"LS1 1TS","E08000035","Leeds"
"LS1 1TT","E08000035","Leeds"
"LS1 1TU","E08000035","Leeds"
"LS1 1TW","E08000035","Leeds"
"LS1 1TX","E08000035","Leeds"
"LS1 1TY","E08000035","Leeds"
"LS1 1TZ","E08000035","Leeds"
"LS1 1UD","E08000035","Leeds"
"LS1 1UE","E08000035","Leeds"
"LS1 1UF","E08000035","Leeds"
"LS1 1UH","E08000035","Leeds"
"LS1 1UJ","E08000035","Leeds"
