pcd,lad23cd,lad23nm
"LU1 1AA","E06000032","Luton"
"LU1 1AB","E06000032","Luton"
"LU1 1AD","E06000032","Luton"
"LU1 1AE","E06000032","Luton"
"LU1 1AF","E06000032","Luton"
"LU1 1AG","E06000032","Luton"
"LU1 1AH","E06000032","Luton"
"LU1 1AJ","E06000032","Luton"
"LU1 1AL","E06000032","Luton"
"LU1 1AP","E06000032","Luton"
"LU1 1AQ","E06000032","Luton"
"LU1 1AR","E06000032","Luton"
"LU1 1AS","E06000032","Luton"
"LU1 1AT","E06000032","Luton"
"LU1 1AU","E06000032","Luton"
"LU1 1AW","E06000032","Luton"
"LU1 1AX","E06000032","Luton"
"LU1 1AY","E06000032","Luton"
"LU1 1BA","E06000032","Luton"
"LU1 1BB","E06000032","Luton"
"LU1 1BD","E06000032","Luton"
"LU1 1BE","E06000032","Luton"
"LU1 1BF","E06000032","Luton"
"LU1 1BG","E06000032","Luton"
"LU1 1BH","E06000032","Luton"
"LU1 1BJ","E06000032","Luton"
"LU1 1BL","E06000032","Luton"
"LU1 1BN","E06000032","Luton"
"LU1 1BP","E06000032","Luton"
"LU1 1BQ","E06000032","Luton"
"LU1 1BR","E06000032","Luton"
"LU1 1BS","E06000032","Luton"
"LU1 1BT","E06000032","Luton"
"LU1 1BU","E06000032","Luton"
"LU1 1BW","E06000032","Luton"
"LU1 1BX","E06000032","Luton"
"LU1 1BY","E06000032","Luton"
"LU1 1BZ","E06000032","Luton"
"LU1 1DA","E06000032","Luton"
"LU1 1DB","E06000032","Luton"
"LU1 1DD","E06000032","Luton"
"LU1 1DE","E06000032","Luton"
"LU1 1DF","E06000032","Luton"
"LU1 1DG","E06000032","Luton"
"LU1 1DH","E06000032","Luton"
"LU1 1DJ","E06000032","Luton"
"LU1 1DL","E06000032","Luton"
"LU1 1DN","E06000032","Luton"
"LU1 1DP","E06000032","Luton"
"LU1 1DQ","E06000032","Luton"
"LU1 1DR","E06000032","Luton"
"LU1 1DS","E06000032","Luton"
