pcd,lad23cd,lad23nm
"M1  1AA","E08000003","Manchester"
"M1  1AD","E08000003","Manchester"
"M1  1AE","E08000003","Manchester"
"M1  1AF","E08000003","Manchester"
"M1  1AG","E08000003","Manchester"
"M1  1AH","E08000003","Manchester"
"M1  1AJ","E08000003","Manchester"
"M1  1AL","E08000003","Manchester"
"M1  1AN","E08000003","Manchester"
"M1  1AP","E08000003","Manchester"
"M1  1AQ","E08000003","Manchester"
"M1  1AR","E08000003","Manchester"
"M1  1AS","E08000003","Manchester"
"M1  1AT","E08000003","Manchester"
"M1  1AU","E08000003","Manchester"
"M1  1AW","E08000003","Manchester"
"M1  1BA","E08000003","Manchester"
"M1  1BB","E08000003","Manchester"
"M1  1BE","E08000003","Manchester"
"M1  1BX","E08000003","Manchester"
"M1  1BY","E08000003","Manchester"
"M1  1BZ","E08000003","Manchester"
"M1  1DB","E08000003","Manchester"
"M1  1DD","E08000003","Manchester"
"M1  1DE","E08000003","Manchester"
"M1  1DF","E08000003","Manchester"
"M1  1DG","E08000003","Manchester"
"M1  1DH","E08000003","Manchester"
"M1  1DL","E08000003","Manchester"
"M1  1DN","E08000003","Manchester"
"M1  1DQ","E08000003","Manchester"
"M1  1DR","E08000003","Manchester"
"M1  1DT","E08000003","Manchester"
"M1  1DU","E08000003","Manchester"
"M1  1DW","E08000003","Manchester"
"M1  1DX","E08000003","Manchester"
"M1  1DY","E08000003","Manchester"
"M1  1DZ","E08000003","Manchester"
"M1  1EA","E08000003","Manchester"
"M1  1EB","E08000003","Manchester"
"M1  1ED","E08000003","Manchester"
"M1  1EE","E08000003","Manchester"
"M1  1EF","E08000003","Manchester"
"M1  1EG","E08000003","Manchester"
"M1  1EH","E08000003","Manchester"
"M1  1EJ","E08000003","Manchester"
"M1  1EL","E08000003","Manchester"
"M1  1EN","E08000003","Manchester"
"M1  1EP","E08000003","Manchester"
"M1  1ER","E08000003","Manchester"
"M1  1ES","E08000003","Manchester"
"M1  1ET","E08000003","Manchester"
"M1  1EU","E08000003","Manchester"
"M1  1EW","E08000003","Manchester"
"M1  1EX","E08000003","Manchester"
"M1  1EY","E08000003","Manchester"
"M1  1EZ","E08000003","Manchester"
"M1  1FA","E08000003","Manchester"
"M1  1FB","E08000003","Manchester"
"M1  1FF","E08000003","Manchester"
"M1  1FH","E08000003","Manchester"
"M1  1FJ","E08000003","Manchester"
"M1  1FL","E08000003","Manchester"
"M1  1FN","E08000003","Manchester"
"M1  1FP","E08000003","Manchester"
"M1  1FR","E08000003","Manchester"
"M1  1FS","E08000003","Manchester"
"M1  1FT","E08000003","Manchester"
"M1  1FY","E08000003","Manchester"
"M1  1FZ","E08000003","Manchester"
"M1  1HA","E08000003","Manchester"
"M1  1HE","E08000003","Manchester"
"M1  1HF","E08000003","Manchester"
"M1  1HH","E08000003","Manchester"
"M1  1HJ","E08000003","Manchester"
"M1  1HL","E08000003","Manchester"
"M1  1HN","E08000003","Manchester"
"M1  1HP","E08000003","Manchester"
"M1  1HR","E08000003","Manchester"
"M1  1HW","E08000003","Manchester"
"M1  1JA","E08000003","Manchester"
"M1  1JB","E08000003","Manchester"
"M1  1JD","E08000003","Manchester"
"M1  1JE","E08000003","Manchester"
"M1  1JF","E08000003","Manchester"
"M1  1JG","E08000003","Manchester"
"M1  1JH","E08000003","Manchester"
"M1  1JJ","E08000003","Manchester"
"M1  1JL","E08000003","Manchester"
"M1  1JN","E08000003","Manchester"
"M1  1JP","E08000003","Manchester"
"M1  1JQ","E08000003","Manchester"
"M1  1JR","E08000003","Manchester"
"M1  1JS","E08000003","Manchester"
"M1  1JT","E08000003","Manchester"
"M1  1JU","E08000003","Manchester"
"M1  1JW","E08000003","Manchester"
"M1  1LA","E08000003","Manchester"
"M1  1LB","E08000003","Manchester"
"M1  1LD","E08000003","Manchester"
"M1  1LG","E08000003","Manchester"
"M1  1LN","E08000003","Manchester"
"M1  1LP","E08000003","Manchester"
"M1  1LQ","E08000003","Manchester"
"M1  1LR","E08000003","Manchester"
"M1  1LS","E08000003","Manchester"
"M1  1LT","E08000003","Manchester"
"M1  1LU","E08000003","Manchester"
"M1  1LW","E08000003","Manchester"
"M1  1LX","E08000003","Manchester"
"M1  1LY","E08000003","Manchester"
"M1  1LZ","E08000003","Manchester"
"M1  1NA","E08000003","Manchester"
"M1  1NB","E08000003","Manchester"
"M1  1ND","E08000003","Manchester"
"M1  1NL","E08000003","Manchester"
"M1  1NN","E08000003","Manchester"
"M1  1NP","E08000003","Manchester"
"M1  1NQ","E08000003","Manchester"
"M1  1NS","E08000003","Manchester"
"M1  1NW","E08000003","Manchester"
"M1  1PA","E08000003","Manchester"
"M1  1PB","E08000003","Manchester"
"M1  1PD","E08000003","Manchester"
"M1  1PE","E08000003","Manchester"
"M1  1PF","E08000003","Manchester"
"M1  1PH","E08000003","Manchester"
"M1  1PJ","E08000003","Manchester"
"M1  1PL","E08000003","Manchester"
"M1  1PN","E08000003","Manchester"
"M1  1PP","E08000003","Manchester"
"M1  1PS","E08000003","Manchester"
"M1  1PT","E08000003","Manchester"
