pcd,lad23cd,lad23nm
"ML1 1AA","S12000050","North Lanarkshire"
"ML1 1AB","S12000050","North Lanarkshire"
"ML1 1AD","S12000050","North Lanarkshire"
"ML1 1AE","S12000050","North Lanarkshire"
"ML1 1AF","S12000050","North Lanarkshire"
"ML1 1AG","S12000050","North Lanarkshire"
"ML1 1AH","S12000050","North Lanarkshire"
"ML1 1AJ","S12000050","North Lanarkshire"
"ML1 1AL","S12000050","North Lanarkshire"
"ML1 1AN","S12000050","North Lanarkshire"
"ML1 1AP","S12000050","North Lanarkshire"
"ML1 1AQ","S12000050","North Lanarkshire"
"ML1 1AT","S12000050","North Lanarkshire"
"ML1 1AX","S12000050","North Lanarkshire"
"ML1 1AZ","S12000050","North Lanarkshire"
"ML1 1BA","S12000050","North Lanarkshire"
"ML1 1BB","S12000050","North Lanarkshire"
"ML1 1BD","S12000050","North Lanarkshire"
"ML1 1BE","S12000050","North Lanarkshire"
"ML1 1BG","S12000050","North Lanarkshire"
"ML1 1BH","S12000050","North Lanarkshire"
"ML1 1BJ","S12000050","North Lanarkshire"
"ML1 1BL","S12000050","North Lanarkshire"
"ML1 1BN","S12000050","North Lanarkshire"
"ML1 1BP","S12000050","North Lanarkshire"
"ML1 1BQ","S12000050","North Lanarkshire"
"ML1 1BS","S12000050","North Lanarkshire"
"ML1 1BT","S12000050","North Lanarkshire"
"ML1 1BU","S12000050","North Lanarkshire"
"ML1 1BW","S12000050","North Lanarkshire"
"ML1 1BX","S12000050","North Lanarkshire"
"ML1 1BY","S12000050","North Lanarkshire"
"ML1 1BZ","S12000050","North Lanarkshire"
"ML1 1DA","S12000050","North Lanarkshire"
"ML1 1DB","S12000050","North Lanarkshire"
"ML1 1DD","S12000050","North Lanarkshire"
"ML1 1DE","S12000050","North Lanarkshire"
"ML1 1DF","S12000050","North Lanarkshire"
"ML1 1DG","S12000050","North Lanarkshire"
"ML1 1DH","S12000050","North Lanarkshire"
"ML1 1DJ","S12000050","North Lanarkshire"
"ML1 1DL","S12000050","North Lanarkshire"
"ML1 1DN","S12000050","North Lanarkshire"
"ML1 1DP","S12000050","North Lanarkshire"
"ML1 1DQ","S12000050","North Lanarkshire"
"ML1 1DR","S12000050","North Lanarkshire"
"ML1 1DS","S12000050","North Lanarkshire"
"ML1 1DT","S12000050","North Lanarkshire"
"ML1 1DU","S12000050","North Lanarkshire"
"ML1 1DW","S12000050","North Lanarkshire"
"ML1 1DX","S12000050","North Lanarkshire"
"ML1 1DY","S12000050","North Lanarkshire"
"ML1 1DZ","S12000050","North Lanarkshire"
"ML1 1EA","S12000050","North Lanarkshire"
"ML1 1EB","S12000050","North Lanarkshire"
"ML1 1ED","S12000050","North Lanarkshire"
"ML1 1EE","S12000050","North Lanarkshire"
"ML1 1EF","S12000050","North Lanarkshire"
"ML1 1EG","S12000050","North Lanarkshire"
"ML1 1EH","S12000050","North Lanarkshire"
"ML1 1EJ","S12000050","North Lanarkshire"
"ML1 1EL","S12000050","North Lanarkshire"
"ML1 1EP","S12000050","North Lanarkshire"
"ML1 1EQ","S12000050","North Lanarkshire"
"ML1 1ER","S12000050","North Lanarkshire"
"ML1 1ES","S12000050","North Lanarkshire"
"ML1 1EU","S12000050","North Lanarkshire"
"ML1 1EW","S12000050","North Lanarkshire"
"ML1 1EX","S12000050","North Lanarkshire"
"ML1 1EY","S12000050","North Lanarkshire"
"ML1 1EZ","S12000050","North Lanarkshire"
"ML1 1HA","S12000050","North Lanarkshire"
"ML1 1HB","S12000050","North Lanarkshire"
"ML1 1HD","S12000050","North Lanarkshire"
"ML1 1HE","S12000050","North Lanarkshire"
"ML1 1HF","S12000050","North Lanarkshire"
"ML1 1HG","S12000050","North Lanarkshire"
"ML1 1HH","S12000050","North Lanarkshire"
"ML1 1HJ","S12000050","North Lanarkshire"
"ML1 1HN","S12000050","North Lanarkshire"
"ML1 1HP","S12000050","North Lanarkshire"
"ML1 1HQ","S12000050","North Lanarkshire"
"ML1 1HW","S12000050","North Lanarkshire"
"ML1 1HY","S12000050","North Lanarkshire"
"ML1 1HZ","S12000050","North Lanarkshire"
"ML1 1JA","S12000050","North Lanarkshire"
"ML1 1JB","S12000050","North Lanarkshire"
"ML1 1JD","S12000050","North Lanarkshire"
"ML1 1JE","S12000050","North Lanarkshire"
"ML1 1JJ","S12000050","North Lanarkshire"
"ML1 1JL","S12000050","North Lanarkshire"
"ML1 1JN","S12000050","North Lanarkshire"
"ML1 1JP","S12000050","North Lanarkshire"
"ML1 1JR","S12000050","North Lanarkshire"
"ML1 1JS","S12000050","North Lanarkshire"
"ML1 1JU","S12000050","North Lanarkshire"
"ML1 1JW","S12000050","North Lanarkshire"
"ML1 1LA","S12000050","North Lanarkshire"
"ML1 1LB","S12000050","North Lanarkshire"
"ML1 1LD","S12000050","North Lanarkshire"
"ML1 1LE","S12000050","North Lanarkshire"
"ML1 1LF","S12000050","North Lanarkshire"
"ML1 1LG","S12000050","North Lanarkshire"
"ML1 1LH","S12000050","North Lanarkshire"
"ML1 1LJ","S12000050","North Lanarkshire"
"ML1 1LL","S12000050","North Lanarkshire"
"ML1 1LN","S12000050","North Lanarkshire"
"ML1 1LP","S12000050","North Lanarkshire"
"ML1 1LQ","S12000050","North Lanarkshire"
"ML1 1LR","S12000050","North Lanarkshire"
"ML1 1LS","S12000050","North Lanarkshire"
"ML1 1LT","S12000050","North Lanarkshire"
"ML1 1LU","S12000050","North Lanarkshire"
"ML1 1LW","S12000050","North Lanarkshire"
"ML1 1LX","S12000050","North Lanarkshire"
"ML1 1LY","S12000050","North Lanarkshire"
"ML1 1LZ","S12000050","North Lanarkshire"
"ML1 1NA","S12000050","North Lanarkshire"
"ML1 1NB","S12000050","North Lanarkshire"
"ML1 1ND","S12000050","North Lanarkshire"
"ML1 1NE","S12000050","North Lanarkshire"
"ML1 1NH","S12000050","North Lanarkshire"
"ML1 1NJ","S12000050","North Lanarkshire"
"ML1 1NL","S12000050","North Lanarkshire"
"ML1 1NN","S12000050","North Lanarkshire"
"ML1 1NP","S12000050","North Lanarkshire"
"ML1 1NQ","S12000050","North Lanarkshire"
"ML1 1NR","S12000050","North Lanarkshire"
"ML1 1NS","S12000050","North Lanarkshire"
"ML1 1NT","S12000050","North Lanarkshire"
"ML1 1NU","S12000050","North Lanarkshire"
"ML1 1NW","S12000050","North Lanarkshire"
"ML1 1NX","S12000050","North Lanarkshire"
"ML1 1NY","S12000050","North Lanarkshire"
"ML1 1NZ","S12000050","North Lanarkshire"
"ML1 1PA","S12000050","North Lanarkshire"
"ML1 1PB","S12000050","North Lanarkshire"
"ML1 1PD","S12000050","North Lanarkshire"
"ML1 1PE","S12000050","North Lanarkshire"
"ML1 1PF","S12000050","North Lanarkshire"
"ML1 1PG","S12000050","North Lanarkshire"
"ML1 1PH","S12000050","North Lanarkshire"
"ML1 1PJ","S12000050","North Lanarkshire"
"ML1 1PL","S12000050","North Lanarkshire"
"ML1 1PN","S12000050","North Lanarkshire"
"ML1 1PP","S12000050","North Lanarkshire"
"ML1 1PQ","S12000050","North Lanarkshire"
"ML1 1PR","S12000050","North Lanarkshire"
"ML1 1PT","S12000050","North Lanarkshire"
"ML1 1PU","S12000050","North Lanarkshire"
"ML1 1PW","S12000050","North Lanarkshire"
"ML1 1PX","S12000050","North Lanarkshire"
"ML1 1PY","S12000050","North Lanarkshire"
"ML1 1PZ","S12000050","North Lanarkshire"
"ML1 1QA","S12000050","North Lanarkshire"
"ML1 1QB","S12000050","North Lanarkshire"
"ML1 1QD","S12000050","North Lanarkshire"
"ML1 1QE","S12000050","North Lanarkshire"
"ML1 1QF","S12000050","North Lanarkshire"
"ML1 1QG","S12000050","North Lanarkshire"
"ML1 1QH","S12000050","North Lanarkshire"
"ML1 1QL","S12000050","North Lanarkshire"
"ML1 1QN","S12000050","North Lanarkshire"
"ML1 1QP","S12000050","North Lanarkshire"
"ML1 1QQ","S12000050","North Lanarkshire"
