pcd,lad23cd,lad23nm
"N1  0AA","E09000019","Islington"
"N1  0AB","E09000019","Islington"
"N1  0AD","E09000019","Islington"
"N1  0AE","E09000019","Islington"
"N1  0AF","E09000019","Islington"
"N1  0AG","E09000019","Islington"
"N1  0AH","E09000019","Islington"
"N1  0AJ","E09000019","Islington"
"N1  0AL","E09000019","Islington"
"N1  0AN","E09000019","Islington"
"N1  0AP","E09000019","Islington"
"N1  0AQ","E09000019","Islington"
"N1  0AR","E09000019","Islington"
"N1  0AS","E09000007","Camden"
"N1  0AT","E09000007","Camden"
"N1  0AU","E09000007","Camden"
"N1  0AW","E09000019","Islington"
"N1  0AX","E09000019","Islington"
"N1  0AY","E09000019","Islington"
"N1  0AZ","E09000019","Islington"
"N1  0BA","E09000019","Islington"
"N1  0BB","E09000019","Islington"
"N1  0BD","E09000019","Islington"
"N1  0BE","E09000007","Camden"
"N1  0BF","E09000019","Islington"
"N1  0BG","E09000019","Islington"
"N1  0BH","E09000019","Islington"
"N1  0BJ","E09000019","Islington"
"N1  0BL","E09000019","Islington"
"N1  0BN","E09000019","Islington"
"N1  0BP","E09000019","Islington"
"N1  0BQ","E09000019","Islington"
"N1  0BS","E09000019","Islington"
"N1  0BT","E09000019","Islington"
"N1  0BU","E09000019","Islington"
"N1  0BW","E09000019","Islington"
"N1  0BX","E09000019","Islington"
"N1  0BY","E09000019","Islington"
"N1  0BZ","E09000019","Islington"
"N1  0DA","E09000019","Islington"
"N1  0DB","E09000019","Islington"
"N1  0DD","E09000019","Islington"
"N1  0DE","E09000019","Islington"
"N1  0DF","E09000019","Islington"
"N1  0DG","E09000019","Islington"
"N1  0DH","E09000019","Islington"
"N1  0DJ","E09000019","Islington"
"N1  0DL","E09000019","Islington"
"N1  0DN","E09000019","Islington"
"N1  0DP","E09000019","Islington"
"N1  0DQ","E09000019","Islington"
"N1  0DR","E09000019","Islington"
"N1  0DS","E09000019","Islington"
"N1  0DT","E09000019","Islington"
"N1  0DU","E09000019","Islington"
"N1  0DW","E09000019","Islington"
"N1  0DX","E09000019","Islington"
"N1  0DY","E09000019","Islington"
"N1  0DZ","E09000019","Islington"
"N1  0EA","E09000019","Islington"
"N1  0EB","E09000019","Islington"
"N1  0ED","E09000019","Islington"
"N1  0EE","E09000019","Islington"
"N1  0EF","E09000019","Islington"
"N1  0EG","E09000019","Islington"
"N1  0EH","E09000019","Islington"
"N1  0EJ","E09000019","Islington"
"N1  0EL","E09000019","Islington"
"N1  0EN","E09000019","Islington"
"N1  0EP","E09000019","Islington"
"N1  0EQ","E09000019","Islington"
"N1  0ER","E09000019","Islington"
"N1  0ES","E09000019","Islington"
"N1  0ET","E09000019","Islington"
"N1  0EU","E09000019","Islington"
"N1  0EW","E09000019","Islington"
"N1  0EX","E09000019","Islington"
"N1  0EY","E09000019","Islington"
"N1  0EZ","E09000019","Islington"
"N1  0FA","E09000019","Islington"
"N1  0FB","E09000019","Islington"
"N1  0FD","E09000019","Islington"
"N1  0FE","E09000019","Islington"
"N1  0FF","E09000007","Camden"
"N1  0FG","E09000019","Islington"
"N1  0FH","E09000019","Islington"
"N1  0FJ","E09000019","Islington"
"N1  0FL","E09000019","Islington"
"N1  0FN","E09000019","Islington"
"N1  0FY","E09000019","Islington"
"N1  0FZ","E09000019","Islington"
"N1  0GA","E09000019","Islington"
"N1  0GB","E09000019","Islington"
"N1  0GD","E09000019","Islington"
"N1  0GE","E09000019","Islington"
"N1  0GF","E09000019","Islington"
"N1  0GG","E09000019","Islington"
"N1  0GH","E09000019","Islington"
"N1  0GJ","E09000019","Islington"
"N1  0GL","E09000019","Islington"
"N1  0GN","E09000019","Islington"
"N1  0GP","E09000019","Islington"
"N1  0GQ","E09000019","Islington"
"N1  0GR","E09000019","Islington"
"N1  0GS","E09000019","Islington"
"N1  0GT","E09000019","Islington"
"N1  0GU","E09000019","Islington"
"N1  0GW","E09000019","Islington"
"N1  0GX","E09000019","Islington"
"N1  0GY","E09000019","Islington"
"N1  0GZ","E09000019","Islington"
"N1  0HA","E09000019","Islington"
"N1  0HB","E09000019","Islington"
"N1  0HD","E09000019","Islington"
"N1  0HE","E09000019","Islington"
"N1  0HF","E09000019","Islington"
"N1  0HG","E09000019","Islington"
"N1  0HH","E09000019","Islington"
"N1  0HJ","E09000019","Islington"
"N1  0HL","E09000019","Islington"
"N1  0HN","E09000019","Islington"
"N1  0HP","E09000019","Islington"
"N1  0HQ","E09000019","Islington"
"N1  0HR","E09000019","Islington"
"N1  0HS","E09000019","Islington"
"N1  0HT","E09000019","Islington"
"N1  0HU","E09000019","Islington"
"N1  0HW","E09000019","Islington"
"N1  0HX","E09000019","Islington"
"N1  0HY","E09000019","Islington"
"N1  0HZ","E09000019","Islington"
