pcd,lad23cd,lad23nm
"NG1 1AA","E06000018","Nottingham"
"NG1 1AB","E06000018","Nottingham"
"NG1 1AE","E06000018","Nottingham"
"NG1 1AF","E06000018","Nottingham"
"NG1 1AG","E06000018","Nottingham"
"NG1 1AH","E06000018","Nottingham"
"NG1 1AJ","E06000018","Nottingham"
"NG1 1AL","E06000018","Nottingham"
"NG1 1AN","E06000018","Nottingham"
"NG1 1AP","E06000018","Nottingham"
"NG1 1AQ","E06000018","Nottingham"
"NG1 1AR","E06000018","Nottingham"
"NG1 1AS","E06000018","Nottingham"
"NG1 1AT","E06000018","Nottingham"
"NG1 1AU","E06000018","Nottingham"
"NG1 1AW","E06000018","Nottingham"
"NG1 1AY","E06000018","Nottingham"
"NG1 1AZ","E06000018","Nottingham"
"NG1 1BA","E06000018","Nottingham"
"NG1 1BB","E06000018","Nottingham"
"NG1 1BD","E06000018","Nottingham"
"NG1 1BE","E06000018","Nottingham"
"NG1 1BF","E06000018","Nottingham"
"NG1 1BG","E06000018","Nottingham"
"NG1 1BH","E06000018","Nottingham"
"NG1 1BJ","E06000018","Nottingham"
"NG1 1BY","E06000018","Nottingham"
"NG1 1BZ","E06000018","Nottingham"
"NG1 1DA","E06000018","Nottingham"
"NG1 1DB","E06000018","Nottingham"
"NG1 1DD","E06000018","Nottingham"
"NG1 1DE","E06000018","Nottingham"
"NG1 1DF","E06000018","Nottingham"
"NG1 1DG","E06000018","Nottingham"
"NG1 1DH","E06000018","Nottingham"
"NG1 1DJ","E06000018","Nottingham"
"NG1 1DL","E06000018","Nottingham"
"NG1 1DN","E06000018","Nottingham"
"NG1 1DP","E06000018","Nottingham"
"NG1 1DQ","E06000018","Nottingham"
"NG1 1DR","E06000018","Nottingham"
"NG1 1DS","E06000018","Nottingham"
"NG1 1DT","E06000018","Nottingham"
"NG1 1DU","E06000018","Nottingham"
"NG1 1DW","E06000018","Nottingham"
"NG1 1DX","E06000018","Nottingham"
"NG1 1DY","E06000018","Nottingham"
"NG1 1DZ","E06000018","Nottingham"
"NG1 1EA","E06000018","Nottingham"
"NG1 1EB","E06000018","Nottingham"
