pcd,lad23cd,lad23nm
"NN1 1AA","E06000062","West Northamptonshire"
"NN1 1AB","E06000062","West Northamptonshire"
"NN1 1AD","E06000062","West Northamptonshire"
"NN1 1AE","E06000062","West Northamptonshire"
"NN1 1AF","E06000062","West Northamptonshire"
"NN1 1AG","E06000062","West Northamptonshire"
"NN1 1AH","E06000062","West Northamptonshire"
"NN1 1AJ","E06000062","West Northamptonshire"
"NN1 1AL","E06000062","West Northamptonshire"
"NN1 1AN","E06000062","West Northamptonshire"
"NN1 1AP","E06000062","West Northamptonshire"
"NN1 1AQ","E06000062","West Northamptonshire"
"NN1 1AR","E06000062","West Northamptonshire"
"NN1 1AS","E06000062","West Northamptonshire"
"NN1 1AT","E06000062","West Northamptonshire"
"NN1 1AU","E06000062","West Northamptonshire"
"NN1 1AW","E06000062","West Northamptonshire"
"NN1 1AX","E06000062","West Northamptonshire"
"NN1 1AY","E06000062","West Northamptonshire"
"NN1 1AZ","E06000062","West Northamptonshire"
"NN1 1BA","E06000062","West Northamptonshire"
"NN1 1BB","E06000062","West Northamptonshire"
"NN1 1BD","E06000062","West Northamptonshire"
"NN1 1BE","E06000062","West Northamptonshire"
"NN1 1BF","E06000062","West Northamptonshire"
"NN1 1BG","E06000062","West Northamptonshire"
"NN1 1BH","E06000062","West Northamptonshire"
"NN1 1BJ","E06000062","West Northamptonshire"
"NN1 1BL","E06000062","West Northamptonshire"
"NN1 1BN","E06000062","West Northamptonshire"
"NN1 1BP","E06000062","West Northamptonshire"
"NN1 1BQ","E06000062","West Northamptonshire"
"NN1 1BS","E06000062","West Northamptonshire"
"NN1 1BT","E06000062","West Northamptonshire"
"NN1 1BU","E06000062","West Northamptonshire"
"NN1 1BW","E06000062","West Northamptonshire"
"NN1 1BX","E06000062","West Northamptonshire"
"NN1 1BY","E06000062","West Northamptonshire"
"NN1 1BZ","E06000062","West Northamptonshire"
"NN1 1DA","E06000062","West Northamptonshire"
"NN1 1DB","E06000062","West Northamptonshire"
"NN1 1DD","E06000062","West Northamptonshire"
"NN1 1DE","E06000062","West Northamptonshire"
"NN1 1DF","E06000062","West Northamptonshire"
"NN1 1DG","E06000062","West Northamptonshire"
"NN1 1DH","E06000062","West Northamptonshire"
"NN1 1DJ","E06000062","West Northamptonshire"
"NN1 1DL","E06000062","West Northamptonshire"
"NN1 1DN","E06000062","West Northamptonshire"
"NN1 1DP","E06000062","West Northamptonshire"
"NN1 1DQ","E06000062","West Northamptonshire"
"NN1 1DR","E06000062","West Northamptonshire"
