pcd,lad23cd,lad23nm
"NP1 0AA","W06000022","Newport"
"NP1 0AB","W06000022","Newport"
"NP1 0AD","W06000022","Newport"
"NP1 0AE","W06000022","Newport"
"NP1 0AF","W06000022","Newport"
"NP1 0AG","W06000022","Newport"
"NP1 0AH","W06000022","Newport"
"NP1 0AJ","W06000022","Newport"
"NP1 0AL","W06000022","Newport"
"NP1 0AN","W06000022","Newport"
"NP1 0AP","W06000022","Newport"
"NP1 0AQ","W06000022","Newport"
"NP1 0AR","W06000022","Newport"
"NP1 0AS","W06000022","Newport"
"NP1 0AT","W06000022","Newport"
"NP1 0AU","W06000022","Newport"
"NP1 0AW","W06000022","Newport"
"NP1 0AX","W06000022","Newport"
"NP1 0AY","W06000022","Newport"
"NP1 0AZ","W06000022","Newport"
"NP1 0BA","W06000022","Newport"
"NP1 0BB","W06000022","Newport"
"NP1 0BE","W06000022","Newport"
"NP1 0BG","W06000022","Newport"
"NP1 0BH","W06000022","Newport"
"NP1 0BJ","W06000022","Newport"
"NP1 0BL","W06000022","Newport"
"NP1 0BN","W06000022","Newport"
"NP1 0BP","W06000022","Newport"
"NP1 0BQ","W06000022","Newport"
"NP1 0BS","W06000022","Newport"
"NP1 0BT","W06000022","Newport"
"NP1 0BU","W06000022","Newport"
"NP1 0BW","W06000022","Newport"
"NP1 0BX","W06000022","Newport"
"NP1 0BY","W06000022","Newport"
"NP1 0DB","W06000022","Newport"
"NP1 0DD","W06000022","Newport"
"NP1 0DE","W06000022","Newport"
"NP1 0DF","W06000022","Newport"
"NP1 0DL","W06000022","Newport"
"NP1 0DN","W06000022","Newport"
"NP1 0DW","W06000022","Newport"
"NP1 0XA","W06000022","Newport"
"NP1 0XB","W06000022","Newport"
"NP1 0XD","W06000022","Newport"
"NP1 0XE","W06000022","Newport"
"NP1 0XF","W06000022","Newport"
"NP1 0XG","W06000022","Newport"
"NP1 0YA","W06000022","Newport"
"NP1 0YB","W06000022","Newport"
"NP1 0YD","W06000022","Newport"
"NP1 0YE","W06000022","Newport"
"NP1 0YF","W06000022","Newport"
"NP1 2LT","W06000022","Newport"
"NP1 4AA","W06000018","Caerphilly"
"NP1 4AB","W06000018","Caerphilly"
"NP1 4AD","W06000018","Caerphilly"
"NP1 4AE","W06000018","Caerphilly"
"NP1 4AF","W06000018","Caerphilly"
"NP1 4AG","W06000018","Caerphilly"
"NP1 4AH","W06000018","Caerphilly"
"NP1 4AL","W06000018","Caerphilly"
"NP1 4AN","W06000018","Caerphilly"
"NP1 4AP","W06000018","Caerphilly"
"NP1 4AQ","W06000018","Caerphilly"
"NP1 4AR","W06000018","Caerphilly"
"NP1 4AS","W06000018","Caerphilly"
"NP1 4AT","W06000018","Caerphilly"
"NP1 4AU","W06000018","Caerphilly"
"NP1 4AW","W06000018","Caerphilly"
"NP1 4AX","W06000018","Caerphilly"
"NP1 4AY","W06000018","Caerphilly"
"NP1 4AZ","W06000018","Caerphilly"
"NP1 4BA","W06000018","Caerphilly"
"NP1 4BB","W06000018","Caerphilly"
"NP1 4BD","W06000018","Caerphilly"
"NP1 4BE","W06000018","Caerphilly"
"NP1 4BF","W06000018","Caerphilly"
"NP1 4BG","W06000018","Caerphilly"
"NP1 4BH","W06000018","Caerphilly"
"NP1 4BJ","W06000018","Caerphilly"
"NP1 4BL","W06000018","Caerphilly"
"NP1 4BN","W06000018","Caerphilly"
"NP1 4BP","W06000018","Caerphilly"
"NP1 4BQ","W06000018","Caerphilly"
"NP1 4BR","W06000018","Caerphilly"
"NP1 4BS","W06000018","Caerphilly"
"NP1 4BT","W06000018","Caerphilly"
"NP1 4BU","W06000018","Caerphilly"
"NP1 4BW","W06000018","Caerphilly"
"NP1 4BX","W06000018","Caerphilly"
"NP1 4BY","W06000018","Caerphilly"
"NP1 4BZ","W06000018","Caerphilly"
"NP1 4DA","W06000018","Caerphilly"
"NP1 4DB","W06000018","Caerphilly"
"NP1 4DD","W06000018","Caerphilly"
"NP1 4DE","W06000018","Caerphilly"
"NP1 4DF","W06000018","Caerphilly"
"NP1 4DG","W06000018","Caerphilly"
"NP1 4DH","W06000018","Caerphilly"
"NP1 4DJ","W06000018","Caerphilly"
"NP1 4DL","W06000018","Caerphilly"
"NP1 4DN","W06000018","Caerphilly"
"NP1 4DP","W06000018","Caerphilly"
"NP1 4DQ","W06000018","Caerphilly"
"NP1 4DR","W06000018","Caerphilly"
"NP1 4DS","W06000018","Caerphilly"
"NP1 4DT","W06000018","Caerphilly"
"NP1 4DU","W06000018","Caerphilly"
"NP1 4DW","W06000018","Caerphilly"
"NP1 4DX","W06000018","Caerphilly"
"NP1 4DY","W06000018","Caerphilly"
"NP1 4DZ","W06000018","Caerphilly"
"NP1 4EA","W06000018","Caerphilly"
"NP1 4EB","W06000018","Caerphilly"
"NP1 4ED","W06000018","Caerphilly"
"NP1 4EE","W06000018","Caerphilly"
"NP1 4EF","W06000018","Caerphilly"
"NP1 4EG","W06000018","Caerphilly"
"NP1 4EH","W06000018","Caerphilly"
"NP1 4EJ","W06000018","Caerphilly"
"NP1 4EL","W06000018","Caerphilly"
"NP1 4EN","W06000018","Caerphilly"
"NP1 4EP","W06000018","Caerphilly"
"NP1 4EQ","W06000018","Caerphilly"
"NP1 4ER","W06000018","Caerphilly"
"NP1 4ES","W06000018","Caerphilly"
"NP1 4ET","W06000018","Caerphilly"
"NP1 4EU","W06000018","Caerphilly"
"NP1 4EW","W06000018","Caerphilly"
"NP1 4EX","W06000018","Caerphilly"
"NP1 4EY","W06000018","Caerphilly"
"NP1 4EZ","W06000018","Caerphilly"
"NP1 4FA","W06000018","Caerphilly"
"NP1 4FB","W06000018","Caerphilly"
"NP1 4FD","W06000018","Caerphilly"
"NP1 4FE","W06000018","Caerphilly"
"NP1 4FF","W06000018","Caerphilly"
"NP1 4FG","W06000018","Caerphilly"
"NP1 4FH","W06000018","Caerphilly"
"NP1 4FJ","W06000018","Caerphilly"
"NP1 4FL","W06000018","Caerphilly"
"NP1 4FN","W06000018","Caerphilly"
"NP1 4FP","W06000018","Caerphilly"
"NP1 4FQ","W06000018","Caerphilly"
"NP1 4FR","W06000018","Caerphilly"
"NP1 4FS","W06000018","Caerphilly"
"NP1 4FT","W06000018","Caerphilly"
"NP1 4FU","W06000018","Caerphilly"
"NP1 4FW","W06000018","Caerphilly"
"NP1 4FX","W06000018","Caerphilly"
"NP1 4FY","W06000018","Caerphilly"
"NP1 4FZ","W06000018","Caerphilly"
"NP1 4GA","W06000018","Caerphilly"
"NP1 4GB","W06000018","Caerphilly"
"NP1 4GD","W06000018","Caerphilly"
"NP1 4GE","W06000018","Caerphilly"
"NP1 4GF","W06000018","Caerphilly"
"NP1 4GG","W06000018","Caerphilly"
"NP1 4GH","W06000018","Caerphilly"
"NP1 4GJ","W06000018","Caerphilly"
"NP1 4GL","W06000018","Caerphilly"
"NP1 4GN","W06000018","Caerphilly"
"NP1 4GP","W06000018","Caerphilly"
"NP1 4GQ","W06000018","Caerphilly"
"NP1 4GR","W06000018","Caerphilly"
"NP1 4GS","W06000018","Caerphilly"
"NP1 4GT","W06000018","Caerphilly"
"NP1 4GU","W06000018","Caerphilly"
"NP1 4GW","W06000018","Caerphilly"
"NP1 4GX","W06000018","Caerphilly"
"NP1 4GY","W06000018","Caerphilly"
"NP1 4GZ","W06000018","Caerphilly"
"NP1 4HA","W06000018","Caerphilly"
"NP1 4HB","W06000018","Caerphilly"
"NP1 4HD","W06000018","Caerphilly"
"NP1 4HE","W06000018","Caerphilly"
"NP1 4HF","W06000018","Caerphilly"
"NP1 4HG","W06000018","Caerphilly"
"NP1 4HH","W06000018","Caerphilly"
"NP1 4HJ","W06000018","Caerphilly"
"NP1 4HL","W06000018","Caerphilly"
"NP1 4HN","W06000018","Caerphilly"
"NP1 4HP","W06000018","Caerphilly"
"NP1 4HQ","W06000018","Caerphilly"
"NP1 4HR","W06000018","Caerphilly"
"NP1 4HS","W06000018","Caerphilly"
"NP1 4HT","W06000018","Caerphilly"
"NP1 4HU","W06000018","Caerphilly"
"NP1 4HW","W06000018","Caerphilly"
"NP1 4HX","W06000018","Caerphilly"
"NP1 4HY","W06000018","Caerphilly"
"NP1 4HZ","W06000018","Caerphilly"
"NP1 4JA","W06000018","Caerphilly"
"NP1 4JB","W06000018","Caerphilly"
"NP1 4JD","W06000018","Caerphilly"
"NP1 4JE","W06000018","Caerphilly"
"NP1 4JF","W06000018","Caerphilly"
"NP1 4JG","W06000018","Caerphilly"
"NP1 4JH","W06000018","Caerphilly"
"NP1 4JJ","W06000018","Caerphilly"
"NP1 4JL","W06000018","Caerphilly"
"NP1 4JN","W06000018","Caerphilly"
"NP1 4JP","W06000018","Caerphilly"
"NP1 4JQ","W06000018","Caerphilly"
"NP1 4JR","W06000018","Caerphilly"
"NP1 4JS","W06000018","Caerphilly"
"NP1 4JT","W06000018","Caerphilly"
"NP1 4JU","W06000018","Caerphilly"
"NP1 4JW","W06000018","Caerphilly"
"NP1 4JX","W06000018","Caerphilly"
"NP1 4JY","W06000018","Caerphilly"
"NP1 4JZ","W06000018","Caerphilly"
"NP1 4LA","W06000018","Caerphilly"
"NP1 4LF","W06000018","Caerphilly"
"NP1 4LG","W06000018","Caerphilly"
"NP1 4LH","W06000018","Caerphilly"
"NP1 4LJ","W06000018","Caerphilly"
"NP1 4LL","W06000018","Caerphilly"
"NP1 4LN","W06000018","Caerphilly"
"NP1 4LP","W06000018","Caerphilly"
"NP1 4LQ","W06000018","Caerphilly"
"NP1 4LR","W06000018","Caerphilly"
"NP1 4LS","W06000018","Caerphilly"
"NP1 4LT","W06000018","Caerphilly"
"NP1 4LU","W06000018","Caerphilly"
"NP1 4LW","W06000018","Caerphilly"
"NP1 4LX","W06000018","Caerphilly"
"NP1 4LY","W06000018","Caerphilly"
"NP1 4LZ","W06000018","Caerphilly"
"NP1 4NA","W06000018","Caerphilly"
"NP1 4NB","W06000018","Caerphilly"
"NP1 4ND","W06000018","Caerphilly"
"NP1 4NE","W06000018","Caerphilly"
"NP1 4NF","W06000018","Caerphilly"
"NP1 4NG","W06000018","Caerphilly"
"NP1 4NH","W06000018","Caerphilly"
"NP1 4NJ","W06000018","Caerphilly"
"NP1 4NL","W06000018","Caerphilly"
"NP1 4NN","W06000018","Caerphilly"
"NP1 4NP","W06000018","Caerphilly"
"NP1 4NQ","W06000018","Caerphilly"
"NP1 4NR","W06000018","Caerphilly"
"NP1 4NS","W06000018","Caerphilly"
"NP1 4NT","W06000018","Caerphilly"
"NP1 4NU","W06000018","Caerphilly"
"NP1 4NW","W06000018","Caerphilly"
"NP1 4NX","W06000018","Caerphilly"
"NP1 4PA","W06000018","Caerphilly"
"NP1 4PB","W06000018","Caerphilly"
"NP1 4PD","W06000018","Caerphilly"
"NP1 4PE","W06000018","Caerphilly"
"NP1 4PF","W06000018","Caerphilly"
"NP1 4PG","W06000018","Caerphilly"
"NP1 4PH","W06000018","Caerphilly"
"NP1 4PJ","W06000018","Caerphilly"
"NP1 4PL","W06000018","Caerphilly"
"NP1 4PN","W06000018","Caerphilly"
"NP1 4PP","W06000018","Caerphilly"
"NP1 4PQ","W06000018","Caerphilly"
"NP1 4PR","W06000018","Caerphilly"
"NP1 4PS","W06000018","Caerphilly"
"NP1 4PT","W06000018","Caerphilly"
"NP1 4PU","W06000018","Caerphilly"
"NP1 4PW","W06000018","Caerphilly"
"NP1 4PX","W06000018","Caerphilly"
"NP1 4PY","W06000018","Caerphilly"
"NP1 4PZ","W06000018","Caerphilly"
"NP1 4QA","W06000018","Caerphilly"
"NP1 4QB","W06000018","Caerphilly"
"NP1 4QD","W06000018","Caerphilly"
"NP1 4QE","W06000018","Caerphilly"
"NP1 4QF","W06000018","Caerphilly"
"NP1 4QG","W06000018","Caerphilly"
"NP1 4QH","W06000018","Caerphilly"
"NP1 4QJ","W06000018","Caerphilly"
"NP1 4QP","W06000018","Caerphilly"
"NP1 4QQ","W06000018","Caerphilly"
"NP1 4QR","W06000018","Caerphilly"
"NP1 4QS","W06000018","Caerphilly"
"NP1 4QT","W06000018","Caerphilly"
"NP1 4QU","W06000018","Caerphilly"
"NP1 4QW","W06000018","Caerphilly"
"NP1 4QX","W06000018","Caerphilly"
"NP1 4QY","W06000018","Caerphilly"
"NP1 4QZ","W06000018","Caerphilly"
"NP1 4RA","W06000018","Caerphilly"
"NP1 4RB","W06000018","Caerphilly"
"NP1 4RD","W06000018","Caerphilly"
"NP1 4RE","W06000018","Caerphilly"
"NP1 4RF","W06000018","Caerphilly"
"NP1 4RG","W06000018","Caerphilly"
"NP1 4RH","W06000018","Caerphilly"
"NP1 4RJ","W06000018","Caerphilly"
"NP1 4RL","W06000018","Caerphilly"
"NP1 4RN","W06000018","Caerphilly"
"NP1 4RQ","W06000018","Caerphilly"
"NP1 4RR","W06000018","Caerphilly"
"NP1 4RS","W06000018","Caerphilly"
"NP1 4RT","W06000018","Caerphilly"
"NP1 4SA","W06000018","Caerphilly"
"NP1 4SB","W06000018","Caerphilly"
"NP1 4SE","W06000018","Caerphilly"
"NP1 4SF","W06000018","Caerphilly"
"NP1 4SG","W06000018","Caerphilly"
"NP1 4SH","W06000018","Caerphilly"
"NP1 4SL","W06000018","Caerphilly"
"NP1 4SN","W06000018","Caerphilly"
"NP1 4SP","W06000018","Caerphilly"
"NP1 4SQ","W06000018","Caerphilly"
"NP1 4SR","W06000018","Caerphilly"
"NP1 4SS","W06000018","Caerphilly"
"NP1 4ST","W06000018","Caerphilly"
"NP1 4SU","W06000018","Caerphilly"
"NP1 4SW","W06000018","Caerphilly"
"NP1 4SX","W06000018","Caerphilly"
"NP1 4SY","W06000018","Caerphilly"
"NP1 4SZ","W06000018","Caerphilly"
"NP1 4TA","W06000018","Caerphilly"
"NP1 4TB","W06000018","Caerphilly"
"NP1 4TD","W06000018","Caerphilly"
"NP1 4TE","W06000018","Caerphilly"
"NP1 4TF","W06000018","Caerphilly"
"NP1 4TG","W06000018","Caerphilly"
"NP1 4TH","W06000018","Caerphilly"
"NP1 4XA","W06000018","Caerphilly"
"NP1 4XB","W06000018","Caerphilly"
"NP1 4XD","W06000018","Caerphilly"
"NP1 4XE","W06000018","Caerphilly"
"NP1 4XF","W06000018","Caerphilly"
"NP1 4XG","W06000018","Caerphilly"
"NP1 4XH","W06000018","Caerphilly"
"NP1 4XJ","W06000018","Caerphilly"
"NP1 4XL","W06000018","Caerphilly"
"NP1 4XN","W06000018","Caerphilly"
"NP1 4XP","W06000018","Caerphilly"
"NP1 4XQ","W06000018","Caerphilly"
"NP1 4XT","W06000018","Caerphilly"
"NP1 4XU","W06000018","Caerphilly"
"NP1 4XW","W06000018","Caerphilly"
"NP1 4XX","W06000018","Caerphilly"
"NP1 4XY","W06000018","Caerphilly"
"NP1 4YA","W06000018","Caerphilly"
"NP1 4YB","W06000018","Caerphilly"
"NP1 4YD","W06000018","Caerphilly"
"NP1 4YE","W06000018","Caerphilly"
"NP1 4YF","W06000018","Caerphilly"
"NP1 4YG","W06000018","Caerphilly"
"NP1 4YH","W06000018","Caerphilly"
"NP1 4YJ","W06000018","Caerphilly"
"NP1 4YL","W06000018","Caerphilly"
"NP1 4YN","W06000018","Caerphilly"
"NP1 4YP","W06000018","Caerphilly"
"NP1 4YQ","W06000018","Caerphilly"
"NP1 4YR","W06000018","Caerphilly"
"NP1 4YS","W06000018","Caerphilly"
"NP1 4YT","W06000018","Caerphilly"
"NP1 4YU","W06000018","Caerphilly"
"NP1 4YW","W06000018","Caerphilly"
"NP1 5AA","W06000018","Caerphilly"
"NP1 5AB","W06000018","Caerphilly"
"NP1 5AD","W06000018","Caerphilly"
"NP1 5AE","W06000018","Caerphilly"
"NP1 5AF","W06000018","Caerphilly"
"NP1 5AG","W06000018","Caerphilly"
"NP1 5AH","W06000018","Caerphilly"
"NP1 5AJ","W06000018","Caerphilly"
"NP1 5AL","W06000018","Caerphilly"
"NP1 5AN","W06000018","Caerphilly"
"NP1 5AP","W06000018","Caerphilly"
"NP1 5AQ","W06000018","Caerphilly"
"NP1 5AR","W06000018","Caerphilly"
"NP1 5AW","W06000018","Caerphilly"
"NP1 5AX","W06000018","Caerphilly"
