pcd,lad23cd,lad23nm
"PA1 1AA","S12000038","Renfrewshire"
"PA1 1AB","S12000038","Renfrewshire"
"PA1 1AD","S12000038","Renfrewshire"
"PA1 1AE","S12000038","Renfrewshire"
"PA1 1AF","S12000038","Renfrewshire"
"PA1 1AG","S12000038","Renfrewshire"
"PA1 1AH","S12000038","Renfrewshire"
"PA1 1AJ","S12000038","Renfrewshire"
"PA1 1AL","S12000038","Renfrewshire"
"PA1 1AN","S12000038","Renfrewshire"
"PA1 1AQ","S12000038","Renfrewshire"
"PA1 1AR","S12000038","Renfrewshire"
"PA1 1AS","S12000038","Renfrewshire"
"PA1 1AU","S12000038","Renfrewshire"
"PA1 1AW","S12000038","Renfrewshire"
"PA1 1AX","S12000038","Renfrewshire"
"PA1 1AY","S12000038","Renfrewshire"
"PA1 1AZ","S12000038","Renfrewshire"
"PA1 1BA","S12000038","Renfrewshire"
"PA1 1BB","S12000038","Renfrewshire"
"PA1 1BD","S12000038","Renfrewshire"
"PA1 1BE","S12000038","Renfrewshire"
"PA1 1BF","S12000038","Renfrewshire"
"PA1 1BG","S12000038","Renfrewshire"
"PA1 1BH","S12000038","Renfrewshire"
"PA1 1BJ","S12000038","Renfrewshire"
"PA1 1BL","S12000038","Renfrewshire"
"PA1 1BN","S12000038","Renfrewshire"
"PA1 1BP","S12000038","Renfrewshire"
"PA1 1BQ","S12000038","Renfrewshire"
"PA1 1BS","S12000038","Renfrewshire"
"PA1 1BT","S12000038","Renfrewshire"
"PA1 1BU","S12000038","Renfrewshire"
"PA1 1BW","S12000038","Renfrewshire"
"PA1 1BX","S12000038","Renfrewshire"
"PA1 1BY","S12000038","Renfrewshire"
"PA1 1BZ","S12000038","Renfrewshire"
"PA1 1DA","S12000038","Renfrewshire"
"PA1 1DB","S12000038","Renfrewshire"
"PA1 1DD","S12000038","Renfrewshire"
"PA1 1DE","S12000038","Renfrewshire"
"PA1 1DF","S12000038","Renfrewshire"
"PA1 1DG","S12000038","Renfrewshire"
"PA1 1DH","S12000038","Renfrewshire"
"PA1 1DJ","S12000038","Renfrewshire"
"PA1 1DL","S12000038","Renfrewshire"
"PA1 1DN","S12000038","Renfrewshire"
"PA1 1DP","S12000038","Renfrewshire"
"PA1 1DQ","S12000038","Renfrewshire"
"PA1 1DR","S12000038","Renfrewshire"
"PA1 1DS","S12000038","Renfrewshire"
"PA1 1DT","S12000038","Renfrewshire"
"PA1 1DU","S12000038","Renfrewshire"
"PA1 1DW","S12000038","Renfrewshire"
"PA1 1DX","S12000038","Renfrewshire"
"PA1 1DY","S12000038","Renfrewshire"
"PA1 1DZ","S12000038","Renfrewshire"
"PA1 1EA","S12000038","Renfrewshire"
"PA1 1EB","S12000038","Renfrewshire"
"PA1 1ED","S12000038","Renfrewshire"
