pcd,lad23cd,lad23nm
"PH1 0AA","S12000048","Perth and Kinross"
"PH1 0AB","S12000048","Perth and Kinross"
"PH1 0AD","S12000048","Perth and Kinross"
"PH1 0AE","S12000048","Perth and Kinross"
"PH1 0AF","S12000048","Perth and Kinross"
"PH1 0AG","S12000048","Perth and Kinross"
"PH1 0AH","S12000048","Perth and Kinross"
"PH1 0AJ","S12000048","Perth and Kinross"
"PH1 0AL","S12000048","Perth and Kinross"
"PH1 0AN","S12000048","Perth and Kinross"
"PH1 0AP","S12000048","Perth and Kinross"
"PH1 0AQ","S12000048","Perth and Kinross"
"PH1 0AR","S12000048","Perth and Kinross"
"PH1 0AS","S12000048","Perth and Kinross"
"PH1 0AU","S12000048","Perth and Kinross"
"PH1 0AW","S12000048","Perth and Kinross"
"PH1 0AX","S12000048","Perth and Kinross"
"PH1 0AY","S12000048","Perth and Kinross"
"PH1 0AZ","S12000048","Perth and Kinross"
"PH1 0BA","S12000048","Perth and Kinross"
"PH1 0BB","S12000048","Perth and Kinross"
"PH1 0BD","S12000048","Perth and Kinross"
"PH1 0BE","S12000048","Perth and Kinross"
"PH1 0BF","S12000048","Perth and Kinross"
"PH1 0BG","S12000048","Perth and Kinross"
"PH1 0BL","S12000048","Perth and Kinross"
"PH1 0BN","S12000048","Perth and Kinross"
"PH1 0BP","S12000048","Perth and Kinross"
"PH1 0BQ","S12000048","Perth and Kinross"
"PH1 1AA","S12000048","Perth and Kinross"
"PH1 1AB","S12000048","Perth and Kinross"
"PH1 1AD","S12000048","Perth and Kinross"
"PH1 1AE","S12000048","Perth and Kinross"
"PH1 1AF","S12000048","Perth and Kinross"
"PH1 1BA","S12000048","Perth and Kinross"
"PH1 1BB","S12000048","Perth and Kinross"
"PH1 1BD","S12000048","Perth and Kinross"
"PH1 1BE","S12000048","Perth and Kinross"
"PH1 1BG","S12000048","Perth and Kinross"
"PH1 1BH","S12000048","Perth and Kinross"
"PH1 1BJ","S12000048","Perth and Kinross"
"PH1 1BL","S12000048","Perth and Kinross"
"PH1 1BN","S12000048","Perth and Kinross"
"PH1 1BP","S12000048","Perth and Kinross"
"PH1 1BQ","S12000048","Perth and Kinross"
"PH1 1BS","S12000048","Perth and Kinross"
"PH1 1BT","S12000048","Perth and Kinross"
"PH1 1BU","S12000048","Perth and Kinross"
"PH1 1BW","S12000048","Perth and Kinross"
"PH1 1BX","S12000048","Perth and Kinross"
"PH1 1BY","S12000048","Perth and Kinross"
"PH1 1BZ","S12000048","Perth and Kinross"
"PH1 1DA","S12000048","Perth and Kinross"
"PH1 1DB","S12000048","Perth and Kinross"
