pcd,lad23cd,lad23nm
"PL1 1AA","E06000026","Plymouth"
"PL1 1AB","E06000026","Plymouth"
"PL1 1AE","E06000026","Plymouth"
"PL1 1AJ","E06000026","Plymouth"
"PL1 1AN","E06000026","Plymouth"
"PL1 1AR","E06000026","Plymouth"
"PL1 1AS","E06000026","Plymouth"
"PL1 1AT","E06000026","Plymouth"
"PL1 1AU","E06000026","Plymouth"
"PL1 1AX","E06000026","Plymouth"
"PL1 1BA","E06000026","Plymouth"
"PL1 1BB","E06000026","Plymouth"
"PL1 1BD","E06000026","Plymouth"
"PL1 1BE","E06000026","Plymouth"
"PL1 1BG","E06000026","Plymouth"
"PL1 1BH","E06000026","Plymouth"
"PL1 1BJ","E06000026","Plymouth"
"PL1 1BL","E06000026","Plymouth"
"PL1 1BN","E06000026","Plymouth"
"PL1 1BP","E06000026","Plymouth"
"PL1 1BQ","E06000026","Plymouth"
"PL1 1BS","E06000026","Plymouth"
"PL1 1BT","E06000026","Plymouth"
"PL1 1BU","E06000026","Plymouth"
"PL1 1BW","E06000026","Plymouth"
"PL1 1BX","E06000026","Plymouth"
"PL1 1BY","E06000026","Plymouth"
"PL1 1BZ","E06000026","Plymouth"
"PL1 1DA","E06000026","Plymouth"
"PL1 1DB","E06000026","Plymouth"
"PL1 1DD","E06000026","Plymouth"
"PL1 1DE","E06000026","Plymouth"
"PL1 1DF","E06000026","Plymouth"
"PL1 1DG","E06000026","Plymouth"
"PL1 1DH","E06000026","Plymouth"
"PL1 1DJ","E06000026","Plymouth"
"PL1 1DL","E06000026","Plymouth"
"PL1 1DN","E06000026","Plymouth"
"PL1 1DP","E06000026","Plymouth"
"PL1 1DQ","E06000026","Plymouth"
"PL1 1DR","E06000026","Plymouth"
"PL1 1DS","E06000026","Plymouth"
"PL1 1DT","E06000026","Plymouth"
"PL1 1DU","E06000026","Plymouth"
"PL1 1DW","E06000026","Plymouth"
"PL1 1DX","E06000026","Plymouth"
"PL1 1DY","E06000026","Plymouth"
"PL1 1DZ","E06000026","Plymouth"
"PL1 1EA","E06000026","Plymouth"
"PL1 1EB","E06000026","Plymouth"
"PL1 1ED","E06000026","Plymouth"
"PL1 1EE","E06000026","Plymouth"
"PL1 1EF","E06000026","Plymouth"
"PL1 1EG","E06000026","Plymouth"
"PL1 1EH","E06000026","Plymouth"
"PL1 1EJ","E06000026","Plymouth"
"PL1 1EL","E06000026","Plymouth"
"PL1 1EN","E06000026","Plymouth"
"PL1 1EP","E06000026","Plymouth"
"PL1 1EQ","E06000026","Plymouth"
"PL1 1ER","E06000026","Plymouth"
"PL1 1ES","E06000026","Plymouth"
"PL1 1ET","E06000026","Plymouth"
"PL1 1EU","E06000026","Plymouth"
"PL1 1EW","E06000026","Plymouth"
"PL1 1EX","E06000026","Plymouth"
"PL1 1EY","E06000026","Plymouth"
"PL1 1EZ","E06000026","Plymouth"
"PL1 1FJ","E06000026","Plymouth"
"PL1 1FP","E06000026","Plymouth"
"PL1 1FR","E06000026","Plymouth"
"PL1 1FS","E06000026","Plymouth"
"PL1 1FU","E06000026","Plymouth"
"PL1 1FX","E06000026","Plymouth"
"PL1 1FY","E06000026","Plymouth"
"PL1 1FZ","E06000026","Plymouth"
"PL1 1GA","E06000026","Plymouth"
"PL1 1GB","E06000026","Plymouth"
"PL1 1GD","E06000026","Plymouth"
"PL1 1GE","E06000026","Plymouth"
"PL1 1GF","E06000026","Plymouth"
"PL1 1GG","E06000026","Plymouth"
"PL1 1GH","E06000026","Plymouth"
"PL1 1GJ","E06000026","Plymouth"
"PL1 1GL","E06000026","Plymouth"
"PL1 1GN","E06000026","Plymouth"
"PL1 1GP","E06000026","Plymouth"
"PL1 1GQ","E06000026","Plymouth"
"PL1 1GR","E06000026","Plymouth"
"PL1 1GS","E06000026","Plymouth"
"PL1 1GT","E06000026","Plymouth"
"PL1 1GU","E06000026","Plymouth"
"PL1 1GW","E06000026","Plymouth"
"PL1 1GX","E06000026","Plymouth"
"PL1 1GY","E06000026","Plymouth"
"PL1 1GZ","E06000026","Plymouth"
"PL1 1HA","E06000026","Plymouth"
"PL1 1HB","E06000026","Plymouth"
"PL1 1HD","E06000026","Plymouth"
"PL1 1HE","E06000026","Plymouth"
"PL1 1HF","E06000026","Plymouth"
"PL1 1HG","E06000026","Plymouth"
"PL1 1HH","E06000026","Plymouth"
"PL1 1HJ","E06000026","Plymouth"
"PL1 1HL","E06000026","Plymouth"
"PL1 1HP","E06000026","Plymouth"
"PL1 1HQ","E06000026","Plymouth"
"PL1 1HR","E06000026","Plymouth"
"PL1 1HS","E06000026","Plymouth"
"PL1 1HT","E06000026","Plymouth"
"PL1 1HU","E06000026","Plymouth"
"PL1 1HW","E06000026","Plymouth"
"PL1 1HX","E06000026","Plymouth"
"PL1 1HY","E06000026","Plymouth"
"PL1 1HZ","E06000026","Plymouth"
"PL1 1JA","E06000026","Plymouth"
"PL1 1JB","E06000026","Plymouth"
"PL1 1JD","E06000026","Plymouth"
"PL1 1JE","E06000026","Plymouth"
"PL1 1JF","E06000026","Plymouth"
"PL1 1JG","E06000026","Plymouth"
"PL1 1JH","E06000026","Plymouth"
"PL1 1JJ","E06000026","Plymouth"
