pcd,lad23cd,lad23nm
"PO1 1AA","E06000044","Portsmouth"
"PO1 1AB","E06000044","Portsmouth"
"PO1 1AD","E06000044","Portsmouth"
"PO1 1AE","E06000044","Portsmouth"
"PO1 1AF","E06000044","Portsmouth"
"PO1 1AG","E06000044","Portsmouth"
"PO1 1AH","E06000044","Portsmouth"
"PO1 1AN","E06000044","Portsmouth"
"PO1 1AQ","E06000044","Portsmouth"
"PO1 1AR","E06000044","Portsmouth"
"PO1 1AS","E06000044","Portsmouth"
"PO1 1AT","E06000044","Portsmouth"
"PO1 1AU","E06000044","Portsmouth"
"PO1 1AW","E06000044","Portsmouth"
"PO1 1AX","E06000044","Portsmouth"
"PO1 1AY","E06000044","Portsmouth"
"PO1 1AZ","E06000044","Portsmouth"
"PO1 1BA","E06000044","Portsmouth"
"PO1 1BB","E06000044","Portsmouth"
"PO1 1BD","E06000044","Portsmouth"
"PO1 1BE","E06000044","Portsmouth"
"PO1 1BF","E06000044","Portsmouth"
"PO1 1BG","E06000044","Portsmouth"
"PO1 1BH","E06000044","Portsmouth"
"PO1 1BJ","E06000044","Portsmouth"
"PO1 1BL","E06000044","Portsmouth"
"PO1 1BN","E06000044","Portsmouth"
"PO1 1BP","E06000044","Portsmouth"
"PO1 1BQ","E06000044","Portsmouth"
"PO1 1BS","E06000044","Portsmouth"
"PO1 1BT","E06000044","Portsmouth"
"PO1 1BU","E06000044","Portsmouth"
"PO1 1BW","E06000044","Portsmouth"
"PO1 1BX","E06000044","Portsmouth"
"PO1 1BY","E06000044","Portsmouth"
"PO1 1BZ","E06000044","Portsmouth"
"PO1 1DA","E06000044","Portsmouth"
"PO1 1DB","E06000044","Portsmouth"
"PO1 1DD","E06000044","Portsmouth"
"PO1 1DE","E06000044","Portsmouth"
"PO1 1DF","E06000044","Portsmouth"
"PO1 1DG","E06000044","Portsmouth"
"PO1 1DH","E06000044","Portsmouth"
"PO1 1DJ","E06000044","Portsmouth"
"PO1 1DL","E06000044","Portsmouth"
"PO1 1DN","E06000044","Portsmouth"
"PO1 1DP","E06000044","Portsmouth"
"PO1 1DQ","E06000044","Portsmouth"
