pcd,lad23cd,lad23nm
"PR0 2AA","E07000123","Preston"
"PR0 2AD","E07000123","Preston"
"PR0 2AE","E07000123","Preston"
"PR0 2AF","E07000123","Preston"
"PR0 2AG","E07000123","Preston"
"PR0 2AH","E07000123","Preston"
"PR0 2AJ","E07000123","Preston"
"PR0 2AL","E07000123","Preston"
"PR0 2AN","E07000123","Preston"
"PR0 2AP","E07000123","Preston"
"PR0 2AQ","E07000123","Preston"
"PR0 2BP","E07000123","Preston"
"PR0 2EG","E07000123","Preston"
"PR0 2EJ","E07000123","Preston"
"PR0 2GP","E07000123","Preston"
"PR0 2LP","E07000123","Preston"
"PR0 2NP","E07000123","Preston"
"PR0 2PP","E07000123","Preston"
"PR0 2QP","E07000123","Preston"
"PR0 2RD","E07000123","Preston"
"PR0 2RP","E07000123","Preston"
"PR0 2SP","E07000123","Preston"
"PR0 2TP","E07000123","Preston"
"PR0 2TU","E07000123","Preston"
"PR0 2ZP","E07000123","Preston"
"PR1 0AA","E07000126","South Ribble"
"PR1 0AD","E07000126","South Ribble"
"PR1 0AE","E07000126","South Ribble"
"PR1 0AG","E07000126","South Ribble"
"PR1 0AH","E07000126","South Ribble"
"PR1 0AJ","E07000126","South Ribble"
"PR1 0AL","E07000126","South Ribble"
"PR1 0AN","E07000126","South Ribble"
"PR1 0AP","E07000126","South Ribble"
"PR1 0AQ","E07000126","South Ribble"
"PR1 0AR","E07000126","South Ribble"
"PR1 0AS","E07000126","South Ribble"
"PR1 0AT","E07000126","South Ribble"
"PR1 0AU","E07000126","South Ribble"
"PR1 0AW","E07000126","South Ribble"
"PR1 0AX","E07000126","South Ribble"
"PR1 0AY","E07000126","South Ribble"
"PR1 0AZ","E07000126","South Ribble"
"PR1 0BA","E07000126","South Ribble"
"PR1 0BB","E07000126","South Ribble"
"PR1 0BD","E07000126","South Ribble"
"PR1 0BE","E07000126","South Ribble"
"PR1 0BH","E07000126","South Ribble"
"PR1 0BJ","E07000126","South Ribble"
"PR1 0BL","E07000126","South Ribble"
"PR1 0BN","E07000126","South Ribble"
"PR1 0BP","E07000126","South Ribble"
"PR1 0BQ","E07000126","South Ribble"
"PR1 0BS","E07000123","Preston"
"PR1 0DA","E07000126","South Ribble"
"PR1 0DL","E07000126","South Ribble"
"PR1 0DN","E07000123","Preston"
"PR1 0DP","E07000126","South Ribble"
"PR1 0DQ","E07000126","South Ribble"
"PR1 0DR","E07000126","South Ribble"
"PR1 0DS","E07000126","South Ribble"
"PR1 0DT","E07000126","South Ribble"
"PR1 0DU","E07000126","South Ribble"
"PR1 0DX","E07000126","South Ribble"
"PR1 0DY","E07000126","South Ribble"
"PR1 0DZ","E07000126","South Ribble"
"PR1 0EA","E07000126","South Ribble"
"PR1 0EB","E07000126","South Ribble"
"PR1 0ED","E07000126","South Ribble"
"PR1 0EE","E07000126","South Ribble"
"PR1 0EH","E07000126","South Ribble"
"PR1 0EJ","E07000126","South Ribble"
"PR1 0EL","E07000126","South Ribble"
"PR1 0EN","E07000126","South Ribble"
"PR1 0EP","E07000126","South Ribble"
"PR1 0EQ","E07000126","South Ribble"
"PR1 0ER","E07000126","South Ribble"
"PR1 0FA","E07000123","Preston"
"PR1 0FB","E07000123","Preston"
"PR1 0FE","E07000123","Preston"
"PR1 0GA","E07000126","South Ribble"
"PR1 0GB","E07000126","South Ribble"
"PR1 0GD","E07000126","South Ribble"
"PR1 0GE","E07000123","Preston"
"PR1 0GF","E07000123","Preston"
"PR1 0GG","E07000123","Preston"
"PR1 0GH","E07000123","Preston"
"PR1 0GJ","E07000126","South Ribble"
"PR1 0GL","E07000123","Preston"
"PR1 0GN","E07000123","Preston"
"PR1 0GP","E07000123","Preston"
"PR1 0GQ","E07000123","Preston"
