pcd,lad23cd,lad23nm
"RG1 1AA","E06000038","Reading"
"RG1 1AF","E06000038","Reading"
"RG1 1AG","E06000038","Reading"
"RG1 1AH","E06000038","Reading"
"RG1 1AJ","E06000038","Reading"
"RG1 1AL","E06000038","Reading"
"RG1 1AN","E06000038","Reading"
"RG1 1AQ","E06000038","Reading"
"RG1 1AR","E06000038","Reading"
"RG1 1AS","E06000038","Reading"
"RG1 1AT","E06000038","Reading"
"RG1 1AU","E06000038","Reading"
"RG1 1AW","E06000038","Reading"
"RG1 1AX","E06000038","Reading"
"RG1 1AY","E06000038","Reading"
"RG1 1AZ","E06000038","Reading"
"RG1 1BA","E06000038","Reading"
"RG1 1BB","E06000038","Reading"
"RG1 1BD","E06000038","Reading"
"RG1 1BE","E06000038","Reading"
"RG1 1BF","E06000038","Reading"
"RG1 1BG","E06000038","Reading"
"RG1 1BH","E06000038","Reading"
"RG1 1BJ","E06000038","Reading"
"RG1 1BL","E06000038","Reading"
"RG1 1BP","E06000038","Reading"
"RG1 1BQ","E06000038","Reading"
"RG1 1BS","E06000038","Reading"
"RG1 1BT","E06000038","Reading"
"RG1 1BU","E06000038","Reading"
"RG1 1BW","E06000038","Reading"
"RG1 1BX","E06000038","Reading"
"RG1 1BY","E06000038","Reading"
"RG1 1BZ","E06000038","Reading"
"RG1 1DA","E06000038","Reading"
"RG1 1DB","E06000038","Reading"
"RG1 1DD","E06000038","Reading"
"RG1 1DE","E06000038","Reading"
"RG1 1DF","E06000038","Reading"
"RG1 1DG","E06000038","Reading"
"RG1 1DH","E06000038","Reading"
"RG1 1DJ","E06000038","Reading"
"RG1 1DL","E06000038","Reading"
"RG1 1DN","E06000038","Reading"
"RG1 1DP","E06000038","Reading"
"RG1 1DQ","E06000038","Reading"
"RG1 1DR","E06000038","Reading"
"RG1 1DS","E06000038","Reading"
"RG1 1DT","E06000038","Reading"
"RG1 1DU","E06000038","Reading"
"RG1 1DW","E06000038","Reading"
"RG1 1DX","E06000038","Reading"
"RG1 1DY","E06000038","Reading"
"RG1 1DZ","E06000038","Reading"
"RG1 1EA","E06000038","Reading"
"RG1 1EB","E06000038","Reading"
"RG1 1ED","E06000038","Reading"
"RG1 1EE","E06000038","Reading"
"RG1 1EF","E06000038","Reading"
"RG1 1EG","E06000038","Reading"
"RG1 1EH","E06000038","Reading"
"RG1 1EJ","E06000038","Reading"
"RG1 1EL","E06000038","Reading"
"RG1 1EN","E06000038","Reading"
"RG1 1EP","E06000038","Reading"
"RG1 1EQ","E06000038","Reading"
"RG1 1ER","E06000038","Reading"
"RG1 1ES","E06000038","Reading"
"RG1 1ET","E06000038","Reading"
"RG1 1EU","E06000038","Reading"
"RG1 1EW","E06000038","Reading"
"RG1 1EX","E06000038","Reading"
"RG1 1EY","E06000038","Reading"
"RG1 1EZ","E06000038","Reading"
"RG1 1FB","E06000038","Reading"
"RG1 1FD","E06000038","Reading"
"RG1 1FE","E06000038","Reading"
"RG1 1FF","E06000038","Reading"
"RG1 1FG","E06000038","Reading"
"RG1 1FH","E06000038","Reading"
"RG1 1FJ","E06000038","Reading"
"RG1 1FL","E06000038","Reading"
"RG1 1FN","E06000038","Reading"
"RG1 1FP","E06000038","Reading"
"RG1 1FQ","E06000038","Reading"
"RG1 1FR","E06000038","Reading"
"RG1 1FS","E06000038","Reading"
"RG1 1FT","E06000038","Reading"
"RG1 1FU","E06000038","Reading"
"RG1 1FW","E06000038","Reading"
"RG1 1FX","E06000038","Reading"
"RG1 1FY","E06000038","Reading"
"RG1 1FZ","E06000038","Reading"
"RG1 1GA","E06000038","Reading"
"RG1 1GB","E06000038","Reading"
"RG1 1GD","E06000038","Reading"
"RG1 1GE","E06000038","Reading"
"RG1 1GF","E06000038","Reading"
"RG1 1GG","E06000038","Reading"
"RG1 1GH","E06000038","Reading"
"RG1 1GJ","E06000038","Reading"
"RG1 1GL","E06000038","Reading"
"RG1 1GN","E06000038","Reading"
"RG1 1GP","E06000038","Reading"
"RG1 1GQ","E06000038","Reading"
"RG1 1GR","E06000038","Reading"
"RG1 1GS","E06000038","Reading"
"RG1 1GT","E06000038","Reading"
"RG1 1GU","E06000038","Reading"
"RG1 1GW","E06000038","Reading"
"RG1 1GX","E06000038","Reading"
"RG1 1GY","E06000038","Reading"
