pcd,lad23cd,lad23nm
"S1  1AA","E08000019","Sheffield"
"S1  1AB","E08000019","Sheffield"
"S1  1AD","E08000019","Sheffield"
"S1  1AE","E08000019","Sheffield"
"S1  1AH","E08000019","Sheffield"
"S1  1AL","E08000019","Sheffield"
"S1  1AU","E08000019","Sheffield"
"S1  1AW","E08000019","Sheffield"
"S1  1AY","E08000019","Sheffield"
"S1  1BA","E08000019","Sheffield"
"S1  1BB","E08000019","Sheffield"
"S1  1BD","E08000019","Sheffield"
"S1  1BE","E08000019","Sheffield"
"S1  1BF","E08000019","Sheffield"
"S1  1BG","E08000019","Sheffield"
"S1  1BH","E08000019","Sheffield"
"S1  1BJ","E08000019","Sheffield"
"S1  1BL","E08000019","Sheffield"
"S1  1BN","E08000019","Sheffield"
"S1  1BP","E08000019","Sheffield"
"S1  1BQ","E08000019","Sheffield"
"S1  1BR","E08000019","Sheffield"
"S1  1BS","E08000019","Sheffield"
"S1  1BT","E08000019","Sheffield"
"S1  1BU","E08000019","Sheffield"
"S1  1BW","E08000019","Sheffield"
"S1  1BX","E08000019","Sheffield"
"S1  1BY","E08000019","Sheffield"
"S1  1BZ","E08000019","Sheffield"
"S1  1DA","E08000019","Sheffield"
"S1  1DB","E08000019","Sheffield"
"S1  1DD","E08000019","Sheffield"
"S1  1DE","E08000019","Sheffield"
"S1  1DF","E08000019","Sheffield"
"S1  1DG","E08000019","Sheffield"
"S1  1DH","E08000018","Rotherham"
"S1  1DJ","E08000019","Sheffield"
"S1  1DL","E08000019","Sheffield"
"S1  1DN","E08000019","Sheffield"
"S1  1DP","E08000019","Sheffield"
"S1  1DQ","E07000038","North East Derbyshire"
"S1  1DR","E08000019","Sheffield"
"S1  1DS","E08000019","Sheffield"
"S1  1DT","E08000019","Sheffield"
"S1  1DU","E08000019","Sheffield"
"S1  1DW","E08000019","Sheffield"
"S1  1DX","E08000019","Sheffield"
"S1  1DY","E08000019","Sheffield"
"S1  1DZ","E08000019","Sheffield"
"S1  1EA","E08000019","Sheffield"
"S1  1EB","E08000019","Sheffield"
"S1  1ED","E08000019","Sheffield"
"S1  1EE","E08000019","Sheffield"
"S1  1EF","E08000019","Sheffield"
"S1  1EG","E08000019","Sheffield"
"S1  1EH","E08000019","Sheffield"
"S1  1EJ","E08000019","Sheffield"
"S1  1EL","E08000019","Sheffield"
"S1  1EN","E08000019","Sheffield"
"S1  1EP","E08000019","Sheffield"
"S1  1EQ","E08000019","Sheffield"
"S1  1ER","E08000019","Sheffield"
"S1  1ES","E08000019","Sheffield"
"S1  1ET","E08000019","Sheffield"
"S1  1EU","E08000019","Sheffield"
"S1  1EW","E08000019","Sheffield"
"S1  1EX","E08000019","Sheffield"
"S1  1EY","E08000019","Sheffield"
"S1  1EZ","E08000019","Sheffield"
"S1  1FA","E08000019","Sheffield"
"S1  1FB","E08000019","Sheffield"
"S1  1FD","E08000019","Sheffield"
"S1  1FE","E08000019","Sheffield"
"S1  1FF","E08000019","Sheffield"
"S1  1FG","E08000019","Sheffield"
"S1  1FH","E08000019","Sheffield"
"S1  1FJ","E08000019","Sheffield"
"S1  1FL","E08000019","Sheffield"
"S1  1FN","E08000019","Sheffield"
"S1  1FP","E08000019","Sheffield"
"S1  1FQ","E08000019","Sheffield"
"S1  1FR","E08000019","Sheffield"
"S1  1FS","E08000019","Sheffield"
"S1  1FT","E08000019","Sheffield"
"S1  1FU","E08000019","Sheffield"
"S1  1FW","E08000019","Sheffield"
"S1  1FX","E08000019","Sheffield"
"S1  1FY","E08000019","Sheffield"
"S1  1FZ","E08000019","Sheffield"
"S1  1GA","E08000019","Sheffield"
"S1  1GB","E08000019","Sheffield"
"S1  1GD","E08000019","Sheffield"
"S1  1GE","E08000019","Sheffield"
"S1  1GF","E08000019","Sheffield"
"S1  1GG","E08000019","Sheffield"
"S1  1GH","E08000019","Sheffield"
"S1  1GJ","E08000019","Sheffield"
"S1  1GL","E08000019","Sheffield"
"S1  1GN","E08000019","Sheffield"
"S1  1GP","E08000019","Sheffield"
"S1  1GQ","E08000019","Sheffield"
"S1  1GR","E08000019","Sheffield"
"S1  1GS","E08000019","Sheffield"
"S1  1GT","E08000019","Sheffield"
"S1  1GU","E08000019","Sheffield"
"S1  1GW","E08000019","Sheffield"
"S1  1GX","E08000019","Sheffield"
"S1  1GY","E08000019","Sheffield"
"S1  1GZ","E08000019","Sheffield"
"S1  1HA","E08000019","Sheffield"
"S1  1HB","E08000019","Sheffield"
"S1  1HD","E08000019","Sheffield"
"S1  1HE","E08000019","Sheffield"
"S1  1HF","E08000019","Sheffield"
"S1  1HG","E08000019","Sheffield"
"S1  1HH","E08000019","Sheffield"
"S1  1HJ","E08000019","Sheffield"
"S1  1HL","E08000019","Sheffield"
"S1  1HN","E08000019","Sheffield"
"S1  1HP","E08000019","Sheffield"
"S1  1HQ","E08000019","Sheffield"
"S1  1HR","E08000019","Sheffield"
"S1  1HS","E08000019","Sheffield"
"S1  1HT","E08000019","Sheffield"
"S1  1HU","E08000019","Sheffield"
"S1  1HW","E08000019","Sheffield"
"S1  1HX","E08000019","Sheffield"
"S1  1HY","E08000019","Sheffield"
"S1  1HZ","E08000019","Sheffield"
"S1  1JA","E08000019","Sheffield"
"S1  1JB","E08000019","Sheffield"
"S1  1JD","E08000019","Sheffield"
"S1  1JE","E08000019","Sheffield"
"S1  1JF","E08000019","Sheffield"
"S1  1JG","E08000019","Sheffield"
"S1  1JH","E08000019","Sheffield"
"S1  1JJ","E08000019","Sheffield"
"S1  1JL","E08000019","Sheffield"
"S1  1JN","E08000019","Sheffield"
"S1  1JP","E08000019","Sheffield"
"S1  1JQ","E08000019","Sheffield"
"S1  1JR","E08000019","Sheffield"
"S1  1JS","E08000019","Sheffield"
"S1  1JT","E08000019","Sheffield"
"S1  1JU","E08000019","Sheffield"
"S1  1JW","E08000019","Sheffield"
"S1  1JX","E08000019","Sheffield"
"S1  1JY","E08000019","Sheffield"
"S1  1JZ","E08000019","Sheffield"
"S1  1LA","E08000019","Sheffield"
"S1  1LB","E08000019","Sheffield"
"S1  1LD","E08000019","Sheffield"
"S1  1LE","E08000019","Sheffield"
"S1  1LF","E08000019","Sheffield"
"S1  1LG","E08000019","Sheffield"
"S1  1LH","E08000019","Sheffield"
"S1  1LJ","E08000019","Sheffield"
"S1  1LL","E08000019","Sheffield"
"S1  1LN","E08000019","Sheffield"
"S1  1LP","E08000019","Sheffield"
"S1  1LQ","E08000019","Sheffield"
"S1  1LR","E08000019","Sheffield"
"S1  1LS","E08000019","Sheffield"
"S1  1LT","E08000019","Sheffield"
"S1  1LU","E08000019","Sheffield"
"S1  1LW","E08000019","Sheffield"
"S1  1LX","E08000019","Sheffield"
"S1  1LY","E08000019","Sheffield"
"S1  1LZ","E08000019","Sheffield"
"S1  1NA","E08000019","Sheffield"
"S1  1NB","E08000019","Sheffield"
"S1  1ND","E08000019","Sheffield"
"S1  1NE","E08000019","Sheffield"
"S1  1NF","E08000019","Sheffield"
"S1  1NG","E08000019","Sheffield"
"S1  1NH","E08000019","Sheffield"
"S1  1NJ","E08000019","Sheffield"
"S1  1NL","E08000019","Sheffield"
"S1  1NN","E08000019","Sheffield"
"S1  1NP","E08000019","Sheffield"
"S1  1NQ","E08000019","Sheffield"
"S1  1NR","E08000019","Sheffield"
"S1  1NS","E08000019","Sheffield"
"S1  1NT","E08000019","Sheffield"
"S1  1NU","E08000019","Sheffield"
"S1  1NW","E08000019","Sheffield"
"S1  1NX","E08000019","Sheffield"
"S1  1NY","E08000019","Sheffield"
"S1  1PA","E08000019","Sheffield"
"S1  1PB","E08000019","Sheffield"
"S1  1PD","E08000019","Sheffield"
"S1  1PE","E08000019","Sheffield"
"S1  1PF","E08000019","Sheffield"
"S1  1PG","E08000019","Sheffield"
"S1  1PH","E08000019","Sheffield"
"S1  1PJ","E08000019","Sheffield"
"S1  1PL","E08000019","Sheffield"
"S1  1PN","E08000019","Sheffield"
"S1  1PP","E08000019","Sheffield"
"S1  1PQ","E08000019","Sheffield"
"S1  1PR","E08000019","Sheffield"
"S1  1PS","E08000019","Sheffield"
"S1  1PT","E08000019","Sheffield"
"S1  1PU","E08000019","Sheffield"
"S1  1PW","E08000019","Sheffield"
"S1  1PX","E08000019","Sheffield"
"S1  1PY","E08000019","Sheffield"
"S1  1PZ","E08000019","Sheffield"
"S1  1QA","E08000019","Sheffield"
"S1  1QB","E08000019","Sheffield"
"S1  1QD","E08000019","Sheffield"
"S1  1QE","E08000019","Sheffield"
"S1  1QF","E08000019","Sheffield"
"S1  1QG","E08000019","Sheffield"
"S1  1QH","E08000019","Sheffield"
"S1  1QJ","E08000019","Sheffield"
"S1  1QL","E08000019","Sheffield"
"S1  1QN","E08000019","Sheffield"
"S1  1QP","E08000019","Sheffield"
"S1  1QQ","E08000019","Sheffield"
"S1  1QR","E08000019","Sheffield"
"S1  1QS","E08000018","Rotherham"
"S1  1QT","E08000019","Sheffield"
"S1  1QU","E08000018","Rotherham"
"S1  1QW","E08000019","Sheffield"
"S1  1QX","E08000018","Rotherham"
"S1  1QY","E08000018","Rotherham"
"S1  1QZ","E08000019","Sheffield"
"S1  1RA","E08000019","Sheffield"
"S1  1RB","E08000019","Sheffield"
"S1  1RD","E08000019","Sheffield"
"S1  1RE","E08000019","Sheffield"
"S1  1RF","E08000019","Sheffield"
"S1  1RG","E08000019","Sheffield"
"S1  1RH","E08000019","Sheffield"
"S1  1RJ","E08000019","Sheffield"
"S1  1RL","E08000019","Sheffield"
"S1  1RN","E08000019","Sheffield"
"S1  1RP","E08000019","Sheffield"
"S1  1RQ","E08000019","Sheffield"
"S1  1RR","E08000019","Sheffield"
"S1  1RS","E08000019","Sheffield"
"S1  1RT","E08000019","Sheffield"
"S1  1RU","E08000019","Sheffield"
"S1  1RW","E08000019","Sheffield"
"S1  1RX","E08000019","Sheffield"
"S1  1RY","E08000019","Sheffield"
"S1  1RZ","E08000019","Sheffield"
"S1  1SA","E08000019","Sheffield"
"S1  1SB","E08000019","Sheffield"
"S1  1SD","E08000019","Sheffield"
"S1  1SE","E08000019","Sheffield"
"S1  1SF","E08000019","Sheffield"
"S1  1SG","E08000019","Sheffield"
"S1  1SH","E08000019","Sheffield"
"S1  1SJ","E08000019","Sheffield"
"S1  1SL","E08000019","Sheffield"
"S1  1SN","E08000019","Sheffield"
"S1  1SP","E08000019","Sheffield"
"S1  1SQ","E08000019","Sheffield"
"S1  1SR","E08000019","Sheffield"
"S1  1SS","E08000019","Sheffield"
"S1  1ST","E08000019","Sheffield"
"S1  1SU","E08000019","Sheffield"
"S1  1SW","E08000019","Sheffield"
"S1  1SX","E08000019","Sheffield"
"S1  1SY","E08000019","Sheffield"
"S1  1SZ","E08000019","Sheffield"
"S1  1TA","E08000019","Sheffield"
"S1  1TB","E08000019","Sheffield"
"S1  1TD","E08000019","Sheffield"
"S1  1TE","E08000019","Sheffield"
"S1  1TF","E08000019","Sheffield"
"S1  1TG","E08000019","Sheffield"
"S1  1TJ","E08000019","Sheffield"
"S1  1TL","E08000019","Sheffield"
"S1  1TN","E08000019","Sheffield"
"S1  1TP","E08000019","Sheffield"
"S1  1TR","E08000019","Sheffield"
"S1  1TT","E08000019","Sheffield"
"S1  1TU","E08000019","Sheffield"
"S1  1TW","E08000019","Sheffield"
"S1  1TX","E08000019","Sheffield"
"S1  1TY","E08000019","Sheffield"
"S1  1TZ","E08000019","Sheffield"
"S1  1UA","E08000019","Sheffield"
"S1  1UB","E08000019","Sheffield"
"S1  1UD","E08000019","Sheffield"
"S1  1UE","E08000019","Sheffield"
"S1  1UF","E08000019","Sheffield"
"S1  1UG","E08000019","Sheffield"
"S1  1UH","E08000019","Sheffield"
"S1  1UJ","E08000019","Sheffield"
"S1  1UL","E08000019","Sheffield"
"S1  1UN","E08000019","Sheffield"
"S1  1UP","E08000019","Sheffield"
"S1  1UQ","E08000019","Sheffield"
"S1  1UR","E08000019","Sheffield"
"S1  1US","E08000019","Sheffield"
"S1  1UT","E08000019","Sheffield"
"S1  1UU","E08000019","Sheffield"
"S1  1UW","E08000019","Sheffield"
"S1  1UX","E08000019","Sheffield"
"S1  1UY","E08000019","Sheffield"
"S1  1UZ","E08000019","Sheffield"
"S1  1WA","E08000019","Sheffield"
"S1  1WB","E08000019","Sheffield"
"S1  1WD","E08000019","Sheffield"
"S1  1WE","E08000019","Sheffield"
"S1  1WF","E08000019","Sheffield"
"S1  1WG","E08000019","Sheffield"
"S1  1WH","E08000019","Sheffield"
"S1  1WJ","E08000019","Sheffield"
"S1  1WL","E08000019","Sheffield"
"S1  1WN","E08000019","Sheffield"
"S1  1WP","E08000019","Sheffield"
"S1  1WQ","E08000019","Sheffield"
"S1  1WR","E08000019","Sheffield"
"S1  1WS","E08000019","Sheffield"
"S1  1WT","E08000019","Sheffield"
"S1  1WU","E08000019","Sheffield"
"S1  1WW","E08000019","Sheffield"
"S1  1WX","E08000019","Sheffield"
"S1  1WY","E08000019","Sheffield"
"S1  1WZ","E08000019","Sheffield"
"S1  1XA","E08000019","Sheffield"
"S1  1XB","E08000019","Sheffield"
"S1  1XD","E08000019","Sheffield"
"S1  1XE","E08000019","Sheffield"
"S1  1XF","E08000019","Sheffield"
"S1  1XG","E08000019","Sheffield"
"S1  1XH","E08000019","Sheffield"
"S1  1XJ","E08000019","Sheffield"
"S1  1XL","E08000019","Sheffield"
"S1  1XN","E08000019","Sheffield"
"S1  1XP","E08000019","Sheffield"
"S1  1XQ","E08000019","Sheffield"
"S1  1XR","E08000019","Sheffield"
"S1  1XS","E08000019","Sheffield"
"S1  1XT","E08000019","Sheffield"
"S1  1XU","E08000019","Sheffield"
"S1  1XW","E08000019","Sheffield"
"S1  1XX","E08000019","Sheffield"
"S1  1XY","E08000019","Sheffield"
"S1  1XZ","E08000019","Sheffield"
"S1  1YA","E08000019","Sheffield"
"S1  1YB","E08000019","Sheffield"
"S1  1YD","E08000019","Sheffield"
"S1  1YE","E08000019","Sheffield"
"S1  1YG","E08000019","Sheffield"
"S1  1YH","E08000019","Sheffield"
"S1  1YJ","E08000019","Sheffield"
"S1  1YL","E08000019","Sheffield"
"S1  1YN","E08000019","Sheffield"
"S1  1YP","E08000019","Sheffield"
"S1  1YQ","E08000019","Sheffield"
"S1  1YR","E08000019","Sheffield"
"S1  1YS","E08000019","Sheffield"
"S1  1YT","E08000019","Sheffield"
"S1  1YU","E08000019","Sheffield"
"S1  1YW","E08000019","Sheffield"
"S1  1YX","E08000019","Sheffield"
"S1  1YY","E08000019","Sheffield"
"S1  1YZ","E08000019","Sheffield"
"S1  1ZA","E08000019","Sheffield"
"S1  1ZB","E08000019","Sheffield"
"S1  1ZD","E08000019","Sheffield"
"S1  1ZE","E08000019","Sheffield"
"S1  1ZF","E08000019","Sheffield"
"S1  1ZH","E08000019","Sheffield"
