pcd,lad23cd,lad23nm
"SA1 1AA","W06000011","Swansea"
"SA1 1AB","W06000011","Swansea"
"SA1 1AD","W06000011","Swansea"
"SA1 1AE","W06000011","Swansea"
"SA1 1AF","W06000011","Swansea"
"SA1 1AG","W06000011","Swansea"
"SA1 1AH","W06000011","Swansea"
"SA1 1AJ","W06000011","Swansea"
"SA1 1AL","W06000011","Swansea"
"SA1 1AN","W06000011","Swansea"
"SA1 1AP","W06000011","Swansea"
"SA1 1AQ","W06000011","Swansea"
"SA1 1AR","W06000011","Swansea"
"SA1 1AS","W06000011","Swansea"
"SA1 1AT","W06000011","Swansea"
"SA1 1AU","W06000011","Swansea"
"SA1 1AW","W06000011","Swansea"
"SA1 1AX","W06000011","Swansea"
"SA1 1AY","W06000011","Swansea"
"SA1 1AZ","W06000011","Swansea"
"SA1 1BA","W06000011","Swansea"
"SA1 1BB","W06000011","Swansea"
"SA1 1BD","W06000011","Swansea"
"SA1 1BE","W06000011","Swansea"
"SA1 1BG","W06000011","Swansea"
"SA1 1BH","W06000011","Swansea"
"SA1 1BJ","W06000011","Swansea"
"SA1 1BL","W06000011","Swansea"
"SA1 1BN","W06000011","Swansea"
"SA1 1BP","W06000011","Swansea"
"SA1 1BQ","W06000011","Swansea"
"SA1 1BR","W06000011","Swansea"
"SA1 1BS","W06000011","Swansea"
"SA1 1BT","W06000011","Swansea"
"SA1 1BU","W06000011","Swansea"
"SA1 1BW","W06000011","Swansea"
"SA1 1BX","W06000011","Swansea"
"SA1 1BY","W06000011","Swansea"
"SA1 1BZ","W06000011","Swansea"
"SA1 1DA","W06000011","Swansea"
"SA1 1DB","W06000011","Swansea"
"SA1 1DD","W06000011","Swansea"
"SA1 1DE","W06000011","Swansea"
"SA1 1DF","W06000011","Swansea"
"SA1 1DG","W06000011","Swansea"
"SA1 1DH","W06000011","Swansea"
"SA1 1DJ","W06000011","Swansea"
"SA1 1DL","W06000011","Swansea"
"SA1 1DN","W06000011","Swansea"
"SA1 1DP","W06000011","Swansea"
"SA1 1DQ","W06000011","Swansea"
"SA1 1DR","W06000011","Swansea"
"SA1 1DS","W06000011","Swansea"
"SA1 1DT","W06000011","Swansea"
"SA1 1DU","W06000011","Swansea"
"SA1 1DW","W06000011","Swansea"
"SA1 1DX","W06000011","Swansea"
"SA1 1DY","W06000011","Swansea"
"SA1 1DZ","W06000011","Swansea"
"SA1 1EA","W06000011","Swansea"
"SA1 1EB","W06000011","Swansea"
"SA1 1ED","W06000011","Swansea"
"SA1 1EE","W06000011","Swansea"
"SA1 1EF","W06000011","Swansea"
"SA1 1EG","W06000011","Swansea"
"SA1 1EH","W06000011","Swansea"
"SA1 1EJ","W06000011","Swansea"
"SA1 1EL","W06000011","Swansea"
"SA1 1EN","W06000011","Swansea"
"SA1 1EP","W06000011","Swansea"
"SA1 1EQ","W06000011","Swansea"
"SA1 1ER","W06000011","Swansea"
"SA1 1ES","W06000011","Swansea"
"SA1 1ET","W06000011","Swansea"
"SA1 1EU","W06000011","Swansea"
"SA1 1EW","W06000011","Swansea"
"SA1 1EX","W06000011","Swansea"
"SA1 1EY","W06000011","Swansea"
"SA1 1EZ","W06000011","Swansea"
"SA1 1FA","W06000011","Swansea"
"SA1 1FG","W06000011","Swansea"
"SA1 1FH","W06000011","Swansea"
"SA1 1FL","W06000011","Swansea"
"SA1 1FN","W06000011","Swansea"
"SA1 1FP","W06000011","Swansea"
"SA1 1FR","W06000011","Swansea"
"SA1 1FS","W06000011","Swansea"
"SA1 1FT","W06000011","Swansea"
"SA1 1FU","W06000011","Swansea"
"SA1 1FW","W06000011","Swansea"
"SA1 1FX","W06000011","Swansea"
"SA1 1FY","W06000011","Swansea"
"SA1 1FZ","W06000011","Swansea"
"SA1 1GA","W06000011","Swansea"
"SA1 1GB","W06000011","Swansea"
"SA1 1GD","W06000011","Swansea"
"SA1 1GE","W06000011","Swansea"
"SA1 1GF","W06000011","Swansea"
"SA1 1GG","W06000011","Swansea"
"SA1 1GH","W06000011","Swansea"
"SA1 1GJ","W06000011","Swansea"
"SA1 1GL","W06000011","Swansea"
"SA1 1GN","W06000011","Swansea"
"SA1 1GP","W06000011","Swansea"
"SA1 1GQ","W06000011","Swansea"
"SA1 1GR","W06000011","Swansea"
"SA1 1GS","W06000011","Swansea"
"SA1 1GT","W06000011","Swansea"
"SA1 1GU","W06000011","Swansea"
"SA1 1GW","W06000011","Swansea"
"SA1 1GX","W06000011","Swansea"
"SA1 1GY","W06000011","Swansea"
"SA1 1GZ","W06000011","Swansea"
"SA1 1HA","W06000011","Swansea"
"SA1 1HB","W06000011","Swansea"
"SA1 1HD","W06000011","Swansea"
"SA1 1HE","W06000011","Swansea"
"SA1 1HF","W06000011","Swansea"
"SA1 1HG","W06000011","Swansea"
"SA1 1HH","W06000011","Swansea"
"SA1 1HJ","W06000011","Swansea"
"SA1 1HL","W06000011","Swansea"
"SA1 1HN","W06000011","Swansea"
"SA1 1HP","W06000011","Swansea"
"SA1 1HQ","W06000011","Swansea"
"SA1 1HR","W06000011","Swansea"
"SA1 1HS","W06000011","Swansea"
"SA1 1HT","W06000011","Swansea"
"SA1 1HU","W06000011","Swansea"
"SA1 1HW","W06000011","Swansea"
"SA1 1HX","W06000011","Swansea"
"SA1 1HY","W06000011","Swansea"
"SA1 1HZ","W06000011","Swansea"
"SA1 1JA","W06000011","Swansea"
"SA1 1JB","W06000011","Swansea"
"SA1 1JD","W06000011","Swansea"
"SA1 1JE","W06000011","Swansea"
"SA1 1JF","W06000011","Swansea"
