pcd,lad23cd,lad23nm
"SG1 1AA","E07000243","Stevenage"
"SG1 1AB","E07000243","Stevenage"
"SG1 1AD","E07000243","Stevenage"
"SG1 1AE","E07000243","Stevenage"
"SG1 1AF","E07000243","Stevenage"
"SG1 1AG","E07000243","Stevenage"
"SG1 1AH","E07000243","Stevenage"
"SG1 1AJ","E07000243","Stevenage"
"SG1 1AL","E07000243","Stevenage"
"SG1 1AN","E07000243","Stevenage"
"SG1 1AP","E07000243","Stevenage"
"SG1 1AR","E07000243","Stevenage"
"SG1 1AS","E07000243","Stevenage"
"SG1 1AT","E07000243","Stevenage"
"SG1 1AU","E07000243","Stevenage"
"SG1 1AW","E07000243","Stevenage"
"SG1 1AX","E07000243","Stevenage"
"SG1 1AY","E07000243","Stevenage"
"SG1 1AZ","E07000243","Stevenage"
"SG1 1BA","E07000243","Stevenage"
"SG1 1BB","E07000243","Stevenage"
"SG1 1BD","E07000243","Stevenage"
"SG1 1BE","E07000243","Stevenage"
"SG1 1BF","E07000243","Stevenage"
"SG1 1BG","E07000243","Stevenage"
"SG1 1BH","E07000243","Stevenage"
"SG1 1BJ","E07000243","Stevenage"
"SG1 1BL","E07000243","Stevenage"
"SG1 1BN","E07000243","Stevenage"
"SG1 1BP","E07000243","Stevenage"
"SG1 1BQ","E07000243","Stevenage"
"SG1 1BS","E07000243","Stevenage"
"SG1 1BT","E07000243","Stevenage"
"SG1 1BU","E07000243","Stevenage"
"SG1 1BW","E07000243","Stevenage"
"SG1 1BX","E07000243","Stevenage"
"SG1 1BY","E07000243","Stevenage"
"SG1 1BZ","E07000243","Stevenage"
"SG1 1DA","E07000243","Stevenage"
"SG1 1DB","E07000243","Stevenage"
"SG1 1DD","E07000243","Stevenage"
"SG1 1DE","E07000243","Stevenage"
"SG1 1DF","E07000243","Stevenage"
"SG1 1DG","E07000243","Stevenage"
"SG1 1DH","E07000243","Stevenage"
"SG1 1DJ","E07000243","Stevenage"
"SG1 1DL","E07000243","Stevenage"
"SG1 1DN","E07000243","Stevenage"
"SG1 1DP","E07000243","Stevenage"
"SG1 1DQ","E07000243","Stevenage"
"SG1 1DR","E07000243","Stevenage"
"SG1 1DS","E07000243","Stevenage"
"SG1 1DT","E07000243","Stevenage"
"SG1 1DU","E07000243","Stevenage"
"SG1 1DW","E07000243","Stevenage"
"SG1 1DX","E07000243","Stevenage"
"SG1 1DY","E07000243","Stevenage"
"SG1 1DZ","E07000243","Stevenage"
"SG1 1EA","E07000243","Stevenage"
"SG1 1EB","E07000243","Stevenage"
"SG1 1ED","E07000243","Stevenage"
"SG1 1EE","E07000243","Stevenage"
"SG1 1EF","E07000243","Stevenage"
"SG1 1EG","E07000243","Stevenage"
"SG1 1EH","E07000243","Stevenage"
"SG1 1EJ","E07000243","Stevenage"
"SG1 1EL","E07000243","Stevenage"
"SG1 1EN","E07000243","Stevenage"
"SG1 1EP","E07000243","Stevenage"
"SG1 1EQ","E07000243","Stevenage"
"SG1 1ER","E07000243","Stevenage"
"SG1 1ES","E07000243","Stevenage"
"SG1 1ET","E07000243","Stevenage"
"SG1 1EU","E07000243","Stevenage"
"SG1 1EW","E07000243","Stevenage"
"SG1 1EX","E07000243","Stevenage"
"SG1 1EY","E07000243","Stevenage"
"SG1 1EZ","E07000243","Stevenage"
"SG1 1FB","E07000243","Stevenage"
"SG1 1FD","E07000243","Stevenage"
"SG1 1FE","E07000243","Stevenage"
"SG1 1FF","E07000243","Stevenage"
"SG1 1FG","E07000243","Stevenage"
"SG1 1FH","E07000243","Stevenage"
"SG1 1FJ","E07000243","Stevenage"
"SG1 1FL","E07000243","Stevenage"
"SG1 1FN","E07000243","Stevenage"
"SG1 1FP","E07000243","Stevenage"
"SG1 1FQ","E07000243","Stevenage"
"SG1 1FR","E07000243","Stevenage"
"SG1 1FS","E07000243","Stevenage"
"SG1 1FT","E07000243","Stevenage"
"SG1 1FW","E07000243","Stevenage"
"SG1 1FY","E07000243","Stevenage"
"SG1 1FZ","E07000243","Stevenage"
"SG1 1GB","E07000243","Stevenage"
"SG1 1GD","E07000243","Stevenage"
"SG1 1GE","E07000243","Stevenage"
"SG1 1GF","E07000243","Stevenage"
"SG1 1GG","E07000243","Stevenage"
"SG1 1GQ","E07000243","Stevenage"
"SG1 1HA","E07000243","Stevenage"
"SG1 1HB","E07000243","Stevenage"
"SG1 1HD","E07000243","Stevenage"
"SG1 1HE","E07000243","Stevenage"
"SG1 1HF","E07000243","Stevenage"
"SG1 1HG","E07000243","Stevenage"
"SG1 1HH","E07000243","Stevenage"
"SG1 1HJ","E07000243","Stevenage"
"SG1 1HL","E07000243","Stevenage"
"SG1 1HN","E07000243","Stevenage"
"SG1 1HP","E07000243","Stevenage"
"SG1 1HQ","E07000243","Stevenage"
"SG1 1HR","E07000243","Stevenage"
"SG1 1HS","E07000243","Stevenage"
"SG1 1HT","E07000243","Stevenage"
"SG1 1HU","E07000243","Stevenage"
