pcd,lad23cd,lad23nm
"SK1 1AA","E08000007","Stockport"
"SK1 1AB","E08000007","Stockport"
"SK1 1AD","E08000007","Stockport"
"SK1 1AE","E08000007","Stockport"
"SK1 1AF","E08000007","Stockport"
"SK1 1AL","E08000007","Stockport"
"SK1 1AN","E08000007","Stockport"
"SK1 1AP","E08000007","Stockport"
"SK1 1AQ","E08000007","Stockport"
"SK1 1AR","E08000007","Stockport"
"SK1 1BE","E08000007","Stockport"
"SK1 1DA","E08000007","Stockport"
"SK1 1DB","E08000007","Stockport"
"SK1 1DD","E08000007","Stockport"
"SK1 1DE","E08000007","Stockport"
"SK1 1DF","E08000007","Stockport"
"SK1 1DG","E08000007","Stockport"
"SK1 1DH","E08000007","Stockport"
"SK1 1DJ","E08000007","Stockport"
"SK1 1DL","E08000007","Stockport"
"SK1 1DN","E08000007","Stockport"
"SK1 1DP","E08000007","Stockport"
"SK1 1DQ","E08000007","Stockport"
"SK1 1DR","E08000007","Stockport"
"SK1 1DS","E08000007","Stockport"
"SK1 1DT","E08000007","Stockport"
"SK1 1DU","E08000007","Stockport"
"SK1 1DW","E08000007","Stockport"
"SK1 1DX","E08000007","Stockport"
"SK1 1DY","E08000007","Stockport"
"SK1 1DZ","E08000007","Stockport"
"SK1 1EA","E08000007","Stockport"
"SK1 1EB","E08000007","Stockport"
"SK1 1ED","E08000007","Stockport"
"SK1 1EE","E08000007","Stockport"
"SK1 1EF","E08000007","Stockport"
"SK1 1EG","E08000007","Stockport"
"SK1 1EH","E08000007","Stockport"
"SK1 1EJ","E08000007","Stockport"
"SK1 1EL","E08000007","Stockport"
"SK1 1EN","E08000007","Stockport"
"SK1 1EP","E08000007","Stockport"
"SK1 1EQ","E08000007","Stockport"
"SK1 1ER","E08000007","Stockport"
"SK1 1ES","E08000007","Stockport"
"SK1 1ET","E08000007","Stockport"
"SK1 1EU","E08000007","Stockport"
"SK1 1EW","E08000007","Stockport"
"SK1 1EX","E08000007","Stockport"
"SK1 1EY","E08000007","Stockport"
"SK1 1EZ","E08000007","Stockport"
"SK1 1FA","E08000007","Stockport"
"SK1 1FB","E08000007","Stockport"
"SK1 1FD","E08000007","Stockport"
"SK1 1FE","E08000007","Stockport"
"SK1 1FF","E08000007","Stockport"
"SK1 1FG","E08000007","Stockport"
"SK1 1FH","E08000007","Stockport"
"SK1 1FJ","E08000007","Stockport"
"SK1 1FT","E08000007","Stockport"
"SK1 1HA","E08000007","Stockport"
"SK1 1HB","E08000007","Stockport"
"SK1 1HD","E08000007","Stockport"
"SK1 1HE","E08000007","Stockport"
"SK1 1HF","E08000007","Stockport"
"SK1 1HG","E08000007","Stockport"
"SK1 1HH","E08000007","Stockport"
"SK1 1HJ","E08000007","Stockport"
"SK1 1HL","E08000007","Stockport"
