pcd,lad23cd,lad23nm
"SN1 1AA","E06000030","Swindon"
"SN1 1AB","E06000030","Swindon"
"SN1 1AD","E06000030","Swindon"
"SN1 1AE","E06000030","Swindon"
"SN1 1AF","E06000030","Swindon"
"SN1 1AG","E06000030","Swindon"
"SN1 1AH","E06000030","Swindon"
"SN1 1AL","E06000030","Swindon"
"SN1 1AP","E06000030","Swindon"
"SN1 1BA","E06000030","Swindon"
"SN1 1BB","E06000030","Swindon"
"SN1 1BD","E06000030","Swindon"
"SN1 1BE","E06000030","Swindon"
"SN1 1BF","E06000030","Swindon"
"SN1 1BG","E06000030","Swindon"
"SN1 1BH","E06000030","Swindon"
"SN1 1BL","E06000030","Swindon"
"SN1 1BN","E06000030","Swindon"
"SN1 1BP","E06000030","Swindon"
"SN1 1BQ","E06000030","Swindon"
"SN1 1BS","E06000030","Swindon"
"SN1 1BT","E06000030","Swindon"
"SN1 1BU","E06000030","Swindon"
"SN1 1BW","E06000030","Swindon"
"SN1 1BX","E06000030","Swindon"
"SN1 1BY","E06000030","Swindon"
"SN1 1BZ","E06000030","Swindon"
"SN1 1DA","E06000030","Swindon"
"SN1 1DB","E06000030","Swindon"
"SN1 1DD","E06000030","Swindon"
"SN1 1DE","E06000030","Swindon"
"SN1 1DF","E06000054","Wiltshire"
"SN1 1DG","E06000030","Swindon"
"SN1 1DH","E06000030","Swindon"
"SN1 1DJ","E06000030","Swindon"
"SN1 1DL","E06000030","Swindon"
"SN1 1DN","E06000030","Swindon"
"SN1 1DP","E06000030","Swindon"
"SN1 1DQ","E06000030","Swindon"
"SN1 1DR","E06000030","Swindon"
"SN1 1DS","E06000030","Swindon"
"SN1 1DT","E06000030","Swindon"
"SN1 1DU","E06000030","Swindon"
"SN1 1DW","E06000030","Swindon"
"SN1 1DX","E06000030","Swindon"
"SN1 1DY","E06000030","Swindon"
"SN1 1DZ","E06000030","Swindon"
"SN1 1EA","E06000030","Swindon"
"SN1 1EB","E06000030","Swindon"
"SN1 1ED","E06000030","Swindon"
"SN1 1EE","E06000030","Swindon"
"SN1 1EF","E06000030","Swindon"
"SN1 1EG","E06000030","Swindon"
"SN1 1EH","E06000030","Swindon"
"SN1 1EJ","E06000030","Swindon"
"SN1 1EL","E06000030","Swindon"
"SN1 1EN","E06000030","Swindon"
"SN1 1EP","E06000030","Swindon"
"SN1 1EQ","E06000030","Swindon"
"SN1 1ET","E06000030","Swindon"
"SN1 1EU","E06000030","Swindon"
"SN1 1EW","E06000030","Swindon"
"SN1 1EZ","E06000030","Swindon"
"SN1 1FA","E06000030","Swindon"
"SN1 1FB","E06000030","Swindon"
"SN1 1FE","E06000030","Swindon"
"SN1 1FF","E06000030","Swindon"
"SN1 1FL","E06000030","Swindon"
"SN1 1FP","E06000030","Swindon"
"SN1 1FR","E06000030","Swindon"
"SN1 1FS","E06000030","Swindon"
"SN1 1FT","E06000030","Swindon"
"SN1 1FX","E06000030","Swindon"
"SN1 1FY","E06000030","Swindon"
"SN1 1FZ","E06000030","Swindon"
"SN1 1GH","E06000030","Swindon"
"SN1 1GJ","E06000030","Swindon"
"SN1 1GL","E06000030","Swindon"
"SN1 1GN","E06000030","Swindon"
"SN1 1GP","E06000030","Swindon"
"SN1 1GW","E06000030","Swindon"
"SN1 1GX","E06000030","Swindon"
"SN1 1GY","E06000030","Swindon"
"SN1 1GZ","E06000030","Swindon"
"SN1 1HE","E06000030","Swindon"
"SN1 1HF","E06000030","Swindon"
"SN1 1HH","E06000030","Swindon"
"SN1 1HJ","E06000030","Swindon"
"SN1 1HL","E06000030","Swindon"
"SN1 1HN","E06000030","Swindon"
"SN1 1HP","E06000030","Swindon"
"SN1 1HW","E06000030","Swindon"
"SN1 1JH","E06000030","Swindon"
"SN1 1JJ","E06000030","Swindon"
"SN1 1JL","E06000030","Swindon"
"SN1 1JN","E06000030","Swindon"
"SN1 1JP","E06000030","Swindon"
"SN1 1JQ","E06000030","Swindon"
"SN1 1JR","E06000030","Swindon"
"SN1 1JS","E06000030","Swindon"
"SN1 1JT","E06000030","Swindon"
"SN1 1JU","E06000030","Swindon"
"SN1 1JW","E06000030","Swindon"
"SN1 1JX","E06000030","Swindon"
"SN1 1JY","E06000030","Swindon"
"SN1 1JZ","E06000030","Swindon"
"SN1 1LA","E06000030","Swindon"
"SN1 1LB","E06000030","Swindon"
"SN1 1LD","E06000030","Swindon"
"SN1 1LE","E06000030","Swindon"
"SN1 1LF","E06000030","Swindon"
"SN1 1LH","E06000030","Swindon"
"SN1 1LJ","E06000030","Swindon"
"SN1 1LL","E06000030","Swindon"
"SN1 1LN","E06000030","Swindon"
"SN1 1LP","E06000030","Swindon"
"SN1 1LQ","E06000030","Swindon"
"SN1 1LR","E06000030","Swindon"
"SN1 1LS","E06000030","Swindon"
"SN1 1LT","E06000030","Swindon"
"SN1 1LU","E06000030","Swindon"
"SN1 1LW","E06000030","Swindon"
"SN1 1LX","E06000030","Swindon"
"SN1 1LY","E06000030","Swindon"
"SN1 1LZ","E06000030","Swindon"
"SN1 1NA","E06000030","Swindon"
"SN1 1NB","E06000030","Swindon"
"SN1 1ND","E06000030","Swindon"
"SN1 1NE","E06000030","Swindon"
"SN1 1NF","E06000030","Swindon"
"SN1 1NG","E06000030","Swindon"
"SN1 1NH","E06000030","Swindon"
"SN1 1NJ","E06000030","Swindon"
"SN1 1NQ","E06000030","Swindon"
"SN1 1NS","E06000030","Swindon"
"SN1 1PA","E06000030","Swindon"
"SN1 1PH","E06000030","Swindon"
"SN1 1PJ","E06000030","Swindon"
"SN1 1PL","E06000030","Swindon"
"SN1 1PN","E06000030","Swindon"
