pcd,lad23cd,lad23nm
"SO1 0AA","E06000045","Southampton"
"SO1 0AB","E06000045","Southampton"
"SO1 0AD","E06000045","Southampton"
"SO1 0AE","E06000045","Southampton"
"SO1 0AF","E06000045","Southampton"
"SO1 0AG","E06000045","Southampton"
"SO1 0AH","E06000045","Southampton"
"SO1 0AJ","E06000045","Southampton"
"SO1 0AL","E06000045","Southampton"
"SO1 0AN","E06000045","Southampton"
"SO1 0AP","E06000045","Southampton"
"SO1 0AQ","E06000045","Southampton"
"SO1 0AR","E06000045","Southampton"
"SO1 0AS","E06000045","Southampton"
"SO1 0AT","E06000045","Southampton"
"SO1 0AU","E06000045","Southampton"
"SO1 0AW","E06000045","Southampton"
"SO1 0AX","E06000045","Southampton"
"SO1 0AY","E06000045","Southampton"
"SO1 0AZ","E06000045","Southampton"
"SO1 0BA","E06000045","Southampton"
"SO1 0BB","E06000045","Southampton"
"SO1 0BE","E06000045","Southampton"
"SO1 0BG","E06000045","Southampton"
"SO1 0BH","E06000045","Southampton"
"SO1 0BJ","E06000045","Southampton"
"SO1 0BL","E06000045","Southampton"
"SO1 0BN","E06000045","Southampton"
"SO1 0BP","E06000045","Southampton"
"SO1 0BQ","E06000045","Southampton"
"SO1 0BR","E06000045","Southampton"
"SO1 0BS","E06000045","Southampton"
"SO1 0BT","E06000045","Southampton"
"SO1 0BU","E06000045","Southampton"
"SO1 0BW","E06000045","Southampton"
"SO1 0BX","E06000045","Southampton"
"SO1 0BY","E06000045","Southampton"
"SO1 0BZ","E06000045","Southampton"
"SO1 0DA","E06000045","Southampton"
"SO1 0DB","E06000045","Southampton"
"SO1 0DD","E06000045","Southampton"
"SO1 0DE","E06000045","Southampton"
"SO1 0DF","E06000045","Southampton"
"SO1 0DG","E06000045","Southampton"
"SO1 0DH","E06000045","Southampton"
"SO1 0DJ","E06000045","Southampton"
"SO1 0DL","E06000045","Southampton"
"SO1 0DN","E06000045","Southampton"
"SO1 0DP","E06000045","Southampton"
"SO1 0DQ","E06000045","Southampton"
"SO1 0DR","E06000045","Southampton"
"SO1 0DS","E06000045","Southampton"
"SO1 0DT","E06000045","Southampton"
"SO1 0DU","E06000045","Southampton"
"SO1 0DW","E06000045","Southampton"
"SO1 0DX","E06000045","Southampton"
"SO1 0DY","E06000045","Southampton"
"SO1 0DZ","E06000045","Southampton"
"SO1 0EA","E06000045","Southampton"
"SO1 0EB","E06000045","Southampton"
"SO1 0ED","E06000045","Southampton"
"SO1 0EE","E06000045","Southampton"
"SO1 0EG","E06000045","Southampton"
"SO1 0EH","E06000045","Southampton"
"SO1 0EJ","E06000045","Southampton"
"SO1 0EL","E06000045","Southampton"
"SO1 0EN","E06000045","Southampton"
"SO1 0EQ","E06000045","Southampton"
"SO1 0ES","E06000045","Southampton"
"SO1 0EU","E06000045","Southampton"
"SO1 0FB","E06000045","Southampton"
"SO1 0FE","E06000045","Southampton"
"SO1 0FF","E06000045","Southampton"
"SO1 0FG","E06000045","Southampton"
"SO1 0FH","E06000045","Southampton"
"SO1 0FJ","E06000045","Southampton"
"SO1 0FL","E06000045","Southampton"
"SO1 0FN","E06000045","Southampton"
"SO1 0FP","E06000045","Southampton"
"SO1 0FQ","E06000045","Southampton"
"SO1 0FR","E06000045","Southampton"
"SO1 0FS","E06000045","Southampton"
"SO1 0FT","E06000045","Southampton"
"SO1 0FU","E06000045","Southampton"
"SO1 0FW","E06000045","Southampton"
"SO1 0FX","E06000045","Southampton"
"SO1 0FY","E06000045","Southampton"
"SO1 0FZ","E06000045","Southampton"
"SO1 0GA","E06000045","Southampton"
"SO1 0GB","E06000045","Southampton"
"SO1 0GD","E06000045","Southampton"
"SO1 0GE","E06000045","Southampton"
"SO1 0GF","E06000045","Southampton"
"SO1 0GG","E06000045","Southampton"
"SO1 0GH","E06000045","Southampton"
"SO1 0GJ","E06000045","Southampton"
"SO1 0GN","E06000045","Southampton"
"SO1 0GP","E06000045","Southampton"
"SO1 0GQ","E06000045","Southampton"
"SO1 0GR","E06000045","Southampton"
"SO1 0GS","E06000045","Southampton"
"SO1 0GT","E06000045","Southampton"
"SO1 0GU","E06000045","Southampton"
"SO1 0GW","E06000045","Southampton"
"SO1 0GX","E06000045","Southampton"
"SO1 0GY","E06000045","Southampton"
"SO1 0GZ","E06000045","Southampton"
"SO1 0HA","E06000045","Southampton"
"SO1 0HB","E06000045","Southampton"
"SO1 0HD","E06000045","Southampton"
"SO1 0HE","E06000045","Southampton"
"SO1 0HF","E06000045","Southampton"
"SO1 0HG","E06000045","Southampton"
"SO1 0HH","E06000045","Southampton"
"SO1 0HJ","E06000045","Southampton"
"SO1 0HL","E06000045","Southampton"
"SO1 0HN","E06000045","Southampton"
"SO1 0HP","E06000045","Southampton"
"SO1 0HQ","E06000045","Southampton"
"SO1 0HR","E06000045","Southampton"
"SO1 0HS","E06000045","Southampton"
"SO1 0HT","E06000045","Southampton"
"SO1 0HU","E06000045","Southampton"
"SO1 0HW","E06000045","Southampton"
"SO1 0HX","E06000045","Southampton"
"SO1 0HY","E06000045","Southampton"
"SO1 0HZ","E06000045","Southampton"
