pcd,lad23cd,lad23nm
"SP1 1AA","E06000054","Wiltshire"
"SP1 1AB","E06000054","Wiltshire"
"SP1 1AD","E06000054","Wiltshire"
"SP1 1AF","E06000054","Wiltshire"
"SP1 1AG","E06000054","Wiltshire"
"SP1 1AH","E06000054","Wiltshire"
"SP1 1AJ","E06000054","Wiltshire"
"SP1 1AL","E06000054","Wiltshire"
"SP1 1BA","E06000054","Wiltshire"
"SP1 1BB","E06000054","Wiltshire"
"SP1 1BD","E06000054","Wiltshire"
"SP1 1BE","E06000054","Wiltshire"
"SP1 1BG","E06000054","Wiltshire"
"SP1 1BH","E06000054","Wiltshire"
"SP1 1BL","E06000054","Wiltshire"
"SP1 1BN","E06000054","Wiltshire"
"SP1 1BP","E06000054","Wiltshire"
"SP1 1BQ","E06000054","Wiltshire"
"SP1 1BT","E06000054","Wiltshire"
"SP1 1BW","E06000054","Wiltshire"
"SP1 1BX","E06000054","Wiltshire"
"SP1 1BZ","E06000054","Wiltshire"
"SP1 1DA","E06000054","Wiltshire"
"SP1 1DB","E06000054","Wiltshire"
"SP1 1DE","E06000054","Wiltshire"
"SP1 1DF","E06000054","Wiltshire"
"SP1 1DH","E06000054","Wiltshire"
"SP1 1DL","E06000054","Wiltshire"
"SP1 1DN","E06000054","Wiltshire"
"SP1 1DP","E06000054","Wiltshire"
"SP1 1DR","E06000054","Wiltshire"
"SP1 1DS","E06000054","Wiltshire"
"SP1 1DT","E06000054","Wiltshire"
"SP1 1DU","E06000054","Wiltshire"
"SP1 1DW","E06000054","Wiltshire"
"SP1 1DX","E06000054","Wiltshire"
"SP1 1DY","E06000054","Wiltshire"
"SP1 1DZ","E06000054","Wiltshire"
"SP1 1EA","E06000054","Wiltshire"
"SP1 1EB","E06000054","Wiltshire"
"SP1 1ED","E06000054","Wiltshire"
"SP1 1EE","E06000054","Wiltshire"
"SP1 1EF","E06000054","Wiltshire"
"SP1 1EG","E06000054","Wiltshire"
"SP1 1EH","E06000054","Wiltshire"
"SP1 1EJ","E06000054","Wiltshire"
"SP1 1EL","E06000054","Wiltshire"
"SP1 1EN","E06000054","Wiltshire"
"SP1 1EP","E06000054","Wiltshire"
"SP1 1EQ","E06000054","Wiltshire"
"SP1 1ER","E06000054","Wiltshire"
"SP1 1ES","E06000054","Wiltshire"
"SP1 1ET","E06000054","Wiltshire"
"SP1 1EU","E06000054","Wiltshire"
"SP1 1EW","E06000054","Wiltshire"
"SP1 1EX","E06000054","Wiltshire"
"SP1 1EY","E06000054","Wiltshire"
"SP1 1EZ","E06000054","Wiltshire"
"SP1 1FD","E06000054","Wiltshire"
"SP1 1HA","E06000054","Wiltshire"
"SP1 1HB","E06000054","Wiltshire"
"SP1 1HD","E06000054","Wiltshire"
"SP1 1HE","E06000054","Wiltshire"
"SP1 1HF","E06000054","Wiltshire"
"SP1 1HG","E06000054","Wiltshire"
"SP1 1HH","E06000054","Wiltshire"
"SP1 1HJ","E06000054","Wiltshire"
"SP1 1HL","E06000054","Wiltshire"
"SP1 1HN","E06000054","Wiltshire"
"SP1 1HP","E06000054","Wiltshire"
"SP1 1HQ","E06000054","Wiltshire"
"SP1 1HR","E06000054","Wiltshire"
"SP1 1HS","E06000054","Wiltshire"
"SP1 1HU","E06000054","Wiltshire"
"SP1 1HW","E06000054","Wiltshire"
"SP1 1HX","E06000054","Wiltshire"
"SP1 1HY","E06000054","Wiltshire"
"SP1 1HZ","E06000054","Wiltshire"
"SP1 1JA","E06000054","Wiltshire"
"SP1 1JB","E06000054","Wiltshire"
"SP1 1JD","E06000054","Wiltshire"
"SP1 1JE","E06000054","Wiltshire"
"SP1 1JF","E06000054","Wiltshire"
"SP1 1JG","E06000054","Wiltshire"
"SP1 1JH","E06000054","Wiltshire"
"SP1 1JJ","E06000054","Wiltshire"
"SP1 1JL","E06000054","Wiltshire"
"SP1 1JN","E06000054","Wiltshire"
