pcd,lad23cd,lad23nm
"SS0 0AA","E06000033","Southend-on-Sea"
"SS0 0AB","E06000033","Southend-on-Sea"
"SS0 0AD","E06000033","Southend-on-Sea"
"SS0 0AE","E06000033","Southend-on-Sea"
"SS0 0AF","E06000033","Southend-on-Sea"
"SS0 0AG","E06000033","Southend-on-Sea"
"SS0 0AH","E06000033","Southend-on-Sea"
"SS0 0AJ","E06000033","Southend-on-Sea"
"SS0 0AL","E06000033","Southend-on-Sea"
"SS0 0AN","E06000033","Southend-on-Sea"
"SS0 0AP","E06000033","Southend-on-Sea"
"SS0 0AQ","E06000033","Southend-on-Sea"
"SS0 0AR","E06000033","Southend-on-Sea"
"SS0 0AS","E06000033","Southend-on-Sea"
"SS0 0AT","E06000033","Southend-on-Sea"
"SS0 0AU","E06000033","Southend-on-Sea"
"SS0 0AW","E06000033","Southend-on-Sea"
"SS0 0AX","E06000033","Southend-on-Sea"
"SS0 0AY","E06000033","Southend-on-Sea"
"SS0 0AZ","E06000033","Southend-on-Sea"
"SS0 0BA","E06000033","Southend-on-Sea"
"SS0 0BB","E06000033","Southend-on-Sea"
"SS0 0BD","E06000033","Southend-on-Sea"
"SS0 0BE","E06000033","Southend-on-Sea"
"SS0 0BF","E06000033","Southend-on-Sea"
"SS0 0BG","E06000033","Southend-on-Sea"
"SS0 0BH","E06000033","Southend-on-Sea"
"SS0 0BJ","E06000033","Southend-on-Sea"
"SS0 0BL","E06000033","Southend-on-Sea"
"SS0 0BN","E06000033","Southend-on-Sea"
"SS0 0BP","E06000033","Southend-on-Sea"
"SS0 0BQ","E06000033","Southend-on-Sea"
"SS0 0BS","E06000033","Southend-on-Sea"
"SS0 0BT","E06000033","Southend-on-Sea"
"SS0 0BU","E06000033","Southend-on-Sea"
"SS0 0BW","E06000033","Southend-on-Sea"
"SS0 0BX","E06000033","Southend-on-Sea"
"SS0 0BY","E06000033","Southend-on-Sea"
"SS0 0BZ","E06000033","Southend-on-Sea"
"SS0 0DA","E06000033","Southend-on-Sea"
"SS0 0DD","E06000033","Southend-on-Sea"
"SS0 0DE","E06000033","Southend-on-Sea"
"SS0 0DF","E06000033","Southend-on-Sea"
"SS0 0DG","E06000033","Southend-on-Sea"
