pcd,lad23cd,lad23nm
"ST1 1AA","E06000021","Stoke-on-Trent"
"ST1 1AB","E06000021","Stoke-on-Trent"
"ST1 1AF","E06000021","Stoke-on-Trent"
"ST1 1AG","E06000021","Stoke-on-Trent"
"ST1 1AP","E06000021","Stoke-on-Trent"
"ST1 1AT","E06000021","Stoke-on-Trent"
"ST1 1AZ","E06000021","Stoke-on-Trent"
"ST1 1BA","E06000021","Stoke-on-Trent"
"ST1 1BS","E06000021","Stoke-on-Trent"
"ST1 1DA","E06000021","Stoke-on-Trent"
"ST1 1DB","E06000021","Stoke-on-Trent"
"ST1 1DD","E06000021","Stoke-on-Trent"
"ST1 1DE","E06000021","Stoke-on-Trent"
"ST1 1DF","E06000021","Stoke-on-Trent"
"ST1 1DG","E06000021","Stoke-on-Trent"
"ST1 1DH","E06000021","Stoke-on-Trent"
"ST1 1DJ","E06000021","Stoke-on-Trent"
"ST1 1DL","E06000021","Stoke-on-Trent"
"ST1 1DN","E06000021","Stoke-on-Trent"
"ST1 1DP","E06000021","Stoke-on-Trent"
"ST1 1DQ","E06000021","Stoke-on-Trent"
"ST1 1DR","E06000021","Stoke-on-Trent"
"ST1 1DS","E06000021","Stoke-on-Trent"
"ST1 1DT","E06000021","Stoke-on-Trent"
"ST1 1DU","E06000021","Stoke-on-Trent"
"ST1 1DW","E06000021","Stoke-on-Trent"
"ST1 1DX","E06000021","Stoke-on-Trent"
"ST1 1DY","E06000021","Stoke-on-Trent"
"ST1 1DZ","E06000021","Stoke-on-Trent"
"ST1 1EA","E06000021","Stoke-on-Trent"
"ST1 1EB","E06000021","Stoke-on-Trent"
"ST1 1ED","E06000021","Stoke-on-Trent"
"ST1 1EE","E06000021","Stoke-on-Trent"
"ST1 1EF","E06000021","Stoke-on-Trent"
"ST1 1EG","E06000021","Stoke-on-Trent"
"ST1 1EH","E06000021","Stoke-on-Trent"
"ST1 1EJ","E06000021","Stoke-on-Trent"
"ST1 1EL","E06000021","Stoke-on-Trent"
"ST1 1EN","E06000021","Stoke-on-Trent"
"ST1 1EP","E06000021","Stoke-on-Trent"
"ST1 1EQ","E06000021","Stoke-on-Trent"
"ST1 1ER","E06000021","Stoke-on-Trent"
"ST1 1ES","E06000021","Stoke-on-Trent"
"ST1 1ET","E06000021","Stoke-on-Trent"
"ST1 1EU","E06000021","Stoke-on-Trent"
"ST1 1EW","E06000021","Stoke-on-Trent"
"ST1 1EX","E06000021","Stoke-on-Trent"
