pcd,lad23cd,lad23nm
"SW100AA","E09000013","Hammersmith and Fulham"
"SW100AB","E09000020","Kensington and Chelsea"
"SW100AD","E09000020","Kensington and Chelsea"
"SW100AE","E09000020","Kensington and Chelsea"
"SW100AF","E09000020","Kensington and Chelsea"
"SW100AG","E09000020","Kensington and Chelsea"
"SW100AH","E09000020","Kensington and Chelsea"
"SW100AJ","E09000020","Kensington and Chelsea"
"SW100AL","E09000020","Kensington and Chelsea"
"SW100AN","E09000020","Kensington and Chelsea"
"SW100AP","E09000020","Kensington and Chelsea"
"SW100AQ","E09000020","Kensington and Chelsea"
"SW100AR","E09000020","Kensington and Chelsea"
"SW100AS","E09000020","Kensington and Chelsea"
"SW100AT","E09000020","Kensington and Chelsea"
"SW100AU","E09000020","Kensington and Chelsea"
"SW100AW","E09000020","Kensington and Chelsea"
"SW100AX","E09000020","Kensington and Chelsea"
"SW100AY","E09000020","Kensington and Chelsea"
"SW100AZ","E09000020","Kensington and Chelsea"
"SW100BA","E09000020","Kensington and Chelsea"
"SW100BB","E09000020","Kensington and Chelsea"
"SW100BD","E09000013","Hammersmith and Fulham"
"SW100BE","E09000013","Hammersmith and Fulham"
"SW100BF","E09000013","Hammersmith and Fulham"
"SW100BG","E09000020","Kensington and Chelsea"
"SW100BH","E09000020","Kensington and Chelsea"
"SW100BJ","E09000020","Kensington and Chelsea"
"SW100BL","E09000020","Kensington and Chelsea"
"SW100BN","E09000020","Kensington and Chelsea"
"SW100BP","E09000020","Kensington and Chelsea"
"SW100BQ","E09000020","Kensington and Chelsea"
"SW100BS","E09000020","Kensington and Chelsea"
"SW100BT","E09000020","Kensington and Chelsea"
"SW100BU","E09000020","Kensington and Chelsea"
"SW100BW","E09000020","Kensington and Chelsea"
"SW100BX","E09000020","Kensington and Chelsea"
"SW100BY","E09000020","Kensington and Chelsea"
"SW100BZ","E09000020","Kensington and Chelsea"
"SW100DA","E09000020","Kensington and Chelsea"
"SW100DB","E09000020","Kensington and Chelsea"
"SW100DD","E09000013","Hammersmith and Fulham"
"SW100DE","E09000020","Kensington and Chelsea"
"SW100DF","E09000020","Kensington and Chelsea"
"SW100DG","E09000020","Kensington and Chelsea"
"SW100DH","E09000020","Kensington and Chelsea"
"SW100DJ","E09000020","Kensington and Chelsea"
"SW100DL","E09000020","Kensington and Chelsea"
"SW100DN","E09000020","Kensington and Chelsea"
"SW100DP","E09000020","Kensington and Chelsea"
"SW100DQ","E09000020","Kensington and Chelsea"
"SW100DR","E09000020","Kensington and Chelsea"
"SW100DS","E09000020","Kensington and Chelsea"
"SW100DT","E09000020","Kensington and Chelsea"
"SW100DU","E09000020","Kensington and Chelsea"
"SW100DW","E09000020","Kensington and Chelsea"
"SW100DX","E09000020","Kensington and Chelsea"
"SW100DY","E09000020","Kensington and Chelsea"
"SW100DZ","E09000020","Kensington and Chelsea"
"SW100EA","E09000020","Kensington and Chelsea"
"SW100EB","E09000020","Kensington and Chelsea"
"SW100ED","E09000020","Kensington and Chelsea"
"SW100EE","E09000020","Kensington and Chelsea"
"SW100EF","E09000020","Kensington and Chelsea"
"SW100EG","E09000020","Kensington and Chelsea"
"SW100EH","E09000020","Kensington and Chelsea"
"SW100EJ","E09000020","Kensington and Chelsea"
"SW100EL","E09000020","Kensington and Chelsea"
"SW100EN","E09000020","Kensington and Chelsea"
"SW100EP","E09000020","Kensington and Chelsea"
"SW100EQ","E09000020","Kensington and Chelsea"
"SW100ER","E09000020","Kensington and Chelsea"
"SW100ES","E09000020","Kensington and Chelsea"
"SW100ET","E09000020","Kensington and Chelsea"
"SW100EU","E09000020","Kensington and Chelsea"
"SW100EW","E09000020","Kensington and Chelsea"
"SW100EX","E09000020","Kensington and Chelsea"
"SW100EY","E09000020","Kensington and Chelsea"
"SW100EZ","E09000020","Kensington and Chelsea"
"SW100FA","E09000013","Hammersmith and Fulham"
"SW100FB","E09000020","Kensington and Chelsea"
"SW100FD","E09000020","Kensington and Chelsea"
"SW100FE","E09000020","Kensington and Chelsea"
"SW100FF","E09000020","Kensington and Chelsea"
"SW100FG","E09000020","Kensington and Chelsea"
"SW100FH","E09000020","Kensington and Chelsea"
"SW100FJ","E09000020","Kensington and Chelsea"
"SW100FL","E09000020","Kensington and Chelsea"
"SW100FN","E09000020","Kensington and Chelsea"
"SW100FP","E09000020","Kensington and Chelsea"
"SW100FQ","E09000020","Kensington and Chelsea"
"SW100FR","E09000020","Kensington and Chelsea"
"SW100FS","E09000020","Kensington and Chelsea"
"SW100FT","E09000020","Kensington and Chelsea"
"SW100FU","E09000020","Kensington and Chelsea"
"SW100FW","E09000020","Kensington and Chelsea"
"SW100FX","E09000020","Kensington and Chelsea"
"SW100FY","E09000020","Kensington and Chelsea"
"SW100FZ","E09000020","Kensington and Chelsea"
"SW100GA","E09000020","Kensington and Chelsea"
"SW100GB","E09000020","Kensington and Chelsea"
"SW100GD","E09000020","Kensington and Chelsea"
"SW100GE","E09000020","Kensington and Chelsea"
"SW100GF","E09000020","Kensington and Chelsea"
"SW100GG","E09000020","Kensington and Chelsea"
"SW100GH","E09000020","Kensington and Chelsea"
"SW100GJ","E09000020","Kensington and Chelsea"
"SW100GL","E09000020","Kensington and Chelsea"
"SW100GN","E09000020","Kensington and Chelsea"
"SW100GP","E09000020","Kensington and Chelsea"
"SW100GQ","E09000020","Kensington and Chelsea"
"SW100GR","E09000020","Kensington and Chelsea"
"SW100GS","E09000020","Kensington and Chelsea"
"SW100GT","E09000020","Kensington and Chelsea"
"SW100GU","E09000020","Kensington and Chelsea"
"SW100GW","E09000020","Kensington and Chelsea"
"SW100GX","E09000020","Kensington and Chelsea"
"SW100GY","E09000020","Kensington and Chelsea"
"SW100GZ","E09000020","Kensington and Chelsea"
"SW100HA","E09000020","Kensington and Chelsea"
"SW100HB","E09000020","Kensington and Chelsea"
"SW100HD","E09000020","Kensington and Chelsea"
"SW100HE","E09000020","Kensington and Chelsea"
"SW100HF","E09000020","Kensington and Chelsea"
"SW100HG","E09000013","Hammersmith and Fulham"
"SW100HH","E09000020","Kensington and Chelsea"
"SW100HJ","E09000020","Kensington and Chelsea"
"SW100HL","E09000020","Kensington and Chelsea"
"SW100HN","E09000020","Kensington and Chelsea"
"SW100HP","E09000020","Kensington and Chelsea"
"SW100HQ","E09000013","Hammersmith and Fulham"
"SW100HR","E09000020","Kensington and Chelsea"
"SW100HS","E09000020","Kensington and Chelsea"
"SW100HT","E09000020","Kensington and Chelsea"
"SW100HU","E09000020","Kensington and Chelsea"
"SW100HW","E09000013","Hammersmith and Fulham"
"SW100HX","E09000020","Kensington and Chelsea"
"SW100HY","E09000020","Kensington and Chelsea"
"SW100HZ","E09000020","Kensington and Chelsea"
"SW100JA","E09000020","Kensington and Chelsea"
"SW100JB","E09000020","Kensington and Chelsea"
"SW100JD","E09000020","Kensington and Chelsea"
"SW100JE","E09000020","Kensington and Chelsea"
"SW100JF","E09000020","Kensington and Chelsea"
"SW100JG","E09000020","Kensington and Chelsea"
"SW100JH","E09000020","Kensington and Chelsea"
"SW100JJ","E09000020","Kensington and Chelsea"
"SW100JL","E09000020","Kensington and Chelsea"
"SW100JN","E09000020","Kensington and Chelsea"
"SW100JP","E09000020","Kensington and Chelsea"
"SW100JQ","E09000020","Kensington and Chelsea"
"SW100JR","E09000013","Hammersmith and Fulham"
"SW100JS","E09000020","Kensington and Chelsea"
"SW100JT","E09000013","Hammersmith and Fulham"
"SW100JW","E09000020","Kensington and Chelsea"
"SW100JX","E09000020","Kensington and Chelsea"
"SW100JY","E09000020","Kensington and Chelsea"
"SW100JZ","E09000020","Kensington and Chelsea"
"SW100LA","E09000020","Kensington and Chelsea"
"SW100LB","E09000020","Kensington and Chelsea"
"SW100LD","E09000020","Kensington and Chelsea"
"SW100LE","E09000020","Kensington and Chelsea"
