pcd,lad23cd,lad23nm
"SY1 1AA","E06000051","Shropshire"
"SY1 1AB","E06000051","Shropshire"
"SY1 1AD","E06000051","Shropshire"
"SY1 1AE","E06000051","Shropshire"
"SY1 1AF","E06000051","Shropshire"
"SY1 1AG","E06000051","Shropshire"
"SY1 1AH","E06000051","Shropshire"
"SY1 1AN","E06000051","Shropshire"
"SY1 1AX","E06000051","Shropshire"
"SY1 1AY","E06000051","Shropshire"
"SY1 1AZ","E06000051","Shropshire"
"SY1 1BA","E06000051","Shropshire"
"SY1 1BB","E06000051","Shropshire"
"SY1 1BD","E06000051","Shropshire"
"SY1 1BN","E06000051","Shropshire"
"SY1 1BP","E06000051","Shropshire"
"SY1 1BU","E06000051","Shropshire"
"SY1 1BW","E06000051","Shropshire"
"SY1 1BX","E06000051","Shropshire"
"SY1 1BY","E06000051","Shropshire"
"SY1 1BZ","E06000051","Shropshire"
"SY1 1DA","E06000051","Shropshire"
"SY1 1DB","E06000051","Shropshire"
"SY1 1DD","E06000051","Shropshire"
"SY1 1DE","E06000051","Shropshire"
"SY1 1DF","E06000051","Shropshire"
"SY1 1DG","E06000051","Shropshire"
"SY1 1DL","E06000051","Shropshire"
"SY1 1DN","E06000051","Shropshire"
"SY1 1DP","E06000051","Shropshire"
"SY1 1DQ","E06000051","Shropshire"
"SY1 1DR","E06000051","Shropshire"
"SY1 1DS","E06000051","Shropshire"
"SY1 1DT","E06000051","Shropshire"
"SY1 1DU","E06000051","Shropshire"
"SY1 1DW","E06000051","Shropshire"
"SY1 1DX","E06000051","Shropshire"
"SY1 1DY","E06000051","Shropshire"
"SY1 1DZ","E06000051","Shropshire"
"SY1 1EA","E06000051","Shropshire"
"SY1 1EB","E06000051","Shropshire"
"SY1 1ED","E06000051","Shropshire"
"SY1 1EE","E06000051","Shropshire"
"SY1 1EF","E06000051","Shropshire"
"SY1 1EG","E06000051","Shropshire"
"SY1 1EJ","E06000051","Shropshire"
"SY1 1EL","E06000051","Shropshire"
"SY1 1EN","E06000051","Shropshire"
"SY1 1EP","E06000051","Shropshire"
"SY1 1EQ","E06000051","Shropshire"
"SY1 1ER","E06000051","Shropshire"
"SY1 1ES","E06000051","Shropshire"
"SY1 1ET","E06000051","Shropshire"
"SY1 1EU","E06000051","Shropshire"
"SY1 1EW","E06000051","Shropshire"
"SY1 1EX","E06000051","Shropshire"
"SY1 1EY","E06000051","Shropshire"
"SY1 1EZ","E06000051","Shropshire"
"SY1 1FB","E06000051","Shropshire"
"SY1 1FZ","E06000051","Shropshire"
"SY1 1HA","E06000051","Shropshire"
"SY1 1HB","E06000051","Shropshire"
"SY1 1HD","E06000051","Shropshire"
"SY1 1HE","E06000051","Shropshire"
"SY1 1HF","E06000051","Shropshire"
"SY1 1HG","E06000051","Shropshire"
"SY1 1HH","E06000051","Shropshire"
"SY1 1HJ","E06000051","Shropshire"
"SY1 1HL","E06000051","Shropshire"
"SY1 1HN","E06000051","Shropshire"
"SY1 1HP","E06000051","Shropshire"
"SY1 1HQ","E06000051","Shropshire"
"SY1 1HR","E06000051","Shropshire"
"SY1 1HS","E06000051","Shropshire"
"SY1 1HT","E06000051","Shropshire"
"SY1 1HU","E06000051","Shropshire"
"SY1 1HW","E06000051","Shropshire"
"SY1 1HX","E06000051","Shropshire"
"SY1 1HY","E06000051","Shropshire"
"SY1 1HZ","E06000051","Shropshire"
"SY1 1JA","E06000051","Shropshire"
"SY1 1JB","E06000051","Shropshire"
"SY1 1JD","E06000051","Shropshire"
"SY1 1JE","E06000051","Shropshire"
"SY1 1JF","E06000051","Shropshire"
"SY1 1JG","E06000051","Shropshire"
"SY1 1JH","E06000051","Shropshire"
